timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1783480522.7249,121.69,9.25,7.6,81.42,112.44,16.0,2.21,0.0,0.0
1783480523.7252,121.69,9.95,8.2,80.72,111.74,16.0,2.21,0.0,0.0
1783480524.7254,121.69,9.92,8.2,80.74,111.77,16.0,2.21,0.0,0.0
1783480525.7257,121.69,9.63,7.9,81.04,112.06,16.0,2.21,0.0,0.0
1783480526.7263,121.69,10.05,8.3,80.61,111.64,16.0,2.21,0.0,0.0
1783480527.7267,121.69,10.03,8.2,80.63,111.66,16.0,2.21,0.0,0.0
1783480528.727,121.69,9.97,8.2,80.69,111.72,16.0,2.21,0.0,0.0
1783480529.7274,121.69,10.57,8.7,80.09,111.12,16.0,2.21,0.0,0.0
1783480530.7278,121.69,10.93,9.0,79.74,110.76,16.0,2.21,0.0,0.0
1783480531.728,121.69,11.22,9.2,79.44,110.47,16.0,2.21,0.0,0.0
1783480532.7282,121.69,11.2,9.2,79.47,110.49,16.0,2.21,0.0,0.0
1783480533.7285,121.69,12.05,9.9,78.61,109.64,16.0,2.21,0.0,0.0
1783480534.7289,121.69,11.72,9.6,78.94,109.97,16.0,2.21,0.0,0.0
1783480535.7293,121.69,11.71,9.6,78.96,109.98,16.0,2.21,0.0,0.0
1783480536.7296,121.69,10.88,8.9,79.78,110.81,16.0,2.21,0.0,0.0
1783480537.7299,121.69,11.41,9.4,79.25,110.28,16.0,2.21,0.0,0.0
1783480538.7303,121.69,11.83,9.7,78.84,109.86,16.0,2.21,0.0,0.0
1783480539.7306,121.69,11.44,9.4,79.22,110.25,16.0,2.21,0.0,0.0
1783480540.731,121.69,11.42,9.4,79.24,110.27,16.0,2.21,0.0,0.0
1783480541.7313,121.69,12.04,9.9,78.63,109.65,16.0,2.21,0.0,0.0
1783480542.7316,121.69,11.68,9.6,78.98,110.01,16.0,2.21,0.0,0.0
1783480543.7319,121.69,11.68,9.6,78.99,110.01,16.0,2.21,0.0,0.0
1783480544.7326,121.69,11.34,9.3,79.32,110.35,16.0,2.21,0.0,0.0
1783480545.733,121.69,11.81,9.7,78.85,109.88,16.0,2.21,0.0,0.0
1783480546.7337,121.69,12.54,10.3,78.13,109.15,16.0,2.21,0.0,0.0
1783480547.734,121.69,12.13,10.0,78.53,109.56,16.0,2.21,0.0,0.0
1783480548.7344,121.69,12.11,10.0,78.55,109.58,16.0,2.21,0.0,0.0
1783480549.7347,121.69,12.37,10.2,78.3,109.32,16.0,2.21,0.0,0.0
1783480550.735,121.69,11.85,9.7,78.82,109.84,16.0,2.21,0.0,0.0
1783480551.7354,121.69,11.84,9.7,78.83,109.85,16.0,2.21,0.0,0.0
1783480552.7361,121.69,11.66,9.6,79.0,110.03,16.0,2.21,0.0,0.0
1783480553.7365,121.69,12.03,9.9,78.63,109.66,16.0,2.21,0.0,0.0
1783480554.737,121.69,12.63,10.4,78.03,109.06,16.0,2.21,0.0,0.0
1783480555.7373,121.69,12.06,9.9,78.61,109.63,16.0,2.21,0.0,0.0
1783480556.7376,121.69,12.05,9.9,78.62,109.64,16.0,2.21,0.0,0.0
1783480557.7379,121.69,12.07,9.9,78.6,109.62,16.0,2.21,0.0,0.0
1783480558.7382,121.69,11.86,9.7,78.8,109.83,16.0,2.21,0.0,0.0
1783480559.7385,121.69,11.91,9.8,78.76,109.78,16.0,2.21,0.0,0.0
1783480560.7389,121.69,11.84,9.7,78.83,109.85,16.0,2.21,0.0,0.0
1783480561.7392,121.69,11.84,9.7,78.83,109.85,16.0,2.21,0.0,0.0
1783480562.7397,121.69,12.28,10.1,78.39,109.41,16.0,2.21,0.0,0.0
1783480563.7399,121.69,11.52,9.5,79.14,110.17,16.0,2.21,0.0,0.0
1783480564.7403,121.69,11.5,9.5,79.16,110.19,16.0,2.21,0.0,0.0
1783480565.742,121.69,11.38,9.4,79.29,110.31,16.0,2.21,0.0,0.0
1783480566.7423,121.69,11.66,9.6,79.0,110.03,16.0,2.21,0.0,0.0
1783480567.7427,121.69,11.87,9.8,78.8,109.82,16.0,2.21,0.0,0.0
1783480568.743,121.69,11.04,9.1,79.62,110.65,16.0,2.21,0.0,0.0
1783480569.7432,121.69,11.31,9.3,79.36,110.38,16.0,2.21,0.0,0.0
1783480570.7436,121.69,11.93,9.8,78.74,109.76,16.0,2.21,0.0,0.0
1783480571.7442,121.69,11.22,9.2,79.45,110.47,16.0,2.21,0.0,0.0
1783480572.7445,121.69,11.19,9.2,79.47,110.5,16.0,2.21,0.0,0.0
1783480573.7448,121.69,11.39,9.4,79.28,110.3,16.0,2.21,0.0,0.0
1783480574.7451,121.69,10.97,9.0,79.69,110.72,16.0,2.21,0.0,0.0
1783480575.7455,121.69,10.96,9.0,79.7,110.73,16.0,2.21,0.0,0.0
1783480576.7458,121.69,11.01,9.0,79.65,110.68,16.0,2.21,0.0,0.0
1783480577.746,121.69,11.34,9.3,79.33,110.35,16.0,2.21,0.0,0.0
1783480578.7465,121.69,12.55,10.3,78.12,109.14,16.0,2.21,0.0,0.0
1783480579.7468,121.69,11.4,9.4,79.26,110.29,16.0,2.21,0.0,0.0
1783480580.7471,121.69,11.4,9.4,79.26,110.29,16.0,2.21,0.0,0.0
1783480581.7474,121.69,11.02,9.1,79.65,110.67,16.0,2.21,0.0,0.0
1783480582.7477,121.69,11.23,9.2,79.44,110.46,16.0,2.21,0.0,0.0
1783480583.7481,121.69,11.43,9.4,79.24,110.26,16.0,2.21,0.0,0.0
1783480584.7485,121.69,11.37,9.3,79.3,110.32,16.0,2.21,0.0,0.0
1783480585.7489,121.69,11.46,9.4,79.2,110.23,16.0,2.21,0.0,0.0
1783480586.7493,121.69,12.2,10.0,78.46,109.49,16.0,2.21,0.0,0.0
1783480587.7497,121.69,11.37,9.3,79.3,110.32,16.0,2.21,0.0,0.0
1783480588.75,121.69,11.33,9.3,79.33,110.36,16.0,2.21,0.0,0.0
1783480589.7502,121.69,10.97,9.0,79.7,110.72,16.0,2.21,0.0,0.0
1783480590.7506,121.69,11.13,9.1,79.54,110.56,16.0,2.21,0.0,0.0
1783480591.7509,121.69,11.12,9.1,79.54,110.57,16.0,2.21,0.0,0.0
1783480592.7512,121.69,10.93,9.0,79.73,110.76,16.0,2.21,0.0,0.0
1783480593.7516,121.69,11.1,9.1,79.56,110.59,16.0,2.21,0.0,0.0
1783480594.7519,121.69,11.85,9.7,78.81,109.84,16.0,2.21,0.0,0.0
1783480595.7523,121.69,10.97,9.0,79.69,110.72,16.0,2.21,0.0,0.0
1783480596.7527,121.69,10.94,9.0,79.72,110.75,16.0,2.21,0.0,0.0
1783480597.7536,121.69,11.14,9.2,79.53,110.55,16.0,2.21,0.0,0.0
1783480598.7542,121.69,11.2,9.2,79.47,110.49,16.0,2.21,0.0,0.0
1783480599.7546,121.69,11.21,9.2,79.45,110.48,16.0,2.21,0.0,0.0
1783480600.7553,121.69,10.7,8.8,79.96,110.99,16.0,2.21,0.0,0.0
1783480601.7557,121.69,10.85,8.9,79.81,110.84,16.0,2.21,0.0,0.0
1783480602.7559,121.69,12.16,10.0,78.51,109.53,16.0,2.21,0.0,0.0
1783480603.7563,121.69,11.4,9.4,79.27,110.29,16.0,2.21,0.0,0.0
1783480604.757,121.69,11.39,9.4,79.28,110.3,16.0,2.21,0.0,0.0
1783480605.7573,121.69,11.92,9.8,78.75,109.77,16.0,2.21,0.0,0.0
1783480606.7575,121.69,11.68,9.6,78.99,110.01,16.0,2.21,0.0,0.0
1783480607.7578,121.69,11.67,9.6,78.99,110.02,16.0,2.21,0.0,0.0
1783480608.7582,121.69,11.44,9.4,79.23,110.25,16.0,2.21,0.0,0.0
1783480609.7586,121.69,11.62,9.5,79.04,110.07,16.0,2.21,0.0,0.0
1783480610.7589,121.69,12.54,10.3,78.12,109.15,16.0,2.21,0.0,0.0
1783480611.7593,121.69,11.69,9.6,78.98,110.0,16.0,2.21,0.0,0.0
1783480612.7596,121.69,11.67,9.6,78.99,110.02,16.0,2.21,0.0,0.0
1783480613.7599,121.69,11.58,9.5,79.09,110.11,16.0,2.21,0.0,0.0
1783480614.7602,121.69,11.66,9.6,79.01,110.03,16.0,2.21,0.0,0.0
1783480615.7606,121.69,11.74,9.6,78.92,109.95,16.0,2.21,0.0,0.0
1783480616.7609,121.69,11.48,9.4,79.18,110.21,16.0,2.21,0.0,0.0
1783480617.7612,121.69,11.58,9.5,79.08,110.11,16.0,2.21,0.0,0.0
1783480618.7616,121.69,12.14,10.0,78.52,109.55,16.0,2.21,0.0,0.0
1783480619.7619,121.69,11.24,9.2,79.43,110.45,16.0,2.21,0.0,0.0
1783480620.7622,121.69,11.22,9.2,79.44,110.47,16.0,2.21,0.0,0.0
1783480621.7625,121.69,10.87,8.9,79.79,110.82,16.0,2.21,0.0,0.0
1783480622.7629,121.69,11.27,9.3,79.39,110.42,16.0,2.21,0.0,0.0
1783480623.7632,121.69,11.43,9.4,79.24,110.26,16.0,2.21,0.0,0.0
1783480624.7636,121.69,11.94,9.8,78.72,109.75,16.0,2.21,0.0,0.0
1783480625.7641,121.69,11.95,9.8,78.71,109.74,16.0,2.21,0.0,0.0
1783480626.7644,121.69,12.74,10.5,77.92,108.95,16.0,2.21,0.0,0.0
1783480627.7647,121.69,12.0,9.9,78.66,109.69,16.0,2.21,0.0,0.0
1783480628.7651,121.69,11.98,9.8,78.69,109.71,16.0,2.21,0.0,0.0
1783480629.7654,121.69,11.19,9.2,79.48,110.5,16.0,2.21,0.0,0.0
1783480630.7659,121.69,11.68,9.6,78.98,110.01,16.0,2.21,0.0,0.0
1783480631.7663,121.69,12.11,10.0,78.55,109.58,16.0,2.21,0.0,0.0
1783480632.7666,121.69,11.7,9.6,78.96,109.99,16.0,2.21,0.0,0.0
1783480633.7669,121.69,11.67,9.6,79.0,110.02,16.0,2.21,0.0,0.0
1783480634.7674,121.69,12.3,10.1,78.37,109.39,16.0,2.21,0.0,0.0
1783480635.768,121.69,11.89,9.8,78.78,109.8,16.0,2.21,0.0,0.0
1783480636.7684,121.69,11.88,9.8,78.78,109.81,16.0,2.21,0.0,0.0
1783480637.7688,121.69,11.34,9.3,79.33,110.35,16.0,2.21,0.0,0.0
1783480638.769,121.69,11.84,9.7,78.82,109.85,16.0,2.21,0.0,0.0
1783480639.7697,121.69,12.17,10.0,78.49,109.52,16.0,2.21,0.0,0.0
1783480640.7704,121.69,12.08,9.9,78.58,109.61,16.0,2.21,0.0,0.0
1783480641.7707,121.69,12.16,10.0,78.5,109.53,16.0,2.21,0.0,0.0
1783480642.7709,121.69,13.47,11.1,77.19,108.22,16.0,2.21,0.0,0.0
