timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1783476149.9241,5.9,1.4,4.5,0.0,3354.0,60.0,,1.55,1.89,1.96,4963,4,0
1783476150.9251,8.2,3.6,4.7,0.0,3354.0,60.5,,1.55,1.89,1.96,5776,3,0
1783476151.9259,10.9,6.2,4.8,0.0,3354.0,62.1,,1.55,1.89,1.96,6055,3,0
1783476152.9266,10.8,6.0,4.8,0.0,3354.0,64.7,,1.55,1.89,1.96,5909,3,0
1783476153.9274,10.7,6.1,4.6,0.0,3354.0,65.4,,1.55,1.89,1.96,5695,4,0
1783476154.9283,10.9,6.1,4.7,0.1,3354.0,65.6,,1.59,1.89,1.96,5974,3,0
1783476155.929,10.9,5.8,5.1,0.0,3354.0,61.9,,1.59,1.89,1.96,5944,5,0
1783476156.9297,10.0,4.8,5.2,0.0,3354.0,61.9,,1.59,1.89,1.96,6018,3,0
1783476157.9307,10.9,6.1,4.7,0.0,3354.0,63.6,,1.59,1.89,1.96,5933,3,0
1783476158.9314,11.0,6.2,4.8,0.0,3354.0,65.2,,1.59,1.89,1.96,5703,4,0
1783476159.9323,10.8,6.3,4.5,0.0,3354.0,65.7,,1.7,1.91,1.97,5950,4,0
1783476160.9334,10.8,6.2,4.6,0.0,3354.0,65.9,,1.7,1.91,1.97,5771,4,0
1783476161.9347,10.8,5.7,5.1,0.0,3354.0,61.7,,1.7,1.91,1.97,5959,3,0
1783476162.9355,10.4,5.2,5.2,0.0,3354.0,61.9,,1.7,1.91,1.97,6339,3,0
1783476163.9367,10.9,6.2,4.7,0.0,3354.0,62.7,,1.7,1.91,1.97,5920,4,0
1783476164.9374,12.0,7.3,4.7,0.0,3354.0,65.7,,1.73,1.91,1.97,6804,6,0
1783476165.938,11.9,7.2,4.6,0.0,3354.0,66.6,,1.73,1.91,1.97,6730,4,0
1783476166.9389,10.8,6.3,4.5,0.0,3354.0,66.8,,1.73,1.91,1.97,6211,3,0
1783476167.9396,10.8,5.7,5.1,0.0,3354.0,64.5,,1.73,1.91,1.97,5841,4,0
1783476168.9403,9.8,4.8,5.0,0.0,3354.0,61.6,,1.73,1.91,1.97,6082,3,0
1783476169.9411,10.8,6.0,4.8,0.0,3354.0,63.7,,1.75,1.91,1.97,5885,3,0
1783476170.9419,10.9,6.2,4.6,0.0,3354.0,66.4,,1.75,1.91,1.97,5784,4,0
1783476171.9425,10.8,6.2,4.6,0.0,3354.0,67.0,,1.75,1.91,1.97,5679,3,0
1783476172.9433,10.7,6.1,4.5,0.0,3354.0,67.2,,1.75,1.91,1.97,5603,3,0
1783476173.9448,10.8,5.7,5.1,0.0,3354.0,65.3,,1.75,1.91,1.97,5836,3,0
1783476174.9459,10.3,5.2,5.1,0.0,3354.0,62.3,,1.77,1.91,1.97,6310,3,0
1783476175.9473,10.9,6.1,4.8,0.0,3354.0,63.2,,1.77,1.91,1.97,5668,3,0
1783476176.949,10.9,6.2,4.7,0.0,3354.0,65.4,,1.77,1.91,1.97,5931,3,0
1783476177.9505,10.8,6.1,4.7,0.0,3354.0,66.4,,1.77,1.91,1.97,5782,3,0
1783476178.9526,10.7,6.2,4.5,0.0,3354.0,66.6,,1.77,1.91,1.97,5711,3,0
