timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1783475235.1024,121.69,8.91,7.3,81.77,112.78,16.0,2.21,0.0,0.0
1783475236.1028,121.69,9.02,7.4,81.65,112.67,16.0,2.21,0.0,0.0
1783475237.1036,121.69,9.1,7.5,81.57,112.59,16.0,2.21,0.0,0.0
1783475238.1045,121.69,9.15,7.5,81.52,112.54,16.0,2.21,0.0,0.0
1783475239.1061,121.69,9.19,7.6,81.48,112.5,16.0,2.21,0.0,0.0
1783475240.1063,121.69,9.25,7.6,81.42,112.44,16.0,2.21,0.0,0.0
1783475241.1072,121.69,9.94,8.2,80.73,111.75,16.0,2.21,0.0,0.0
1783475242.1075,121.69,9.34,7.7,81.33,112.35,16.0,2.21,0.0,0.0
1783475243.1079,121.69,9.42,7.7,81.25,112.27,16.0,2.21,0.0,0.0
1783475244.1082,121.69,9.46,7.8,81.21,112.23,16.0,2.21,0.0,0.0
1783475245.1088,121.69,9.51,7.8,81.16,112.18,16.0,2.21,0.0,0.0
1783475246.1092,121.69,9.55,7.8,81.12,112.14,16.0,2.21,0.0,0.0
1783475247.1099,121.69,9.96,8.2,80.71,111.73,16.0,2.21,0.0,0.0
1783475248.1103,121.69,9.36,7.7,81.31,112.33,16.0,2.21,0.0,0.0
1783475249.1107,121.69,9.4,7.7,81.27,112.29,16.0,2.21,0.0,0.0
1783475250.1111,121.69,9.45,7.8,81.23,112.24,16.0,2.21,0.0,0.0
1783475251.1117,121.69,9.49,7.8,81.18,112.2,16.0,2.21,0.0,0.0
1783475252.1124,121.69,9.52,7.8,81.15,112.17,16.0,2.21,0.0,0.0
1783475253.1127,121.69,9.89,8.1,80.78,111.8,16.0,2.21,0.0,0.0
1783475254.113,121.69,9.29,7.6,81.38,112.4,16.0,2.21,0.0,0.0
1783475255.1133,121.69,9.35,7.7,81.32,112.34,16.0,2.21,0.0,0.0
1783475256.114,121.69,9.4,7.7,81.27,112.29,16.0,2.21,0.0,0.0
1783475257.1143,121.69,9.44,7.8,81.23,112.25,16.0,2.21,0.0,0.0
1783475258.1146,121.69,9.49,7.8,81.18,112.2,16.0,2.21,0.0,0.0
1783475259.115,121.69,9.9,8.1,80.77,111.79,16.0,2.21,0.0,0.0
1783475260.1153,121.69,9.29,7.6,81.38,112.4,16.0,2.21,0.0,0.0
1783475261.1156,121.69,9.33,7.7,81.34,112.36,16.0,2.21,0.0,0.0
1783475262.1159,121.69,9.37,7.7,81.3,112.32,16.0,2.21,0.0,0.0
1783475263.1163,121.69,9.41,7.7,81.26,112.28,16.0,2.21,0.0,0.0
1783475264.1166,121.69,9.44,7.8,81.23,112.25,16.0,2.21,0.0,0.0
1783475265.1169,121.69,9.85,8.1,80.83,111.84,16.0,2.21,0.0,0.0
1783475266.1173,121.69,9.28,7.6,81.4,112.41,16.0,2.21,0.0,0.0
1783475267.1175,121.69,9.32,7.7,81.35,112.37,16.0,2.21,0.0,0.0
1783475268.1179,121.69,9.35,7.7,81.32,112.34,16.0,2.21,0.0,0.0
1783475269.1182,121.69,9.38,7.7,81.29,112.31,16.0,2.21,0.0,0.0
1783475270.1184,121.69,9.42,7.7,81.25,112.27,16.0,2.21,0.0,0.0
1783475271.1188,121.69,9.82,8.1,80.85,111.87,16.0,2.21,0.0,0.0
1783475272.1191,121.69,9.27,7.6,81.4,112.42,16.0,2.21,0.0,0.0
1783475273.1198,121.69,9.29,7.6,81.38,112.4,16.0,2.21,0.0,0.0
1783475274.1204,121.69,9.33,7.7,81.35,112.36,16.0,2.21,0.0,0.0
1783475275.1208,121.69,9.38,7.7,81.29,112.31,16.0,2.21,0.0,0.0
1783475276.1213,121.69,9.42,7.7,81.26,112.27,16.0,2.21,0.0,0.0
1783475277.122,121.69,9.83,8.1,80.84,111.86,16.0,2.21,0.0,0.0
1783475278.1224,121.69,9.26,7.6,81.41,112.43,16.0,2.21,0.0,0.0
1783475279.1228,121.69,9.29,7.6,81.38,112.4,16.0,2.21,0.0,0.0
1783475280.1232,121.69,9.31,7.7,81.36,112.38,16.0,2.21,0.0,0.0
1783475281.1235,121.69,9.35,7.7,81.33,112.34,16.0,2.21,0.0,0.0
1783475282.1239,121.69,9.37,7.7,81.3,112.32,16.0,2.21,0.0,0.0
1783475283.1243,121.69,9.78,8.0,80.89,111.91,16.0,2.21,0.0,0.0
1783475284.1249,121.69,9.2,7.6,81.47,112.49,16.0,2.21,0.0,0.0
1783475285.1252,121.69,9.26,7.6,81.41,112.43,16.0,2.21,0.0,0.0
1783475286.1255,121.69,9.3,7.6,81.37,112.39,16.0,2.21,0.0,0.0
1783475287.1258,121.69,9.33,7.7,81.34,112.36,16.0,2.21,0.0,0.0
1783475288.126,121.69,9.36,7.7,81.31,112.33,16.0,2.21,0.0,0.0
1783475289.1264,121.69,9.77,8.0,80.9,111.92,16.0,2.21,0.0,0.0
1783475290.1268,121.69,9.22,7.6,81.45,112.47,16.0,2.21,0.0,0.0
1783475291.1271,121.69,9.25,7.6,81.42,112.44,16.0,2.21,0.0,0.0
1783475292.1273,121.69,9.29,7.6,81.38,112.4,16.0,2.21,0.0,0.0
1783475293.1276,121.69,9.33,7.7,81.34,112.36,16.0,2.21,0.0,0.0
1783475294.128,121.69,9.37,7.7,81.3,112.32,16.0,2.21,0.0,0.0
1783475295.1284,121.69,9.8,8.1,80.88,111.89,16.0,2.21,0.0,0.0
1783475296.1287,121.69,9.22,7.6,81.46,112.47,16.0,2.21,0.0,0.0
1783475297.1292,121.69,9.26,7.6,81.41,112.43,16.0,2.21,0.0,0.0
1783475298.1294,121.69,9.3,7.6,81.37,112.39,16.0,2.21,0.0,0.0
1783475299.1297,121.69,9.32,7.7,81.35,112.37,16.0,2.21,0.0,0.0
1783475300.13,121.69,9.36,7.7,81.31,112.33,16.0,2.21,0.0,0.0
1783475301.1303,121.69,9.77,8.0,80.91,111.92,16.0,2.21,0.0,0.0
1783475302.1306,121.69,9.22,7.6,81.45,112.47,16.0,2.21,0.0,0.0
1783475303.131,121.69,9.26,7.6,81.41,112.43,16.0,2.21,0.0,0.0
1783475304.1314,121.69,9.31,7.7,81.36,112.38,16.0,2.21,0.0,0.0
1783475305.1317,121.69,9.34,7.7,81.33,112.35,16.0,2.21,0.0,0.0
1783475306.1321,121.69,9.4,7.7,81.27,112.29,16.0,2.21,0.0,0.0
1783475307.1323,121.69,9.52,7.8,81.15,112.17,16.0,2.21,0.0,0.0
1783475308.1328,121.69,9.16,7.5,81.51,112.53,16.0,2.21,0.0,0.0
1783475309.1333,121.69,9.2,7.6,81.47,112.49,16.0,2.21,0.0,0.0
1783475310.1337,121.69,9.25,7.6,81.42,112.44,16.0,2.21,0.0,0.0
1783475311.1343,121.69,9.29,7.6,81.38,112.4,16.0,2.21,0.0,0.0
1783475312.1346,121.69,9.33,7.7,81.34,112.36,16.0,2.21,0.0,0.0
1783475313.1349,121.69,9.5,7.8,81.17,112.19,16.0,2.21,0.0,0.0
1783475314.1353,121.69,9.22,7.6,81.45,112.47,16.0,2.21,0.0,0.0
1783475315.136,121.69,9.25,7.6,81.42,112.44,16.0,2.21,0.0,0.0
1783475316.1363,121.69,9.29,7.6,81.38,112.4,16.0,2.21,0.0,0.0
1783475317.1367,121.69,9.32,7.7,81.35,112.37,16.0,2.21,0.0,0.0
1783475318.1371,121.69,9.36,7.7,81.31,112.33,16.0,2.21,0.0,0.0
1783475319.1373,121.69,9.4,7.7,81.27,112.29,16.0,2.21,0.0,0.0
1783475320.1377,121.69,9.28,7.6,81.39,112.41,16.0,2.21,0.0,0.0
1783475321.1383,121.69,9.32,7.7,81.35,112.37,16.0,2.21,0.0,0.0
1783475322.1386,121.69,9.35,7.7,81.32,112.34,16.0,2.21,0.0,0.0
1783475323.139,121.69,9.4,7.7,81.28,112.29,16.0,2.21,0.0,0.0
1783475324.1396,121.69,9.44,7.8,81.23,112.25,16.0,2.21,0.0,0.0
1783475325.1399,121.69,9.6,7.9,81.07,112.09,16.0,2.21,0.0,0.0
1783475326.1403,121.69,9.28,7.6,81.39,112.41,16.0,2.21,0.0,0.0
1783475327.1407,121.69,9.32,7.7,81.35,112.37,16.0,2.21,0.0,0.0
1783475328.1413,121.69,9.38,7.7,81.29,112.31,16.0,2.21,0.0,0.0
1783475329.1418,121.69,9.41,7.7,81.26,112.28,16.0,2.21,0.0,0.0
1783475330.1421,121.69,9.45,7.8,81.22,112.24,16.0,2.21,0.0,0.0
1783475331.1423,121.69,9.35,7.7,81.32,112.34,16.0,2.21,0.0,0.0
1783475332.143,121.69,9.16,7.5,81.51,112.53,16.0,2.21,0.0,0.0
1783475333.1436,121.69,9.22,7.6,81.45,112.47,16.0,2.21,0.0,0.0
1783475334.144,121.69,9.28,7.6,81.39,112.41,16.0,2.21,0.0,0.0
1783475335.1443,121.69,9.32,7.7,81.35,112.37,16.0,2.21,0.0,0.0
1783475336.1445,121.69,9.38,7.7,81.29,112.31,16.0,2.21,0.0,0.0
1783475337.1448,121.69,9.32,7.7,81.35,112.37,16.0,2.21,0.0,0.0
1783475338.1451,121.69,9.21,7.6,81.46,112.48,16.0,2.21,0.0,0.0
1783475339.1454,121.69,9.27,7.6,81.4,112.42,16.0,2.21,0.0,0.0
1783475340.1458,121.69,9.3,7.6,81.37,112.39,16.0,2.21,0.0,0.0
1783475341.1462,121.69,9.36,7.7,81.32,112.33,16.0,2.21,0.0,0.0
1783475342.1468,121.69,9.41,7.7,81.26,112.28,16.0,2.21,0.0,0.0
1783475343.1473,121.69,9.73,8.0,80.94,111.96,16.0,2.21,0.0,0.0
1783475344.1478,121.69,9.25,7.6,81.42,112.44,16.0,2.21,0.0,0.0
1783475345.1482,121.69,9.3,7.6,81.38,112.39,16.0,2.21,0.0,0.0
