timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1783468132.1715,5.9,1.4,4.5,0.0,3354.0,62.8,,1.9,1.95,1.98,4878,4,0
1783468133.1726,8.5,2.2,6.4,0.0,3354.0,62.8,,1.91,1.95,1.98,5869,4,0
1783468134.1736,10.9,5.4,5.5,0.0,3354.0,64.5,,1.91,1.95,1.98,6118,3,0
1783468135.1747,10.6,6.4,4.2,0.0,3354.0,66.9,,1.91,1.95,1.98,6278,3,0
1783468136.176,11.0,6.3,4.6,0.1,3354.0,67.9,,1.91,1.95,1.98,6068,3,0
1783468137.1771,10.8,6.1,4.6,0.1,3354.0,68.5,,1.91,1.95,1.98,6065,3,0
1783468138.1782,9.9,4.2,5.7,0.0,3354.0,64.3,,1.91,1.95,1.98,6466,3,0
1783468139.1793,10.8,4.6,6.2,0.0,3354.0,64.6,,1.91,1.95,1.98,6134,3,0
1783468140.1804,10.9,6.3,4.6,0.0,3354.0,65.6,,1.91,1.95,1.98,6028,3,0
1783468141.1817,10.7,6.1,4.6,0.0,3354.0,66.4,,1.91,1.95,1.98,5893,3,0
1783468142.1829,11.0,6.5,4.5,0.0,3354.0,66.7,,1.91,1.95,1.98,6199,3,0
1783468143.184,10.1,4.8,5.4,0.0,3354.0,65.2,,1.92,1.95,1.98,6485,3,0
1783468144.1851,10.9,4.0,6.9,0.0,3354.0,65.1,,1.92,1.95,1.98,6267,4,0
1783468145.1862,10.9,6.4,4.5,0.0,3354.0,66.1,,1.92,1.95,1.98,6409,3,0
1783468146.1872,10.7,6.2,4.4,0.0,3354.0,67.4,,1.92,1.95,1.98,6065,4,0
1783468147.1883,10.7,6.2,4.5,0.0,3354.0,67.7,,1.92,1.95,1.98,5981,3,0
1783468148.1897,9.9,5.4,4.6,0.0,3354.0,65.8,,1.93,1.95,1.99,6182,3,0
1783468149.1914,13.1,5.5,7.5,0.1,3354.0,66.8,,1.93,1.95,1.99,7158,4,0
1783468150.1928,11.2,6.7,4.5,0.0,3354.0,67.4,,1.93,1.95,1.99,6653,3,0
1783468151.1943,10.9,6.3,4.7,0.0,3354.0,68.2,,1.93,1.95,1.99,6081,3,0
1783468152.1953,10.8,6.1,4.7,0.0,3354.0,68.6,,1.93,1.95,1.99,5841,4,0
1783468153.1965,10.7,6.2,4.5,0.0,3354.0,68.7,,1.93,1.95,1.99,5908,2,0
1783468154.1979,9.8,2.6,7.3,0.0,3354.0,66.7,,1.93,1.95,1.99,6224,3,0
1783468155.199,10.9,6.3,4.6,0.1,3354.0,68.4,,1.93,1.95,1.99,6333,3,0
1783468156.2001,10.9,6.3,4.7,0.0,3354.0,70.0,,1.93,1.95,1.99,6497,3,0
1783468157.201,11.0,6.4,4.6,0.0,3354.0,70.5,,1.93,1.95,1.99,6163,3,0
1783468158.2021,10.6,6.3,4.4,0.0,3354.0,70.8,,1.94,1.96,1.99,5830,3,0
1783468159.2032,10.2,3.3,6.9,0.0,3354.0,66.7,,1.94,1.96,1.99,6422,3,0
1783468160.2043,10.8,5.6,5.2,0.0,3354.0,66.6,,1.94,1.96,1.99,6255,4,0
1783468161.2054,11.0,6.3,4.7,0.0,3354.0,68.4,,1.94,1.96,1.99,6219,3,0
1783468162.2064,10.7,6.3,4.4,0.0,3354.0,69.0,,1.94,1.96,1.99,5888,4,0
1783468163.2078,10.8,6.2,4.6,0.0,3354.0,69.6,,1.94,1.96,1.99,5845,3,0
1783468164.2089,9.4,3.4,6.0,0.1,3354.0,67.0,,1.94,1.96,1.99,6149,3,0
1783468165.21,10.8,5.0,5.8,0.0,3354.0,67.6,,1.94,1.96,1.99,6059,3,0
1783468166.2112,10.9,6.4,4.5,0.0,3354.0,68.6,,1.94,1.96,1.99,6276,3,0
1783468167.2123,11.7,7.1,4.6,0.0,3354.0,69.2,,1.94,1.96,1.99,6572,4,0
1783468168.2134,12.2,7.6,4.6,0.0,3354.0,69.8,,1.95,1.96,1.99,7135,3,0
1783468169.2145,10.1,4.3,5.7,0.0,3354.0,68.0,,1.95,1.96,1.99,6579,3,0
1783468170.2157,10.9,4.4,6.5,0.0,3354.0,68.8,,1.95,1.96,1.99,6230,3,0
1783468171.2167,10.6,6.3,4.3,0.0,3354.0,69.4,,1.95,1.96,1.99,5892,3,0
1783468172.2178,10.9,6.3,4.6,0.0,3354.0,69.5,,1.95,1.96,1.99,6009,3,0
1783468173.2189,11.0,6.4,4.6,0.0,3354.0,69.9,,1.95,1.96,1.99,5955,4,0
1783468174.22,10.1,4.9,5.2,0.0,3354.0,67.6,,1.95,1.96,1.99,6275,3,0
1783468175.2211,10.9,4.0,6.9,0.0,3354.0,67.7,,1.95,1.96,1.99,6411,4,0
1783468176.2222,10.8,6.2,4.5,0.0,3354.0,68.2,,1.95,1.96,1.99,6205,5,0
1783468177.2233,10.9,6.5,4.4,0.0,3354.0,69.2,,1.95,1.96,1.99,6366,3,0
1783468178.2244,10.9,6.3,4.6,0.1,3354.0,69.6,,1.96,1.96,1.99,5961,3,0
1783468179.2255,10.2,5.6,4.6,0.0,3354.0,68.3,,1.96,1.96,1.99,6197,3,0
1783468180.2266,10.8,3.5,7.4,0.0,3354.0,68.9,,1.96,1.96,1.99,6337,4,0
1783468181.2277,11.0,6.3,4.7,0.0,3354.0,69.4,,1.96,1.96,1.99,6058,3,0
1783468182.2288,10.6,6.2,4.5,0.0,3354.0,69.7,,1.96,1.96,1.99,5791,4,0
1783468183.2301,10.8,6.3,4.6,0.0,3354.0,69.8,,2.04,1.98,1.99,5955,3,0
1783468184.2312,10.6,5.8,4.7,0.0,3354.0,69.8,,2.04,1.98,1.99,5888,2,0
1783468185.2323,10.3,2.9,7.4,0.0,3354.0,68.2,,2.04,1.98,1.99,6415,3,0
1783468186.2333,11.0,6.3,4.7,0.0,3354.0,69.4,,2.04,1.98,1.99,6116,3,0
1783468187.2345,10.7,6.3,4.4,0.0,3354.0,69.8,,2.04,1.98,1.99,5941,3,0
1783468188.2356,10.6,6.2,4.4,0.0,3354.0,69.9,,2.04,1.98,1.99,5785,5,0
1783468189.2366,10.8,6.4,4.5,0.0,3354.0,70.1,,2.04,1.98,1.99,6103,5,0
1783468190.238,10.3,3.3,7.0,0.0,3354.0,68.8,,2.04,1.98,1.99,6482,4,0
1783468191.2391,10.8,5.8,5.1,0.0,3354.0,69.6,,2.04,1.98,1.99,5906,3,0
1783468192.2404,10.8,6.3,4.5,0.0,3354.0,70.0,,2.04,1.98,1.99,5817,3,0
