timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1783489565.071,5.9,1.4,4.5,0.0,3354.0,56.8,,2.24,2.17,2.06,4912,5,0
1783489566.0716,8.3,3.8,4.6,0.0,3354.0,56.7,,2.24,2.17,2.06,5764,4,0
1783489567.0723,10.8,6.0,4.8,0.0,3354.0,59.4,,2.24,2.17,2.06,6052,4,0
1783489568.0731,10.7,6.1,4.6,0.0,3354.0,61.9,,2.22,2.16,2.06,5670,5,0
1783489569.0738,10.8,6.2,4.5,0.1,3354.0,62.7,,2.22,2.16,2.06,5922,4,0
1783489570.0745,10.8,6.3,4.5,0.0,3354.0,63.3,,2.22,2.16,2.06,5823,3,0
1783489571.0752,10.9,6.3,4.6,0.0,3354.0,63.5,,2.22,2.16,2.06,5913,7,0
1783489572.0761,10.8,6.2,4.6,0.0,3354.0,63.7,,2.22,2.16,2.06,5601,3,0
1783489573.0769,11.1,6.5,4.6,0.0,3354.0,63.8,,2.28,2.18,2.07,5867,3,0
1783489574.0776,10.9,6.3,4.6,0.0,3354.0,63.9,,2.28,2.18,2.07,5618,3,0
1783489575.0796,11.7,3.5,8.2,0.0,3354.0,57.3,,2.28,2.18,2.07,6181,3,0
1783489576.0807,10.7,5.8,4.9,0.0,3354.0,62.5,,2.28,2.18,2.07,5940,4,0
1783489577.082,10.7,6.3,4.4,0.0,3354.0,65.3,,2.28,2.18,2.07,5742,3,0
1783489578.083,10.8,6.3,4.5,0.0,3354.0,66.3,,2.34,2.19,2.07,5819,3,0
1783489579.084,10.1,5.1,5.1,0.0,3354.0,58.8,,2.34,2.19,2.07,5904,3,0
1783489580.085,10.7,6.3,4.4,0.0,3354.0,61.6,,2.34,2.19,2.07,5951,3,0
1783489581.0861,11.1,6.0,5.1,0.0,3354.0,63.6,,2.34,2.19,2.07,5745,3,0
1783489582.0878,10.9,6.4,4.5,0.0,3354.0,64.4,,2.34,2.19,2.07,5766,5,0
1783489583.0895,11.0,6.3,4.7,0.0,3354.0,64.7,,2.31,2.19,2.07,5939,4,0
1783489584.0912,10.9,6.3,4.6,0.0,3354.0,64.8,,2.31,2.19,2.07,5692,3,0
1783489585.0931,11.0,6.4,4.6,0.0,3354.0,65.2,,2.31,2.19,2.07,6087,4,0
1783489586.0943,11.0,6.4,4.6,0.0,3354.0,65.3,,2.31,2.19,2.07,5770,3,0
1783489587.0955,10.9,6.3,4.6,0.0,3354.0,65.7,,2.37,2.2,2.08,5791,4,0
1783489588.0973,11.4,3.9,7.5,0.0,3354.0,58.9,,2.37,2.2,2.08,6177,3,0
1783489589.0983,11.0,5.4,5.6,0.0,3354.0,61.0,,2.37,2.2,2.08,6279,3,0
1783489590.0993,10.9,6.1,4.7,0.0,3354.0,63.9,,2.37,2.2,2.08,6106,4,0
1783489591.1011,10.9,6.4,4.6,0.0,3354.0,65.1,,2.37,2.2,2.08,6105,3,0
1783489592.1021,10.2,5.2,5.0,0.0,3354.0,58.9,,2.34,2.2,2.08,5915,3,0
1783489593.1032,10.5,6.2,4.4,0.0,3354.0,61.5,,2.34,2.2,2.08,5744,4,0
1783489594.1043,10.9,5.9,4.9,0.0,3354.0,63.9,,2.34,2.2,2.08,5728,3,0
1783489595.1054,10.9,6.4,4.5,0.0,3354.0,64.8,,2.34,2.2,2.08,5976,3,0
1783489596.1069,10.8,6.2,4.6,0.0,3354.0,65.1,,2.34,2.2,2.08,5638,4,0
1783489597.1082,10.9,6.4,4.5,0.0,3354.0,65.2,,2.31,2.19,2.08,6097,3,0
1783489598.1096,13.1,8.5,4.6,0.0,3354.0,65.6,,2.31,2.19,2.08,7066,3,0
1783489599.1108,10.9,6.4,4.4,0.1,3354.0,65.7,,2.31,2.19,2.08,6045,4,0
1783489600.112,10.7,6.1,4.6,0.0,3354.0,65.9,,2.31,2.19,2.08,5920,3,0
