timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1783458535.6745,2891,0,0,0,0,0
1783458536.1754,19106,0,0,0,0,0
1783458536.6764,138362,0,0,0,0,0
1783458537.1768,39017,0,0,0,0,0
1783458537.6783,2353,0,0,0,0,0
1783458538.1787,2370,0,0,0,0,0
1783458538.679,4249,0,0,0,0,0
1783458539.1793,2376,0,0,0,0,0
1783458539.6796,2392,0,0,0,0,0
1783458540.18,1351,0,0,0,0,0
1783458540.6803,1051,0,0,0,0,0
1783458541.1807,2360,0,0,0,0,0
1783458541.6809,2377,0,0,0,0,0
1783458542.1814,2360,0,0,0,0,0
1783458542.6817,2447,0,0,0,0,0
1783458543.182,2528,0,0,0,0,0
1783458543.6826,2403,0,0,0,0,0
1783458544.1831,2366,0,0,0,0,0
1783458544.6839,2460,0,0,0,0,0
1783458545.1846,2454,0,0,0,0,0
1783458545.6851,2416,0,0,0,0,0
1783458546.1854,24,0,0,0,0,0
1783458546.6858,2366,0,0,0,0,0
1783458547.1863,2378,0,0,0,0,0
1783458547.6867,2358,0,0,0,0,0
1783458548.1871,2362,0,0,0,0,0
1783458548.6874,2352,0,0,0,0,0
1783458549.1879,2370,0,0,0,0,0
1783458549.6883,2378,0,0,0,0,0
1783458550.189,2381,0,0,0,0,0
1783458550.6895,2414,0,0,0,0,0
1783458551.1899,2144,0,0,0,0,0
1783458551.6904,298,0,0,0,0,0
1783458552.1908,2372,0,0,0,0,0
1783458552.6913,2368,0,0,0,0,0
1783458553.1916,2370,0,0,0,0,0
1783458553.692,2388,0,0,0,0,0
1783458554.1924,2370,0,0,0,0,0
1783458554.6927,2410,0,0,0,0,0
1783458555.1932,2364,0,0,0,0,0
1783458555.6936,2358,0,0,0,0,0
1783458556.1941,2354,0,0,0,0,0
1783458556.6945,2374,0,0,0,0,0
1783458557.195,2210,0,0,0,0,0
1783458557.6954,168,0,0,0,0,0
1783458558.1961,4252,0,0,0,0,0
1783458558.697,2402,0,0,0,0,0
1783458559.1978,2385,0,0,0,0,0
1783458559.6981,2356,0,0,0,0,0
1783458560.1986,2360,0,0,0,0,0
1783458560.699,2358,0,0,0,0,0
1783458561.1995,2360,0,0,0,0,0
1783458561.6999,2374,0,0,0,0,0
1783458562.2004,2350,0,0,0,0,0
1783458562.7009,2374,0,0,0,0,0
1783458563.2013,1391,0,0,0,0,0
1783458563.7017,85738,0,0,0,0,0
1783458564.2026,2420,0,0,0,0,0
1783458564.7029,17447,0,0,0,0,0
1783458565.2034,94660,0,0,0,0,0
1783458565.7038,82976,0,0,0,0,0
1783458566.2042,2370,0,0,0,0,0
1783458566.7045,2402,0,0,0,0,0
1783458567.205,2374,0,0,0,0,0
1783458567.7053,2350,0,0,0,0,0
1783458568.2057,2368,0,0,0,0,0
1783458568.706,680,0,0,0,0,0
1783458569.2064,1693,0,0,0,0,0
1783458569.7067,2350,0,0,0,0,0
1783458570.2072,2366,0,0,0,0,0
1783458570.7076,2348,0,0,0,0,0
1783458571.2081,2730,0,0,0,0,0
1783458571.7085,2502,0,0,0,0,0
1783458572.2089,2460,0,0,0,0,0
1783458572.7097,2360,0,0,0,0,0
1783458573.21,2370,0,0,0,0,0
1783458573.7104,2350,0,0,0,0,0
1783458574.2107,2392,0,0,0,0,0
1783458574.7111,112,0,0,0,0,0
1783458575.2115,2366,0,0,0,0,0
1783458575.7118,2380,0,0,0,0,0
1783458576.2124,2363,0,0,0,0,0
1783458576.7128,2402,0,0,0,0,0
1783458577.2132,2362,0,0,0,0,0
1783458577.7139,2353,0,0,0,0,0
1783458578.2143,4317,0,0,0,0,0
1783458578.7146,2355,0,0,0,0,0
1783458579.215,2436,0,0,0,0,0
1783458579.7154,2348,0,0,0,0,0
1783458580.2159,2116,0,0,0,0,0
1783458580.7163,256,0,0,0,0,0
1783458581.2171,2367,0,0,0,0,0
1783458581.7174,2358,0,0,0,0,0
1783458582.2181,2361,0,0,0,0,0
1783458582.7186,2348,0,0,0,0,0
1783458583.2191,2364,0,0,0,0,0
1783458583.7198,2346,0,0,0,0,0
1783458584.2202,2458,0,0,0,0,0
1783458584.7206,2372,0,0,0,0,0
1783458585.221,2370,0,0,0,0,0
1783458585.7213,2350,0,0,0,0,0
1783458586.2218,1343,0,0,0,0,0
1783458586.7224,1145,0,0,0,0,0
1783458587.2231,2371,0,0,0,0,0
1783458587.7235,2352,0,0,0,0,0
1783458588.2239,2392,0,0,0,0,0
1783458588.7243,2360,0,0,0,0,0
1783458589.2248,2398,0,0,0,0,0
1783458589.7252,2408,0,0,0,0,0
1783458590.2256,2358,0,0,0,0,0
1783458590.726,2352,0,0,0,0,0
1783458591.2267,2401,0,0,0,0,0
1783458591.7272,2370,0,0,0,0,0
1783458592.2276,1389,0,0,0,0,0
1783458592.7281,85747,0,0,0,0,0
1783458593.2285,17186,0,0,0,0,0
1783458593.729,2801,0,0,0,0,0
1783458594.2298,100166,0,0,0,0,0
