timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1783481105.7278,121.69,8.93,7.3,81.73,112.76,16.0,2.21,0.0,0.0
1783481106.7282,121.69,9.19,7.6,81.47,112.5,16.0,2.21,0.0,0.0
1783481107.7286,121.69,9.27,7.6,81.4,112.42,16.0,2.21,0.0,0.0
1783481108.7289,121.69,9.27,7.6,81.39,112.42,16.0,2.21,0.0,0.0
1783481109.7293,121.69,9.19,7.6,81.47,112.5,16.0,2.21,0.0,0.0
1783481110.7296,121.69,9.29,7.6,81.38,112.4,16.0,2.21,0.0,0.0
1783481111.73,121.69,9.29,7.6,81.38,112.4,16.0,2.21,0.0,0.0
1783481112.7308,121.69,9.19,7.6,81.47,112.5,16.0,2.21,0.0,0.0
1783481113.7312,121.69,9.28,7.6,81.39,112.41,16.0,2.21,0.0,0.0
1783481114.7316,121.69,9.26,7.6,81.4,112.43,16.0,2.21,0.0,0.0
1783481115.7323,121.69,9.18,7.5,81.48,112.51,16.0,2.21,0.0,0.0
1783481116.7329,121.69,9.27,7.6,81.39,112.42,16.0,2.21,0.0,0.0
1783481117.7333,121.69,9.28,7.6,81.38,112.41,16.0,2.21,0.0,0.0
1783481118.7336,121.69,8.97,7.4,81.69,112.72,16.0,2.21,0.0,0.0
1783481119.7339,121.69,9.19,7.6,81.47,112.5,16.0,2.21,0.0,0.0
1783481120.7343,121.69,9.28,7.6,81.39,112.41,16.0,2.21,0.0,0.0
1783481121.7347,121.69,9.07,7.5,81.59,112.62,16.0,2.21,0.0,0.0
1783481122.7351,121.69,9.19,7.6,81.48,112.5,16.0,2.21,0.0,0.0
1783481123.736,121.69,9.27,7.6,81.39,112.42,16.0,2.21,0.0,0.0
1783481124.7363,121.69,9.0,7.4,81.66,112.69,16.0,2.21,0.0,0.0
1783481125.7367,121.69,9.28,7.6,81.38,112.41,16.0,2.21,0.0,0.0
1783481126.737,121.69,9.28,7.6,81.38,112.41,16.0,2.21,0.0,0.0
1783481127.7374,121.69,9.28,7.6,81.38,112.41,16.0,2.21,0.0,0.0
1783481128.7377,121.69,9.18,7.5,81.48,112.51,16.0,2.21,0.0,0.0
1783481129.7381,121.69,9.28,7.6,81.38,112.41,16.0,2.21,0.0,0.0
1783481130.7385,121.69,9.28,7.6,81.39,112.41,16.0,2.21,0.0,0.0
1783481131.7388,121.69,9.06,7.4,81.6,112.63,16.0,2.21,0.0,0.0
1783481132.739,121.69,9.18,7.5,81.48,112.51,16.0,2.21,0.0,0.0
1783481133.7393,121.69,9.26,7.6,81.4,112.43,16.0,2.21,0.0,0.0
1783481134.7396,121.69,9.29,7.6,81.38,112.4,16.0,2.21,0.0,0.0
1783481135.7399,121.69,8.98,7.4,81.68,112.71,16.0,2.21,0.0,0.0
1783481136.7403,121.69,9.19,7.6,81.47,112.5,16.0,2.21,0.0,0.0
1783481137.7406,121.69,9.29,7.6,81.37,112.4,16.0,2.21,0.0,0.0
1783481138.7409,121.69,8.98,7.4,81.68,112.71,16.0,2.21,0.0,0.0
1783481139.7412,121.69,9.19,7.6,81.47,112.5,16.0,2.21,0.0,0.0
1783481140.7415,121.69,9.27,7.6,81.39,112.42,16.0,2.21,0.0,0.0
1783481141.7418,121.69,9.26,7.6,81.41,112.43,16.0,2.21,0.0,0.0
1783481142.7421,121.69,9.26,7.6,81.4,112.43,16.0,2.21,0.0,0.0
1783481143.7424,121.69,9.17,7.5,81.49,112.52,16.0,2.21,0.0,0.0
1783481144.7427,121.69,9.26,7.6,81.4,112.43,16.0,2.21,0.0,0.0
1783481145.743,121.69,9.28,7.6,81.38,112.41,16.0,2.21,0.0,0.0
1783481146.7434,121.69,9.17,7.5,81.49,112.52,16.0,2.21,0.0,0.0
1783481147.7437,121.69,9.27,7.6,81.39,112.42,16.0,2.21,0.0,0.0
1783481148.7441,121.69,9.22,7.6,81.44,112.47,16.0,2.21,0.0,0.0
1783481149.7443,121.69,9.18,7.5,81.48,112.51,16.0,2.21,0.0,0.0
1783481150.7447,121.69,9.27,7.6,81.39,112.42,16.0,2.21,0.0,0.0
1783481151.7451,121.69,9.05,7.4,81.62,112.64,16.0,2.21,0.0,0.0
1783481152.7454,121.69,9.18,7.5,81.48,112.51,16.0,2.21,0.0,0.0
1783481153.7458,121.69,9.29,7.6,81.38,112.4,16.0,2.21,0.0,0.0
1783481154.7462,121.69,9.15,7.5,81.51,112.54,16.0,2.21,0.0,0.0
1783481155.7465,121.69,9.16,7.5,81.51,112.53,16.0,2.21,0.0,0.0
1783481156.7469,121.69,9.26,7.6,81.4,112.43,16.0,2.21,0.0,0.0
1783481157.7473,121.69,9.28,7.6,81.38,112.41,16.0,2.21,0.0,0.0
1783481158.7476,121.69,9.28,7.6,81.38,112.41,16.0,2.21,0.0,0.0
1783481159.7479,121.69,9.18,7.5,81.49,112.51,16.0,2.21,0.0,0.0
1783481160.7482,121.69,9.27,7.6,81.39,112.42,16.0,2.21,0.0,0.0
1783481161.7484,121.69,9.27,7.6,81.4,112.42,16.0,2.21,0.0,0.0
1783481162.749,121.69,9.18,7.5,81.49,112.51,16.0,2.21,0.0,0.0
1783481163.7494,121.69,9.25,7.6,81.41,112.44,16.0,2.21,0.0,0.0
1783481164.7497,121.69,9.06,7.4,81.61,112.63,16.0,2.21,0.0,0.0
1783481165.75,121.69,9.16,7.5,81.5,112.53,16.0,2.21,0.0,0.0
1783481166.7502,121.69,9.18,7.5,81.49,112.51,16.0,2.21,0.0,0.0
1783481167.7509,121.69,9.3,7.6,81.36,112.39,16.0,2.21,0.0,0.0
1783481168.7513,121.69,9.21,7.6,81.45,112.48,16.0,2.21,0.0,0.0
1783481169.7516,121.69,9.3,7.6,81.36,112.39,16.0,2.21,0.0,0.0
1783481170.752,121.69,9.27,7.6,81.39,112.42,16.0,2.21,0.0,0.0
1783481171.7523,121.69,9.01,7.4,81.65,112.68,16.0,2.21,0.0,0.0
1783481172.7526,121.69,9.16,7.5,81.5,112.53,16.0,2.21,0.0,0.0
1783481173.753,121.69,9.27,7.6,81.4,112.42,16.0,2.21,0.0,0.0
1783481174.7533,121.69,9.28,7.6,81.39,112.41,16.0,2.21,0.0,0.0
1783481175.7537,121.69,9.18,7.5,81.48,112.51,16.0,2.21,0.0,0.0
1783481176.7541,121.69,9.25,7.6,81.41,112.44,16.0,2.21,0.0,0.0
1783481177.7548,121.69,9.28,7.6,81.39,112.41,16.0,2.21,0.0,0.0
1783481178.7558,121.69,9.19,7.6,81.47,112.5,16.0,2.21,0.0,0.0
1783481179.7562,121.69,9.28,7.6,81.38,112.41,16.0,2.21,0.0,0.0
1783481180.7566,121.69,9.27,7.6,81.39,112.42,16.0,2.21,0.0,0.0
1783481181.7569,121.69,9.2,7.6,81.47,112.49,16.0,2.21,0.0,0.0
1783481182.7573,121.69,9.26,7.6,81.4,112.43,16.0,2.21,0.0,0.0
1783481183.7576,121.69,9.26,7.6,81.4,112.43,16.0,2.21,0.0,0.0
1783481184.7583,121.69,9.17,7.5,81.5,112.52,16.0,2.21,0.0,0.0
1783481185.7586,121.69,9.27,7.6,81.4,112.42,16.0,2.21,0.0,0.0
1783481186.7589,121.69,9.27,7.6,81.39,112.42,16.0,2.21,0.0,0.0
1783481187.7592,121.69,8.98,7.4,81.69,112.71,16.0,2.21,0.0,0.0
1783481188.7595,121.69,9.18,7.5,81.48,112.51,16.0,2.21,0.0,0.0
