timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1783481563.5732,5.8,1.3,4.5,0.0,3354.0,62.7,,1.63,1.9,1.97,4802,4,0
1783481564.5739,9.3,4.1,5.2,0.0,3354.0,62.8,,1.63,1.9,1.97,6586,2,0
1783481565.5746,10.2,4.7,5.4,0.1,3354.0,63.0,,1.66,1.91,1.97,6425,3,0
1783481566.5754,9.0,3.7,5.3,0.0,3354.0,63.4,,1.66,1.91,1.97,6984,3,0
1783481567.5764,9.5,4.2,5.2,0.1,3354.0,63.7,,1.66,1.91,1.97,6603,2,0
1783481568.5772,10.3,4.8,5.4,0.0,3354.0,63.9,,1.66,1.91,1.97,6699,2,0
1783481569.578,9.6,4.1,5.4,0.0,3354.0,63.9,,1.66,1.91,1.97,6877,3,0
1783481570.5787,9.4,4.0,5.4,0.0,3354.0,64.1,,1.69,1.91,1.97,6559,3,0
1783481571.5793,9.6,4.7,4.9,0.0,3354.0,64.3,,1.69,1.91,1.97,6402,2,0
1783481572.5801,9.5,4.2,5.2,0.0,3354.0,64.7,,1.69,1.91,1.97,6243,3,0
1783481573.581,9.7,4.3,5.3,0.2,3354.0,64.7,,1.69,1.91,1.97,6475,3,0
1783481574.5822,9.7,4.2,5.5,0.0,3354.0,64.8,,1.69,1.91,1.97,6634,3,0
1783481575.5834,10.0,4.8,5.2,0.0,3354.0,64.8,,1.71,1.91,1.97,6891,2,0
1783481576.5845,11.9,6.4,5.4,0.0,3354.0,65.3,,1.71,1.91,1.97,7545,3,0
1783481577.5856,9.5,4.1,5.3,0.0,3354.0,65.6,,1.71,1.91,1.97,6518,4,0
1783481578.5869,9.2,3.9,5.2,0.1,3354.0,65.6,,1.71,1.91,1.97,6498,3,0
1783481579.5883,9.9,4.8,5.1,0.0,3354.0,65.6,,1.71,1.91,1.97,6726,2,0
1783481580.5895,9.5,4.1,5.3,0.0,3354.0,65.6,,1.73,1.91,1.97,6535,3,0
1783481581.5907,9.0,3.8,5.2,0.0,3354.0,65.8,,1.73,1.91,1.97,6462,3,0
1783481582.5918,10.1,4.9,5.2,0.0,3354.0,65.9,,1.73,1.91,1.97,6269,3,0
1783481583.5929,9.7,4.2,5.4,0.1,3354.0,65.8,,1.73,1.91,1.97,6542,4,0
1783481584.5941,9.3,4.0,5.3,0.0,3354.0,65.8,,1.73,1.91,1.97,6632,3,0
1783481585.5956,9.5,4.4,5.2,0.0,3354.0,66.1,,1.76,1.91,1.97,6323,2,0
1783481586.5967,9.9,4.6,5.3,0.0,3354.0,66.1,,1.76,1.91,1.97,6641,3,0
1783481587.5978,9.5,4.1,5.3,0.0,3354.0,66.1,,1.76,1.91,1.97,6556,4,0
1783481588.5989,9.3,3.8,5.3,0.1,3354.0,66.3,,1.76,1.91,1.97,6562,3,0
1783481589.6,9.9,4.8,5.1,0.0,3354.0,66.2,,1.76,1.91,1.97,6919,2,0
1783481590.6011,9.3,4.2,5.1,0.0,3354.0,66.5,,1.78,1.91,1.97,6456,3,0
1783481591.6027,9.6,4.1,5.5,0.0,3354.0,66.8,,1.78,1.91,1.97,6505,3,0
1783481592.6039,9.8,4.4,5.3,0.0,3354.0,67.0,,1.78,1.91,1.97,6506,3,0
1783481593.605,10.2,4.6,5.4,0.1,3354.0,67.0,,1.78,1.91,1.97,6413,2,0
1783481594.6065,9.7,4.4,5.4,0.0,3354.0,66.9,,1.78,1.91,1.97,6572,3,0
