timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1783463746.5842,121.69,9.29,7.6,81.41,112.4,16.0,2.22,0.0,0.0
1783463747.5845,121.69,10.61,8.7,80.08,111.08,16.0,2.22,0.0,0.0
1783463748.5848,121.69,12.0,9.9,78.69,109.69,16.0,2.22,0.0,0.0
1783463749.5856,121.69,12.29,10.1,78.4,109.4,16.0,2.22,0.0,0.0
1783463750.5859,121.69,12.57,10.3,78.12,109.12,16.0,2.22,0.0,0.0
1783463751.5863,121.69,12.86,10.6,77.84,108.83,16.0,2.22,0.0,0.0
1783463752.5866,121.69,13.13,10.8,77.56,108.56,16.0,2.22,0.0,0.0
1783463753.5869,121.69,13.42,11.0,77.28,108.27,16.0,2.22,0.0,0.0
1783463754.5873,121.69,13.71,11.3,76.98,107.98,16.0,2.22,0.0,0.0
1783463755.5876,121.69,14.01,11.5,76.69,107.68,16.0,2.22,0.0,0.0
1783463756.588,121.69,14.3,11.8,76.39,107.39,16.0,2.22,0.0,0.0
1783463757.5883,121.69,14.58,12.0,76.12,107.11,16.0,2.22,0.0,0.0
1783463758.5886,121.69,14.85,12.2,75.84,106.84,16.0,2.22,0.0,0.0
1783463759.589,121.69,15.14,12.4,75.56,106.55,16.0,2.22,0.0,0.0
1783463760.5893,121.69,15.44,12.7,75.26,106.25,16.0,2.22,0.0,0.0
1783463761.5897,121.69,15.71,12.9,74.99,105.98,16.0,2.22,0.0,0.0
1783463762.59,121.69,16.0,13.1,74.7,105.69,16.0,2.22,0.0,0.0
1783463763.5902,121.69,16.28,13.4,74.41,105.41,16.0,2.22,0.0,0.0
1783463764.5905,121.69,16.57,13.6,74.12,105.12,16.0,2.22,0.0,0.0
1783463765.5909,121.69,16.86,13.9,73.84,104.83,16.0,2.22,0.0,0.0
1783463766.5913,121.69,17.14,14.1,73.55,104.55,16.0,2.22,0.0,0.0
1783463767.5916,121.69,17.44,14.3,73.26,104.25,16.0,2.22,0.0,0.0
1783463768.5919,121.69,17.71,14.6,72.98,103.98,16.0,2.22,0.0,0.0
1783463769.5922,121.69,18.01,14.8,72.68,103.68,16.0,2.22,0.0,0.0
1783463770.5926,121.69,18.28,15.0,72.42,103.41,16.0,2.22,0.0,0.0
1783463771.593,121.69,18.57,15.3,72.13,103.12,16.0,2.22,0.0,0.0
1783463772.5933,121.69,18.85,15.5,71.84,102.84,16.0,2.22,0.0,0.0
1783463773.5937,121.69,19.13,15.7,71.56,102.56,16.0,2.22,0.0,0.0
1783463774.5939,121.69,22.28,18.3,68.42,99.41,16.0,2.22,0.0,0.0
1783463775.5942,121.69,42.02,34.5,48.67,79.67,16.0,2.22,0.0,0.0
1783463776.5945,121.69,42.01,34.5,48.68,79.68,16.0,2.22,0.0,0.0
1783463777.5948,121.69,42.0,34.5,48.7,79.69,16.0,2.22,0.0,0.0
1783463778.5951,121.69,41.99,34.5,48.7,79.7,16.0,2.22,0.0,0.0
1783463779.5954,121.69,41.99,34.5,48.71,79.7,16.0,2.22,0.0,0.0
1783463780.5958,121.69,23.02,18.9,67.67,98.67,16.0,2.22,0.0,0.0
1783463781.5961,121.69,12.63,10.4,78.06,109.06,16.0,2.22,0.0,0.0
1783463782.5964,121.69,10.51,8.6,80.18,111.18,16.0,2.22,0.0,0.0
1783463783.5968,121.69,12.02,9.9,78.68,109.67,16.0,2.22,0.0,0.0
1783463784.5971,121.69,12.27,10.1,78.42,109.42,16.0,2.22,0.0,0.0
1783463785.5974,121.69,12.55,10.3,78.15,109.14,16.0,2.22,0.0,0.0
1783463786.5978,121.69,12.82,10.5,77.88,108.87,16.0,2.22,0.0,0.0
1783463787.5983,121.69,13.08,10.7,77.61,108.61,16.0,2.22,0.0,0.0
1783463788.5985,121.69,13.36,11.0,77.34,108.33,16.0,2.22,0.0,0.0
1783463789.5988,121.69,13.64,11.2,77.05,108.05,16.0,2.22,0.0,0.0
1783463790.5993,121.69,13.92,11.4,76.78,107.77,16.0,2.22,0.0,0.0
1783463791.6,121.69,14.19,11.7,76.51,107.5,16.0,2.22,0.0,0.0
1783463792.6003,121.69,14.47,11.9,76.22,107.22,16.0,2.22,0.0,0.0
1783463793.6008,121.69,14.75,12.1,75.95,106.94,16.0,2.22,0.0,0.0
1783463794.6013,121.69,15.02,12.3,75.67,106.67,16.0,2.22,0.0,0.0
1783463795.6016,121.69,15.32,12.6,75.38,106.37,16.0,2.22,0.0,0.0
1783463796.6019,121.69,15.58,12.8,75.12,106.11,16.0,2.22,0.0,0.0
1783463797.6021,121.69,15.86,13.0,74.84,105.83,16.0,2.22,0.0,0.0
1783463798.6025,121.69,16.14,13.3,74.55,105.55,16.0,2.22,0.0,0.0
1783463799.6028,121.69,16.41,13.5,74.28,105.28,16.0,2.22,0.0,0.0
1783463800.6032,121.69,16.7,13.7,74.0,104.99,16.0,2.22,0.0,0.0
1783463801.6035,121.69,16.98,14.0,73.72,104.71,16.0,2.22,0.0,0.0
1783463802.6037,121.69,17.25,14.2,73.44,104.44,16.0,2.22,0.0,0.0
1783463803.604,121.69,17.54,14.4,73.16,104.15,16.0,2.22,0.0,0.0
1783463804.6043,121.69,17.81,14.6,72.89,103.88,16.0,2.22,0.0,0.0
1783463805.6047,121.69,18.12,14.9,72.58,103.57,16.0,2.22,0.0,0.0
1783463806.605,121.69,18.38,15.1,72.31,103.31,16.0,2.22,0.0,0.0
1783463807.6054,121.69,18.68,15.4,72.02,103.01,16.0,2.22,0.0,0.0
1783463808.6057,121.69,18.94,15.6,71.76,102.75,16.0,2.22,0.0,0.0
1783463809.6059,121.69,19.24,15.8,71.46,102.45,16.0,2.22,0.0,0.0
1783463810.6062,121.69,21.91,18.0,68.79,99.78,16.0,2.22,0.0,0.0
1783463811.6066,121.69,25.27,20.8,65.43,96.42,16.0,2.22,0.0,0.0
1783463812.6076,121.69,42.05,34.6,48.65,79.64,16.0,2.22,0.0,0.0
1783463813.6083,121.69,42.05,34.6,48.65,79.64,16.0,2.22,0.0,0.0
1783463814.6086,121.69,42.04,34.5,48.66,79.65,16.0,2.22,0.0,0.0
1783463815.6092,121.69,42.04,34.5,48.65,79.65,16.0,2.22,0.0,0.0
1783463816.6099,121.69,42.04,34.5,48.65,79.65,16.0,2.22,0.0,0.0
1783463817.6106,121.69,18.65,15.3,72.04,103.04,16.0,2.22,0.0,0.0
1783463818.6113,121.69,9.55,7.8,81.14,112.14,16.0,2.22,0.0,0.0
1783463819.6117,121.69,11.39,9.4,79.3,110.3,16.0,2.22,0.0,0.0
1783463820.612,121.69,11.97,9.8,78.73,109.72,16.0,2.22,0.0,0.0
1783463821.6123,121.69,12.24,10.1,78.46,109.45,16.0,2.22,0.0,0.0
1783463822.6127,121.69,12.51,10.3,78.19,109.18,16.0,2.22,0.0,0.0
1783463823.6133,121.69,12.79,10.5,77.9,108.9,16.0,2.22,0.0,0.0
1783463824.6136,121.69,13.08,10.7,77.61,108.61,16.0,2.22,0.0,0.0
1783463825.6139,121.69,13.36,11.0,77.34,108.33,16.0,2.22,0.0,0.0
1783463826.6143,121.69,13.66,11.2,77.03,108.03,16.0,2.22,0.0,0.0
1783463827.6145,121.69,13.94,11.5,76.76,107.75,16.0,2.22,0.0,0.0
1783463828.6148,121.69,14.23,11.7,76.47,107.46,16.0,2.22,0.0,0.0
1783463829.6153,121.69,14.5,11.9,76.2,107.19,16.0,2.22,0.0,0.0
1783463830.6156,121.69,14.78,12.1,75.92,106.91,16.0,2.22,0.0,0.0
1783463831.616,121.69,15.07,12.4,75.63,106.62,16.0,2.22,0.0,0.0
1783463832.6163,121.69,15.34,12.6,75.35,106.35,16.0,2.22,0.0,0.0
1783463833.6166,121.69,15.62,12.8,75.07,106.07,16.0,2.22,0.0,0.0
1783463834.617,121.69,15.9,13.1,74.79,105.79,16.0,2.22,0.0,0.0
1783463835.6173,121.69,16.18,13.3,74.51,105.51,16.0,2.22,0.0,0.0
1783463836.6176,121.69,16.47,13.5,74.23,105.22,16.0,2.22,0.0,0.0
1783463837.618,121.69,16.74,13.8,73.95,104.95,16.0,2.22,0.0,0.0
1783463838.6184,121.69,17.03,14.0,73.67,104.66,16.0,2.22,0.0,0.0
1783463839.6187,121.69,17.34,14.2,73.36,104.35,16.0,2.22,0.0,0.0
1783463840.619,121.69,17.61,14.5,73.08,104.08,16.0,2.22,0.0,0.0
1783463841.6194,121.69,17.9,14.7,72.8,103.79,16.0,2.22,0.0,0.0
1783463842.6198,121.69,18.19,14.9,72.51,103.5,16.0,2.22,0.0,0.0
1783463843.6201,121.69,18.47,15.2,72.23,103.22,16.0,2.22,0.0,0.0
1783463844.6204,121.69,18.76,15.4,71.94,102.93,16.0,2.22,0.0,0.0
1783463845.6208,121.69,19.04,15.6,71.65,102.65,16.0,2.22,0.0,0.0
1783463846.6211,121.69,20.49,16.8,70.21,101.2,16.0,2.22,0.0,0.0
1783463847.6215,121.69,23.84,19.6,66.85,97.85,16.0,2.22,0.0,0.0
1783463848.6218,121.69,41.9,34.4,48.8,79.79,16.0,2.22,0.0,0.0
1783463849.6222,121.69,41.9,34.4,48.79,79.79,16.0,2.22,0.0,0.0
1783463850.6225,121.69,41.91,34.4,48.78,79.78,16.0,2.22,0.0,0.0
1783463851.6228,121.69,41.9,34.4,48.8,79.79,16.0,2.22,0.0,0.0
1783463852.6231,121.69,41.9,34.4,48.8,79.79,16.0,2.22,0.0,0.0
1783463853.6234,121.69,21.07,17.3,69.63,100.62,16.0,2.22,0.0,0.0
1783463854.6238,121.69,14.43,11.9,76.27,107.26,16.0,2.22,0.0,0.0
1783463855.6241,121.69,9.69,8.0,81.0,112.0,16.0,2.22,0.0,0.0
