timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1783452196.0373,2896,0,0,0,0,0
1783452196.5378,20993,0,0,0,0,0
1783452197.0385,564189,0,0,0,0,0
1783452197.5393,2386,0,0,0,0,0
1783452198.04,691,0,0,0,0,0
1783452198.5413,1730,0,0,0,0,0
1783452199.0418,2410,0,0,0,0,0
1783452199.5426,2370,0,0,0,0,0
1783452200.0433,2371,0,0,0,0,0
1783452200.5439,2373,0,0,0,0,0
1783452201.0442,387119,0,0,0,0,0
1783452201.5451,178795,0,0,0,0,0
1783452202.0456,1055,0,0,0,0,0
1783452202.5466,2448,0,0,0,0,0
1783452203.0471,2377,0,0,0,0,0
1783452203.5477,2363,0,0,0,0,0
1783452204.0481,2358,0,0,0,0,0
1783452204.5488,2369,0,0,0,0,0
1783452205.049,91534,0,0,0,0,0
1783452205.5501,472499,0,0,0,0,0
1783452206.0508,2390,0,0,0,0,0
1783452206.5516,2380,0,0,0,0,0
1783452207.0523,2351,0,0,0,0,0
1783452207.5529,2363,0,0,0,0,0
1783452208.0534,2350,0,0,0,0,0
1783452208.554,1344,0,0,0,0,0
1783452209.0544,1137,0,0,0,0,0
1783452209.5552,401476,0,0,0,0,0
1783452210.056,164952,0,0,0,0,0
1783452210.5574,2371,0,0,0,0,0
1783452211.0581,2397,0,0,0,0,0
1783452211.559,2376,0,0,0,0,0
1783452212.0597,2063,0,0,0,0,0
1783452212.5607,311,0,0,0,0,0
1783452213.0612,2381,0,0,0,0,0
1783452213.5616,191473,0,0,0,0,0
1783452214.0624,375238,0,0,0,0,0
1783452214.5632,2474,0,0,0,0,0
1783452215.064,2366,0,0,0,0,0
1783452215.5648,2378,0,0,0,0,0
1783452216.0655,1348,0,0,0,0,0
1783452216.5662,1067,0,0,0,0,0
1783452217.0668,4231,0,0,0,0,0
1783452217.5672,2454,0,0,0,0,0
1783452218.0677,525422,0,0,0,0,0
1783452218.5687,41291,0,0,0,0,0
1783452219.0697,2385,0,0,0,0,0
1783452219.5703,2141,0,0,0,0,0
1783452220.0709,228,0,0,0,0,0
1783452220.572,2375,0,0,0,0,0
1783452221.0725,2366,0,0,0,0,0
1783452221.573,2391,0,0,0,0,0
1783452222.0735,305445,0,0,0,0,0
1783452222.5746,261079,0,0,0,0,0
1783452223.0752,2277,0,0,0,0,0
1783452223.5763,106,0,0,0,0,0
1783452224.077,2391,0,0,0,0,0
1783452224.5784,2347,0,0,0,0,0
1783452225.0796,2368,0,0,0,0,0
1783452225.5804,2604,0,0,0,0,0
1783452226.0808,52474,0,0,0,0,0
1783452226.5816,514163,0,0,0,0,0
1783452227.0825,291,0,0,0,0,0
1783452227.5837,2464,0,0,0,0,0
1783452228.0849,2590,0,0,0,0,0
1783452228.5861,2428,0,0,0,0,0
1783452229.0869,2350,0,0,0,0,0
1783452229.5876,2361,0,0,0,0,0
1783452230.088,1425,0,0,0,0,0
1783452230.5884,562435,0,0,0,0,0
1783452231.0891,3006,0,0,0,0,0
1783452231.59,2362,0,0,0,0,0
1783452232.091,2363,0,0,0,0,0
1783452232.592,2370,0,0,0,0,0
1783452233.0927,2350,0,0,0,0,0
1783452233.5935,1338,0,0,0,0,0
1783452234.0938,1029,0,0,0,0,0
1783452234.5942,339122,0,0,0,0,0
1783452235.0948,227693,0,0,0,0,0
1783452235.5957,2346,0,0,0,0,0
1783452236.0963,2425,0,0,0,0,0
1783452236.5971,2372,0,0,0,0,0
1783452237.0976,4171,0,0,0,0,0
1783452237.5982,92,0,0,0,0,0
1783452238.0988,2365,0,0,0,0,0
1783452238.5992,94151,0,0,0,0,0
1783452239.1,472598,0,0,0,0,0
1783452239.6008,2348,0,0,0,0,0
1783452240.1014,2377,0,0,0,0,0
1783452240.6021,2285,0,0,0,0,0
1783452241.1026,96,0,0,0,0,0
1783452241.6033,2401,0,0,0,0,0
1783452242.104,2363,0,0,0,0,0
1783452242.6043,2448,0,0,0,0,0
1783452243.1051,564017,0,0,0,0,0
1783452243.6057,2417,0,0,0,0,0
1783452244.1064,2227,0,0,0,0,0
1783452244.6072,140,0,0,0,0,0
1783452245.1079,2383,0,0,0,0,0
1783452245.6085,2347,0,0,0,0,0
1783452246.1091,2375,0,0,0,0,0
1783452246.6094,2374,0,0,0,0,0
1783452247.11,328878,0,0,0,0,0
1783452247.6108,237623,0,0,0,0,0
1783452248.1115,160,0,0,0,0,0
1783452248.6124,2362,0,0,0,0,0
1783452249.1131,2419,0,0,0,0,0
1783452249.6138,2373,0,0,0,0,0
1783452250.1146,2368,0,0,0,0,0
1783452250.6156,2352,0,0,0,0,0
1783452251.116,2474,0,0,0,0,0
1783452251.6168,562428,0,0,0,0,0
1783452252.1178,1705,0,0,0,0,0
1783452252.6188,2354,0,0,0,0,0
