timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1783491368.1193,121.69,8.95,7.4,81.81,112.74,16.0,2.21,0.0,0.0
1783491369.1195,121.69,9.24,7.6,81.52,112.45,16.0,2.21,0.0,0.0
1783491370.1198,121.69,9.24,7.6,81.52,112.45,16.0,2.21,0.0,0.0
1783491371.1201,121.69,9.24,7.6,81.52,112.45,16.0,2.21,0.0,0.0
1783491372.1204,121.69,9.22,7.6,81.54,112.47,16.0,2.21,0.0,0.0
1783491373.1207,121.69,9.23,7.6,81.53,112.46,16.0,2.21,0.0,0.0
1783491374.1209,121.69,9.23,7.6,81.53,112.46,16.0,2.21,0.0,0.0
1783491375.1212,121.69,9.22,7.6,81.54,112.47,16.0,2.21,0.0,0.0
1783491376.1215,121.69,9.22,7.6,81.54,112.47,16.0,2.21,0.0,0.0
1783491377.1219,121.69,9.22,7.6,81.54,112.47,16.0,2.21,0.0,0.0
1783491378.1222,121.69,9.21,7.6,81.55,112.48,16.0,2.21,0.0,0.0
1783491379.1225,121.69,9.2,7.6,81.56,112.49,16.0,2.21,0.0,0.0
1783491380.1228,121.69,9.21,7.6,81.55,112.48,16.0,2.21,0.0,0.0
1783491381.1233,121.69,9.21,7.6,81.55,112.48,16.0,2.21,0.0,0.0
1783491382.1235,121.69,9.21,7.6,81.55,112.48,16.0,2.21,0.0,0.0
1783491383.1237,121.69,9.21,7.6,81.55,112.48,16.0,2.21,0.0,0.0
1783491384.1239,121.69,9.2,7.6,81.56,112.49,16.0,2.21,0.0,0.0
1783491385.1243,121.69,9.22,7.6,81.54,112.47,16.0,2.21,0.0,0.0
1783491386.1246,121.69,9.21,7.6,81.55,112.48,16.0,2.21,0.0,0.0
1783491387.1249,121.69,9.21,7.6,81.55,112.48,16.0,2.21,0.0,0.0
1783491388.1252,121.69,9.22,7.6,81.54,112.47,16.0,2.21,0.0,0.0
1783491389.1255,121.69,9.22,7.6,81.54,112.47,16.0,2.21,0.0,0.0
1783491390.1258,121.69,9.21,7.6,81.55,112.48,16.0,2.21,0.0,0.0
1783491391.1261,121.69,9.22,7.6,81.54,112.47,16.0,2.21,0.0,0.0
1783491392.1263,121.69,9.22,7.6,81.54,112.47,16.0,2.21,0.0,0.0
1783491393.1265,121.69,9.23,7.6,81.53,112.46,16.0,2.21,0.0,0.0
1783491394.1269,121.69,9.22,7.6,81.54,112.47,16.0,2.21,0.0,0.0
1783491395.1271,121.69,9.22,7.6,81.54,112.47,16.0,2.21,0.0,0.0
1783491396.1273,121.69,9.22,7.6,81.54,112.47,16.0,2.21,0.0,0.0
1783491397.1275,121.69,9.22,7.6,81.54,112.47,16.0,2.21,0.0,0.0
1783491398.1277,121.69,9.22,7.6,81.54,112.47,16.0,2.21,0.0,0.0
1783491399.128,121.69,9.23,7.6,81.53,112.46,16.0,2.21,0.0,0.0
1783491400.1282,121.69,9.22,7.6,81.54,112.47,16.0,2.21,0.0,0.0
1783491401.1285,121.69,9.21,7.6,81.55,112.48,16.0,2.21,0.0,0.0
1783491402.1287,121.69,9.21,7.6,81.55,112.48,16.0,2.21,0.0,0.0
1783491403.1289,121.69,9.22,7.6,81.54,112.47,16.0,2.21,0.0,0.0
1783491404.1292,121.69,9.21,7.6,81.55,112.48,16.0,2.21,0.0,0.0
1783491405.1295,121.69,9.22,7.6,81.54,112.47,16.0,2.21,0.0,0.0
1783491406.1298,121.69,9.22,7.6,81.54,112.47,16.0,2.21,0.0,0.0
1783491407.13,121.69,9.22,7.6,81.54,112.47,16.0,2.21,0.0,0.0
1783491408.1302,121.69,9.23,7.6,81.53,112.46,16.0,2.21,0.0,0.0
1783491409.1305,121.69,9.22,7.6,81.54,112.47,16.0,2.21,0.0,0.0
1783491410.1308,121.69,9.22,7.6,81.54,112.47,16.0,2.21,0.0,0.0
1783491411.131,121.69,9.22,7.6,81.54,112.47,16.0,2.21,0.0,0.0
1783491412.1312,121.69,9.23,7.6,81.53,112.46,16.0,2.21,0.0,0.0
1783491413.1314,121.69,9.22,7.6,81.54,112.47,16.0,2.21,0.0,0.0
1783491414.1318,121.69,9.22,7.6,81.54,112.47,16.0,2.21,0.0,0.0
1783491415.1323,121.69,9.22,7.6,81.54,112.47,16.0,2.21,0.0,0.0
1783491416.1326,121.69,9.21,7.6,81.55,112.48,16.0,2.21,0.0,0.0
1783491417.1329,121.69,9.21,7.6,81.55,112.48,16.0,2.21,0.0,0.0
1783491418.1332,121.69,9.21,7.6,81.55,112.48,16.0,2.21,0.0,0.0
1783491419.1334,121.69,9.21,7.6,81.55,112.48,16.0,2.21,0.0,0.0
1783491420.1336,121.69,9.22,7.6,81.54,112.47,16.0,2.21,0.0,0.0
1783491421.1343,121.69,9.22,7.6,81.54,112.47,16.0,2.21,0.0,0.0
1783491422.1345,121.69,9.22,7.6,81.54,112.47,16.0,2.21,0.0,0.0
1783491423.1347,121.69,9.21,7.6,81.55,112.48,16.0,2.21,0.0,0.0
1783491424.1349,121.69,9.22,7.6,81.54,112.47,16.0,2.21,0.0,0.0
1783491425.1351,121.69,9.21,7.6,81.55,112.48,16.0,2.21,0.0,0.0
1783491426.1353,121.69,9.22,7.6,81.54,112.47,16.0,2.21,0.0,0.0
1783491427.1356,121.69,9.21,7.6,81.55,112.48,16.0,2.21,0.0,0.0
1783491428.1359,121.69,9.21,7.6,81.55,112.48,16.0,2.21,0.0,0.0
1783491429.1363,121.69,9.22,7.6,81.54,112.47,16.0,2.21,0.0,0.0
1783491430.1366,121.69,9.22,7.6,81.54,112.47,16.0,2.21,0.0,0.0
1783491431.1369,121.69,9.23,7.6,81.53,112.46,16.0,2.21,0.0,0.0
