timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1783491673.2975,5.8,1.4,4.5,0.0,3354.0,58.8,,1.74,1.92,1.97,4962,5,0
1783491674.2987,9.1,4.2,4.9,0.0,3354.0,58.9,,1.74,1.92,1.97,6681,3,0
1783491675.3,12.6,8.1,4.5,0.0,3354.0,59.4,,1.74,1.92,1.97,6926,3,0
1783491676.3012,10.9,6.3,4.5,0.0,3354.0,59.6,,1.74,1.92,1.97,6043,3,0
1783491677.3024,10.7,6.3,4.3,0.0,3354.0,59.7,,1.74,1.92,1.97,5733,3,0
1783491678.3039,10.9,6.3,4.6,0.0,3354.0,59.7,,1.76,1.92,1.97,5942,5,0
1783491679.3051,11.1,6.4,4.6,0.1,3354.0,59.7,,1.76,1.92,1.97,6179,3,0
1783491680.3067,11.0,6.5,4.5,0.0,3354.0,59.7,,1.76,1.92,1.97,5945,3,0
1783491681.3078,11.1,6.4,4.6,0.0,3354.0,59.8,,1.76,1.92,1.97,6437,3,0
1783491682.309,11.0,6.3,4.6,0.0,3354.0,60.0,,1.76,1.92,1.97,6508,4,0
1783491683.3104,10.9,6.3,4.5,0.0,3354.0,60.2,,1.78,1.92,1.97,5972,3,0
1783491684.3118,11.0,6.4,4.6,0.0,3354.0,60.6,,1.78,1.92,1.97,5917,4,0
1783491685.3129,11.3,6.5,4.7,0.0,3354.0,60.4,,1.78,1.92,1.97,6188,3,0
1783491686.3141,12.8,8.2,4.5,0.0,3354.0,60.8,,1.78,1.92,1.97,7246,3,0
1783491687.3155,10.9,6.5,4.4,0.0,3354.0,60.8,,1.78,1.92,1.97,5918,3,0
1783491688.3165,9.4,4.5,4.9,0.0,3354.0,60.5,,1.79,1.92,1.97,6453,4,0
1783491689.3177,10.7,6.3,4.4,0.0,3354.0,60.4,,1.79,1.92,1.97,5826,3,0
