timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1783484434.4414,5.8,1.3,4.5,0.0,3354.0,60.2,,2.29,2.06,2.02,4859,5,0
1783484435.4425,8.3,3.4,4.9,0.0,3354.0,60.1,,2.29,2.06,2.02,5733,3,0
1783484436.4439,10.1,5.2,4.9,0.0,3354.0,60.4,,2.26,2.06,2.02,6066,3,0
1783484437.4453,10.3,5.3,5.0,0.0,3354.0,60.6,,2.26,2.06,2.02,6148,3,0
1783484438.4466,10.1,5.1,4.9,0.1,3354.0,60.7,,2.26,2.06,2.02,5986,3,0
1783484439.4476,10.1,5.0,5.0,0.0,3354.0,61.0,,2.26,2.06,2.02,6198,3,0
1783484440.4487,10.0,5.2,4.8,0.0,3354.0,61.2,,2.26,2.06,2.02,6053,4,0
1783484441.4498,10.2,5.4,4.8,0.0,3354.0,61.2,,2.24,2.06,2.02,5798,2,0
1783484442.4509,9.3,4.4,4.9,0.1,3354.0,61.5,,2.24,2.06,2.02,5983,3,0
1783484443.452,10.1,5.2,4.9,0.0,3354.0,61.7,,2.24,2.06,2.02,6023,3,0
1783484444.4531,10.1,5.0,5.1,0.0,3354.0,61.8,,2.24,2.06,2.02,6167,3,0
1783484445.4541,10.0,5.2,4.8,0.0,3354.0,61.9,,2.24,2.06,2.02,6082,3,0
1783484446.4553,10.2,5.2,5.0,0.0,3354.0,62.0,,2.3,2.08,2.02,6099,3,0
1783484447.4564,9.3,4.5,4.8,0.0,3354.0,62.0,,2.3,2.08,2.02,5941,3,0
1783484448.4576,10.1,5.3,4.9,0.0,3354.0,62.2,,2.3,2.08,2.02,6117,3,0
1783484449.4587,10.1,5.4,4.7,0.0,3354.0,62.1,,2.3,2.08,2.02,6024,2,0
1783484450.4597,10.8,5.9,4.9,0.0,3354.0,62.1,,2.3,2.08,2.02,6467,2,0
1783484451.4608,12.8,7.9,4.9,0.0,3354.0,62.8,,2.28,2.07,2.02,7771,3,0
1783484452.462,9.8,4.9,4.9,0.0,3354.0,62.8,,2.28,2.07,2.02,6413,3,0
1783484453.4631,11.0,6.0,5.0,0.0,3354.0,62.8,,2.28,2.07,2.02,6759,4,0
1783484454.4646,11.4,6.3,5.1,0.0,3354.0,63.1,,2.28,2.07,2.02,7136,3,0
1783484455.4658,10.2,5.2,5.1,0.0,3354.0,63.2,,2.28,2.07,2.02,6831,3,0
1783484456.4668,10.2,5.2,5.0,0.0,3354.0,63.0,,2.25,2.07,2.02,6439,3,0
1783484457.4679,10.2,5.4,4.8,0.0,3354.0,62.9,,2.25,2.07,2.02,6606,3,0
1783484458.4687,10.2,5.2,5.0,0.0,3354.0,62.9,,2.25,2.07,2.02,6265,4,0
1783484459.4693,9.9,5.2,4.7,0.0,3354.0,62.8,,2.25,2.07,2.02,6229,5,0
1783484460.47,10.3,5.4,4.9,0.0,3354.0,63.0,,2.25,2.07,2.02,6579,3,0
1783484461.4712,10.4,5.6,4.8,0.0,3354.0,62.9,,2.23,2.07,2.02,5979,2,0
1783484462.472,10.6,5.6,5.0,0.0,3354.0,63.1,,2.23,2.07,2.02,6055,3,0
1783484463.4727,10.3,5.4,4.9,0.0,3354.0,63.1,,2.23,2.07,2.02,6080,3,0
1783484464.4738,10.4,5.2,5.0,0.2,3354.0,63.1,,2.23,2.07,2.02,6326,3,0
1783484465.4755,9.8,4.9,4.9,0.0,3354.0,63.5,,2.23,2.07,2.02,5936,3,0
1783484466.4768,9.9,4.9,5.0,0.0,3354.0,63.7,,2.3,2.09,2.03,6217,3,0
1783484467.478,10.1,5.2,4.9,0.0,3354.0,63.5,,2.3,2.09,2.03,6332,3,0
1783484468.4792,10.3,5.2,5.0,0.1,3354.0,63.5,,2.3,2.09,2.03,6100,3,0
1783484469.4805,10.1,5.2,5.0,0.0,3354.0,63.6,,2.3,2.09,2.03,6141,3,0
1783484470.4817,9.9,4.8,5.1,0.0,3354.0,63.4,,2.3,2.09,2.03,6365,3,0
1783484471.4828,9.7,5.3,4.4,0.0,3354.0,63.6,,2.27,2.09,2.03,6022,3,0
1783484472.4839,10.6,5.6,4.9,0.0,3354.0,63.6,,2.27,2.09,2.03,6026,2,0
1783484473.4851,10.4,5.5,4.8,0.0,3354.0,63.8,,2.27,2.09,2.03,5959,3,0
1783484474.4862,10.2,5.1,5.0,0.0,3354.0,63.7,,2.27,2.09,2.03,6415,3,0
1783484475.4872,9.9,5.0,5.0,0.0,3354.0,63.7,,2.27,2.09,2.03,6206,3,0
1783484476.4883,10.2,5.1,5.1,0.0,3354.0,63.8,,2.25,2.08,2.03,6220,4,0
1783484477.4894,9.8,5.0,4.8,0.0,3354.0,63.8,,2.25,2.08,2.03,6311,3,0
1783484478.4905,10.6,5.5,5.0,0.0,3354.0,63.9,,2.25,2.08,2.03,6415,3,0
1783484479.4922,10.1,5.2,4.9,0.0,3354.0,63.8,,2.25,2.08,2.03,6230,3,0
1783484480.4933,10.0,5.0,5.0,0.0,3354.0,64.0,,2.25,2.08,2.03,6538,3,0
1783484481.4944,10.6,5.7,4.9,0.0,3354.0,63.9,,2.23,2.08,2.03,6414,3,0
1783484482.4954,10.3,5.4,4.9,0.0,3354.0,63.8,,2.23,2.08,2.03,6664,4,0
1783484483.4966,10.1,5.4,4.8,0.0,3354.0,63.8,,2.23,2.08,2.03,6016,3,0
1783484484.4978,9.9,5.2,4.8,0.0,3354.0,63.9,,2.23,2.08,2.03,6269,3,0
1783484485.499,10.3,5.5,4.8,0.0,3354.0,63.9,,2.23,2.08,2.03,6096,3,0
1783484486.5,10.6,5.7,4.9,0.0,3354.0,63.8,,2.21,2.08,2.03,6120,2,0
1783484487.5011,10.1,5.2,4.9,0.0,3354.0,63.8,,2.21,2.08,2.03,5903,3,0
1783484488.5022,10.1,5.0,5.1,0.0,3354.0,64.0,,2.21,2.08,2.03,5940,3,0
1783484489.5033,9.8,4.9,4.9,0.0,3354.0,63.8,,2.21,2.08,2.03,5935,3,0
1783484490.5044,10.1,4.9,5.2,0.0,3354.0,64.0,,2.21,2.08,2.03,6405,3,0
1783484491.5055,10.3,5.2,5.0,0.0,3354.0,63.8,,2.19,2.08,2.03,5957,3,0
1783484492.5068,10.2,5.2,5.0,0.0,3354.0,64.0,,2.19,2.08,2.03,6067,3,0
1783484493.5079,10.4,5.4,5.0,0.0,3354.0,64.3,,2.19,2.08,2.03,5933,3,0
1783484494.5089,10.0,5.3,4.8,0.0,3354.0,64.3,,2.19,2.08,2.03,6169,6,0
1783484495.5099,9.9,5.1,4.8,0.0,3354.0,64.3,,2.19,2.08,2.03,5945,3,0
1783484496.5112,10.0,5.1,4.9,0.0,3354.0,64.6,,2.18,2.08,2.03,5992,3,0
1783484497.5123,10.2,5.5,4.6,0.0,3354.0,64.7,,2.18,2.08,2.03,6051,2,0
1783484498.5134,10.3,5.5,4.8,0.1,3354.0,64.6,,2.18,2.08,2.03,6171,3,0
1783484499.5145,10.0,5.0,5.0,0.0,3354.0,64.7,,2.18,2.08,2.03,6207,3,0
1783484500.5156,10.0,5.1,4.9,0.0,3354.0,64.5,,2.18,2.08,2.03,6124,3,0
1783484501.5169,10.2,5.4,4.8,0.0,3354.0,64.6,,2.16,2.08,2.03,5829,4,0
1783484502.518,12.1,7.1,5.0,0.0,3354.0,65.1,,2.16,2.08,2.03,7351,3,0
1783484503.5191,9.9,4.8,5.1,0.0,3354.0,65.0,,2.16,2.08,2.03,6468,3,0
1783484504.5202,10.3,5.2,5.0,0.0,3354.0,64.7,,2.16,2.08,2.03,6123,3,0
1783484505.5213,10.4,5.5,4.9,0.0,3354.0,64.6,,2.16,2.08,2.03,6101,3,0
1783484506.5224,10.0,4.9,5.1,0.0,3354.0,64.7,,2.15,2.08,2.02,6161,3,0
1783484507.5234,9.8,5.0,4.8,0.0,3354.0,64.7,,2.15,2.08,2.02,5944,4,0
1783484508.5246,10.0,5.4,4.6,0.0,3354.0,64.8,,2.15,2.08,2.02,6015,2,0
1783484509.5261,10.6,5.7,4.9,0.0,3354.0,64.7,,2.15,2.08,2.02,6245,2,0
1783484510.5272,12.8,7.8,5.0,0.0,3354.0,65.0,,2.15,2.08,2.02,7196,3,0
1783484511.5283,10.4,5.3,5.1,0.0,3354.0,64.9,,2.14,2.07,2.02,6450,3,0
1783484512.5293,10.1,5.0,5.1,0.0,3354.0,64.8,,2.14,2.07,2.02,6234,4,0
1783484513.5306,10.1,5.3,4.8,0.0,3354.0,64.8,,2.14,2.07,2.02,5933,3,0
1783484514.5316,9.8,5.0,4.8,0.0,3354.0,64.8,,2.14,2.07,2.02,6236,3,0
1783484515.5327,9.8,4.7,5.1,0.0,3354.0,64.7,,2.14,2.07,2.02,5996,4,0
1783484516.5337,10.0,5.0,5.0,0.0,3354.0,64.9,,2.21,2.09,2.03,6095,3,0
1783484517.5348,10.1,5.1,4.9,0.0,3354.0,64.8,,2.21,2.09,2.03,6137,3,0
1783484518.5359,9.8,5.0,4.8,0.0,3354.0,64.7,,2.21,2.09,2.03,5920,3,0
1783484519.5371,10.0,5.5,4.5,0.0,3354.0,64.7,,2.21,2.09,2.03,5854,2,0
1783484520.5386,10.6,5.7,4.9,0.0,3354.0,64.9,,2.21,2.09,2.03,6117,2,0
1783484521.5396,10.1,5.2,5.0,0.0,3354.0,64.8,,2.27,2.1,2.04,5857,4,0
1783484522.5406,10.2,5.3,4.8,0.1,3354.0,64.8,,2.27,2.1,2.04,5969,3,0
1783484523.5417,10.1,5.1,5.0,0.0,3354.0,65.4,,2.27,2.1,2.04,6307,3,0
1783484524.5425,9.7,4.7,5.0,0.0,3354.0,65.0,,2.27,2.1,2.04,6380,3,0
1783484525.5436,10.3,5.4,4.9,0.0,3354.0,64.8,,2.27,2.1,2.04,6086,4,0
1783484526.5445,9.7,5.0,4.8,0.0,3354.0,64.7,,2.57,2.17,2.06,6160,3,0
1783484527.5452,10.0,5.2,4.8,0.0,3354.0,64.7,,2.57,2.17,2.06,6211,4,0
1783484528.5459,10.4,5.4,4.9,0.1,3354.0,64.9,,2.57,2.17,2.06,6190,3,0
1783484529.5466,10.0,5.0,5.0,0.0,3354.0,64.8,,2.57,2.17,2.06,6345,3,0
1783484530.5474,10.3,5.6,4.7,0.0,3354.0,65.0,,2.57,2.17,2.06,6296,2,0
1783484531.548,10.4,5.6,4.8,0.0,3354.0,64.9,,2.52,2.17,2.06,6014,4,0
1783484532.5487,10.1,5.3,4.8,0.0,3354.0,64.8,,2.52,2.17,2.06,5871,3,0
1783484533.5495,9.8,4.9,5.0,0.0,3354.0,64.8,,2.52,2.17,2.06,5907,3,0
1783484534.5501,10.2,5.2,5.0,0.0,3354.0,64.8,,2.52,2.17,2.06,6360,4,0
1783484535.5508,10.2,5.2,5.0,0.0,3354.0,64.8,,2.52,2.17,2.06,6210,3,0
1783484536.5514,9.8,4.7,5.1,0.0,3354.0,64.9,,2.48,2.16,2.06,6059,3,0
1783484537.5522,10.2,5.3,4.9,0.0,3354.0,64.9,,2.48,2.16,2.06,6126,3,0
1783484538.5532,10.0,5.0,5.1,0.0,3354.0,65.0,,2.48,2.16,2.06,6450,3,0
1783484539.5546,10.1,5.2,4.8,0.0,3354.0,64.8,,2.48,2.16,2.06,6169,3,0
1783484540.5557,10.2,5.4,4.8,0.0,3354.0,64.9,,2.48,2.16,2.06,6163,3,0
1783484541.5569,10.3,5.6,4.7,0.0,3354.0,65.1,,2.44,2.16,2.06,5996,2,0
1783484542.5581,10.6,5.7,4.9,0.0,3354.0,65.0,,2.44,2.16,2.06,6147,3,0
1783484543.5591,10.4,5.5,4.9,0.1,3354.0,65.0,,2.44,2.16,2.06,6013,4,0
1783484544.5603,9.9,5.1,4.9,0.0,3354.0,65.1,,2.44,2.16,2.06,6190,3,0
1783484545.5612,10.1,5.1,5.0,0.0,3354.0,64.9,,2.44,2.16,2.06,6154,3,0
1783484546.5623,10.3,5.4,4.9,0.0,3354.0,65.0,,2.49,2.17,2.06,6175,3,0
1783484547.5637,10.4,5.3,5.0,0.0,3354.0,65.0,,2.49,2.17,2.06,6431,3,0
1783484548.5651,9.7,4.9,4.9,0.0,3354.0,65.1,,2.49,2.17,2.06,6485,3,0
1783484549.5659,9.8,5.0,4.8,0.0,3354.0,65.2,,2.49,2.17,2.06,6559,4,0
1783484550.567,12.0,6.8,5.1,0.0,3354.0,65.3,,2.49,2.17,2.06,7194,5,0
1783484551.568,10.4,5.3,5.1,0.0,3354.0,65.2,,2.45,2.17,2.06,6676,3,0
1783484552.5698,10.0,5.5,4.5,0.0,3354.0,65.0,,2.45,2.17,2.06,6193,3,0
1783484553.5711,10.3,5.6,4.8,0.0,3354.0,65.1,,2.45,2.17,2.06,5852,2,0
1783484554.5721,10.6,5.8,4.9,0.0,3354.0,65.0,,2.45,2.17,2.06,6184,2,0
