timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1783473721.48,2890,0,0,0,0,0
1783473721.9806,19398,0,0,0,0,0
1783473722.4811,965444,0,0,0,0,0
1783473722.9814,1309143,0,0,0,0,0
1783473723.482,1351763,0,0,0,0,0
1783473723.9823,1079861,0,0,0,0,0
1783473724.4827,1068226,0,0,0,0,0
1783473724.983,1060612,0,0,0,0,0
1783473725.4834,1081074,0,0,0,0,0
1783473725.9837,65752,0,0,0,0,0
1783473726.4844,1133,0,0,0,0,0
1783473726.9851,202699,0,0,0,0,0
1783473727.4855,911001,0,0,0,0,0
1783473727.9859,1036120,0,0,0,0,0
1783473728.4862,991318,0,0,0,0,0
1783473728.9867,832686,0,0,0,0,0
1783473729.4871,2474,0,0,0,0,0
1783473729.9876,2552,0,0,0,0,0
1783473730.4883,2446,0,0,0,0,0
1783473730.9888,2384,0,0,0,0,0
1783473731.4892,2358,0,0,0,0,0
1783473731.9895,1373,0,0,0,0,0
1783473732.4899,1069,0,0,0,0,0
1783473732.9903,2376,0,0,0,0,0
1783473733.4906,2416,0,0,0,0,0
1783473733.991,2358,0,0,0,0,0
1783473734.4913,2362,0,0,0,0,0
1783473734.9917,2368,0,0,0,0,0
1783473735.4921,130454,0,0,0,0,0
1783473735.9925,1130738,0,0,0,0,0
1783473736.4929,1323080,0,0,0,0,0
1783473736.9932,1330190,0,0,0,0,0
1783473737.4936,932243,0,0,0,0,0
1783473737.9939,1010644,0,0,0,0,0
1783473738.4943,1073518,0,0,0,0,0
1783473738.9946,1010432,0,0,0,0,0
1783473739.4951,40236,0,0,0,0,0
1783473739.9955,2442,0,0,0,0,0
1783473740.4958,223916,0,0,0,0,0
1783473740.9962,830802,0,0,0,0,0
1783473741.4966,840318,0,0,0,0,0
1783473741.997,844015,0,0,0,0,0
1783473742.4974,971163,0,0,0,0,0
1783473742.9978,267993,0,0,0,0,0
1783473743.4981,2414,0,0,0,0,0
1783473743.9986,2228,0,0,0,0,0
1783473744.499,144,0,0,0,0,0
1783473744.9994,2392,0,0,0,0,0
1783473745.4998,2396,0,0,0,0,0
1783473746.0002,2352,0,0,0,0,0
1783473746.5005,2382,0,0,0,0,0
1783473747.0009,2368,0,0,0,0,0
1783473747.5012,2360,0,0,0,0,0
1783473748.0016,2356,0,0,0,0,0
1783473748.5023,2483,0,0,0,0,0
1783473749.0026,2362,0,0,0,0,0
1783473749.5031,308977,0,0,0,0,0
1783473750.0034,1057305,0,0,0,0,0
1783473750.5038,1224188,0,0,0,0,0
1783473751.0041,1366053,0,0,0,0,0
1783473751.5045,1029677,0,0,0,0,0
1783473752.0049,1001462,0,0,0,0,0
1783473752.5052,1044406,0,0,0,0,0
1783473753.0056,946316,0,0,0,0,0
1783473753.5059,3242,0,0,0,0,0
1783473754.0066,2481,0,0,0,0,0
1783473754.5069,463028,0,0,0,0,0
1783473755.0073,872966,0,0,0,0,0
1783473755.5076,878703,0,0,0,0,0
1783473756.008,897192,0,0,0,0,0
1783473756.5085,859974,0,0,0,0,0
1783473757.0089,2350,0,0,0,0,0
1783473757.5093,2362,0,0,0,0,0
1783473758.0096,2384,0,0,0,0,0
1783473758.51,2428,0,0,0,0,0
1783473759.0104,2366,0,0,0,0,0
1783473759.5107,2362,0,0,0,0,0
1783473760.0111,2350,0,0,0,0,0
1783473760.5115,2434,0,0,0,0,0
1783473761.0119,2364,0,0,0,0,0
1783473761.5124,2110,0,0,0,0,0
1783473762.0128,2140,0,0,0,0,0
1783473762.5133,2358,0,0,0,0,0
1783473763.014,378743,0,0,0,0,0
1783473763.5147,791582,0,0,0,0,0
1783473764.0152,841770,0,0,0,0,0
1783473764.5159,876729,0,0,0,0,0
1783473765.0164,912417,0,0,0,0,0
1783473765.5169,780519,0,0,0,0,0
1783473766.0176,744586,0,0,0,0,0
1783473766.5183,744647,0,0,0,0,0
1783473767.0188,729292,0,0,0,0,0
1783473767.5192,734256,0,0,0,0,0
1783473768.02,448050,0,0,0,0,0
1783473768.5204,2468,0,0,0,0,0
1783473769.0212,2407,0,0,0,0,0
1783473769.5217,773015,0,0,0,0,0
1783473770.0221,856033,0,0,0,0,0
1783473770.5226,842156,0,0,0,0,0
1783473771.0231,839997,0,0,0,0,0
1783473771.5235,662103,0,0,0,0,0
1783473772.024,2352,0,0,0,0,0
1783473772.5244,2366,0,0,0,0,0
1783473773.0248,2350,0,0,0,0,0
1783473773.5251,2386,0,0,0,0,0
1783473774.0255,1317,0,0,0,0,0
1783473774.526,1047,0,0,0,0,0
1783473775.0265,2350,0,0,0,0,0
1783473775.5272,2361,0,0,0,0,0
1783473776.0276,2346,0,0,0,0,0
1783473776.528,2380,0,0,0,0,0
1783473777.0285,2348,0,0,0,0,0
1783473777.5289,2452,0,0,0,0,0
1783473778.0295,680045,0,0,0,0,0
1783473778.5302,819049,0,0,0,0,0
1783473779.0309,862633,0,0,0,0,0
1783473779.5314,1175778,0,0,0,0,0
1783473780.0318,1102102,0,0,0,0,0
1783473780.5325,871247,0,0,0,0,0
1783473781.0332,776283,0,0,0,0,0
1783473781.5339,754359,0,0,0,0,0
1783473782.0346,770215,0,0,0,0,0
1783473782.5351,170404,0,0,0,0,0
1783473783.0355,2442,0,0,0,0,0
1783473783.536,351340,0,0,0,0,0
1783473784.0367,1029509,0,0,0,0,0
1783473784.5372,904781,0,0,0,0,0
1783473785.0376,874376,0,0,0,0,0
1783473785.5384,810198,0,0,0,0,0
1783473786.0388,2354,0,0,0,0,0
1783473786.5391,2380,0,0,0,0,0
1783473787.0396,2352,0,0,0,0,0
1783473787.54,2360,0,0,0,0,0
1783473788.0405,2358,0,0,0,0,0
1783473788.5412,2385,0,0,0,0,0
1783473789.0419,2351,0,0,0,0,0
1783473789.5424,2362,0,0,0,0,0
1783473790.0428,2356,0,0,0,0,0
1783473790.5433,2418,0,0,0,0,0
1783473791.0438,1417,0,0,0,0,0
1783473791.5444,375150,0,0,0,0,0
1783473792.0449,1188100,0,0,0,0,0
1783473792.5456,1326507,0,0,0,0,0
1783473793.0463,1239238,0,0,0,0,0
1783473793.5468,1017510,0,0,0,0,0
1783473794.0472,1020825,0,0,0,0,0
1783473794.5477,1082616,0,0,0,0,0
1783473795.0484,726838,0,0,0,0,0
1783473795.5492,2363,0,0,0,0,0
1783473796.0499,2482,0,0,0,0,0
1783473796.5504,489359,0,0,0,0,0
1783473797.0508,878617,0,0,0,0,0
1783473797.5514,869723,0,0,0,0,0
1783473798.0518,890476,0,0,0,0,0
1783473798.5524,842540,0,0,0,0,0
1783473799.0528,2346,0,0,0,0,0
1783473799.5534,2359,0,0,0,0,0
1783473800.0538,2348,0,0,0,0,0
1783473800.5544,2365,0,0,0,0,0
1783473801.0548,2368,0,0,0,0,0
1783473801.5552,2354,0,0,0,0,0
1783473802.0556,4247,0,0,0,0,0
1783473802.556,2356,0,0,0,0,0
1783473803.0565,2400,0,0,0,0,0
1783473803.5569,2368,0,0,0,0,0
1783473804.0574,2130,0,0,0,0,0
1783473804.5581,286,0,0,0,0,0
1783473805.0585,2444,0,0,0,0,0
1783473805.559,526437,0,0,0,0,0
1783473806.0594,815455,0,0,0,0,0
1783473806.5598,848737,0,0,0,0,0
1783473807.0603,887313,0,0,0,0,0
1783473807.5606,896056,0,0,0,0,0
1783473808.0611,759801,0,0,0,0,0
1783473808.5615,743127,0,0,0,0,0
1783473809.0619,915099,0,0,0,0,0
1783473809.5622,923237,0,0,0,0,0
1783473810.0627,668292,0,0,0,0,0
1783473810.5631,2364,0,0,0,0,0
1783473811.064,2492,0,0,0,0,0
1783473811.5645,434448,0,0,0,0,0
1783473812.0653,905686,0,0,0,0,0
1783473812.5658,981461,0,0,0,0,0
1783473813.0667,901897,0,0,0,0,0
1783473813.5674,747887,0,0,0,0,0
1783473814.0681,2343,0,0,0,0,0
1783473814.5688,2359,0,0,0,0,0
1783473815.0693,2360,0,0,0,0,0
1783473815.5698,2362,0,0,0,0,0
1783473816.0701,686,0,0,0,0,0
1783473816.5704,1745,0,0,0,0,0
1783473817.0708,2354,0,0,0,0,0
1783473817.5712,2354,0,0,0,0,0
1783473818.0716,2360,0,0,0,0,0
1783473818.5723,2379,0,0,0,0,0
1783473819.0726,2353,0,0,0,0,0
1783473819.5729,2388,0,0,0,0,0
1783473820.0732,2375,0,0,0,0,0
1783473820.5736,2398,0,0,0,0,0
1783473821.074,306454,0,0,0,0,0
1783473821.5742,790234,0,0,0,0,0
1783473822.0746,846570,0,0,0,0,0
1783473822.575,1091231,0,0,0,0,0
1783473823.0754,1242195,0,0,0,0,0
1783473823.5758,927764,0,0,0,0,0
1783473824.0763,796790,0,0,0,0,0
1783473824.5767,762615,0,0,0,0,0
1783473825.0771,728063,0,0,0,0,0
1783473825.5774,493441,0,0,0,0,0
1783473826.0778,2442,0,0,0,0,0
1783473826.5783,2424,0,0,0,0,0
1783473827.0786,794022,0,0,0,0,0
1783473827.5789,899768,0,0,0,0,0
1783473828.0793,886125,0,0,0,0,0
1783473828.5797,919557,0,0,0,0,0
1783473829.0801,472448,0,0,0,0,0
1783473829.5805,2434,0,0,0,0,0
1783473830.0807,2377,0,0,0,0,0
1783473830.5811,2354,0,0,0,0,0
1783473831.0813,2367,0,0,0,0,0
1783473831.5817,2354,0,0,0,0,0
1783473832.0821,2354,0,0,0,0,0
1783473832.5823,2385,0,0,0,0,0
1783473833.0826,1167,0,0,0,0,0
1783473833.5829,1253,0,0,0,0,0
1783473834.0833,2354,0,0,0,0,0
1783473834.5837,2376,0,0,0,0,0
1783473835.0841,260454,0,0,0,0,0
1783473835.5845,793276,0,0,0,0,0
1783473836.0849,865149,0,0,0,0,0
1783473836.5853,869377,0,0,0,0,0
1783473837.0856,890002,0,0,0,0,0
1783473837.5858,791408,0,0,0,0,0
1783473838.0862,729797,0,0,0,0,0
1783473838.5866,733413,0,0,0,0,0
1783473839.087,728991,0,0,0,0,0
1783473839.5874,732304,0,0,0,0,0
1783473840.0877,592265,0,0,0,0,0
1783473840.588,2359,0,0,0,0,0
1783473841.0887,2478,0,0,0,0,0
1783473841.589,418241,0,0,0,0,0
1783473842.0894,662636,0,0,0,0,0
1783473842.5898,4287,0,0,0,0,0
1783473843.0902,2360,0,0,0,0,0
