timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1783461142.229,11.0,5.7,5.3,0.0,3354.0,75.1,,2.23,2.2,2.18,5333,3,1
1783461143.2312,9.0,3.0,6.1,0.0,3354.0,73.7,,2.23,2.2,2.18,6152,4,0
1783461144.2347,11.9,6.5,5.3,0.1,3354.0,73.9,,2.23,2.2,2.18,6400,4,0
1783461145.2364,12.3,6.9,5.4,0.0,3354.0,74.1,,2.23,2.2,2.18,6942,3,0
1783461146.2381,12.2,6.7,5.5,0.0,3354.0,74.3,,2.23,2.2,2.18,6715,4,0
1783461147.2401,11.9,6.6,5.4,0.0,3354.0,74.9,,2.29,2.21,2.19,6347,4,0
1783461148.2428,11.8,6.6,5.2,0.0,3354.0,75.0,,2.29,2.21,2.19,6356,3,0
1783461149.2448,12.2,6.9,5.3,0.0,3354.0,75.0,,2.29,2.21,2.19,6394,4,0
1783461150.2467,11.7,6.6,5.1,0.0,3354.0,75.0,,2.29,2.21,2.19,6318,4,0
1783461151.2484,12.0,6.6,5.4,0.0,3354.0,75.4,,2.29,2.21,2.19,6348,3,0
1783461152.2509,12.1,6.7,5.4,0.0,3354.0,75.6,,2.26,2.21,2.18,6312,5,0
1783461153.2517,11.1,6.1,5.0,0.0,3354.0,76.7,,2.26,2.21,2.18,5955,4,0
1783461154.2525,10.9,6.1,4.8,0.0,3354.0,78.1,,2.26,2.21,2.18,5941,3,0
1783461155.2533,11.0,6.3,4.7,0.0,3354.0,78.7,,2.26,2.21,2.18,5991,4,0
1783461156.2563,10.4,4.1,6.1,0.2,3354.0,74.7,,2.26,2.21,2.18,6957,3,0
1783461157.2582,12.3,6.6,5.7,0.0,3354.0,74.8,,2.24,2.2,2.18,6430,4,0
1783461158.26,11.9,6.6,5.2,0.1,3354.0,75.1,,2.24,2.2,2.18,6154,3,0
1783461159.2628,13.1,7.3,5.8,0.0,3354.0,75.5,,2.24,2.2,2.18,6265,3,0
1783461160.2647,12.0,6.7,5.3,0.0,3354.0,75.7,,2.24,2.2,2.18,6541,4,0
1783461161.2663,12.1,6.9,5.2,0.0,3354.0,75.7,,2.24,2.2,2.18,6331,3,0
1783461162.2685,12.1,6.6,5.5,0.0,3354.0,75.7,,2.22,2.2,2.18,6259,3,0
1783461163.2708,12.1,6.8,5.4,0.0,3354.0,75.8,,2.22,2.2,2.18,6359,4,0
1783461164.2734,12.4,7.0,5.3,0.1,3354.0,76.2,,2.22,2.2,2.18,6639,4,0
1783461165.2751,12.2,6.8,5.4,0.0,3354.0,76.2,,2.22,2.2,2.18,6599,3,0
1783461166.2759,11.5,6.1,5.4,0.0,3354.0,76.5,,2.22,2.2,2.18,5883,3,0
1783461167.2766,10.6,6.1,4.5,0.0,3354.0,78.0,,2.21,2.2,2.18,5721,3,0
1783461168.2773,10.8,6.2,4.6,0.0,3354.0,78.5,,2.21,2.2,2.18,5678,3,0
1783461169.2803,10.7,4.5,6.1,0.2,3354.0,75.1,,2.21,2.2,2.18,6786,3,0
1783461170.2822,14.8,9.0,5.8,0.0,3354.0,75.0,,2.21,2.2,2.18,7506,5,0
1783461171.2858,12.8,7.5,5.3,0.0,3354.0,76.2,,2.21,2.2,2.18,6638,4,0
1783461172.2888,12.5,6.6,5.7,0.1,3354.0,77.4,,2.51,2.26,2.2,6148,3,0
1783461173.2909,12.6,6.8,5.8,0.0,3354.0,77.9,,2.51,2.26,2.2,5938,4,0
1783461174.2927,12.0,6.7,5.2,0.0,3354.0,78.2,,2.51,2.26,2.2,6109,4,0
1783461175.2946,12.4,6.7,5.7,0.0,3354.0,78.4,,2.51,2.26,2.2,6412,3,0
1783461176.2976,12.1,6.6,5.4,0.0,3354.0,78.6,,2.51,2.26,2.2,6283,4,0
1783461177.3,11.5,6.4,5.1,0.0,3354.0,78.5,,2.47,2.25,2.2,6265,3,0
1783461178.302,11.9,6.4,5.4,0.0,3354.0,79.0,,2.47,2.25,2.2,6165,4,0
1783461179.3031,11.7,6.3,5.3,0.0,3354.0,79.1,,2.47,2.25,2.2,6228,3,0
1783461180.3042,10.8,6.2,4.6,0.0,3354.0,81.6,,2.47,2.25,2.2,5587,3,0
1783461181.3054,10.6,6.0,4.6,0.0,3354.0,82.4,,2.47,2.25,2.2,5597,3,0
1783461182.3071,10.4,4.3,6.0,0.1,3354.0,75.4,,2.43,2.25,2.2,6585,4,0
1783461183.3106,13.0,7.1,5.8,0.1,3354.0,77.4,,2.43,2.25,2.2,6205,3,0
1783461184.3129,12.3,6.7,5.5,0.0,3354.0,79.6,,2.43,2.25,2.2,6418,4,0
1783461185.3178,12.2,6.6,5.6,0.0,3354.0,80.9,,2.43,2.25,2.2,6008,3,0
1783461186.32,12.2,6.6,5.6,0.0,3354.0,81.5,,2.43,2.25,2.2,5930,3,0
1783461187.3223,11.9,6.6,5.3,0.0,3354.0,81.8,,2.56,2.28,2.21,6193,4,0
1783461188.3247,12.2,6.6,5.6,0.0,3354.0,81.8,,2.56,2.28,2.21,6013,4,0
1783461189.3268,12.3,6.7,5.6,0.0,3354.0,81.8,,2.56,2.28,2.21,6290,5,0
