timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1783493172.9213,5.8,1.3,4.5,0.0,3354.0,58.8,,1.83,1.97,1.99,4874,4,0
1783493173.9223,8.4,3.4,5.0,0.0,3354.0,58.8,,1.83,1.97,1.99,5707,4,0
1783493174.923,9.4,3.9,5.5,0.0,3354.0,59.0,,1.83,1.97,1.99,6571,3,0
1783493175.9239,10.0,4.9,5.0,0.1,3354.0,59.1,,1.83,1.97,1.99,5988,3,0
1783493176.9247,9.8,4.7,5.1,0.0,3354.0,59.4,,1.83,1.97,1.99,6088,3,0
1783493177.9254,9.2,3.8,5.3,0.0,3354.0,59.6,,1.92,1.99,1.99,6402,4,0
1783493178.9261,9.9,4.9,5.0,0.0,3354.0,60.0,,1.92,1.99,1.99,6768,4,0
1783493179.9271,12.0,6.7,5.3,0.0,3354.0,60.1,,1.92,1.99,1.99,7597,3,0
1783493180.9279,11.1,5.9,5.2,0.0,3354.0,60.1,,1.92,1.99,1.99,7380,6,0
1783493181.9286,10.4,5.2,5.2,0.0,3354.0,60.4,,1.92,1.99,1.99,7160,3,0
1783493182.9293,10.1,4.9,5.1,0.0,3354.0,60.4,,1.93,1.99,1.99,6347,3,0
1783493183.9301,9.7,4.2,5.4,0.0,3354.0,60.5,,1.93,1.99,1.99,6139,3,0
1783493184.931,10.6,5.3,5.2,0.0,3354.0,60.6,,1.93,1.99,1.99,6394,4,0
1783493185.9318,9.2,3.7,5.5,0.0,3354.0,60.4,,1.93,1.99,1.99,6318,3,0
1783493186.9327,10.3,5.0,5.3,0.0,3354.0,60.8,,1.93,1.99,1.99,6209,3,0
1783493187.9334,9.9,4.7,5.2,0.0,3354.0,60.9,,1.94,1.99,1.99,6215,4,0
1783493188.9342,9.8,4.6,5.2,0.0,3354.0,60.8,,1.94,1.99,1.99,6249,3,0
1783493189.9352,10.1,4.9,5.2,0.0,3354.0,60.8,,1.94,1.99,1.99,6315,3,0
1783493190.936,9.0,3.9,5.1,0.0,3354.0,60.8,,1.94,1.99,1.99,6432,2,0
1783493191.9368,10.2,4.9,5.3,0.0,3354.0,61.0,,1.94,1.99,1.99,6425,4,0
