timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1783505730.6423,121.69,9.42,7.7,81.31,112.27,16.0,2.21,0.0,0.0
1783505731.6427,121.69,11.19,9.2,79.53,110.5,16.0,2.21,0.0,0.0
1783505732.6433,121.69,11.19,9.2,79.54,110.5,16.0,2.21,0.0,0.0
1783505733.6437,121.69,11.21,9.2,79.52,110.48,16.0,2.21,0.0,0.0
1783505734.6443,121.69,11.25,9.2,79.48,110.44,16.0,2.21,0.0,0.0
1783505735.6451,121.69,11.22,9.2,79.51,110.47,16.0,2.21,0.0,0.0
1783505736.6459,121.69,11.22,9.2,79.51,110.47,16.0,2.21,0.0,0.0
1783505737.6464,121.69,11.27,9.3,79.46,110.42,16.0,2.21,0.0,0.0
1783505738.6473,121.69,11.21,9.2,79.52,110.48,16.0,2.21,0.0,0.0
1783505739.6476,121.69,11.23,9.2,79.49,110.46,16.0,2.21,0.0,0.0
1783505740.6483,121.69,11.2,9.2,79.53,110.49,16.0,2.21,0.0,0.0
1783505741.6489,121.69,11.17,9.2,79.56,110.52,16.0,2.21,0.0,0.0
1783505742.6498,121.69,11.14,9.2,79.59,110.55,16.0,2.21,0.0,0.0
1783505743.6509,121.69,11.15,9.2,79.58,110.54,16.0,2.21,0.0,0.0
1783505744.6515,121.69,11.14,9.2,79.59,110.55,16.0,2.21,0.0,0.0
1783505745.6522,121.69,11.12,9.1,79.61,110.57,16.0,2.21,0.0,0.0
1783505746.6529,121.69,11.12,9.1,79.61,110.57,16.0,2.21,0.0,0.0
1783505747.6535,121.69,11.12,9.1,79.61,110.57,16.0,2.21,0.0,0.0
1783505748.6543,121.69,11.12,9.1,79.61,110.57,16.0,2.21,0.0,0.0
1783505749.6547,121.69,12.61,10.4,78.12,109.08,16.0,2.21,0.0,0.0
1783505750.6551,121.69,12.63,10.4,78.1,109.06,16.0,2.21,0.0,0.0
1783505751.6555,121.69,12.65,10.4,78.07,109.04,16.0,2.21,0.0,0.0
1783505752.6561,121.69,12.63,10.4,78.1,109.06,16.0,2.21,0.0,0.0
1783505753.6565,121.69,12.63,10.4,78.09,109.06,16.0,2.21,0.0,0.0
1783505754.6569,121.69,12.61,10.4,78.12,109.08,16.0,2.21,0.0,0.0
1783505755.6573,121.69,12.62,10.4,78.11,109.07,16.0,2.21,0.0,0.0
1783505756.6579,121.69,12.62,10.4,78.11,109.07,16.0,2.21,0.0,0.0
1783505757.6584,121.69,12.66,10.4,78.07,109.03,16.0,2.21,0.0,0.0
1783505758.6589,121.69,12.66,10.4,78.07,109.03,16.0,2.21,0.0,0.0
1783505759.6596,121.69,12.69,10.4,78.04,109.0,16.0,2.21,0.0,0.0
1783505760.6601,121.69,12.69,10.4,78.03,109.0,16.0,2.21,0.0,0.0
1783505761.6608,121.69,12.67,10.4,78.06,109.02,16.0,2.21,0.0,0.0
1783505762.6614,121.69,12.64,10.4,78.08,109.05,16.0,2.21,0.0,0.0
1783505763.6622,121.69,12.64,10.4,78.09,109.05,16.0,2.21,0.0,0.0
1783505764.6632,121.69,12.65,10.4,78.08,109.04,16.0,2.21,0.0,0.0
1783505765.6639,121.69,12.66,10.4,78.07,109.03,16.0,2.21,0.0,0.0
1783505766.6648,121.69,12.69,10.4,78.04,109.0,16.0,2.21,0.0,0.0
1783505767.6658,121.69,12.75,10.5,77.97,108.94,16.0,2.21,0.0,0.0
1783505768.6673,121.69,12.7,10.4,78.02,108.99,16.0,2.21,0.0,0.0
1783505769.6682,121.69,12.68,10.4,78.05,109.01,16.0,2.21,0.0,0.0
1783505770.6688,121.69,12.66,10.4,78.06,109.03,16.0,2.21,0.0,0.0
1783505771.6696,121.69,12.71,10.4,78.02,108.98,16.0,2.21,0.0,0.0
1783505772.6702,121.69,12.71,10.4,78.01,108.98,16.0,2.21,0.0,0.0
1783505773.6709,121.69,12.72,10.5,78.0,108.97,16.0,2.21,0.0,0.0
1783505774.6715,121.69,12.71,10.4,78.02,108.98,16.0,2.21,0.0,0.0
1783505775.6749,121.69,12.71,10.4,78.02,108.98,16.0,2.21,0.0,0.0
1783505776.6754,121.69,12.74,10.5,77.98,108.95,16.0,2.21,0.0,0.0
1783505777.676,121.69,12.71,10.4,78.02,108.98,16.0,2.21,0.0,0.0
