timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1783513023.7656,121.69,9.18,7.5,81.54,112.51,16.0,2.2,0.0,0.0
1783513024.766,121.69,9.51,7.8,81.2,112.18,16.0,2.2,0.0,0.0
1783513025.7663,121.69,9.52,7.8,81.19,112.17,16.0,2.2,0.0,0.0
1783513026.7667,121.69,9.51,7.8,81.2,112.18,16.0,2.2,0.0,0.0
1783513027.7669,121.69,9.54,7.8,81.18,112.15,16.0,2.2,0.0,0.0
1783513028.7673,121.69,9.55,7.8,81.16,112.14,16.0,2.2,0.0,0.0
1783513029.7677,121.69,9.27,7.6,81.44,112.42,16.0,2.2,0.0,0.0
1783513030.7681,121.69,9.52,7.8,81.19,112.17,16.0,2.2,0.0,0.0
1783513031.7683,121.69,9.56,7.9,81.16,112.13,16.0,2.2,0.0,0.0
1783513032.7689,121.69,9.55,7.8,81.16,112.14,16.0,2.2,0.0,0.0
1783513033.7692,121.69,9.54,7.8,81.18,112.15,16.0,2.2,0.0,0.0
1783513034.7695,121.69,9.51,7.8,81.21,112.18,16.0,2.2,0.0,0.0
1783513035.7699,121.69,9.54,7.8,81.18,112.15,16.0,2.2,0.0,0.0
1783513036.7702,121.69,9.56,7.9,81.16,112.13,16.0,2.2,0.0,0.0
1783513037.7705,121.69,9.68,8.0,81.04,112.01,16.0,2.2,0.0,0.0
1783513038.7709,121.69,9.66,7.9,81.06,112.03,16.0,2.2,0.0,0.0
1783513039.7713,121.69,9.66,7.9,81.06,112.03,16.0,2.2,0.0,0.0
1783513040.7715,121.69,9.64,7.9,81.07,112.05,16.0,2.2,0.0,0.0
1783513041.7718,121.69,9.62,7.9,81.09,112.07,16.0,2.2,0.0,0.0
1783513042.7721,121.69,9.69,8.0,81.03,112.0,16.0,2.2,0.0,0.0
1783513043.7724,121.69,9.69,8.0,81.03,112.0,16.0,2.2,0.0,0.0
1783513044.7727,121.69,9.72,8.0,81.0,111.97,16.0,2.2,0.0,0.0
1783513045.773,121.69,9.65,7.9,81.06,112.04,16.0,2.2,0.0,0.0
1783513046.7734,121.69,9.7,8.0,81.01,111.99,16.0,2.2,0.0,0.0
1783513047.774,121.69,9.68,8.0,81.03,112.01,16.0,2.2,0.0,0.0
1783513048.7744,121.69,9.67,7.9,81.05,112.02,16.0,2.2,0.0,0.0
1783513049.7747,121.69,9.66,7.9,81.05,112.03,16.0,2.2,0.0,0.0
1783513050.7751,121.69,9.62,7.9,81.1,112.07,16.0,2.2,0.0,0.0
1783513051.7755,121.69,9.69,8.0,81.03,112.0,16.0,2.2,0.0,0.0
1783513052.7759,121.69,9.68,8.0,81.04,112.01,16.0,2.2,0.0,0.0
1783513053.7762,121.69,9.69,8.0,81.03,112.0,16.0,2.2,0.0,0.0
1783513054.7766,121.69,9.8,8.1,80.92,111.89,16.0,2.2,0.0,0.0
1783513055.7776,121.69,9.81,8.1,80.91,111.88,16.0,2.2,0.0,0.0
1783513056.778,121.69,9.78,8.0,80.94,111.91,16.0,2.2,0.0,0.0
1783513057.7783,121.69,9.8,8.1,80.92,111.89,16.0,2.2,0.0,0.0
1783513058.7786,121.69,9.8,8.1,80.91,111.89,16.0,2.2,0.0,0.0
1783513059.7791,121.69,9.75,8.0,80.96,111.94,16.0,2.2,0.0,0.0
1783513060.7794,121.69,9.64,7.9,81.08,112.05,16.0,2.2,0.0,0.0
1783513061.7797,121.69,9.64,7.9,81.07,112.05,16.0,2.2,0.0,0.0
1783513062.78,121.69,9.63,7.9,81.08,112.06,16.0,2.2,0.0,0.0
1783513063.7802,121.69,9.68,8.0,81.04,112.01,16.0,2.2,0.0,0.0
1783513064.7805,121.69,9.67,7.9,81.05,112.02,16.0,2.2,0.0,0.0
1783513065.7809,121.69,9.58,7.9,81.13,112.11,16.0,2.2,0.0,0.0
1783513066.7812,121.69,9.67,7.9,81.05,112.02,16.0,2.2,0.0,0.0
1783513067.7815,121.69,9.64,7.9,81.07,112.05,16.0,2.2,0.0,0.0
