timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1783496483.8035,6.4,1.3,5.0,0.0,3354.0,63.3,,2.11,2.26,2.16,5415,4,0
1783496484.8046,9.2,3.7,5.4,0.0,3354.0,63.5,,2.11,2.26,2.16,6865,3,0
1783496485.8066,13.1,4.5,8.6,0.0,3354.0,63.7,,2.11,2.26,2.16,7415,3,0
1783496486.8078,11.6,3.5,8.1,0.1,3354.0,64.0,,2.11,2.26,2.16,7821,3,0
1783496487.8094,12.7,4.6,8.0,0.0,3354.0,65.0,,2.11,2.26,2.16,6945,3,0
1783496488.8106,11.1,4.2,6.9,0.1,3354.0,65.0,,2.1,2.26,2.16,7309,3,0
1783496489.8117,12.4,3.3,9.1,0.0,3354.0,66.0,,2.1,2.26,2.16,7113,2,0
1783496490.8134,11.6,4.2,7.4,0.0,3354.0,65.2,,2.1,2.26,2.16,6560,3,0
1783496491.8145,12.3,4.7,7.6,0.0,3354.0,65.7,,2.1,2.26,2.16,7388,8,0
1783496492.8157,13.5,5.0,8.6,0.0,3354.0,66.1,,2.1,2.26,2.16,7883,3,0
1783496493.8174,10.8,4.1,6.7,0.1,3354.0,66.5,,2.09,2.25,2.16,6966,4,0
1783496494.8186,12.0,3.1,8.9,0.0,3354.0,66.6,,2.09,2.25,2.16,7219,2,0
1783496495.8204,11.7,4.1,7.6,0.0,3354.0,66.7,,2.09,2.25,2.16,6673,4,0
1783496496.8215,10.8,2.7,8.0,0.0,3354.0,66.8,,2.09,2.25,2.16,6448,3,0
1783496497.8233,12.6,4.1,8.6,0.0,3354.0,67.9,,2.09,2.25,2.16,6669,3,0
1783496498.8248,11.0,3.7,7.3,0.0,3354.0,67.0,,2.17,2.27,2.16,6898,3,0
1783496499.8259,12.7,3.3,9.3,0.1,3354.0,67.3,,2.17,2.27,2.16,6982,5,0
1783496500.827,10.0,3.6,6.3,0.0,3354.0,69.2,,2.17,2.27,2.16,6570,4,0
1783496501.828,12.3,3.3,9.0,0.0,3354.0,70.6,,2.17,2.27,2.16,6579,5,0
1783496502.8296,11.2,4.1,7.1,0.0,3354.0,66.6,,2.17,2.27,2.16,7309,4,0
1783496503.8306,11.3,3.5,7.8,0.0,3354.0,67.0,,2.15,2.26,2.16,7348,3,0
1783496504.832,13.3,4.2,9.1,0.1,3354.0,67.8,,2.15,2.26,2.16,7206,3,0
1783496505.8331,10.6,3.9,6.6,0.0,3354.0,67.6,,2.15,2.26,2.16,6574,5,0
1783496506.8343,12.2,3.2,9.0,0.0,3354.0,67.3,,2.15,2.26,2.16,6752,3,0
1783496507.8359,11.6,4.0,7.6,0.0,3354.0,69.2,,2.15,2.26,2.16,7043,3,0
1783496508.837,11.5,3.4,8.1,0.0,3354.0,68.8,,2.14,2.26,2.16,7431,3,0
1783496509.838,12.8,4.1,8.7,0.1,3354.0,69.3,,2.14,2.26,2.16,7080,4,0
1783496510.8391,10.5,4.0,6.5,0.0,3354.0,67.3,,2.14,2.26,2.16,6942,5,0
1783496511.8401,12.4,3.2,9.2,0.0,3354.0,69.2,,2.14,2.26,2.16,6850,3,0
1783496512.8423,11.1,4.3,6.8,0.0,3354.0,68.7,,2.14,2.26,2.16,7230,3,0
1783496513.8435,12.2,3.1,9.1,0.0,3354.0,67.7,,2.21,2.27,2.17,7170,2,0
1783496514.8449,11.8,4.2,7.5,0.1,3354.0,67.4,,2.21,2.27,2.17,7316,4,0
1783496515.846,11.0,3.4,7.6,0.0,3354.0,67.6,,2.21,2.27,2.17,7070,4,0
1783496516.8472,12.8,4.1,8.7,0.0,3354.0,68.8,,2.21,2.27,2.17,7109,4,0
1783496517.8489,11.6,4.2,7.4,0.0,3354.0,68.4,,2.21,2.27,2.17,7081,5,0
1783496518.8502,12.0,3.2,8.8,0.0,3354.0,69.3,,2.19,2.26,2.16,7205,2,0
1783496519.8522,12.1,4.2,7.8,0.1,3354.0,67.8,,2.19,2.26,2.16,6986,4,0
1783496520.8533,10.9,3.2,7.6,0.0,3354.0,67.8,,2.19,2.26,2.16,6768,4,0
1783496521.8544,12.8,4.3,8.6,0.0,3354.0,69.1,,2.19,2.26,2.16,6952,4,0
1783496522.8563,11.0,4.0,7.0,0.0,3354.0,68.9,,2.19,2.26,2.16,7258,4,0
1783496523.8577,12.7,3.5,9.2,0.0,3354.0,69.4,,2.18,2.26,2.16,6929,3,0
1783496524.8595,11.3,4.1,7.1,0.1,3354.0,68.5,,2.18,2.26,2.16,6788,3,0
1783496525.8609,11.3,3.0,8.3,0.0,3354.0,68.5,,2.18,2.26,2.16,6642,3,0
1783496526.8627,12.7,4.4,8.3,0.0,3354.0,69.2,,2.18,2.26,2.16,6958,4,0
1783496527.8637,8.9,2.2,6.8,0.0,3354.0,68.9,,2.18,2.26,2.16,6488,3,0
1783496528.8655,12.8,4.5,8.4,0.0,3354.0,68.3,,2.16,2.26,2.16,6754,4,0
1783496529.8666,11.2,4.5,6.7,0.0,3354.0,68.4,,2.16,2.26,2.16,6826,3,0
1783496530.8676,12.1,3.3,8.8,0.0,3354.0,68.9,,2.16,2.26,2.16,6734,3,0
1783496531.8692,11.6,4.2,7.4,0.0,3354.0,70.1,,2.16,2.26,2.16,7494,4,0
1783496532.8703,11.2,3.4,7.8,0.0,3354.0,69.2,,2.16,2.26,2.16,7179,3,0
1783496533.8713,12.5,3.9,8.6,0.0,3354.0,68.7,,2.15,2.25,2.16,6848,3,0
