timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1783515445.0956,121.69,9.27,7.6,81.44,112.42,16.0,2.2,0.0,0.0
1783515446.0959,121.69,10.34,8.5,80.37,111.35,16.0,2.2,0.0,0.0
1783515447.0962,121.69,10.36,8.5,80.35,111.33,16.0,2.2,0.0,0.0
1783515448.0965,121.69,10.36,8.5,80.36,111.33,16.0,2.2,0.0,0.0
1783515449.0969,121.69,10.4,8.5,80.31,111.29,16.0,2.2,0.0,0.0
1783515450.0973,121.69,9.57,7.9,81.14,112.12,16.0,2.2,0.0,0.0
1783515451.0977,121.69,10.5,8.6,80.21,111.19,16.0,2.2,0.0,0.0
1783515452.0981,121.69,10.55,8.7,80.16,111.14,16.0,2.2,0.0,0.0
1783515453.0985,121.69,10.55,8.7,80.16,111.14,16.0,2.2,0.0,0.0
1783515454.0988,121.69,9.73,8.0,80.98,111.96,16.0,2.2,0.0,0.0
1783515455.0993,121.69,10.57,8.7,80.14,111.12,16.0,2.2,0.0,0.0
1783515456.0997,121.69,10.49,8.6,80.22,111.2,16.0,2.2,0.0,0.0
1783515457.1001,121.69,10.54,8.7,80.17,111.15,16.0,2.2,0.0,0.0
1783515458.1004,121.69,10.46,8.6,80.25,111.23,16.0,2.2,0.0,0.0
1783515459.1009,121.69,10.6,8.7,80.12,111.09,16.0,2.2,0.0,0.0
1783515460.1013,121.69,10.65,8.8,80.06,111.04,16.0,2.2,0.0,0.0
1783515461.1016,121.69,10.67,8.8,80.04,111.02,16.0,2.2,0.0,0.0
1783515462.102,121.69,11.02,9.1,79.69,110.67,16.0,2.2,0.0,0.0
1783515463.1024,121.69,11.05,9.1,79.66,110.64,16.0,2.2,0.0,0.0
1783515464.1027,121.69,11.01,9.0,79.7,110.68,16.0,2.2,0.0,0.0
1783515465.103,121.69,11.0,9.0,79.71,110.69,16.0,2.2,0.0,0.0
1783515466.1032,121.69,10.99,9.0,79.72,110.7,16.0,2.2,0.0,0.0
1783515467.1037,121.69,10.91,9.0,79.8,110.78,16.0,2.2,0.0,0.0
1783515468.104,121.69,10.89,8.9,79.82,110.8,16.0,2.2,0.0,0.0
1783515469.1044,121.69,10.52,8.6,80.19,111.17,16.0,2.2,0.0,0.0
1783515470.1047,121.69,11.24,9.2,79.48,110.45,16.0,2.2,0.0,0.0
1783515471.105,121.69,11.21,9.2,79.5,110.48,16.0,2.2,0.0,0.0
1783515472.106,121.69,11.19,9.2,79.52,110.5,16.0,2.2,0.0,0.0
1783515473.1062,121.69,10.45,8.6,80.27,111.24,16.0,2.2,0.0,0.0
1783515474.1066,121.69,10.87,8.9,79.84,110.82,16.0,2.2,0.0,0.0
1783515475.1071,121.69,10.9,9.0,79.81,110.79,16.0,2.2,0.0,0.0
1783515476.1076,121.69,10.95,9.0,79.76,110.74,16.0,2.2,0.0,0.0
