timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1783534175.0982,121.69,9.28,7.6,80.87,112.41,16.0,2.2,0.0,0.0
1783534176.0983,121.69,9.36,7.7,80.78,112.33,16.0,2.2,0.0,0.0
1783534177.0985,121.69,9.58,7.9,80.56,112.11,16.0,2.2,0.0,0.0
1783534178.099,121.69,9.61,7.9,80.54,112.08,16.0,2.2,0.0,0.0
1783534179.0993,121.69,9.66,7.9,80.48,112.03,16.0,2.2,0.0,0.0
1783534180.0995,121.69,9.63,7.9,80.52,112.06,16.0,2.2,0.0,0.0
1783534181.0999,121.69,9.65,7.9,80.49,112.04,16.0,2.2,0.0,0.0
1783534182.1001,121.69,9.65,7.9,80.5,112.04,16.0,2.2,0.0,0.0
1783534183.1005,121.69,9.64,7.9,80.51,112.05,16.0,2.2,0.0,0.0
1783534184.1008,121.69,9.67,7.9,80.47,112.02,16.0,2.2,0.0,0.0
1783534185.1011,121.69,9.98,8.2,80.16,111.71,16.0,2.2,0.0,0.0
1783534186.1014,121.69,9.99,8.2,80.15,111.7,16.0,2.2,0.0,0.0
1783534187.1016,121.69,10.09,8.3,80.06,111.6,16.0,2.2,0.0,0.0
1783534188.1018,121.69,10.07,8.3,80.07,111.62,16.0,2.2,0.0,0.0
1783534189.1021,121.69,10.1,8.3,80.05,111.59,16.0,2.2,0.0,0.0
1783534190.1023,121.69,9.61,7.9,80.54,112.08,16.0,2.2,0.0,0.0
1783534191.1025,121.69,9.83,8.1,80.32,111.86,16.0,2.2,0.0,0.0
1783534192.1027,121.69,9.78,8.0,80.37,111.91,16.0,2.2,0.0,0.0
1783534193.1029,121.69,9.79,8.0,80.36,111.9,16.0,2.2,0.0,0.0
1783534194.1033,121.69,9.76,8.0,80.38,111.93,16.0,2.2,0.0,0.0
1783534195.1036,121.69,9.76,8.0,80.38,111.93,16.0,2.2,0.0,0.0
1783534196.1039,121.69,9.85,8.1,80.29,111.84,16.0,2.2,0.0,0.0
1783534197.1042,121.69,9.87,8.1,80.27,111.82,16.0,2.2,0.0,0.0
1783534198.1046,121.69,9.91,8.1,80.24,111.78,16.0,2.2,0.0,0.0
1783534199.1048,121.69,10.22,8.4,79.93,111.47,16.0,2.2,0.0,0.0
1783534200.1051,121.69,10.24,8.4,79.9,111.45,16.0,2.2,0.0,0.0
1783534201.1053,121.69,10.15,8.3,79.99,111.54,16.0,2.2,0.0,0.0
1783534202.1056,121.69,10.2,8.4,79.95,111.49,16.0,2.2,0.0,0.0
1783534203.1059,121.69,10.15,8.3,79.99,111.54,16.0,2.2,0.0,0.0
1783534204.1062,121.69,9.74,8.0,80.4,111.95,16.0,2.2,0.0,0.0
1783534205.1064,121.69,9.9,8.1,80.24,111.79,16.0,2.2,0.0,0.0
1783534206.1066,121.69,9.87,8.1,80.27,111.82,16.0,2.2,0.0,0.0
1783534207.1069,121.69,9.85,8.1,80.29,111.84,16.0,2.2,0.0,0.0
