timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1783533122.9765,121.69,10.12,8.3,80.03,111.57,16.0,2.2,0.0,0.0
1783533123.9768,121.69,10.28,8.4,79.87,111.41,16.0,2.2,0.0,0.0
1783533124.977,121.69,10.45,8.6,80.05,111.24,16.0,2.2,0.0,0.0
1783533125.9773,121.69,10.36,8.5,80.04,111.33,16.0,2.2,0.0,0.0
1783533126.9775,121.69,10.36,8.5,79.94,111.33,16.0,2.2,0.0,0.0
1783533127.9778,121.69,10.34,8.5,79.86,111.35,16.0,2.2,0.0,0.0
1783533128.9782,121.69,11.25,9.2,78.9,110.44,16.0,2.2,0.0,0.0
1783533129.9784,121.69,11.28,9.3,78.86,110.41,16.0,2.2,0.0,0.0
1783533130.9789,121.69,11.3,9.3,78.84,110.39,16.0,2.2,0.0,0.0
1783533131.9792,121.69,11.34,9.3,78.8,110.35,16.0,2.2,0.0,0.0
1783533132.9796,121.69,11.33,9.3,78.82,110.36,16.0,2.2,0.0,0.0
1783533133.9799,121.69,11.38,9.4,78.77,110.31,16.0,2.2,0.0,0.0
1783533134.9802,121.69,10.56,8.7,79.59,111.13,16.0,2.2,0.0,0.0
1783533135.9805,121.69,10.68,8.8,79.81,111.01,16.0,2.2,0.0,0.0
1783533136.9808,121.69,10.57,8.7,79.82,111.12,16.0,2.2,0.0,0.0
1783533137.9812,121.69,10.49,8.6,79.8,111.2,16.0,2.2,0.0,0.0
1783533138.9814,121.69,10.43,8.6,79.75,111.26,16.0,2.2,0.0,0.0
1783533139.9817,121.69,11.67,9.6,78.48,110.02,16.0,2.2,0.0,0.0
1783533140.9821,121.69,11.68,9.6,78.47,110.01,16.0,2.2,0.0,0.0
1783533141.9823,121.69,11.78,9.7,78.36,109.91,16.0,2.2,0.0,0.0
1783533142.9826,121.69,11.83,9.7,78.32,109.86,16.0,2.2,0.0,0.0
1783533143.9829,121.69,11.77,9.7,78.38,109.92,16.0,2.2,0.0,0.0
1783533144.9831,121.69,11.38,9.4,78.77,110.31,16.0,2.2,0.0,0.0
1783533145.9835,121.69,11.19,9.2,79.38,110.5,16.0,2.2,0.0,0.0
1783533146.9839,121.69,11.07,9.1,79.4,110.62,16.0,2.2,0.0,0.0
1783533147.9843,121.69,10.98,9.0,79.39,110.71,16.0,2.2,0.0,0.0
1783533148.9845,121.69,10.96,9.0,79.31,110.73,16.0,2.2,0.0,0.0
1783533149.9849,121.69,10.91,9.0,79.26,110.78,16.0,2.2,0.0,0.0
1783533150.9853,121.69,12.09,9.9,78.06,109.6,16.0,2.2,0.0,0.0
1783533151.9857,121.69,12.08,9.9,78.06,109.61,16.0,2.2,0.0,0.0
1783533152.9861,121.69,12.1,9.9,78.04,109.59,16.0,2.2,0.0,0.0
1783533153.9868,121.69,12.19,10.0,77.95,109.5,16.0,2.2,0.0,0.0
1783533154.9871,121.69,12.28,10.1,77.87,109.41,16.0,2.2,0.0,0.0
1783533155.9879,121.69,11.57,9.5,78.57,110.12,16.0,2.2,0.0,0.0
1783533156.9883,121.69,11.56,9.5,79.0,110.13,16.0,2.2,0.0,0.0
1783533157.9887,121.69,11.39,9.4,79.07,110.3,16.0,2.2,0.0,0.0
1783533158.9891,121.69,11.32,9.3,79.04,110.37,16.0,2.2,0.0,0.0
1783533159.9893,121.69,11.28,9.3,78.98,110.41,16.0,2.2,0.0,0.0
1783533160.99,121.69,11.19,9.2,78.97,110.5,16.0,2.2,0.0,0.0
1783533161.9902,121.69,12.43,10.2,77.72,109.26,16.0,2.2,0.0,0.0
1783533162.9905,121.69,12.48,10.3,77.66,109.21,16.0,2.2,0.0,0.0
1783533163.9908,121.69,12.39,10.2,77.75,109.3,16.0,2.2,0.0,0.0
1783533164.9911,121.69,12.47,10.2,77.68,109.22,16.0,2.2,0.0,0.0
1783533165.9918,121.69,12.51,10.3,77.63,109.18,16.0,2.2,0.0,0.0
1783533166.9922,121.69,11.85,9.7,78.3,109.84,16.0,2.2,0.0,0.0
1783533167.9924,121.69,11.93,9.8,78.63,109.76,16.0,2.2,0.0,0.0
1783533168.9928,121.69,11.78,9.7,78.68,109.91,16.0,2.2,0.0,0.0
1783533169.9932,121.69,11.68,9.6,78.67,110.01,16.0,2.2,0.0,0.0
1783533170.9935,121.69,11.63,9.6,78.62,110.06,16.0,2.2,0.0,0.0
1783533171.9941,121.69,11.6,9.5,78.55,110.09,16.0,2.2,0.0,0.0
1783533172.9943,121.69,12.8,10.5,77.34,108.89,16.0,2.2,0.0,0.0
1783533173.9947,121.69,12.78,10.5,77.37,108.91,16.0,2.2,0.0,0.0
1783533174.9949,121.69,12.74,10.5,77.41,108.95,16.0,2.2,0.0,0.0
1783533175.9951,121.69,12.85,10.6,77.3,108.84,16.0,2.2,0.0,0.0
1783533176.9954,121.69,12.85,10.6,77.3,108.84,16.0,2.2,0.0,0.0
1783533177.9957,121.69,12.02,9.9,78.12,109.67,16.0,2.2,0.0,0.0
1783533178.9963,121.69,12.27,10.1,78.27,109.42,16.0,2.2,0.0,0.0
1783533179.9967,121.69,12.13,10.0,78.31,109.56,16.0,2.2,0.0,0.0
1783533180.9971,121.69,12.08,9.9,78.27,109.61,16.0,2.2,0.0,0.0
1783533181.9973,121.69,12.05,9.9,78.19,109.64,16.0,2.2,0.0,0.0
1783533182.9977,121.69,11.98,9.8,78.17,109.71,16.0,2.2,0.0,0.0
1783533183.998,121.69,13.07,10.7,77.08,108.62,16.0,2.2,0.0,0.0
1783533184.9984,121.69,13.12,10.8,77.03,108.57,16.0,2.2,0.0,0.0
1783533185.9988,121.69,13.13,10.8,77.02,108.56,16.0,2.2,0.0,0.0
1783533186.9992,121.69,13.05,10.7,77.1,108.64,16.0,2.2,0.0,0.0
1783533187.9994,121.69,13.03,10.7,77.11,108.66,16.0,2.2,0.0,0.0
1783533189.0001,121.69,12.16,10.0,77.98,109.53,16.0,2.2,0.0,0.0
1783533190.0004,121.69,12.34,10.1,78.19,109.35,16.0,2.2,0.0,0.0
1783533191.0008,121.69,12.14,10.0,78.29,109.55,16.0,2.2,0.0,0.0
1783533192.0013,121.69,12.07,9.9,78.26,109.62,16.0,2.2,0.0,0.0
1783533193.0016,121.69,11.98,9.8,78.25,109.71,16.0,2.2,0.0,0.0
1783533194.0022,121.69,12.12,10.0,78.03,109.57,16.0,2.2,0.0,0.0
