timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1783518322.2269,121.69,9.33,7.7,81.38,112.36,16.0,2.2,0.0,0.0
1783518323.2292,121.69,9.59,7.9,81.12,112.1,16.0,2.2,0.0,0.0
1783518324.2298,121.69,9.99,8.2,80.71,111.7,16.0,2.2,0.0,0.0
1783518325.2303,121.69,9.97,8.2,80.74,111.72,16.0,2.2,0.0,0.0
1783518326.2311,121.69,9.94,8.2,80.77,111.75,16.0,2.2,0.0,0.0
1783518327.2315,121.69,9.96,8.2,80.75,111.73,16.0,2.2,0.0,0.0
1783518328.2319,121.69,9.95,8.2,80.76,111.74,16.0,2.2,0.0,0.0
1783518329.2325,121.69,9.92,8.2,80.79,111.77,16.0,2.2,0.0,0.0
1783518330.2331,121.69,9.94,8.2,80.77,111.75,16.0,2.2,0.0,0.0
1783518331.2335,121.69,9.93,8.2,80.77,111.76,16.0,2.2,0.0,0.0
1783518332.2339,121.69,9.91,8.1,80.8,111.78,16.0,2.2,0.0,0.0
1783518333.2342,121.69,9.4,7.7,81.31,112.29,16.0,2.2,0.0,0.0
1783518334.2348,121.69,9.95,8.2,80.75,111.74,16.0,2.2,0.0,0.0
1783518335.2352,121.69,9.94,8.2,80.77,111.75,16.0,2.2,0.0,0.0
1783518336.2356,121.69,10.01,8.2,80.69,111.68,16.0,2.2,0.0,0.0
1783518337.2362,121.69,9.98,8.2,80.73,111.71,16.0,2.2,0.0,0.0
1783518338.2367,121.69,9.97,8.2,80.73,111.72,16.0,2.2,0.0,0.0
1783518339.2372,121.69,9.98,8.2,80.73,111.71,16.0,2.2,0.0,0.0
1783518340.2378,121.69,9.98,8.2,80.73,111.71,16.0,2.2,0.0,0.0
1783518341.2383,121.69,9.97,8.2,80.74,111.72,16.0,2.2,0.0,0.0
1783518342.2397,121.69,9.96,8.2,80.74,111.73,16.0,2.2,0.0,0.0
1783518343.24,121.69,9.43,7.7,81.27,112.26,16.0,2.2,0.0,0.0
1783518344.2405,121.69,9.89,8.1,80.81,111.8,16.0,2.2,0.0,0.0
1783518345.2411,121.69,9.93,8.2,80.78,111.76,16.0,2.2,0.0,0.0
1783518346.2418,121.69,9.96,8.2,80.75,111.73,16.0,2.2,0.0,0.0
1783518347.2422,121.69,10.0,8.2,80.71,111.69,16.0,2.2,0.0,0.0
1783518348.2428,121.69,10.01,8.2,80.7,111.68,16.0,2.2,0.0,0.0
1783518349.2435,121.69,9.96,8.2,80.75,111.73,16.0,2.2,0.0,0.0
1783518350.244,121.69,9.95,8.2,80.76,111.74,16.0,2.2,0.0,0.0
1783518351.2445,121.69,9.89,8.1,80.81,111.8,16.0,2.2,0.0,0.0
1783518352.2451,121.69,9.9,8.1,80.8,111.79,16.0,2.2,0.0,0.0
1783518353.2454,121.69,9.46,7.8,81.24,112.23,16.0,2.2,0.0,0.0
1783518354.246,121.69,9.89,8.1,80.82,111.8,16.0,2.2,0.0,0.0
1783518355.2464,121.69,9.91,8.1,80.8,111.78,16.0,2.2,0.0,0.0
1783518356.247,121.69,9.84,8.1,80.86,111.85,16.0,2.2,0.0,0.0
1783518357.2476,121.69,9.87,8.1,80.84,111.82,16.0,2.2,0.0,0.0
1783518358.2481,121.69,9.9,8.1,80.81,111.79,16.0,2.2,0.0,0.0
1783518359.2487,121.69,9.87,8.1,80.84,111.82,16.0,2.2,0.0,0.0
1783518360.2495,121.69,9.92,8.2,80.79,111.77,16.0,2.2,0.0,0.0
1783518361.2499,121.69,9.89,8.1,80.81,111.8,16.0,2.2,0.0,0.0
1783518362.2504,121.69,9.96,8.2,80.75,111.73,16.0,2.2,0.0,0.0
1783518363.2511,121.69,9.94,8.2,80.76,111.75,16.0,2.2,0.0,0.0
1783518364.2516,121.69,9.95,8.2,80.76,111.74,16.0,2.2,0.0,0.0
1783518365.2541,121.69,9.9,8.1,80.8,111.79,16.0,2.2,0.0,0.0
1783518366.2548,121.69,9.9,8.1,80.81,111.79,16.0,2.2,0.0,0.0
1783518367.2553,121.69,9.93,8.2,80.77,111.76,16.0,2.2,0.0,0.0
1783518368.2558,121.69,9.96,8.2,80.75,111.73,16.0,2.2,0.0,0.0
1783518369.2563,121.69,9.99,8.2,80.71,111.7,16.0,2.2,0.0,0.0
1783518370.2569,121.69,10.03,8.2,80.67,111.66,16.0,2.2,0.0,0.0
1783518371.2574,121.69,10.07,8.3,80.63,111.62,16.0,2.2,0.0,0.0
1783518372.2577,121.69,10.1,8.3,80.6,111.59,16.0,2.2,0.0,0.0
1783518373.2583,121.69,10.07,8.3,80.64,111.62,16.0,2.2,0.0,0.0
1783518374.2589,121.69,10.02,8.2,80.69,111.67,16.0,2.2,0.0,0.0
1783518375.2594,121.69,10.02,8.2,80.68,111.67,16.0,2.2,0.0,0.0
1783518376.2602,121.69,10.04,8.3,80.67,111.65,16.0,2.2,0.0,0.0
1783518377.2607,121.69,10.03,8.2,80.67,111.66,16.0,2.2,0.0,0.0
1783518378.2612,121.69,10.01,8.2,80.69,111.68,16.0,2.2,0.0,0.0
