timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1783508777.1923,6.5,1.4,5.0,0.0,3354.0,59.7,,1.87,2.08,2.24,5578,4,0
1783508778.1934,9.0,1.9,7.1,0.0,3354.0,59.8,,1.87,2.08,2.24,6284,3,0
1783508779.1945,11.6,4.6,6.9,0.0,3354.0,59.9,,1.87,2.08,2.24,6601,3,0
1783508780.1957,11.3,6.0,5.3,0.0,3354.0,59.8,,1.87,2.08,2.24,6866,3,0
1783508781.1969,11.5,6.0,5.4,0.0,3354.0,59.9,,1.96,2.1,2.25,6573,4,0
1783508782.1981,11.4,6.0,5.3,0.1,3354.0,59.8,,1.96,2.1,2.25,6573,3,0
1783508783.1994,11.5,5.8,5.7,0.0,3354.0,59.8,,1.96,2.1,2.25,6836,3,0
1783508784.2005,11.4,6.0,5.4,0.0,3354.0,59.9,,1.96,2.1,2.25,6532,3,0
1783508785.2016,11.4,6.0,5.4,0.0,3354.0,59.9,,1.96,2.1,2.25,6661,3,0
1783508786.2027,11.6,6.1,5.4,0.0,3354.0,59.9,,2.05,2.11,2.25,6682,3,0
1783508787.2039,11.2,5.9,5.3,0.0,3354.0,59.8,,2.05,2.11,2.25,6395,5,0
1783508788.205,11.3,5.9,5.4,0.0,3354.0,60.0,,2.05,2.11,2.25,6382,3,0
1783508789.2062,11.4,5.9,5.4,0.0,3354.0,59.9,,2.05,2.11,2.25,6531,3,0
1783508790.2074,11.3,5.9,5.4,0.0,3354.0,59.8,,2.05,2.11,2.25,6522,4,0
1783508791.2087,11.5,5.9,5.6,0.0,3354.0,60.0,,2.04,2.11,2.25,6609,4,0
1783508792.21,11.4,5.8,5.5,0.0,3354.0,59.9,,2.04,2.11,2.25,6290,3,0
1783508793.2108,12.9,7.5,5.4,0.1,3354.0,60.1,,2.04,2.11,2.25,7463,5,0
1783508794.2116,12.3,6.9,5.4,0.0,3354.0,60.2,,2.04,2.11,2.25,7252,3,0
1783508795.2124,11.5,5.9,5.6,0.0,3354.0,60.1,,2.04,2.11,2.25,6982,3,0
1783508796.2132,11.5,6.1,5.4,0.0,3354.0,60.1,,2.04,2.11,2.25,6892,3,0
1783508797.214,11.4,6.0,5.3,0.0,3354.0,60.0,,2.04,2.11,2.25,6466,3,0
1783508798.2147,11.6,6.1,5.5,0.1,3354.0,59.9,,2.04,2.11,2.25,6401,3,0
1783508799.2155,11.4,6.1,5.3,0.0,3354.0,60.1,,2.04,2.11,2.25,6638,3,0
1783508800.2163,13.7,8.3,5.4,0.0,3354.0,60.1,,2.04,2.11,2.25,7735,3,0
1783508801.2171,11.3,6.0,5.3,0.0,3354.0,59.9,,2.12,2.13,2.25,6379,3,0
1783508802.2178,11.4,5.9,5.5,0.0,3354.0,59.9,,2.12,2.13,2.25,6453,3,0
1783508803.2186,11.3,6.0,5.3,0.0,3354.0,59.9,,2.12,2.13,2.25,6211,3,0
1783508804.2193,11.3,5.9,5.3,0.0,3354.0,60.0,,2.12,2.13,2.25,6235,4,0
1783508805.2202,11.5,2.1,9.4,0.0,3354.0,59.9,,2.12,2.13,2.25,6439,3,0
1783508806.2211,11.6,1.9,9.8,0.0,3354.0,60.0,,2.11,2.12,2.25,6908,5,0
1783508807.2224,11.7,5.3,6.4,0.0,3354.0,59.9,,2.11,2.12,2.25,6932,3,0
1783508808.2238,11.4,6.5,4.9,0.0,3354.0,64.4,,2.11,2.12,2.25,6611,3,0
