timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1783509236.448,42637,0,0,0,0,0
1783509236.9483,55720,0,0,0,0,0
1783509237.4486,696404,0,0,0,0,0
1783509237.9489,699900,0,0,0,0,0
1783509238.4492,124207,0,0,0,0,0
1783509238.9496,114810,0,0,0,0,0
1783509239.4498,114868,0,0,0,0,0
1783509239.9504,114934,0,0,0,0,0
1783509240.451,124218,0,0,0,0,0
1783509240.9513,115193,0,0,0,0,0
1783509241.4519,114917,0,0,0,0,0
1783509241.9522,124085,0,0,0,0,0
1783509242.4524,115043,0,0,0,0,0
1783509242.9527,113006,0,0,0,0,0
1783509243.453,114954,0,0,0,0,0
1783509243.9533,116233,0,0,0,0,0
1783509244.4536,123188,0,0,0,0,0
1783509244.954,114991,0,0,0,0,0
1783509245.4542,115030,0,0,0,0,0
1783509245.9546,124058,0,0,0,0,0
1783509246.4548,115430,0,0,0,0,0
1783509246.9551,116225,0,0,0,0,0
1783509247.4556,115067,0,0,0,0,0
1783509247.9559,123221,0,0,0,0,0
1783509248.4563,113781,0,0,0,0,0
1783509248.9566,115093,0,0,0,0,0
1783509249.4571,115077,0,0,0,0,0
1783509249.9575,124569,0,0,0,0,0
1783509250.4578,115159,0,0,0,0,0
1783509250.9581,115120,0,0,0,0,0
1783509251.4583,116988,0,0,0,0,0
1783509251.9586,124585,0,0,0,0,0
1783509252.4588,115077,0,0,0,0,0
1783509252.9591,115099,0,0,0,0,0
1783509253.4593,124188,0,0,0,0,0
1783509253.9595,114459,0,0,0,0,0
1783509254.4599,113829,0,0,0,0,0
1783509254.9603,115169,0,0,0,0,0
1783509255.4605,124675,0,0,0,0,0
1783509255.9607,115211,0,0,0,0,0
1783509256.461,115205,0,0,0,0,0
1783509256.9613,122569,0,0,0,0,0
1783509257.4615,117671,0,0,0,0,0
1783509257.9619,115192,0,0,0,0,0
1783509258.4622,115134,0,0,0,0,0
1783509258.9626,124645,0,0,0,0,0
1783509259.4629,114679,0,0,0,0,0
1783509259.9632,112352,0,0,0,0,0
1783509260.4635,123576,0,0,0,0,0
1783509260.9639,114940,0,0,0,0,0
1783509261.4641,114504,0,0,0,0,0
1783509261.9645,114528,0,0,0,0,0
1783509262.4647,123974,0,0,0,0,0
1783509262.9651,114565,0,0,0,0,0
1783509263.4653,114534,0,0,0,0,0
1783509263.9657,123946,0,0,0,0,0
1783509264.4659,114622,0,0,0,0,0
1783509264.9663,619018,0,0,0,0,0
1783509265.4666,904056,0,0,0,0,0
1783509265.967,910299,0,0,0,0,0
1783509266.4672,905615,0,0,0,0,0
1783509266.9675,112533,0,0,0,0,0
1783509267.4678,49172,0,0,0,0,0
1783509267.968,58189,0,0,0,0,0
1783509268.4683,60465,0,0,0,0,0
1783509268.9686,46922,0,0,0,0,0
1783509269.4689,40156,0,0,0,0,0
1783509269.9692,40192,0,0,0,0,0
1783509270.4695,49575,0,0,0,0,0
1783509270.9698,42046,0,0,0,0,0
1783509271.4701,39127,0,0,0,0,0
1783509271.9704,47868,0,0,0,0,0
1783509272.4707,76166,0,0,0,0,0
1783509272.971,75764,0,0,0,0,0
1783509273.4712,58097,0,0,0,0,0
1783509273.9715,66897,0,0,0,0,0
1783509274.4717,671054,0,0,0,0,0
1783509274.972,758938,0,0,0,0,0
1783509275.4723,116345,0,0,0,0,0
1783509275.9727,115810,0,0,0,0,0
1783509276.473,116080,0,0,0,0,0
1783509276.9734,124179,0,0,0,0,0
1783509277.4736,116669,0,0,0,0,0
1783509277.974,116328,0,0,0,0,0
1783509278.4743,116968,0,0,0,0,0
1783509278.9747,125111,0,0,0,0,0
1783509279.4751,116412,0,0,0,0,0
1783509279.9754,116635,0,0,0,0,0
1783509280.4758,116600,0,0,0,0,0
1783509280.976,125282,0,0,0,0,0
1783509281.4763,116643,0,0,0,0,0
1783509281.9765,116634,0,0,0,0,0
1783509282.4768,124050,0,0,0,0,0
1783509282.977,114171,0,0,0,0,0
1783509283.4774,116523,0,0,0,0,0
1783509283.9778,115962,0,0,0,0,0
1783509284.4781,124621,0,0,0,0,0
1783509284.9784,116418,0,0,0,0,0
1783509285.4786,116794,0,0,0,0,0
1783509285.9788,125846,0,0,0,0,0
1783509286.4791,116964,0,0,0,0,0
1783509286.9794,116608,0,0,0,0,0
1783509287.4797,115883,0,0,0,0,0
1783509287.98,123334,0,0,0,0,0
1783509288.4804,113563,0,0,0,0,0
1783509288.9807,115581,0,0,0,0,0
1783509289.4811,125461,0,0,0,0,0
1783509289.9813,115354,0,0,0,0,0
1783509290.4816,114989,0,0,0,0,0
1783509290.9819,114967,0,0,0,0,0
1783509291.4821,126386,0,0,0,0,0
1783509291.9825,114954,0,0,0,0,0
1783509292.4827,114960,0,0,0,0,0
1783509292.983,124006,0,0,0,0,0
1783509293.4833,114448,0,0,0,0,0
1783509293.9836,113739,0,0,0,0,0
1783509294.4839,115077,0,0,0,0,0
1783509294.9842,124560,0,0,0,0,0
1783509295.4844,115122,0,0,0,0,0
1783509295.9848,115009,0,0,0,0,0
1783509296.485,114890,0,0,0,0,0
1783509296.9854,124269,0,0,0,0,0
1783509297.4856,114801,0,0,0,0,0
1783509297.9859,114844,0,0,0,0,0
1783509298.4861,114949,0,0,0,0,0
1783509298.9864,124227,0,0,0,0,0
1783509299.4867,113684,0,0,0,0,0
1783509299.987,113704,0,0,0,0,0
1783509300.4873,124348,0,0,0,0,0
1783509300.9876,114867,0,0,0,0,0
1783509301.4879,300700,0,0,0,0,0
1783509301.9882,1001505,0,0,0,0,0
1783509302.4886,994238,0,0,0,0,0
1783509302.9889,978815,0,0,0,0,0
1783509303.4892,219370,0,0,0,0,0
1783509303.9895,40114,0,0,0,0,0
1783509304.4897,49495,0,0,0,0,0
1783509304.99,39916,0,0,0,0,0
1783509305.4904,37963,0,0,0,0,0
1783509305.9907,40031,0,0,0,0,0
1783509306.4909,49598,0,0,0,0,0
1783509306.9911,40133,0,0,0,0,0
1783509307.4914,40098,0,0,0,0,0
1783509307.9916,40766,0,0,0,0,0
1783509308.4918,48604,0,0,0,0,0
1783509308.9921,48949,0,0,0,0,0
1783509309.4923,67101,0,0,0,0,0
1783509309.9926,76174,0,0,0,0,0
1783509310.4928,57803,0,0,0,0,0
1783509310.9931,294465,0,0,0,0,0
1783509311.4933,772306,0,0,0,0,0
1783509311.9936,454105,0,0,0,0,0
1783509312.4939,114674,0,0,0,0,0
1783509312.9941,118694,0,0,0,0,0
1783509313.4943,123458,0,0,0,0,0
1783509313.9946,116322,0,0,0,0,0
1783509314.4949,116101,0,0,0,0,0
1783509314.9953,116048,0,0,0,0,0
1783509315.4955,125768,0,0,0,0,0
1783509315.9958,116202,0,0,0,0,0
1783509316.4961,116250,0,0,0,0,0
1783509316.9964,113992,0,0,0,0,0
1783509317.4967,124993,0,0,0,0,0
1783509317.9971,116348,0,0,0,0,0
1783509318.4974,116222,0,0,0,0,0
1783509318.9977,115120,0,0,0,0,0
1783509319.498,124093,0,0,0,0,0
1783509319.9984,114822,0,0,0,0,0
1783509320.4986,116078,0,0,0,0,0
1783509320.999,116221,0,0,0,0,0
1783509321.4992,125536,0,0,0,0,0
1783509321.9995,116600,0,0,0,0,0
1783509322.4998,116068,0,0,0,0,0
1783509323.0001,113999,0,0,0,0,0
1783509323.5004,125673,0,0,0,0,0
1783509324.0006,116351,0,0,0,0,0
1783509324.501,116364,0,0,0,0,0
1783509325.0012,116227,0,0,0,0,0
1783509325.5014,125689,0,0,0,0,0
1783509326.0018,116271,0,0,0,0,0
1783509326.5023,116098,0,0,0,0,0
1783509327.0026,123839,0,0,0,0,0
1783509327.5028,114806,0,0,0,0,0
1783509328.0031,116464,0,0,0,0,0
1783509328.5033,116500,0,0,0,0,0
1783509329.0036,124532,0,0,0,0,0
1783509329.5039,115458,0,0,0,0,0
1783509330.0042,116334,0,0,0,0,0
1783509330.5044,116466,0,0,0,0,0
1783509331.0047,127639,0,0,0,0,0
1783509331.5049,116211,0,0,0,0,0
1783509332.0052,115933,0,0,0,0,0
1783509332.5054,114920,0,0,0,0,0
1783509333.0057,124811,0,0,0,0,0
1783509333.5062,116014,0,0,0,0,0
1783509334.0065,116189,0,0,0,0,0
1783509334.5069,116662,0,0,0,0,0
1783509335.0072,122615,0,0,0,0,0
1783509335.5075,114812,0,0,0,0,0
1783509336.0079,115157,0,0,0,0,0
1783509336.5083,125334,0,0,0,0,0
1783509337.0086,116522,0,0,0,0,0
1783509337.509,115940,0,0,0,0,0
1783509338.0093,116610,0,0,0,0,0
1783509338.5097,979665,0,0,0,0,0
1783509339.0101,1005593,0,0,0,0,0
1783509339.5105,1157301,0,0,0,0,0
1783509340.0109,260348,0,0,0,0,0
1783509340.5112,39069,0,0,0,0,0
1783509341.0116,47866,0,0,0,0,0
1783509341.512,76228,0,0,0,0,0
1783509342.0123,40074,0,0,0,0,0
1783509342.5126,49323,0,0,0,0,0
1783509343.013,40250,0,0,0,0,0
1783509343.5134,40053,0,0,0,0,0
1783509344.0138,40069,0,0,0,0,0
1783509344.5141,49505,0,0,0,0,0
1783509345.0145,49055,0,0,0,0,0
1783509345.5149,57784,0,0,0,0,0
1783509346.0152,76156,0,0,0,0,0
1783509346.5155,74349,0,0,0,0,0
1783509347.0159,57251,0,0,0,0,0
1783509347.5163,502933,0,0,0,0,0
1783509348.0167,764355,0,0,0,0,0
1783509348.517,248991,0,0,0,0,0
1783509349.0174,123416,0,0,0,0,0
1783509349.5177,114150,0,0,0,0,0
1783509350.0181,114289,0,0,0,0,0
1783509350.5184,123816,0,0,0,0,0
1783509351.0188,114753,0,0,0,0,0
1783509351.5192,116902,0,0,0,0,0
1783509352.0196,115574,0,0,0,0,0
1783509352.5199,125593,0,0,0,0,0
1783509353.0203,114154,0,0,0,0,0
1783509353.5206,116245,0,0,0,0,0
1783509354.021,116419,0,0,0,0,0
1783509354.5214,124187,0,0,0,0,0
1783509355.0218,115084,0,0,0,0,0
1783509355.5224,115247,0,0,0,0,0
1783509356.0227,116469,0,0,0,0,0
1783509356.5231,125387,0,0,0,0,0
1783509357.0234,105953,0,0,0,0,0
1783509357.5238,40082,0,0,0,0,0
