timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1783497682.01,121.69,9.09,7.5,81.66,112.6,16.0,2.21,0.0,0.0
1783497683.0102,121.69,11.38,9.4,79.37,110.31,16.0,2.21,0.0,0.0
1783497684.0108,121.69,11.43,9.4,79.32,110.26,16.0,2.21,0.0,0.0
1783497685.0116,121.69,11.43,9.4,79.32,110.26,16.0,2.21,0.0,0.0
1783497686.0122,121.69,11.44,9.4,79.31,110.25,16.0,2.21,0.0,0.0
1783497687.0125,121.69,9.89,8.1,80.87,111.8,16.0,2.21,0.0,0.0
1783497688.0131,121.69,11.91,9.8,78.84,109.78,16.0,2.21,0.0,0.0
1783497689.0138,121.69,11.91,9.8,78.84,109.78,16.0,2.21,0.0,0.0
1783497690.0145,121.69,11.9,9.8,78.85,109.79,16.0,2.21,0.0,0.0
1783497691.0148,121.69,11.88,9.8,78.87,109.81,16.0,2.21,0.0,0.0
1783497692.0154,121.69,12.35,10.1,78.41,109.34,16.0,2.21,0.0,0.0
1783497693.016,121.69,12.37,10.2,78.39,109.32,16.0,2.21,0.0,0.0
1783497694.0165,121.69,12.37,10.2,78.38,109.32,16.0,2.21,0.0,0.0
1783497695.017,121.69,12.29,10.1,78.46,109.4,16.0,2.21,0.0,0.0
1783497696.0176,121.69,12.21,10.0,78.54,109.48,16.0,2.21,0.0,0.0
1783497697.0181,121.69,12.21,10.0,78.54,109.48,16.0,2.21,0.0,0.0
1783497698.0192,121.69,12.21,10.0,78.54,109.48,16.0,2.21,0.0,0.0
1783497699.0197,121.69,12.17,10.0,78.59,109.52,16.0,2.21,0.0,0.0
1783497700.0204,121.69,10.61,8.7,80.15,111.08,16.0,2.21,0.0,0.0
1783497701.0209,121.69,12.28,10.1,78.47,109.41,16.0,2.21,0.0,0.0
1783497702.0216,121.69,12.27,10.1,78.48,109.42,16.0,2.21,0.0,0.0
1783497703.0224,121.69,12.27,10.1,78.48,109.42,16.0,2.21,0.0,0.0
1783497704.0227,121.69,10.67,8.8,80.08,111.02,16.0,2.21,0.0,0.0
1783497705.0234,121.69,12.31,10.1,78.44,109.38,16.0,2.21,0.0,0.0
1783497706.024,121.69,12.36,10.2,78.4,109.33,16.0,2.21,0.0,0.0
1783497707.0247,121.69,12.31,10.1,78.44,109.38,16.0,2.21,0.0,0.0
1783497708.0249,121.69,11.95,9.8,78.81,109.74,16.0,2.21,0.0,0.0
1783497709.0256,121.69,12.29,10.1,78.46,109.4,16.0,2.21,0.0,0.0
1783497710.0266,121.69,12.28,10.1,78.48,109.41,16.0,2.21,0.0,0.0
1783497711.0273,121.69,12.21,10.0,78.54,109.48,16.0,2.21,0.0,0.0
1783497712.0278,121.69,12.2,10.0,78.55,109.49,16.0,2.21,0.0,0.0
1783497713.0284,121.69,12.63,10.4,78.13,109.06,16.0,2.21,0.0,0.0
1783497714.029,121.69,12.66,10.4,78.09,109.03,16.0,2.21,0.0,0.0
