timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1783535841.7264,44639,0,0,0,0,0
1783535842.2267,56087,0,0,0,0,0
1783535842.7271,94695,0,0,0,0,0
1783535843.2274,49293,0,0,0,0,0
1783535843.7277,40390,0,0,0,0,0
1783535844.2282,49694,0,0,0,0,0
1783535844.7285,40161,0,0,0,0,0
1783535845.2292,40130,0,0,0,0,0
1783535845.7296,40192,0,0,0,0,0
1783535846.2299,49356,0,0,0,0,0
1783535846.7302,38034,0,0,0,0,0
1783535847.2307,40132,0,0,0,0,0
1783535847.7311,40135,0,0,0,0,0
1783535848.2314,49217,0,0,0,0,0
1783535848.7319,40511,0,0,0,0,0
1783535849.2324,40125,0,0,0,0,0
1783535849.7327,40120,0,0,0,0,0
1783535850.2331,43113,0,0,0,0,0
1783535850.7336,46548,0,0,0,0,0
1783535851.2341,39966,0,0,0,0,0
1783535851.7344,37938,0,0,0,0,0
1783535852.2351,40152,0,0,0,0,0
1783535852.7355,49562,0,0,0,0,0
1783535853.2363,40085,0,0,0,0,0
1783535853.7366,40151,0,0,0,0,0
1783535854.237,41253,0,0,0,0,0
1783535854.7373,48534,0,0,0,0,0
1783535855.2376,40110,0,0,0,0,0
1783535855.7381,40146,0,0,0,0,0
1783535856.2385,40321,0,0,0,0,0
1783535856.739,49037,0,0,0,0,0
1783535857.2394,39969,0,0,0,0,0
1783535857.74,40106,0,0,0,0,0
1783535858.2405,40127,0,0,0,0,0
1783535858.7409,49589,0,0,0,0,0
1783535859.2413,40148,0,0,0,0,0
1783535859.742,40101,0,0,0,0,0
1783535860.2423,40123,0,0,0,0,0
1783535860.7435,110995,0,0,0,0,0
1783535861.2438,40123,0,0,0,0,0
1783535861.7444,49563,0,0,0,0,0
1783535862.2447,39265,0,0,0,0,0
1783535862.7459,38590,0,0,0,0,0
1783535863.2463,40125,0,0,0,0,0
1783535863.7469,49213,0,0,0,0,0
1783535864.2472,40470,0,0,0,0,0
1783535864.7475,40172,0,0,0,0,0
1783535865.2482,40080,0,0,0,0,0
1783535865.7488,49545,0,0,0,0,0
1783535866.2493,40078,0,0,0,0,0
1783535866.75,40186,0,0,0,0,0
1783535867.2504,45777,0,0,0,0,0
1783535867.7509,43889,0,0,0,0,0
1783535868.2514,39852,0,0,0,0,0
1783535868.7517,38110,0,0,0,0,0
1783535869.2522,49180,0,0,0,0,0
1783535869.7527,40543,0,0,0,0,0
1783535870.253,40291,0,0,0,0,0
1783535870.7542,40192,0,0,0,0,0
1783535871.2547,49130,0,0,0,0,0
1783535871.7551,40615,0,0,0,0,0
1783535872.2556,40158,0,0,0,0,0
1783535872.7564,40106,0,0,0,0,0
1783535873.2567,40139,0,0,0,0,0
1783535873.7571,49612,0,0,0,0,0
1783535874.2576,39092,0,0,0,0,0
1783535874.758,38790,0,0,0,0,0
1783535875.2587,40096,0,0,0,0,0
1783535875.7593,49537,0,0,0,0,0
1783535876.2597,40102,0,0,0,0,0
1783535876.7603,40124,0,0,0,0,0
1783535877.2607,42105,0,0,0,0,0
1783535877.7611,47606,0,0,0,0,0
1783535878.2616,101287,0,0,0,0,0
1783535878.7622,59980,0,0,0,0,0
1783535879.2626,58172,0,0,0,0,0
1783535879.7631,39982,0,0,0,0,0
1783535880.2635,47343,0,0,0,0,0
1783535880.764,40143,0,0,0,0,0
1783535881.2645,40131,0,0,0,0,0
1783535881.7648,40173,0,0,0,0,0
1783535882.2652,49583,0,0,0,0,0
1783535882.7658,40137,0,0,0,0,0
1783535883.2665,40091,0,0,0,0,0
1783535883.7671,43171,0,0,0,0,0
1783535884.2674,46627,0,0,0,0,0
1783535884.7679,40226,0,0,0,0,0
1783535885.2684,40158,0,0,0,0,0
1783535885.7691,40152,0,0,0,0,0
1783535886.2695,48562,0,0,0,0,0
1783535886.7702,38816,0,0,0,0,0
1783535887.2707,40124,0,0,0,0,0
1783535887.7715,40107,0,0,0,0,0
1783535888.272,49561,0,0,0,0,0
1783535888.7724,40130,0,0,0,0,0
1783535889.2731,40115,0,0,0,0,0
1783535889.7735,40140,0,0,0,0,0
1783535890.2739,49408,0,0,0,0,0
1783535890.7742,40401,0,0,0,0,0
1783535891.2746,40153,0,0,0,0,0
1783535891.7749,40165,0,0,0,0,0
1783535892.2754,43074,0,0,0,0,0
1783535892.7757,44287,0,0,0,0,0
1783535893.276,40140,0,0,0,0,0
1783535893.7764,40185,0,0,0,0,0
1783535894.2769,41170,0,0,0,0,0
1783535894.7772,48553,0,0,0,0,0
1783535895.2777,40218,0,0,0,0,0
1783535895.7781,56404,0,0,0,0,0
1783535896.2784,85734,0,0,0,0,0
1783535896.7789,40175,0,0,0,0,0
1783535897.2792,49634,0,0,0,0,0
1783535897.7799,39873,0,0,0,0,0
1783535898.2803,38053,0,0,0,0,0
1783535898.7812,40095,0,0,0,0,0
1783535899.2816,42734,0,0,0,0,0
1783535899.782,48913,0,0,0,0,0
1783535900.2825,40117,0,0,0,0,0
1783535900.7837,40070,0,0,0,0,0
1783535901.284,40162,0,0,0,0,0
1783535901.7846,49567,0,0,0,0,0
1783535902.285,40122,0,0,0,0,0
1783535902.7856,40169,0,0,0,0,0
1783535903.2861,40161,0,0,0,0,0
1783535903.7865,48990,0,0,0,0,0
1783535904.2869,38411,0,0,0,0,0
1783535904.7874,40116,0,0,0,0,0
1783535905.2879,40117,0,0,0,0,0
1783535905.7883,40120,0,0,0,0,0
1783535906.2886,49601,0,0,0,0,0
1783535906.7889,40150,0,0,0,0,0
1783535907.2894,40155,0,0,0,0,0
1783535907.7898,40126,0,0,0,0,0
1783535908.2901,49194,0,0,0,0,0
1783535908.7905,40523,0,0,0,0,0
1783535909.2909,40167,0,0,0,0,0
1783535909.7913,40116,0,0,0,0,0
1783535910.2918,43845,0,0,0,0,0
1783535910.7921,43577,0,0,0,0,0
1783535911.2925,40169,0,0,0,0,0
1783535911.7928,40152,0,0,0,0,0
1783535912.2931,49239,0,0,0,0,0
1783535912.7935,40503,0,0,0,0,0
1783535913.2939,40141,0,0,0,0,0
1783535913.7944,101706,0,0,0,0,0
1783535914.2947,67205,0,0,0,0,0
1783535914.7952,49107,0,0,0,0,0
1783535915.2955,40083,0,0,0,0,0
1783535915.7958,49263,0,0,0,0,0
1783535916.2962,37998,0,0,0,0,0
1783535916.7966,40069,0,0,0,0,0
1783535917.297,41956,0,0,0,0,0
1783535917.7973,49478,0,0,0,0,0
1783535918.2978,40053,0,0,0,0,0
1783535918.7981,40152,0,0,0,0,0
1783535919.2984,40086,0,0,0,0,0
1783535919.7988,49515,0,0,0,0,0
1783535920.2992,40087,0,0,0,0,0
1783535920.7996,40058,0,0,0,0,0
1783535921.3001,40064,0,0,0,0,0
1783535921.8006,45594,0,0,0,0,0
1783535922.301,41749,0,0,0,0,0
1783535922.8015,40281,0,0,0,0,0
