timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1783509698.1011,44708,0,0,0,0,0
1783509698.6015,56476,0,0,0,0,0
1783509699.1019,79452,0,0,0,0,0
1783509699.6024,49769,0,0,0,0,0
1783509700.1029,38740,0,0,0,0,0
1783509700.6032,50544,0,0,0,0,0
1783509701.1037,41147,0,0,0,0,0
1783509701.604,41144,0,0,0,0,0
1783509702.1043,41129,0,0,0,0,0
1783509702.6047,50411,0,0,0,0,0
1783509703.105,41271,0,0,0,0,0
1783509703.6054,41130,0,0,0,0,0
1783509704.1058,41086,0,0,0,0,0
1783509704.6062,50239,0,0,0,0,0
1783509705.1066,41524,0,0,0,0,0
1783509705.6071,40057,0,0,0,0,0
1783509706.1074,39790,0,0,0,0,0
1783509706.6079,50654,0,0,0,0,0
1783509707.1082,41106,0,0,0,0,0
1783509707.6087,41101,0,0,0,0,0
1783509708.109,41096,0,0,0,0,0
1783509708.6094,50215,0,0,0,0,0
1783509709.1097,41435,0,0,0,0,0
1783509709.61,41128,0,0,0,0,0
1783509710.1105,41115,0,0,0,0,0
1783509710.6109,50163,0,0,0,0,0
1783509711.1113,41375,0,0,0,0,0
1783509711.6121,40739,0,0,0,0,0
1783509712.1124,41093,0,0,0,0,0
1783509712.6129,50528,0,0,0,0,0
1783509713.1132,41100,0,0,0,0,0
1783509713.6137,41101,0,0,0,0,0
1783509714.114,41151,0,0,0,0,0
1783509714.6144,50675,0,0,0,0,0
1783509715.1147,41322,0,0,0,0,0
1783509715.6151,41196,0,0,0,0,0
1783509716.1156,41215,0,0,0,0,0
1783509716.6159,50500,0,0,0,0,0
1783509717.1162,41186,0,0,0,0,0
1783509717.6167,40858,0,0,0,0,0
1783509718.1174,39040,0,0,0,0,0
1783509718.6179,50442,0,0,0,0,0
1783509719.1182,41342,0,0,0,0,0
1783509719.6185,41129,0,0,0,0,0
1783509720.1192,41082,0,0,0,0,0
1783509720.62,41056,0,0,0,0,0
1783509721.1203,50536,0,0,0,0,0
1783509721.6206,41139,0,0,0,0,0
1783509722.1209,41120,0,0,0,0,0
1783509722.6213,41086,0,0,0,0,0
1783509723.1217,45229,2,2,0,0,0
1783509723.6221,44277,0,0,0,0,0
1783509724.1225,41108,0,0,0,0,0
1783509724.6232,41070,0,0,0,0,0
1783509725.1236,41122,0,0,0,0,0
1783509725.6241,50186,0,0,0,0,0
1783509726.1245,41518,0,0,0,0,0
1783509726.6249,41371,0,0,0,0,0
1783509727.1252,41152,0,0,0,0,0
1783509727.6257,50525,0,0,0,0,0
1783509728.1259,41111,0,0,0,0,0
1783509728.6264,40990,0,0,0,0,0
1783509729.1268,38832,0,0,0,0,0
1783509729.6273,88422,0,0,0,0,0
1783509730.1277,76636,0,0,0,0,0
1783509730.6281,50299,0,0,0,0,0
1783509731.1285,41493,0,0,0,0,0
1783509731.6289,42999,0,0,0,0,0
1783509732.1292,41075,0,0,0,0,0
1783509732.6297,41517,0,0,0,0,0
1783509733.1301,50046,0,0,0,0,0
1783509733.6306,41092,0,0,0,0,0
1783509734.1309,41103,0,0,0,0,0
1783509734.6313,40943,0,0,0,0,0
1783509735.1318,48335,0,0,0,0,0
1783509735.6323,41073,0,0,0,0,0
1783509736.1327,41116,0,0,0,0,0
1783509736.6332,41074,0,0,0,0,0
1783509737.1335,50534,0,0,0,0,0
1783509737.634,41073,0,0,0,0,0
1783509738.1344,41066,0,0,0,0,0
1783509738.6351,41068,0,0,0,0,0
1783509739.1356,50617,0,0,0,0,0
1783509739.636,41109,0,0,0,0,0
1783509740.1364,41080,0,0,0,0,0
1783509740.6368,40064,0,0,0,0,0
1783509741.1372,48832,0,0,0,0,0
1783509741.6376,41491,0,0,0,0,0
1783509742.1379,41118,0,0,0,0,0
1783509742.6383,41087,0,0,0,0,0
1783509743.1387,41118,0,0,0,0,0
1783509743.6391,50559,0,0,0,0,0
1783509744.1395,41138,0,0,0,0,0
1783509744.6402,41061,0,0,0,0,0
1783509745.1407,41084,0,0,0,0,0
1783509745.6411,50520,0,0,0,0,0
1783509746.1414,41076,0,0,0,0,0
1783509746.6418,41084,0,0,0,0,0
1783509747.1422,40399,0,0,0,0,0
1783509747.6426,48480,0,0,0,0,0
1783509748.143,41420,0,0,0,0,0
1783509748.6435,41188,0,0,0,0,0
1783509749.1438,41146,0,0,0,0,0
1783509749.6443,45899,0,0,0,0,0
1783509750.1447,45716,0,0,0,0,0
1783509750.6451,41080,0,0,0,0,0
1783509751.1454,42965,0,0,0,0,0
1783509751.6458,41086,0,0,0,0,0
1783509752.1463,50519,0,0,0,0,0
1783509752.6466,41105,0,0,0,0,0
1783509753.147,40818,0,0,0,0,0
1783509753.6473,39080,0,0,0,0,0
1783509754.1477,50182,0,0,0,0,0
1783509754.6481,41520,0,0,0,0,0
1783509755.1486,41092,0,0,0,0,0
1783509755.649,41094,0,0,0,0,0
1783509756.1493,41133,0,0,0,0,0
1783509756.6497,50496,0,0,0,0,0
1783509757.1501,41155,0,0,0,0,0
1783509757.6505,41076,0,0,0,0,0
1783509758.1512,41031,0,0,0,0,0
1783509758.6515,41214,0,0,0,0,0
1783509759.1518,50176,0,0,0,0,0
1783509759.6523,68349,0,0,0,0,0
1783509760.1526,68034,0,0,0,0,0
1783509760.6533,50065,0,0,0,0,0
1783509761.1536,43521,0,0,0,0,0
1783509761.6539,48099,0,0,0,0,0
1783509762.1542,41116,0,0,0,0,0
1783509762.6546,41041,0,0,0,0,0
1783509763.1551,41070,0,0,0,0,0
1783509763.6554,50480,0,0,0,0,0
1783509764.1558,41050,0,0,0,0,0
1783509764.6562,41060,0,0,0,0,0
1783509765.1565,40045,0,0,0,0,0
1783509765.657,49027,0,0,0,0,0
1783509766.1573,41210,0,0,0,0,0
1783509766.6576,41065,0,0,0,0,0
1783509767.1581,41097,0,0,0,0,0
1783509767.6585,50243,0,0,0,0,0
1783509768.159,41613,0,0,0,0,0
1783509768.6595,41042,0,0,0,0,0
1783509769.1599,41174,0,0,0,0,0
1783509769.6604,50163,0,0,0,0,0
1783509770.1607,41443,0,0,0,0,0
1783509770.6611,40789,0,0,0,0,0
1783509771.1615,38988,0,0,0,0,0
1783509771.6619,52026,0,0,0,0,0
1783509772.1624,41433,0,0,0,0,0
1783509772.6628,41137,0,0,0,0,0
1783509773.1633,41057,0,0,0,0,0
1783509773.6637,41030,0,0,0,0,0
1783509774.1641,50486,0,0,0,0,0
1783509774.6645,41077,0,0,0,0,0
1783509775.1648,41073,0,0,0,0,0
1783509775.6651,41037,0,0,0,0,0
1783509776.1655,49110,0,0,0,0,0
1783509776.6658,40124,0,0,0,0,0
1783509777.1661,41068,0,0,0,0,0
1783509777.6666,41038,0,0,0,0,0
1783509778.167,41095,0,0,0,0,0
1783509778.6674,50478,0,0,0,0,0
1783509779.1678,41060,0,0,0,0,0
1783509779.6682,41062,0,0,0,0,0
1783509780.1686,41105,0,0,0,0,0
1783509780.6689,50525,0,0,0,0,0
1783509781.1692,41081,0,0,0,0,0
1783509781.6696,40955,0,0,0,0,0
1783509782.1699,38941,0,0,0,0,0
1783509782.6703,50201,0,0,0,0,0
1783509783.1706,41641,0,0,0,0,0
1783509783.671,41074,0,0,0,0,0
1783509784.1713,41064,0,0,0,0,0
1783509784.6716,41722,0,0,0,0,0
1783509785.1719,49934,0,0,0,0,0
1783509785.6724,41052,0,0,0,0,0
1783509786.1728,41063,0,0,0,0,0
1783509786.6731,41085,0,0,0,0,0
1783509787.1735,50142,0,0,0,0,0
1783509787.6738,40376,0,0,0,0,0
1783509788.1741,39739,0,0,0,0,0
1783509788.6746,41046,0,0,0,0,0
1783509789.175,47337,0,0,0,0,0
1783509789.6754,43521,0,0,0,0,0
1783509790.1757,98084,0,0,0,0,0
1783509790.6761,50160,0,0,0,0,0
1783509791.1765,41254,0,0,0,0,0
1783509791.677,52268,0,0,0,0,0
1783509792.1774,41591,0,0,0,0,0
1783509792.6781,41176,0,0,0,0,0
1783509793.1785,41250,0,0,0,0,0
1783509793.6789,49649,0,0,0,0,0
1783509794.1792,39909,0,0,0,0,0
1783509794.6796,41235,0,0,0,0,0
1783509795.18,41285,0,0,0,0,0
1783509795.6803,50387,0,0,0,0,0
1783509796.1808,41588,0,0,0,0,0
1783509796.6815,41189,0,0,0,0,0
1783509797.1822,41201,0,0,0,0,0
1783509797.6826,41398,0,0,0,0,0
1783509798.1833,50449,0,0,0,0,0
1783509798.6837,41196,0,0,0,0,0
1783509799.1841,40179,0,0,0,0,0
1783509799.6848,39872,0,0,0,0,0
1783509800.1853,50290,0,0,0,0,0
1783509800.6856,41604,0,0,0,0,0
1783509801.1859,41231,0,0,0,0,0
1783509801.6864,41234,0,0,0,0,0
1783509802.187,41200,0,0,0,0,0
1783509802.6874,50668,0,0,0,0,0
1783509803.1877,41210,0,0,0,0,0
1783509803.688,41213,0,0,0,0,0
1783509804.1885,41225,0,0,0,0,0
1783509804.689,41201,0,0,0,0,0
1783509805.1893,50679,0,0,0,0,0
1783509805.6896,39948,0,0,0,0,0
1783509806.1901,40175,0,0,0,0,0
1783509806.6905,41218,0,0,0,0,0
1783509807.191,50296,0,0,0,0,0
1783509807.6914,41636,0,0,0,0,0
1783509808.1917,41273,0,0,0,0,0
1783509808.6924,41264,0,0,0,0,0
1783509809.1929,41215,0,0,0,0,0
1783509809.6932,50722,0,0,0,0,0
1783509810.1936,41231,0,0,0,0,0
1783509810.6943,41183,0,0,0,0,0
1783509811.1948,42927,0,0,0,0,0
1783509811.6952,48531,0,0,0,0,0
1783509812.1955,41206,0,0,0,0,0
1783509812.6962,41188,0,0,0,0,0
1783509813.1966,41242,0,0,0,0,0
1783509813.697,50681,0,0,0,0,0
1783509814.1974,41220,0,0,0,0,0
1783509814.6977,41225,0,0,0,0,0
1783509815.198,41202,0,0,0,0,0
1783509815.6984,50303,0,0,0,0,0
1783509816.1987,41594,0,0,0,0,0
1783509816.699,41272,0,0,0,0,0
1783509817.1994,40936,0,0,0,0,0
1783509817.6998,42636,0,0,0,0,0
1783509818.2002,47156,0,0,0,0,0
1783509818.7009,40646,0,0,0,0,0
