timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1783511517.5911,6.6,1.5,5.1,0.0,3354.0,68.6,,1.86,2.1,2.11,5612,5,0
1783511518.592,9.0,3.5,5.5,0.0,3354.0,68.4,,1.86,2.1,2.11,6469,4,0
1783511519.5929,11.3,6.3,5.0,0.0,3354.0,74.9,,1.86,2.1,2.11,7144,5,0
1783511520.5938,11.5,6.5,5.0,0.0,3354.0,82.8,,1.86,2.1,2.11,7340,3,0
1783511521.5946,11.5,6.5,5.0,0.0,3354.0,85.2,,1.88,2.1,2.11,6836,4,0
1783511522.5953,11.7,6.5,5.1,0.1,3354.0,86.8,,1.88,2.1,2.11,6942,4,0
1783511523.596,11.6,6.3,5.2,0.0,3354.0,86.8,,1.88,2.1,2.11,7074,3,0
1783511524.5967,11.7,6.4,5.3,0.0,3354.0,86.1,,1.88,2.1,2.11,7431,4,0
1783511525.5975,11.4,6.4,5.0,0.0,3354.0,87.2,,1.88,2.1,2.11,7167,4,0
1783511526.5983,11.6,6.4,5.2,0.0,3354.0,87.9,,1.97,2.11,2.12,7157,4,0
1783511527.5989,11.4,6.3,5.1,0.0,3354.0,88.3,,1.97,2.11,2.12,7082,3,0
1783511528.5996,10.6,5.0,5.5,0.1,3354.0,84.7,,1.97,2.11,2.12,7170,3,0
1783511529.6002,11.4,6.2,5.2,0.0,3354.0,87.3,,1.97,2.11,2.12,7077,4,0
1783511530.601,11.5,6.2,5.2,0.0,3354.0,88.7,,1.97,2.11,2.12,7181,4,0
1783511531.6018,11.7,6.5,5.2,0.0,3354.0,89.1,,1.97,2.11,2.12,6754,3,0
1783511532.6025,11.6,6.4,5.2,0.0,3354.0,89.3,,1.97,2.11,2.12,6931,3,0
1783511533.6033,11.5,6.3,5.1,0.0,3354.0,89.7,,1.97,2.11,2.12,6970,3,0
1783511534.604,11.6,6.3,5.2,0.0,3354.0,90.3,,1.97,2.11,2.12,7305,4,0
1783511535.6047,11.8,6.5,5.2,0.0,3354.0,91.0,,1.97,2.11,2.12,6793,3,0
1783511536.6053,11.3,6.1,5.2,0.0,3354.0,91.0,,1.97,2.11,2.12,6760,3,0
1783511537.606,11.6,6.5,5.0,0.0,3354.0,90.7,,1.97,2.11,2.12,6821,4,0
1783511538.6068,11.0,5.1,5.9,0.0,3354.0,89.6,,1.97,2.11,2.12,7218,3,0
1783511539.6075,11.5,6.4,5.1,0.0,3354.0,90.7,,1.97,2.11,2.12,6840,3,0
1783511540.6082,11.5,6.2,5.3,0.0,3354.0,91.2,,1.97,2.11,2.12,6845,3,0
1783511541.609,11.3,6.5,4.8,0.0,3354.0,91.3,,1.97,2.11,2.11,6823,4,0
1783511542.6103,11.5,6.4,5.1,0.0,3354.0,91.8,,1.97,2.11,2.11,7202,3,0
1783511543.6111,11.7,6.5,5.1,0.1,3354.0,91.9,,1.97,2.11,2.11,7373,4,0
1783511544.6119,11.6,6.4,5.2,0.0,3354.0,91.7,,1.97,2.11,2.11,7247,3,0
1783511545.6128,13.7,8.5,5.2,0.0,3354.0,91.4,,1.97,2.11,2.11,8056,4,0
1783511546.6135,11.8,6.6,5.1,0.0,3354.0,92.1,,2.14,2.14,2.12,8198,3,0
1783511547.6143,11.6,6.5,5.1,0.0,3354.0,92.1,,2.14,2.14,2.12,7278,4,0
1783511548.6151,10.7,5.0,5.7,0.0,3354.0,89.4,,2.14,2.14,2.12,7256,3,0
1783511549.6159,11.6,6.4,5.2,0.0,3354.0,91.6,,2.14,2.14,2.12,7067,3,0
1783511550.6167,11.5,6.2,5.2,0.0,3354.0,93.1,,2.14,2.14,2.12,7049,3,0
1783511551.6175,11.5,6.2,5.3,0.0,3354.0,93.3,,2.21,2.15,2.13,7022,3,0
1783511552.6181,11.5,6.3,5.2,0.0,3354.0,93.6,,2.21,2.15,2.13,6917,4,0
1783511553.6188,13.4,8.5,4.9,0.1,3354.0,93.1,,2.21,2.15,2.13,8436,4,0
1783511554.6196,11.6,6.4,5.1,0.0,3354.0,93.5,,2.21,2.15,2.13,8023,3,0
1783511555.6202,11.5,6.4,5.1,0.0,3354.0,93.7,,2.21,2.15,2.13,7334,3,0
1783511556.6209,11.4,6.4,5.0,0.0,3354.0,94.1,,2.19,2.15,2.13,6919,4,0
1783511557.6216,11.0,5.9,5.1,0.0,3354.0,93.8,,2.19,2.15,2.13,7560,2,0
1783511558.6223,11.3,5.8,5.4,0.0,3354.0,91.7,,2.19,2.15,2.13,7303,3,0
1783511559.623,11.4,6.3,5.1,0.0,3354.0,93.7,,2.19,2.15,2.13,7367,3,0
1783511560.6238,11.6,6.5,5.1,0.0,3354.0,94.0,,2.19,2.15,2.13,7048,4,0
1783511561.6246,11.6,6.4,5.1,0.0,3354.0,94.4,,2.17,2.15,2.13,7112,3,0
1783511562.6253,11.3,6.4,4.9,0.0,3354.0,94.9,,2.17,2.15,2.13,7068,3,0
1783511563.6261,11.6,6.4,5.2,0.0,3354.0,94.3,,2.17,2.15,2.13,7310,3,0
1783511564.6269,11.6,6.4,5.1,0.1,3354.0,93.9,,2.17,2.15,2.13,7840,4,0
1783511565.6276,11.5,6.3,5.2,0.0,3354.0,94.8,,2.17,2.15,2.13,6979,3,0
1783511566.6285,11.5,6.3,5.2,0.0,3354.0,94.7,,2.16,2.15,2.13,7204,3,0
1783511567.6293,10.7,5.1,5.5,0.0,3354.0,92.1,,2.16,2.15,2.13,7154,3,0
1783511568.63,11.7,6.5,5.2,0.0,3354.0,93.0,,2.16,2.15,2.13,7142,3,0
1783511569.6306,11.5,6.4,5.0,0.1,3354.0,94.0,,2.16,2.15,2.13,7075,3,0
1783511570.6313,11.5,6.2,5.3,0.0,3354.0,94.1,,2.16,2.15,2.13,6748,4,0
1783511571.6319,11.4,6.5,4.9,0.0,3354.0,95.0,,2.15,2.14,2.13,7146,3,0
1783511572.6327,11.7,6.4,5.3,0.0,3354.0,94.7,,2.15,2.14,2.13,7030,4,0
1783511573.6333,11.7,6.4,5.3,0.0,3354.0,94.8,,2.15,2.14,2.13,7123,3,0
1783511574.6341,11.6,6.4,5.1,0.0,3354.0,94.6,,2.15,2.14,2.13,7175,3,0
1783511575.6347,11.6,6.2,5.4,0.0,3354.0,94.8,,2.15,2.14,2.13,6901,3,0
1783511576.6354,11.4,6.3,5.1,0.0,3354.0,94.4,,2.13,2.14,2.12,7310,4,0
1783511577.636,10.9,5.3,5.6,0.0,3354.0,92.2,,2.13,2.14,2.12,7173,3,0
1783511578.6367,11.5,6.2,5.3,0.0,3354.0,94.0,,2.13,2.14,2.12,7046,4,0
1783511579.6374,11.6,6.4,5.2,0.0,3354.0,95.1,,2.13,2.14,2.12,6914,4,0
1783511580.6382,11.8,6.5,5.3,0.0,3354.0,95.1,,2.13,2.14,2.12,6855,3,0
1783511581.639,11.5,6.3,5.2,0.0,3354.0,95.7,,2.2,2.16,2.13,7222,4,0
1783511582.6397,11.6,6.4,5.2,0.0,3354.0,94.1,,2.2,2.16,2.13,7343,3,0
1783511583.6405,11.8,6.5,5.3,0.0,3354.0,93.7,,2.2,2.16,2.13,7397,3,0
1783511584.6415,11.6,6.3,5.2,0.0,3354.0,95.2,,2.2,2.16,2.13,7267,3,0
1783511585.6425,11.8,6.4,5.4,0.0,3354.0,94.3,,2.2,2.16,2.13,7307,3,0
1783511586.6434,11.6,6.4,5.2,0.0,3354.0,94.4,,2.19,2.15,2.13,7410,3,0
1783511587.6442,10.4,5.3,5.1,0.0,3354.0,92.4,,2.19,2.15,2.13,6987,2,0
1783511588.6449,11.5,5.9,5.5,0.1,3354.0,92.3,,2.19,2.15,2.13,7220,4,0
1783511589.6459,11.4,6.4,4.9,0.0,3354.0,94.2,,2.19,2.15,2.13,7233,5,0
1783511590.6467,11.5,6.5,5.0,0.0,3354.0,94.7,,2.19,2.15,2.13,7224,3,0
1783511591.6474,11.5,6.3,5.1,0.0,3354.0,94.1,,2.25,2.17,2.13,7123,3,0
1783511592.6482,11.5,6.3,5.2,0.0,3354.0,94.3,,2.25,2.17,2.13,7147,4,0
1783511593.649,13.6,8.5,5.1,0.0,3354.0,94.0,,2.25,2.17,2.13,8142,3,0
1783511594.6498,11.4,6.5,4.8,0.0,3354.0,93.8,,2.25,2.17,2.13,7678,3,0
1783511595.6506,11.6,6.5,5.1,0.1,3354.0,94.7,,2.25,2.17,2.13,7133,3,0
1783511596.6514,11.4,6.2,5.2,0.0,3354.0,93.4,,2.23,2.16,2.13,7432,3,0
1783511597.6522,10.6,5.4,5.2,0.0,3354.0,91.7,,2.23,2.16,2.13,7144,4,0
1783511598.653,11.4,6.2,5.2,0.0,3354.0,91.0,,2.23,2.16,2.13,7269,3,0
1783511599.6536,11.3,6.3,5.0,0.0,3354.0,93.4,,2.23,2.16,2.13,6952,4,0
1783511600.6544,11.5,6.4,5.0,0.1,3354.0,94.5,,2.23,2.16,2.13,6960,3,0
1783511601.6552,11.6,6.5,5.0,0.0,3354.0,94.2,,2.21,2.16,2.13,7027,3,0
1783511602.6559,11.4,6.5,4.9,0.0,3354.0,93.6,,2.21,2.16,2.13,7309,3,0
1783511603.6565,11.6,6.5,5.1,0.0,3354.0,94.0,,2.21,2.16,2.13,7121,4,0
1783511604.6573,11.5,6.3,5.2,0.0,3354.0,93.7,,2.21,2.16,2.13,7205,4,0
1783511605.6581,11.3,6.3,5.0,0.0,3354.0,95.0,,2.21,2.16,2.13,7083,4,0
1783511606.659,11.6,6.4,5.1,0.0,3354.0,95.3,,2.2,2.16,2.13,7525,3,0
1783511607.6598,10.9,5.4,5.4,0.0,3354.0,91.9,,2.2,2.16,2.13,7211,4,0
1783511608.6605,11.5,6.4,5.1,0.0,3354.0,91.7,,2.2,2.16,2.13,7251,3,0
1783511609.6613,11.7,6.5,5.2,0.0,3354.0,94.1,,2.2,2.16,2.13,7076,4,0
1783511610.6619,12.8,7.7,5.2,0.0,3354.0,94.5,,2.2,2.16,2.13,7928,4,0
1783511611.6626,12.0,7.1,4.9,0.0,3354.0,94.9,,2.18,2.15,2.13,8057,3,0
1783511612.6633,11.5,6.4,5.1,0.0,3354.0,94.9,,2.18,2.15,2.13,7496,3,0
1783511613.664,11.6,6.3,5.3,0.0,3354.0,94.8,,2.18,2.15,2.13,6883,3,0
1783511614.6646,11.5,6.3,5.2,0.0,3354.0,94.4,,2.18,2.15,2.13,7053,3,0
1783511615.6654,11.5,6.2,5.3,0.0,3354.0,94.8,,2.18,2.15,2.13,6896,3,0
1783511616.6661,11.5,6.3,5.2,0.0,3354.0,92.2,,2.17,2.15,2.13,7254,4,0
1783511617.6667,10.5,5.0,5.5,0.0,3354.0,88.3,,2.17,2.15,2.13,7021,3,0
1783511618.6677,11.6,6.3,5.2,0.1,3354.0,92.3,,2.17,2.15,2.13,7000,3,0
1783511619.6685,11.5,6.4,5.1,0.0,3354.0,94.3,,2.17,2.15,2.13,7164,4,0
1783511620.6693,11.6,6.5,5.1,0.0,3354.0,92.8,,2.17,2.15,2.13,7059,3,0
1783511621.6699,11.9,6.6,5.2,0.0,3354.0,94.2,,2.15,2.15,2.13,7491,3,0
1783511622.6706,11.4,6.3,5.1,0.0,3354.0,91.2,,2.15,2.15,2.13,7126,4,0
1783511623.6713,11.6,6.4,5.2,0.0,3354.0,93.5,,2.15,2.15,2.13,7033,6,0
1783511624.6719,11.6,6.2,5.3,0.0,3354.0,94.1,,2.15,2.15,2.13,7335,3,0
1783511625.6726,11.4,6.4,4.9,0.0,3354.0,94.0,,2.15,2.15,2.13,6826,3,0
1783511626.6733,11.7,6.5,5.2,0.0,3354.0,94.7,,2.14,2.15,2.13,7250,3,0
1783511627.674,10.5,4.9,5.6,0.0,3354.0,89.2,,2.14,2.15,2.13,6967,4,0
1783511628.6747,11.3,6.4,4.9,0.0,3354.0,91.7,,2.14,2.15,2.13,7062,3,0
1783511629.6755,11.6,6.5,5.0,0.0,3354.0,93.3,,2.14,2.15,2.13,7262,3,0
1783511630.6762,11.5,6.3,5.2,0.0,3354.0,93.9,,2.14,2.15,2.13,7098,3,0
1783511631.677,11.5,6.5,5.0,0.0,3354.0,94.4,,2.13,2.14,2.13,7111,3,0
1783511632.6778,11.5,6.3,5.2,0.0,3354.0,94.4,,2.13,2.14,2.13,7207,3,0
1783511633.6784,11.8,6.7,5.1,0.0,3354.0,94.1,,2.13,2.14,2.13,7286,3,0
1783511634.6792,11.3,6.3,5.0,0.0,3354.0,94.3,,2.13,2.14,2.13,7217,3,0
1783511635.68,11.5,6.4,5.1,0.0,3354.0,94.0,,2.13,2.14,2.13,7148,3,0
1783511636.6808,11.7,6.3,5.3,0.0,3354.0,94.1,,2.12,2.14,2.12,7336,4,0
1783511637.6818,10.5,5.0,5.5,0.0,3354.0,89.0,,2.12,2.14,2.12,7126,3,0
