timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1783523305.8788,121.69,9.29,7.6,81.25,112.4,16.0,2.2,0.0,0.0
1783523306.8793,121.69,11.06,9.1,79.48,110.63,16.0,2.2,0.0,0.0
1783523307.8799,121.69,11.06,9.1,79.48,110.63,16.0,2.2,0.0,0.0
1783523308.8806,121.69,11.07,9.1,79.47,110.62,16.0,2.2,0.0,0.0
1783523309.8814,121.69,11.08,9.1,79.46,110.61,16.0,2.2,0.0,0.0
1783523310.8822,121.69,11.09,9.1,79.45,110.6,16.0,2.2,0.0,0.0
1783523311.883,121.69,11.14,9.2,79.4,110.55,16.0,2.2,0.0,0.0
1783523312.8838,121.69,11.09,9.1,79.45,110.6,16.0,2.2,0.0,0.0
1783523313.8846,121.69,11.14,9.2,79.4,110.55,16.0,2.2,0.0,0.0
1783523314.8855,121.69,11.13,9.1,79.41,110.56,16.0,2.2,0.0,0.0
1783523315.8863,121.69,11.08,9.1,79.46,110.61,16.0,2.2,0.0,0.0
1783523316.8872,121.69,11.69,9.6,78.85,110.0,16.0,2.2,0.0,0.0
1783523317.8879,121.69,11.72,9.6,78.82,109.97,16.0,2.2,0.0,0.0
1783523318.889,121.69,11.72,9.6,78.82,109.97,16.0,2.2,0.0,0.0
1783523319.8898,121.69,11.68,9.6,78.86,110.01,16.0,2.2,0.0,0.0
1783523320.8906,121.69,11.69,9.6,78.85,110.0,16.0,2.2,0.0,0.0
1783523321.8919,121.69,11.65,9.6,78.89,110.04,16.0,2.2,0.0,0.0
1783523322.8928,121.69,11.65,9.6,78.89,110.04,16.0,2.2,0.0,0.0
1783523323.8937,121.69,11.69,9.6,78.85,110.0,16.0,2.2,0.0,0.0
1783523324.8943,121.69,11.63,9.6,78.91,110.06,16.0,2.2,0.0,0.0
1783523325.8946,121.69,12.13,10.0,78.41,109.56,16.0,2.2,0.0,0.0
1783523326.8954,121.69,11.93,9.8,78.61,109.76,16.0,2.2,0.0,0.0
1783523327.8963,121.69,11.95,9.8,78.59,109.74,16.0,2.2,0.0,0.0
1783523328.8972,121.69,11.95,9.8,78.59,109.74,16.0,2.2,0.0,0.0
1783523329.898,121.69,11.91,9.8,78.63,109.78,16.0,2.2,0.0,0.0
1783523330.8987,121.69,11.84,9.7,78.7,109.85,16.0,2.2,0.0,0.0
1783523331.8994,121.69,11.77,9.7,78.77,109.92,16.0,2.2,0.0,0.0
