timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1783596795.0072,121.69,9.16,7.5,80.9,112.53,16.0,2.2,0.0,0.0
1783596796.0113,121.69,10.97,9.0,79.09,110.72,16.0,2.2,0.0,0.0
1783596797.0126,121.69,10.97,9.0,79.08,110.72,16.0,2.2,0.0,0.0
1783596798.0132,121.69,10.97,9.0,79.09,110.72,16.0,2.2,0.0,0.0
1783596799.0138,121.69,10.96,9.0,79.1,110.73,16.0,2.2,0.0,0.0
1783596800.0147,121.69,10.97,9.0,79.09,110.72,16.0,2.2,0.0,0.0
1783596801.0154,121.69,10.97,9.0,79.09,110.72,16.0,2.2,0.0,0.0
1783596802.0161,121.69,10.97,9.0,79.09,110.72,16.0,2.2,0.0,0.0
1783596803.0167,121.69,10.97,9.0,79.08,110.72,16.0,2.2,0.0,0.0
1783596804.0177,121.69,10.98,9.0,79.08,110.71,16.0,2.2,0.0,0.0
1783596805.0186,121.69,10.98,9.0,79.08,110.71,16.0,2.2,0.0,0.0
1783596806.0199,121.69,10.96,9.0,79.09,110.73,16.0,2.2,0.0,0.0
1783596807.0212,121.69,10.98,9.0,79.08,110.71,16.0,2.2,0.0,0.0
1783596808.0222,121.69,10.98,9.0,79.08,110.71,16.0,2.2,0.0,0.0
1783596809.0232,121.69,10.98,9.0,79.08,110.71,16.0,2.2,0.0,0.0
1783596810.024,121.69,10.97,9.0,79.09,110.72,16.0,2.2,0.0,0.0
1783596811.0248,121.69,10.99,9.0,79.06,110.7,16.0,2.2,0.0,0.0
1783596812.0254,121.69,10.99,9.0,79.07,110.7,16.0,2.2,0.0,0.0
1783596813.0262,121.69,11.0,9.0,79.06,110.69,16.0,2.2,0.0,0.0
1783596814.0269,121.69,12.52,10.3,77.54,109.17,16.0,2.2,0.0,0.0
1783596815.0279,121.69,12.51,10.3,77.55,109.18,16.0,2.2,0.0,0.0
1783596816.0286,121.69,12.54,10.3,77.52,109.15,16.0,2.2,0.0,0.0
1783596817.0295,121.69,12.56,10.3,77.5,109.13,16.0,2.2,0.0,0.0
1783596818.0298,121.69,12.56,10.3,77.5,109.13,16.0,2.2,0.0,0.0
1783596819.0311,121.69,12.56,10.3,77.5,109.13,16.0,2.2,0.0,0.0
1783596820.0322,121.69,12.55,10.3,77.5,109.14,16.0,2.2,0.0,0.0
1783596821.033,121.69,12.54,10.3,77.51,109.15,16.0,2.2,0.0,0.0
1783596822.0344,121.69,12.53,10.3,77.53,109.16,16.0,2.2,0.0,0.0
1783596823.0353,121.69,12.53,10.3,77.52,109.16,16.0,2.2,0.0,0.0
1783596824.0359,121.69,12.52,10.3,77.53,109.17,16.0,2.2,0.0,0.0
1783596825.037,121.69,12.53,10.3,77.53,109.16,16.0,2.2,0.0,0.0
1783596826.0381,121.69,12.51,10.3,77.54,109.18,16.0,2.2,0.0,0.0
1783596827.0385,121.69,12.51,10.3,77.54,109.18,16.0,2.2,0.0,0.0
1783596828.0397,121.69,12.5,10.3,77.56,109.19,16.0,2.2,0.0,0.0
1783596829.0409,121.69,12.5,10.3,77.55,109.19,16.0,2.2,0.0,0.0
1783596830.0419,121.69,12.52,10.3,77.54,109.17,16.0,2.2,0.0,0.0
1783596831.0425,121.69,12.52,10.3,77.54,109.17,16.0,2.2,0.0,0.0
1783596832.0435,121.69,12.52,10.3,77.54,109.17,16.0,2.2,0.0,0.0
1783596833.0445,121.69,12.53,10.3,77.53,109.16,16.0,2.2,0.0,0.0
1783596834.0451,121.69,12.53,10.3,77.53,109.16,16.0,2.2,0.0,0.0
1783596835.0458,121.69,12.53,10.3,77.52,109.16,16.0,2.2,0.0,0.0
1783596836.0464,121.69,12.55,10.3,77.51,109.14,16.0,2.2,0.0,0.0
1783596837.0476,121.69,12.54,10.3,77.52,109.15,16.0,2.2,0.0,0.0
1783596838.0504,121.69,12.55,10.3,77.51,109.14,16.0,2.2,0.0,0.0
1783596839.0515,121.69,12.53,10.3,77.53,109.16,16.0,2.2,0.0,0.0
1783596840.0523,121.69,12.52,10.3,77.54,109.17,16.0,2.2,0.0,0.0
1783596841.053,121.69,12.51,10.3,77.55,109.18,16.0,2.2,0.0,0.0
1783596842.0535,121.69,12.51,10.3,77.55,109.18,16.0,2.2,0.0,0.0
1783596843.0543,121.69,12.51,10.3,77.55,109.18,16.0,2.2,0.0,0.0
1783596844.0551,121.69,12.5,10.3,77.55,109.19,16.0,2.2,0.0,0.0
1783596845.0561,121.69,12.5,10.3,77.55,109.19,16.0,2.2,0.0,0.0
1783596846.0568,121.69,12.49,10.3,77.57,109.2,16.0,2.2,0.0,0.0
1783596847.0575,121.69,12.5,10.3,77.56,109.19,16.0,2.2,0.0,0.0
1783596848.0582,121.69,12.5,10.3,77.56,109.19,16.0,2.2,0.0,0.0
1783596849.0585,121.69,9.45,7.8,80.61,112.24,16.0,2.2,0.0,0.0
1783596850.0593,121.69,10.98,9.0,79.08,110.71,16.0,2.2,0.0,0.0
1783596851.06,121.69,10.98,9.0,79.08,110.71,16.0,2.2,0.0,0.0
1783596852.0606,121.69,10.97,9.0,79.08,110.72,16.0,2.2,0.0,0.0
1783596853.0614,121.69,10.97,9.0,79.09,110.72,16.0,2.2,0.0,0.0
1783596854.0621,121.69,10.97,9.0,79.09,110.72,16.0,2.2,0.0,0.0
1783596855.0627,121.69,10.97,9.0,79.09,110.72,16.0,2.2,0.0,0.0
1783596856.0633,121.69,10.96,9.0,79.1,110.73,16.0,2.2,0.0,0.0
1783596857.0637,121.69,10.96,9.0,79.09,110.73,16.0,2.2,0.0,0.0
1783596858.0645,121.69,10.97,9.0,79.09,110.72,16.0,2.2,0.0,0.0
1783596859.0651,121.69,10.97,9.0,79.09,110.72,16.0,2.2,0.0,0.0
1783596860.0659,121.69,10.97,9.0,79.09,110.72,16.0,2.2,0.0,0.0
1783596861.0669,121.69,10.99,9.0,79.07,110.7,16.0,2.2,0.0,0.0
1783596862.0678,121.69,11.0,9.0,79.06,110.69,16.0,2.2,0.0,0.0
1783596863.0685,121.69,10.99,9.0,79.07,110.7,16.0,2.2,0.0,0.0
1783596864.069,121.69,10.99,9.0,79.06,110.7,16.0,2.2,0.0,0.0
1783596865.0696,121.69,11.0,9.0,79.06,110.69,16.0,2.2,0.0,0.0
1783596866.0705,121.69,11.0,9.0,79.05,110.69,16.0,2.2,0.0,0.0
1783596867.0711,121.69,12.53,10.3,77.53,109.16,16.0,2.2,0.0,0.0
1783596868.0718,121.69,12.55,10.3,77.51,109.14,16.0,2.2,0.0,0.0
1783596869.0725,121.69,12.54,10.3,77.52,109.15,16.0,2.2,0.0,0.0
1783596870.0733,121.69,12.54,10.3,77.51,109.15,16.0,2.2,0.0,0.0
1783596871.0741,121.69,12.53,10.3,77.53,109.16,16.0,2.2,0.0,0.0
1783596872.0747,121.69,12.53,10.3,77.53,109.16,16.0,2.2,0.0,0.0
1783596873.0755,121.69,12.51,10.3,77.54,109.18,16.0,2.2,0.0,0.0
1783596874.0763,121.69,12.51,10.3,77.55,109.18,16.0,2.2,0.0,0.0
1783596875.0771,121.69,12.51,10.3,77.55,109.18,16.0,2.2,0.0,0.0
1783596876.0778,121.69,12.5,10.3,77.56,109.19,16.0,2.2,0.0,0.0
1783596877.0785,121.69,12.49,10.3,77.56,109.2,16.0,2.2,0.0,0.0
1783596878.0792,121.69,12.51,10.3,77.55,109.18,16.0,2.2,0.0,0.0
1783596879.0798,121.69,12.51,10.3,77.55,109.18,16.0,2.2,0.0,0.0
1783596880.0806,121.69,12.51,10.3,77.55,109.18,16.0,2.2,0.0,0.0
1783596881.0813,121.69,12.51,10.3,77.55,109.18,16.0,2.2,0.0,0.0
1783596882.082,121.69,12.51,10.3,77.55,109.18,16.0,2.2,0.0,0.0
1783596883.0826,121.69,12.5,10.3,77.55,109.19,16.0,2.2,0.0,0.0
1783596884.0833,121.69,12.5,10.3,77.55,109.19,16.0,2.2,0.0,0.0
1783596885.0854,121.69,12.51,10.3,77.54,109.18,16.0,2.2,0.0,0.0
1783596886.0863,121.69,12.51,10.3,77.54,109.18,16.0,2.2,0.0,0.0
1783596887.0871,121.69,12.52,10.3,77.54,109.17,16.0,2.2,0.0,0.0
1783596888.0878,121.69,12.52,10.3,77.54,109.17,16.0,2.2,0.0,0.0
1783596889.0883,121.69,12.54,10.3,77.52,109.15,16.0,2.2,0.0,0.0
1783596890.0891,121.69,12.54,10.3,77.52,109.15,16.0,2.2,0.0,0.0
1783596891.0896,121.69,12.54,10.3,77.52,109.15,16.0,2.2,0.0,0.0
1783596892.0908,121.69,12.53,10.3,77.52,109.16,16.0,2.2,0.0,0.0
1783596893.0916,121.69,12.54,10.3,77.52,109.15,16.0,2.2,0.0,0.0
1783596894.0922,121.69,12.52,10.3,77.54,109.17,16.0,2.2,0.0,0.0
1783596895.0931,121.69,12.51,10.3,77.54,109.18,16.0,2.2,0.0,0.0
1783596896.0937,121.69,12.51,10.3,77.55,109.18,16.0,2.2,0.0,0.0
1783596897.0943,121.69,12.5,10.3,77.56,109.19,16.0,2.2,0.0,0.0
1783596898.095,121.69,12.51,10.3,77.55,109.18,16.0,2.2,0.0,0.0
1783596899.096,121.69,12.51,10.3,77.55,109.18,16.0,2.2,0.0,0.0
1783596900.0968,121.69,12.51,10.3,77.55,109.18,16.0,2.2,0.0,0.0
1783596901.0975,121.69,12.5,10.3,77.55,109.19,16.0,2.2,0.0,0.0
1783596902.0983,121.69,12.51,10.3,77.55,109.18,16.0,2.2,0.0,0.0
1783596903.0993,121.69,10.97,9.0,79.09,110.72,16.0,2.2,0.0,0.0
1783596904.1001,121.69,10.97,9.0,79.09,110.72,16.0,2.2,0.0,0.0
1783596905.1007,121.69,10.97,9.0,79.08,110.72,16.0,2.2,0.0,0.0
1783596906.1014,121.69,10.99,9.0,79.07,110.7,16.0,2.2,0.0,0.0
