timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1783616160.0393,5.9,1.4,4.5,0.0,3354.0,61.6,,2.02,2.18,2.19,5039,4,0
1783616161.0405,8.5,2.8,5.7,0.0,3354.0,61.4,,2.02,2.18,2.19,5813,3,0
1783616162.0417,10.8,6.3,4.5,0.0,3354.0,61.2,,2.02,2.18,2.19,6042,3,0
1783616163.0427,10.9,4.5,6.4,0.0,3354.0,61.2,,2.1,2.19,2.19,6139,3,0
1783616164.0437,10.2,4.4,5.7,0.1,3354.0,61.2,,2.1,2.19,2.19,6142,3,0
1783616165.0447,10.7,6.3,4.4,0.0,3354.0,61.2,,2.1,2.19,2.19,5972,3,0
1783616166.0457,10.1,3.0,7.1,0.0,3354.0,61.5,,2.1,2.19,2.19,6086,3,0
1783616167.0469,10.9,5.9,5.1,0.0,3354.0,61.5,,2.1,2.19,2.19,6196,3,0
1783616168.0481,10.8,5.2,5.6,0.0,3354.0,61.6,,2.09,2.19,2.19,6021,3,0
1783616169.0492,10.1,3.2,6.9,0.0,3354.0,61.4,,2.09,2.19,2.19,6180,4,0
1783616170.0503,10.8,6.5,4.3,0.0,3354.0,61.7,,2.09,2.19,2.19,6067,6,0
1783616171.0514,10.9,4.5,6.2,0.1,3354.0,61.8,,2.09,2.19,2.19,6046,4,0
1783616172.0526,10.0,3.7,6.3,0.0,3354.0,61.8,,2.09,2.19,2.19,6217,3,0
1783616173.0542,10.9,6.2,4.7,0.0,3354.0,61.7,,2.09,2.19,2.19,5840,3,0
1783616174.0554,10.0,3.2,6.8,0.0,3354.0,61.8,,2.09,2.19,2.19,6011,3,0
1783616175.0564,10.8,5.6,5.3,0.0,3354.0,61.8,,2.09,2.19,2.19,6033,3,0
1783616176.0575,11.0,5.8,5.2,0.0,3354.0,61.9,,2.09,2.19,2.19,6411,4,0
1783616177.0587,12.2,4.9,7.3,0.0,3354.0,62.2,,2.09,2.19,2.19,6862,3,0
1783616178.0601,10.8,6.3,4.5,0.0,3354.0,62.0,,2.08,2.18,2.19,6368,3,0
1783616179.0613,10.9,4.7,6.2,0.0,3354.0,61.9,,2.08,2.18,2.19,6402,3,0
1783616180.0624,10.1,3.7,6.5,0.0,3354.0,61.9,,2.08,2.18,2.19,6443,3,0
1783616181.0635,10.8,6.2,4.6,0.0,3354.0,62.0,,2.08,2.18,2.19,5959,3,0
1783616182.0647,10.3,3.8,6.5,0.1,3354.0,61.9,,2.08,2.18,2.19,6353,3,0
1783616183.0658,10.1,4.3,5.7,0.0,3354.0,61.9,,2.07,2.18,2.19,5839,3,0
1783616184.0669,10.8,6.3,4.5,0.0,3354.0,62.0,,2.07,2.18,2.19,5939,3,0
1783616185.0681,10.1,2.8,7.3,0.0,3354.0,62.0,,2.07,2.18,2.19,6520,3,0
1783616186.0692,10.8,5.8,4.9,0.0,3354.0,62.0,,2.07,2.18,2.19,5792,3,0
1783616187.0703,11.0,5.5,5.4,0.0,3354.0,61.9,,2.07,2.18,2.19,6315,4,0
1783616188.0718,10.0,3.3,6.8,0.0,3354.0,61.8,,2.07,2.18,2.18,6116,5,0
1783616189.0729,10.6,6.4,4.2,0.1,3354.0,62.0,,2.07,2.18,2.18,5842,4,0
1783616190.074,10.8,4.6,6.2,0.0,3354.0,62.0,,2.07,2.18,2.18,6020,3,0
1783616191.075,10.0,3.8,6.2,0.0,3354.0,62.1,,2.07,2.18,2.18,5971,3,0
1783616192.0761,10.8,6.3,4.5,0.0,3354.0,62.0,,2.07,2.18,2.18,5933,3,0
1783616193.0773,10.4,3.5,6.8,0.0,3354.0,62.1,,2.14,2.19,2.19,6018,2,0
1783616194.0785,10.3,4.6,5.7,0.0,3354.0,62.2,,2.14,2.19,2.19,6058,3,0
1783616195.0796,10.8,6.4,4.4,0.0,3354.0,62.2,,2.14,2.19,2.19,6389,4,0
1783616196.0807,10.1,2.7,7.5,0.0,3354.0,62.2,,2.14,2.19,2.19,6313,3,0
1783616197.0818,10.8,5.7,5.1,0.0,3354.0,62.2,,2.14,2.19,2.19,5941,3,0
1783616198.0828,10.8,5.7,5.1,0.0,3354.0,62.1,,2.13,2.19,2.19,5804,3,0
1783616199.0838,10.2,2.9,7.3,0.0,3354.0,61.9,,2.13,2.19,2.19,6139,3,0
1783616200.0849,10.9,6.3,4.6,0.0,3354.0,61.8,,2.13,2.19,2.19,6045,4,0
1783616201.086,10.6,4.7,5.8,0.1,3354.0,61.8,,2.13,2.19,2.19,5878,3,0
1783616202.0871,10.0,3.7,6.3,0.0,3354.0,62.0,,2.13,2.19,2.19,5960,3,0
1783616203.0881,10.7,6.3,4.4,0.0,3354.0,62.1,,2.12,2.18,2.19,5883,3,0
1783616204.0896,10.9,4.2,6.7,0.0,3354.0,62.0,,2.12,2.18,2.19,6395,2,0
1783616205.0906,12.8,6.9,5.9,0.0,3354.0,62.1,,2.12,2.18,2.19,7370,3,0
1783616206.0917,10.8,6.2,4.6,0.0,3354.0,62.0,,2.12,2.18,2.19,6177,4,0
1783616207.0931,9.9,2.6,7.4,0.0,3354.0,61.9,,2.12,2.18,2.19,6176,3,0
1783616208.0941,10.8,6.2,4.6,0.0,3354.0,61.9,,2.11,2.18,2.18,6079,3,0
1783616209.0953,10.8,5.1,5.6,0.0,3354.0,61.9,,2.11,2.18,2.18,6117,4,0
1783616210.0964,10.2,3.4,6.8,0.0,3354.0,61.8,,2.11,2.18,2.18,6568,3,0
1783616211.0975,10.9,6.4,4.5,0.0,3354.0,61.5,,2.11,2.18,2.18,5979,3,0
1783616212.0986,10.8,4.5,6.3,0.0,3354.0,61.6,,2.11,2.18,2.18,6332,4,0
1783616213.0998,9.9,3.9,6.0,0.0,3354.0,61.9,,2.1,2.18,2.18,5805,3,0
1783616214.1012,10.8,6.3,4.5,0.0,3354.0,61.8,,2.1,2.18,2.18,5921,3,0
1783616215.1024,10.1,3.3,6.8,0.0,3354.0,62.0,,2.1,2.18,2.18,6471,3,0
1783616216.1037,10.9,5.6,5.3,0.0,3354.0,61.9,,2.1,2.18,2.18,6115,3,0
1783616217.1051,10.8,5.8,5.0,0.0,3354.0,61.9,,2.1,2.18,2.18,6041,3,0
1783616218.1063,10.4,2.7,7.7,0.0,3354.0,61.7,,2.09,2.17,2.18,6462,3,0
1783616219.1074,10.5,6.2,4.3,0.0,3354.0,61.8,,2.09,2.17,2.18,5958,3,0
1783616220.1084,11.0,5.0,6.0,0.0,3354.0,61.8,,2.09,2.17,2.18,6163,3,0
1783616221.1094,9.8,3.2,6.7,0.0,3354.0,62.0,,2.09,2.17,2.18,6070,3,0
1783616222.1105,10.8,6.3,4.5,0.0,3354.0,61.9,,2.09,2.17,2.18,5947,3,0
1783616223.1116,10.9,4.7,6.2,0.0,3354.0,61.8,,2.16,2.19,2.19,5970,4,0
1783616224.1126,9.8,3.8,6.0,0.0,3354.0,61.8,,2.16,2.19,2.19,6246,4,0
1783616225.1136,10.6,6.4,4.2,0.0,3354.0,61.7,,2.16,2.19,2.19,6131,3,0
1783616226.1148,10.1,3.5,6.6,0.0,3354.0,61.5,,2.16,2.19,2.19,6227,4,0
1783616227.1159,10.9,5.2,5.6,0.0,3354.0,61.5,,2.16,2.19,2.19,6047,4,0
1783616228.1171,10.7,5.8,5.0,0.0,3354.0,61.5,,2.23,2.2,2.19,5840,4,0
1783616229.1185,10.2,2.8,7.4,0.0,3354.0,61.4,,2.23,2.2,2.19,6301,3,0
1783616230.1196,10.7,6.4,4.3,0.0,3354.0,61.2,,2.23,2.2,2.19,5945,4,0
1783616231.1211,10.9,4.8,6.1,0.1,3354.0,61.4,,2.23,2.2,2.19,6219,4,0
1783616232.1222,10.3,3.8,6.5,0.0,3354.0,61.7,,2.23,2.2,2.19,6857,3,0
1783616233.1234,13.1,8.5,4.6,0.0,3354.0,62.0,,2.21,2.2,2.19,6828,4,0
1783616234.1245,10.7,3.8,6.8,0.0,3354.0,61.8,,2.21,2.2,2.19,6386,2,0
1783616235.1256,10.5,4.8,5.8,0.0,3354.0,61.8,,2.21,2.2,2.19,6198,4,0
1783616236.1267,10.6,6.3,4.3,0.0,3354.0,61.8,,2.21,2.2,2.19,6002,5,0
1783616237.1278,10.0,2.8,7.3,0.0,3354.0,61.8,,2.21,2.2,2.19,6085,4,0
1783616238.1289,11.3,5.7,5.5,0.1,3354.0,61.9,,2.2,2.19,2.19,6566,3,0
1783616239.1301,10.8,5.6,5.2,0.0,3354.0,61.8,,2.2,2.19,2.19,6080,3,0
1783616240.1311,10.2,2.9,7.3,0.0,3354.0,61.8,,2.2,2.19,2.19,6337,4,0
1783616241.1322,10.8,6.4,4.5,0.0,3354.0,61.8,,2.2,2.19,2.19,5671,3,0
1783616242.1332,10.7,4.7,6.0,0.0,3354.0,61.8,,2.2,2.19,2.19,5925,3,0
1783616243.1344,10.1,3.9,6.1,0.0,3354.0,61.5,,2.42,2.24,2.2,6193,3,0
1783616244.1355,11.0,6.3,4.5,0.1,3354.0,61.4,,2.42,2.24,2.2,5911,3,0
1783616245.1365,10.5,3.9,6.6,0.0,3354.0,61.5,,2.42,2.24,2.2,6180,3,0
1783616246.1375,10.6,5.0,5.6,0.0,3354.0,61.3,,2.42,2.24,2.2,5891,3,0
