timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1783611940.8282,5.9,1.4,4.5,0.0,3354.0,57.2,,2.03,2.09,2.03,5263,5,0
1783611941.8294,8.3,3.7,4.6,0.0,3354.0,58.0,,2.03,2.09,2.03,5954,4,0
1783611942.8308,10.9,6.0,4.9,0.0,3354.0,62.6,,2.03,2.09,2.03,6003,3,0
1783611943.8319,10.9,6.2,4.7,0.0,3354.0,65.7,,2.03,2.09,2.03,5840,3,0
1783611944.8334,10.9,6.0,4.9,0.0,3354.0,66.7,,2.03,2.09,2.03,6051,3,0
1783611945.8347,10.7,6.1,4.6,0.0,3354.0,67.2,,2.03,2.09,2.03,5970,3,0
1783611946.8364,11.1,5.9,5.2,0.1,3354.0,65.2,,2.02,2.08,2.03,6453,3,0
1783611947.8375,10.0,4.9,5.1,0.0,3354.0,58.3,,2.02,2.08,2.03,6215,4,0
1783611948.8388,10.7,6.2,4.4,0.1,3354.0,57.7,,2.02,2.08,2.03,5751,3,0
1783611949.84,13.0,8.4,4.6,0.0,3354.0,59.7,,2.02,2.08,2.03,7442,4,0
1783611950.8412,11.0,6.3,4.7,0.0,3354.0,60.6,,2.02,2.08,2.03,6843,3,0
1783611951.8424,10.8,6.1,4.7,0.0,3354.0,60.7,,2.02,2.08,2.03,5943,3,0
1783611952.8438,10.8,5.7,5.0,0.0,3354.0,58.7,,2.02,2.08,2.03,5892,3,0
1783611953.8452,9.9,5.0,5.0,0.0,3354.0,57.7,,2.02,2.08,2.03,5933,3,0
1783611954.8463,10.7,6.1,4.5,0.1,3354.0,59.6,,2.02,2.08,2.03,5815,3,0
1783611955.8474,11.0,6.2,4.8,0.0,3354.0,60.4,,2.02,2.08,2.03,6222,3,0
1783611956.8486,10.8,6.2,4.6,0.0,3354.0,60.6,,2.02,2.08,2.03,6011,3,0
1783611957.8501,10.7,6.2,4.5,0.0,3354.0,60.7,,2.02,2.08,2.03,5802,3,0
1783611958.8513,10.9,5.9,4.9,0.0,3354.0,58.7,,2.02,2.08,2.03,6102,3,0
1783611959.8527,10.1,4.8,5.3,0.0,3354.0,57.2,,2.02,2.08,2.03,6329,3,0
1783611960.8539,10.8,6.1,4.6,0.0,3354.0,59.5,,2.02,2.08,2.03,5850,4,0
1783611961.8551,11.0,6.2,4.7,0.0,3354.0,61.7,,2.02,2.08,2.03,5956,3,0
1783611962.8561,13.0,8.3,4.6,0.0,3354.0,63.1,,2.02,2.08,2.03,7074,3,0
1783611963.8573,11.0,6.2,4.8,0.0,3354.0,63.0,,2.02,2.08,2.03,6384,3,0
1783611964.8585,10.9,5.8,5.0,0.0,3354.0,61.0,,2.02,2.08,2.03,6279,3,0
1783611965.8598,9.9,4.9,5.0,0.0,3354.0,58.9,,2.02,2.08,2.03,6082,3,0
1783611966.8605,10.7,6.0,4.6,0.0,3354.0,61.6,,2.02,2.08,2.03,5982,4,0
1783611967.8614,10.7,6.1,4.7,0.0,3354.0,62.5,,2.02,2.08,2.03,5733,3,0
1783611968.8625,10.7,6.2,4.5,0.0,3354.0,62.9,,2.02,2.08,2.03,5721,3,0
1783611969.8633,11.1,6.2,4.8,0.1,3354.0,63.2,,2.02,2.08,2.03,6308,3,0
1783611970.8641,11.0,5.9,5.1,0.0,3354.0,61.0,,2.02,2.08,2.03,6076,3,0
1783611971.8649,10.0,4.8,5.1,0.0,3354.0,57.8,,2.01,2.08,2.03,6144,4,0
1783611972.8657,10.6,6.0,4.5,0.0,3354.0,58.0,,2.01,2.08,2.03,5839,3,0
1783611973.8665,10.9,6.3,4.6,0.0,3354.0,60.7,,2.01,2.08,2.03,5973,4,0
1783611974.8673,11.0,6.3,4.7,0.0,3354.0,61.5,,2.01,2.08,2.03,6350,3,0
1783611975.8681,11.0,6.2,4.8,0.0,3354.0,61.8,,2.01,2.08,2.03,6029,3,0
1783611976.8689,10.8,5.8,5.0,0.0,3354.0,59.9,,2.09,2.09,2.04,6170,3,0
1783611977.8701,10.1,5.1,5.0,0.0,3354.0,57.9,,2.09,2.09,2.04,6310,3,0
1783611978.8712,10.7,6.1,4.6,0.0,3354.0,59.6,,2.09,2.09,2.04,5833,3,0
1783611979.8724,11.0,6.3,4.7,0.0,3354.0,62.3,,2.09,2.09,2.04,6270,3,0
1783611980.8736,10.9,6.2,4.6,0.0,3354.0,63.2,,2.09,2.09,2.04,5755,3,0
1783611981.8746,10.8,6.1,4.7,0.0,3354.0,63.7,,2.09,2.09,2.03,5872,3,0
1783611982.8758,11.8,6.4,5.4,0.0,3354.0,62.8,,2.09,2.09,2.03,7292,4,0
1783611983.8768,18.7,12.7,5.9,0.0,3354.0,59.4,,2.09,2.09,2.03,17065,5,0
1783611984.8779,16.3,11.2,5.1,0.0,3354.0,62.8,,2.09,2.09,2.03,8503,4,0
1783611985.8792,11.8,7.2,4.5,0.0,3354.0,64.1,,2.09,2.09,2.03,6875,3,0
1783611986.8804,11.2,6.3,4.9,0.0,3354.0,64.1,,2.08,2.09,2.03,6165,3,0
1783611987.8815,11.0,6.3,4.7,0.0,3354.0,64.0,,2.08,2.09,2.03,5948,3,0
1783611988.8827,10.9,5.7,5.1,0.1,3354.0,63.1,,2.08,2.09,2.03,6080,4,0
1783611989.8839,10.4,5.5,4.9,0.0,3354.0,57.8,,2.08,2.09,2.03,6550,3,0
1783611990.885,11.0,6.1,4.8,0.0,3354.0,57.9,,2.08,2.09,2.03,6252,3,0
1783611991.8862,10.9,6.3,4.6,0.0,3354.0,59.1,,2.07,2.09,2.03,6062,3,0
1783611992.8874,10.9,6.3,4.6,0.0,3354.0,60.3,,2.07,2.09,2.03,6128,3,0
1783611993.8887,10.9,6.3,4.6,0.0,3354.0,60.7,,2.07,2.09,2.03,5885,3,0
1783611994.8921,10.5,5.7,4.8,0.0,3354.0,60.1,,2.07,2.09,2.03,5939,3,0
1783611995.8936,10.2,5.1,5.1,0.0,3354.0,57.7,,2.07,2.09,2.03,6135,3,0
1783611996.8951,10.8,6.2,4.6,0.0,3354.0,58.1,,2.23,2.12,2.04,6405,3,0
1783611997.8963,10.8,6.1,4.6,0.0,3354.0,61.8,,2.23,2.12,2.04,5802,3,0
1783611998.8975,10.9,6.3,4.5,0.0,3354.0,62.9,,2.23,2.12,2.04,5940,3,0
1783611999.8987,11.0,6.2,4.7,0.1,3354.0,63.4,,2.23,2.12,2.04,6164,3,0
1783612000.9011,10.6,5.8,4.9,0.0,3354.0,62.9,,2.23,2.12,2.04,5897,5,0
1783612001.9026,11.9,6.7,5.2,0.0,3354.0,58.7,,2.21,2.12,2.04,7013,3,0
1783612002.9041,11.8,6.9,4.9,0.0,3354.0,62.4,,2.21,2.12,2.04,6660,3,0
1783612003.9056,10.8,6.1,4.7,0.0,3354.0,63.4,,2.21,2.12,2.04,6002,5,0
1783612004.9068,10.9,6.1,4.7,0.0,3354.0,63.8,,2.21,2.12,2.04,6172,6,0
1783612005.908,10.9,6.1,4.7,0.0,3354.0,63.9,,2.21,2.12,2.04,6045,5,0
1783612006.9112,10.8,5.8,5.0,0.0,3354.0,63.2,,2.19,2.11,2.04,6277,4,0
1783612007.9124,10.1,5.0,5.1,0.0,3354.0,58.2,,2.19,2.11,2.04,6118,3,0
1783612008.9139,10.8,6.1,4.7,0.0,3354.0,61.7,,2.19,2.11,2.04,5973,3,0
1783612009.9151,10.9,6.1,4.7,0.0,3354.0,63.1,,2.19,2.11,2.04,6355,3,0
1783612010.9163,10.7,6.1,4.6,0.0,3354.0,63.7,,2.19,2.11,2.04,5791,3,0
1783612011.9175,10.8,6.1,4.8,0.0,3354.0,63.9,,2.18,2.11,2.04,5899,3,0
1783612012.9187,10.6,5.8,4.8,0.0,3354.0,63.6,,2.18,2.11,2.04,5883,3,0
1783612013.92,10.2,5.1,5.1,0.0,3354.0,58.2,,2.18,2.11,2.04,6432,3,0
1783612014.9212,11.1,6.4,4.7,0.0,3354.0,58.8,,2.18,2.11,2.04,6105,3,0
1783612015.9224,12.9,8.2,4.7,0.0,3354.0,62.6,,2.18,2.11,2.04,7175,4,0
1783612016.9236,11.0,6.3,4.7,0.0,3354.0,63.7,,2.16,2.11,2.04,6323,3,0
1783612017.9247,10.9,6.2,4.6,0.0,3354.0,64.0,,2.16,2.11,2.04,5947,3,0
1783612018.926,10.7,6.0,4.7,0.0,3354.0,64.2,,2.16,2.11,2.04,5955,3,0
1783612019.9272,10.1,4.9,5.1,0.0,3354.0,58.1,,2.16,2.11,2.04,6508,3,0
1783612020.9287,10.9,6.2,4.7,0.0,3354.0,58.0,,2.16,2.11,2.04,5915,3,0
1783612021.9299,10.8,6.1,4.7,0.0,3354.0,59.0,,2.15,2.11,2.04,5910,3,0
1783612022.9311,10.9,6.2,4.8,0.0,3354.0,60.6,,2.15,2.11,2.04,5982,3,0
1783612023.9323,10.9,6.2,4.7,0.0,3354.0,60.9,,2.15,2.11,2.04,5896,3,0
1783612024.9335,10.7,6.1,4.6,0.0,3354.0,61.1,,2.15,2.11,2.04,5635,3,0
1783612025.9347,10.4,4.9,5.4,0.0,3354.0,58.5,,2.15,2.11,2.04,6252,3,0
1783612026.9361,11.0,6.1,4.8,0.0,3354.0,58.2,,2.22,2.12,2.05,6055,3,0
1783612027.9376,10.8,6.1,4.7,0.0,3354.0,61.9,,2.22,2.12,2.05,5950,3,0
1783612028.9391,10.9,6.3,4.6,0.0,3354.0,63.4,,2.22,2.12,2.05,5973,3,0
1783612029.9403,11.1,6.2,4.8,0.1,3354.0,63.7,,2.22,2.12,2.05,6107,3,0
1783612030.9419,10.6,6.1,4.5,0.0,3354.0,63.9,,2.22,2.12,2.05,5807,4,0
1783612031.9432,10.2,4.8,5.4,0.0,3354.0,58.3,,2.28,2.14,2.05,6189,3,0
1783612032.9444,10.8,6.2,4.6,0.0,3354.0,59.0,,2.28,2.14,2.05,5767,3,0
1783612033.9456,10.9,6.2,4.7,0.0,3354.0,62.5,,2.28,2.14,2.05,5843,3,0
1783612034.9467,10.9,6.1,4.7,0.0,3354.0,63.4,,2.28,2.14,2.05,6170,3,0
1783612035.9483,10.6,6.3,4.4,0.0,3354.0,63.8,,2.28,2.14,2.05,5763,4,0
1783612036.9495,10.7,6.1,4.6,0.0,3354.0,63.9,,2.26,2.14,2.05,5938,3,0
1783612037.9506,10.2,4.9,5.3,0.0,3354.0,58.1,,2.26,2.14,2.05,6326,2,0
1783612038.9522,10.8,6.1,4.8,0.0,3354.0,58.3,,2.26,2.14,2.05,5987,3,0
1783612039.9536,10.9,6.3,4.6,0.0,3354.0,59.5,,2.26,2.14,2.05,6127,3,0
1783612040.9548,10.9,6.1,4.7,0.0,3354.0,60.9,,2.26,2.14,2.05,5824,3,0
1783612041.9563,10.6,6.2,4.5,0.0,3354.0,61.3,,2.24,2.13,2.05,5746,3,0
1783612042.9575,11.0,6.4,4.6,0.0,3354.0,61.3,,2.24,2.13,2.05,6110,3,0
1783612043.9587,10.5,5.0,5.5,0.0,3354.0,58.4,,2.24,2.13,2.05,6642,3,0
1783612044.9599,10.8,6.1,4.7,0.0,3354.0,58.6,,2.24,2.13,2.05,5921,3,0
1783612045.9611,10.8,6.2,4.6,0.0,3354.0,62.2,,2.24,2.13,2.05,5924,3,0
1783612046.9623,10.8,6.3,4.6,0.0,3354.0,63.7,,2.22,2.13,2.05,5901,3,0
1783612047.9635,10.6,6.2,4.5,0.0,3354.0,64.0,,2.22,2.13,2.05,5574,3,0
1783612048.9647,10.8,6.1,4.8,0.0,3354.0,63.9,,2.22,2.13,2.05,5845,3,0
1783612049.9658,10.5,5.1,5.4,0.0,3354.0,58.0,,2.22,2.13,2.05,6329,3,0
1783612050.967,10.7,6.0,4.7,0.0,3354.0,58.7,,2.22,2.13,2.05,5696,3,0
1783612051.9682,10.8,6.1,4.6,0.0,3354.0,61.5,,2.2,2.13,2.05,5768,3,0
1783612052.9694,12.0,7.3,4.7,0.0,3354.0,62.8,,2.2,2.13,2.05,6930,4,0
1783612053.9706,11.9,7.2,4.7,0.0,3354.0,63.3,,2.2,2.13,2.05,7021,3,0
1783612054.9718,10.9,6.0,4.8,0.0,3354.0,63.3,,2.2,2.13,2.05,6125,3,0
1783612055.9729,10.4,5.0,5.3,0.0,3354.0,58.5,,2.2,2.13,2.05,6423,3,0
1783612056.974,10.9,6.1,4.8,0.0,3354.0,61.1,,2.26,2.14,2.06,6063,3,0
1783612057.9754,10.8,6.0,4.8,0.0,3354.0,62.8,,2.26,2.14,2.06,5757,3,0
1783612058.9767,10.7,6.1,4.5,0.0,3354.0,63.2,,2.26,2.14,2.06,5748,4,0
1783612059.9782,10.8,6.1,4.7,0.1,3354.0,63.5,,2.26,2.14,2.06,6047,3,0
1783612060.9792,10.9,6.0,4.9,0.0,3354.0,63.3,,2.26,2.14,2.06,5853,3,0
