timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1783604229.9462,121.69,9.16,7.5,80.87,112.53,16.0,2.2,0.0,0.0
1783604230.9464,121.69,9.49,7.8,80.54,112.2,16.0,2.2,0.0,0.0
1783604231.9471,121.69,9.49,7.8,80.54,112.2,16.0,2.2,0.0,0.0
1783604232.9474,121.69,9.48,7.8,80.55,112.21,16.0,2.2,0.0,0.0
1783604233.9478,121.69,9.49,7.8,80.55,112.2,16.0,2.2,0.0,0.0
1783604234.9483,121.69,9.49,7.8,80.54,112.2,16.0,2.2,0.0,0.0
1783604235.9489,121.69,9.49,7.8,80.54,112.2,16.0,2.2,0.0,0.0
1783604236.9493,121.69,9.48,7.8,80.55,112.21,16.0,2.2,0.0,0.0
1783604237.9496,121.69,9.49,7.8,80.54,112.2,16.0,2.2,0.0,0.0
1783604238.95,121.69,9.49,7.8,80.54,112.2,16.0,2.2,0.0,0.0
1783604239.9503,121.69,9.48,7.8,80.55,112.21,16.0,2.2,0.0,0.0
1783604240.9507,121.69,9.49,7.8,80.54,112.2,16.0,2.2,0.0,0.0
1783604241.9511,121.69,9.49,7.8,80.54,112.2,16.0,2.2,0.0,0.0
1783604242.9513,121.69,9.49,7.8,80.54,112.2,16.0,2.2,0.0,0.0
1783604243.9517,121.69,9.48,7.8,80.55,112.21,16.0,2.2,0.0,0.0
1783604244.9519,121.69,9.5,7.8,80.53,112.19,16.0,2.2,0.0,0.0
1783604245.9522,121.69,9.49,7.8,80.54,112.2,16.0,2.2,0.0,0.0
1783604246.9525,121.69,9.5,7.8,80.53,112.19,16.0,2.2,0.0,0.0
1783604247.9528,121.69,9.5,7.8,80.54,112.19,16.0,2.2,0.0,0.0
1783604248.953,121.69,9.5,7.8,80.53,112.19,16.0,2.2,0.0,0.0
1783604249.9533,121.69,9.5,7.8,80.53,112.19,16.0,2.2,0.0,0.0
1783604250.9536,121.69,9.41,7.7,80.62,112.28,16.0,2.2,0.0,0.0
1783604251.9539,121.69,9.5,7.8,80.53,112.19,16.0,2.2,0.0,0.0
1783604252.9542,121.69,9.49,7.8,80.54,112.2,16.0,2.2,0.0,0.0
1783604253.9545,121.69,9.5,7.8,80.54,112.19,16.0,2.2,0.0,0.0
1783604254.9548,121.69,9.49,7.8,80.54,112.2,16.0,2.2,0.0,0.0
1783604255.9551,121.69,9.49,7.8,80.54,112.2,16.0,2.2,0.0,0.0
1783604256.9554,121.69,9.49,7.8,80.54,112.2,16.0,2.2,0.0,0.0
1783604257.9557,121.69,9.5,7.8,80.54,112.19,16.0,2.2,0.0,0.0
1783604258.9562,121.69,9.48,7.8,80.55,112.21,16.0,2.2,0.0,0.0
1783604259.9565,121.69,9.49,7.8,80.54,112.2,16.0,2.2,0.0,0.0
1783604260.9568,121.69,9.49,7.8,80.54,112.2,16.0,2.2,0.0,0.0
1783604261.9571,121.69,9.48,7.8,80.56,112.21,16.0,2.2,0.0,0.0
1783604262.9577,121.69,9.48,7.8,80.55,112.21,16.0,2.2,0.0,0.0
1783604263.958,121.69,9.47,7.8,80.56,112.22,16.0,2.2,0.0,0.0
1783604264.9584,121.69,9.48,7.8,80.56,112.21,16.0,2.2,0.0,0.0
1783604265.9587,121.69,9.49,7.8,80.54,112.2,16.0,2.2,0.0,0.0
1783604266.959,121.69,9.49,7.8,80.54,112.2,16.0,2.2,0.0,0.0
1783604267.9593,121.69,9.48,7.8,80.55,112.21,16.0,2.2,0.0,0.0
1783604268.9596,121.69,9.48,7.8,80.56,112.21,16.0,2.2,0.0,0.0
1783604269.9599,121.69,9.49,7.8,80.54,112.2,16.0,2.2,0.0,0.0
1783604270.9601,121.69,9.49,7.8,80.54,112.2,16.0,2.2,0.0,0.0
1783604271.9605,121.69,9.49,7.8,80.54,112.2,16.0,2.2,0.0,0.0
1783604272.9611,121.69,9.52,7.8,80.52,112.17,16.0,2.2,0.0,0.0
1783604273.9621,121.69,9.53,7.8,80.51,112.16,16.0,2.2,0.0,0.0
1783604274.9624,121.69,9.53,7.8,80.5,112.16,16.0,2.2,0.0,0.0
1783604275.9627,121.69,9.54,7.8,80.49,112.15,16.0,2.2,0.0,0.0
1783604276.9634,121.69,9.54,7.8,80.49,112.15,16.0,2.2,0.0,0.0
1783604277.9638,121.69,9.52,7.8,80.51,112.17,16.0,2.2,0.0,0.0
1783604278.9642,121.69,9.52,7.8,80.51,112.17,16.0,2.2,0.0,0.0
1783604279.9645,121.69,9.51,7.8,80.52,112.18,16.0,2.2,0.0,0.0
1783604280.9648,121.69,9.5,7.8,80.53,112.19,16.0,2.2,0.0,0.0
1783604281.9651,121.69,9.28,7.6,80.76,112.41,16.0,2.2,0.0,0.0
1783604282.9654,121.69,9.49,7.8,80.54,112.2,16.0,2.2,0.0,0.0
1783604283.9661,121.69,9.48,7.8,80.55,112.21,16.0,2.2,0.0,0.0
1783604284.9667,121.69,9.48,7.8,80.55,112.21,16.0,2.2,0.0,0.0
1783604285.967,121.69,9.48,7.8,80.55,112.21,16.0,2.2,0.0,0.0
1783604286.9674,121.69,9.43,7.7,80.6,112.26,16.0,2.2,0.0,0.0
1783604287.9677,121.69,9.49,7.8,80.54,112.2,16.0,2.2,0.0,0.0
1783604288.968,121.69,9.48,7.8,80.55,112.21,16.0,2.2,0.0,0.0
1783604289.9683,121.69,9.48,7.8,80.55,112.21,16.0,2.2,0.0,0.0
1783604290.9687,121.69,9.49,7.8,80.55,112.2,16.0,2.2,0.0,0.0
1783604291.969,121.69,9.49,7.8,80.54,112.2,16.0,2.2,0.0,0.0
1783604292.9693,121.69,9.49,7.8,80.54,112.2,16.0,2.2,0.0,0.0
1783604293.9696,121.69,9.49,7.8,80.54,112.2,16.0,2.2,0.0,0.0
1783604294.9699,121.69,9.48,7.8,80.55,112.21,16.0,2.2,0.0,0.0
1783604295.9701,121.69,9.49,7.8,80.54,112.2,16.0,2.2,0.0,0.0
