timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1783587403.6036,121.69,9.13,7.5,80.94,112.56,16.0,2.2,0.0,0.0
1783587404.604,121.69,9.46,7.8,80.61,112.23,16.0,2.2,0.0,0.0
1783587405.6043,121.69,9.39,7.7,80.68,112.3,16.0,2.2,0.0,0.0
1783587406.6049,121.69,9.49,7.8,80.58,112.2,16.0,2.2,0.0,0.0
1783587407.6053,121.69,9.2,7.6,80.87,112.49,16.0,2.2,0.0,0.0
1783587408.606,121.69,9.5,7.8,80.58,112.19,16.0,2.2,0.0,0.0
1783587409.6063,121.69,9.21,7.6,80.86,112.48,16.0,2.2,0.0,0.0
1783587410.6065,121.69,9.47,7.8,80.61,112.22,16.0,2.2,0.0,0.0
1783587411.607,121.69,9.48,7.8,80.59,112.21,16.0,2.2,0.0,0.0
1783587412.6074,121.69,9.19,7.6,80.88,112.5,16.0,2.2,0.0,0.0
1783587413.6077,121.69,9.47,7.8,80.6,112.22,16.0,2.2,0.0,0.0
1783587414.6079,121.69,9.24,7.6,80.84,112.45,16.0,2.2,0.0,0.0
1783587415.6082,121.69,9.5,7.8,80.57,112.19,16.0,2.2,0.0,0.0
1783587416.6086,121.69,9.54,7.8,80.53,112.15,16.0,2.2,0.0,0.0
1783587417.6092,121.69,9.21,7.6,80.86,112.48,16.0,2.2,0.0,0.0
1783587418.6098,121.69,9.51,7.8,80.56,112.18,16.0,2.2,0.0,0.0
1783587419.6101,121.69,9.21,7.6,80.86,112.48,16.0,2.2,0.0,0.0
1783587420.6105,121.69,9.48,7.8,80.59,112.21,16.0,2.2,0.0,0.0
1783587421.6111,121.69,9.5,7.8,80.57,112.19,16.0,2.2,0.0,0.0
1783587422.6118,121.69,9.2,7.6,80.87,112.49,16.0,2.2,0.0,0.0
1783587423.6122,121.69,9.51,7.8,80.56,112.18,16.0,2.2,0.0,0.0
1783587424.6124,121.69,9.22,7.6,80.85,112.47,16.0,2.2,0.0,0.0
1783587425.6127,121.69,9.47,7.8,80.6,112.22,16.0,2.2,0.0,0.0
1783587426.6133,121.69,9.48,7.8,80.6,112.21,16.0,2.2,0.0,0.0
1783587427.6137,121.69,9.19,7.6,80.88,112.5,16.0,2.2,0.0,0.0
1783587428.6141,121.69,9.47,7.8,80.61,112.22,16.0,2.2,0.0,0.0
1783587429.6144,121.69,9.18,7.5,80.89,112.51,16.0,2.2,0.0,0.0
1783587430.6148,121.69,9.44,7.8,80.63,112.25,16.0,2.2,0.0,0.0
1783587431.6152,121.69,9.5,7.8,80.58,112.19,16.0,2.2,0.0,0.0
1783587432.6156,121.69,9.18,7.5,80.89,112.51,16.0,2.2,0.0,0.0
1783587433.6161,121.69,9.47,7.8,80.6,112.22,16.0,2.2,0.0,0.0
1783587434.6165,121.69,9.19,7.6,80.88,112.5,16.0,2.2,0.0,0.0
1783587435.6169,121.69,9.45,7.8,80.63,112.24,16.0,2.2,0.0,0.0
1783587436.6176,121.69,9.47,7.8,80.61,112.22,16.0,2.2,0.0,0.0
1783587437.6178,121.69,9.38,7.7,80.69,112.31,16.0,2.2,0.0,0.0
1783587438.6185,121.69,9.48,7.8,80.59,112.21,16.0,2.2,0.0,0.0
1783587439.6189,121.69,9.19,7.6,80.88,112.5,16.0,2.2,0.0,0.0
1783587440.6196,121.69,9.43,7.7,80.65,112.26,16.0,2.2,0.0,0.0
1783587441.6206,121.69,9.47,7.8,80.61,112.22,16.0,2.2,0.0,0.0
1783587442.6209,121.69,9.18,7.5,80.89,112.51,16.0,2.2,0.0,0.0
1783587443.6214,121.69,9.5,7.8,80.57,112.19,16.0,2.2,0.0,0.0
1783587444.6218,121.69,9.18,7.5,80.89,112.51,16.0,2.2,0.0,0.0
1783587445.622,121.69,9.44,7.8,80.64,112.25,16.0,2.2,0.0,0.0
1783587446.6227,121.69,9.47,7.8,80.61,112.22,16.0,2.2,0.0,0.0
1783587447.6231,121.69,9.17,7.5,80.9,112.52,16.0,2.2,0.0,0.0
1783587448.6275,121.69,9.47,7.8,80.61,112.22,16.0,2.2,0.0,0.0
1783587449.6278,121.69,9.19,7.6,80.88,112.5,16.0,2.2,0.0,0.0
1783587450.628,121.69,9.44,7.8,80.63,112.25,16.0,2.2,0.0,0.0
1783587451.6289,121.69,9.48,7.8,80.6,112.21,16.0,2.2,0.0,0.0
1783587452.6293,121.69,9.4,7.7,80.67,112.29,16.0,2.2,0.0,0.0
1783587453.6299,121.69,9.5,7.8,80.57,112.19,16.0,2.2,0.0,0.0
1783587454.6301,121.69,9.21,7.6,80.86,112.48,16.0,2.2,0.0,0.0
1783587455.6304,121.69,9.48,7.8,80.59,112.21,16.0,2.2,0.0,0.0
1783587456.631,121.69,9.5,7.8,80.57,112.19,16.0,2.2,0.0,0.0
1783587457.6313,121.69,9.42,7.7,80.65,112.27,16.0,2.2,0.0,0.0
1783587458.6317,121.69,9.51,7.8,80.56,112.18,16.0,2.2,0.0,0.0
1783587459.632,121.69,9.21,7.6,80.87,112.48,16.0,2.2,0.0,0.0
1783587460.6323,121.69,9.46,7.8,80.62,112.23,16.0,2.2,0.0,0.0
1783587461.633,121.69,9.48,7.8,80.59,112.21,16.0,2.2,0.0,0.0
1783587462.6333,121.69,9.4,7.7,80.67,112.29,16.0,2.2,0.0,0.0
1783587463.6338,121.69,9.53,7.8,80.55,112.16,16.0,2.2,0.0,0.0
1783587464.6341,121.69,9.23,7.6,80.85,112.46,16.0,2.2,0.0,0.0
1783587465.6345,121.69,9.47,7.8,80.6,112.22,16.0,2.2,0.0,0.0
1783587466.6351,121.69,9.51,7.8,80.56,112.18,16.0,2.2,0.0,0.0
1783587467.6355,121.69,9.43,7.7,80.65,112.26,16.0,2.2,0.0,0.0
1783587468.6363,121.69,9.48,7.8,80.6,112.21,16.0,2.2,0.0,0.0
1783587469.6367,121.69,9.21,7.6,80.87,112.48,16.0,2.2,0.0,0.0
1783587470.6371,121.69,9.48,7.8,80.6,112.21,16.0,2.2,0.0,0.0
1783587471.6376,121.69,9.49,7.8,80.58,112.2,16.0,2.2,0.0,0.0
1783587472.6379,121.69,9.2,7.6,80.87,112.49,16.0,2.2,0.0,0.0
1783587473.6385,121.69,9.49,7.8,80.58,112.2,16.0,2.2,0.0,0.0
1783587474.6388,121.69,9.23,7.6,80.84,112.46,16.0,2.2,0.0,0.0
1783587475.6392,121.69,9.46,7.8,80.61,112.23,16.0,2.2,0.0,0.0
1783587476.6397,121.69,9.5,7.8,80.57,112.19,16.0,2.2,0.0,0.0
1783587477.6401,121.69,9.42,7.7,80.65,112.27,16.0,2.2,0.0,0.0
1783587478.6406,121.69,9.49,7.8,80.59,112.2,16.0,2.2,0.0,0.0
1783587479.6409,121.69,9.18,7.5,80.9,112.51,16.0,2.2,0.0,0.0
1783587480.6414,121.69,9.47,7.8,80.6,112.22,16.0,2.2,0.0,0.0
1783587481.6416,121.69,9.21,7.6,80.87,112.48,16.0,2.2,0.0,0.0
1783587482.642,121.69,9.44,7.8,80.63,112.25,16.0,2.2,0.0,0.0
1783587483.6428,121.69,9.5,7.8,80.58,112.19,16.0,2.2,0.0,0.0
1783587484.6431,121.69,9.41,7.7,80.66,112.28,16.0,2.2,0.0,0.0
1783587485.6439,121.69,9.49,7.8,80.58,112.2,16.0,2.2,0.0,0.0
1783587486.6442,121.69,9.24,7.6,80.84,112.45,16.0,2.2,0.0,0.0
1783587487.6449,121.69,9.46,7.8,80.62,112.23,16.0,2.2,0.0,0.0
1783587488.6455,121.69,9.49,7.8,80.58,112.2,16.0,2.2,0.0,0.0
1783587489.6457,121.69,9.41,7.7,80.66,112.28,16.0,2.2,0.0,0.0
1783587490.6462,121.69,9.49,7.8,80.58,112.2,16.0,2.2,0.0,0.0
