timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1783595701.7807,2911,0,0,0,0,0
1783595702.2811,19315,0,0,0,0,0
1783595702.7814,143042,0,0,0,0,0
1783595703.2818,32395,0,0,0,0,0
1783595703.7822,2122,0,0,0,0,0
1783595704.2826,2360,0,0,0,0,0
1783595704.7829,2379,0,0,0,0,0
1783595705.2832,2368,0,0,0,0,0
1783595705.7835,2357,0,0,0,0,0
1783595706.2845,2360,0,0,0,0,0
1783595706.7848,2405,0,0,0,0,0
1783595707.2859,2395,0,0,0,0,0
1783595707.7865,2371,0,0,0,0,0
1783595708.2869,2360,0,0,0,0,0
1783595708.7873,2204,0,0,0,0,0
1783595709.2879,196,0,0,0,0,0
1783595709.7882,2468,0,0,0,0,0
1783595710.2894,2366,0,0,0,0,0
1783595710.7901,2455,0,0,0,0,0
1783595711.2905,2374,0,0,0,0,0
1783595711.7912,2357,0,0,0,0,0
1783595712.2916,2358,0,0,0,0,0
1783595712.7924,2354,0,0,0,0,0
1783595713.293,2375,0,0,0,0,0
1783595713.7935,2356,0,0,0,0,0
1783595714.294,2358,0,0,0,0,0
1783595714.7944,1349,0,0,0,0,0
1783595715.2955,1042,0,0,0,0,0
1783595715.7958,2362,0,0,0,0,0
1783595716.2965,4246,0,0,0,0,0
1783595716.7969,2382,0,0,0,0,0
1783595717.2974,2360,0,0,0,0,0
1783595717.7978,2396,0,0,0,0,0
1783595718.2984,2379,0,0,0,0,0
1783595718.7989,2388,0,0,0,0,0
1783595719.2995,2371,0,0,0,0,0
1783595719.8003,2387,0,0,0,0,0
1783595720.3008,2398,0,0,0,0,0
1783595720.8013,1344,0,0,0,0,0
1783595721.3017,1055,0,0,0,0,0
1783595721.8021,2352,0,0,0,0,0
1783595722.3025,2398,0,0,0,0,0
1783595722.8029,2494,0,0,0,0,0
1783595723.3033,2378,0,0,0,0,0
1783595723.8039,2363,0,0,0,0,0
1783595724.3045,2368,0,0,0,0,0
1783595724.8049,2366,0,0,0,0,0
1783595725.3054,2421,0,0,0,0,0
1783595725.8058,2360,0,0,0,0,0
1783595726.3062,2146,0,0,0,0,0
1783595726.8068,230,0,0,0,0,0
1783595727.3078,2359,0,0,0,0,0
1783595727.8083,2386,0,0,0,0,0
1783595728.3092,2360,0,0,0,0,0
1783595728.8099,2390,0,0,0,0,0
1783595729.3107,2432,0,0,0,0,0
1783595729.8112,87075,0,0,0,0,0
1783595730.3118,2381,0,0,0,0,0
1783595730.8124,17506,0,0,0,0,0
1783595731.3127,95615,0,0,0,0,0
1783595731.8133,80974,0,0,0,0,0
1783595732.3138,1057,0,0,0,0,0
1783595732.8143,2432,0,0,0,0,0
1783595733.3148,2407,0,0,0,0,0
1783595733.8155,2365,0,0,0,0,0
1783595734.316,4262,0,0,0,0,0
1783595734.8166,2445,0,0,0,0,0
1783595735.317,2412,0,0,0,0,0
1783595735.8182,2371,0,0,0,0,0
1783595736.3185,2368,0,0,0,0,0
1783595736.8189,1351,0,0,0,0,0
1783595737.3194,1037,0,0,0,0,0
1783595737.82,2353,0,0,0,0,0
1783595738.3205,2358,0,0,0,0,0
1783595738.8212,2389,0,0,0,0,0
1783595739.3217,2374,0,0,0,0,0
1783595739.8222,2358,0,0,0,0,0
1783595740.3226,2404,0,0,0,0,0
1783595740.8231,2354,0,0,0,0,0
1783595741.3234,2374,0,0,0,0,0
1783595741.8238,2352,0,0,0,0,0
1783595742.3243,2132,0,0,0,0,0
1783595742.8249,230,0,0,0,0,0
1783595743.3254,2408,0,0,0,0,0
1783595743.8259,2348,0,0,0,0,0
1783595744.3263,2362,0,0,0,0,0
1783595744.8268,2362,0,0,0,0,0
1783595745.3273,2376,0,0,0,0,0
1783595745.8278,2375,0,0,0,0,0
1783595746.3282,2376,0,0,0,0,0
1783595746.8286,2466,0,0,0,0,0
1783595747.3291,2368,0,0,0,0,0
1783595747.8295,1343,0,0,0,0,0
1783595748.3298,1085,0,0,0,0,0
1783595748.8302,2400,0,0,0,0,0
1783595749.3305,2368,0,0,0,0,0
1783595749.831,2366,0,0,0,0,0
1783595750.3315,2360,0,0,0,0,0
1783595750.8319,2434,0,0,0,0,0
1783595751.3324,4434,0,0,0,0,0
1783595751.8329,2461,0,0,0,0,0
1783595752.3333,2364,0,0,0,0,0
1783595752.8339,2203,0,0,0,0,0
1783595753.3346,228,0,0,0,0,0
1783595753.8351,2364,0,0,0,0,0
1783595754.3355,2350,0,0,0,0,0
1783595754.8361,2367,0,0,0,0,0
1783595755.3369,2355,0,0,0,0,0
1783595755.8376,2363,0,0,0,0,0
1783595756.3383,2405,0,0,0,0,0
1783595756.839,2375,0,0,0,0,0
1783595757.3397,2369,0,0,0,0,0
1783595757.8402,2356,0,0,0,0,0
1783595758.3405,4079,0,0,0,0,0
1783595758.8409,83619,0,0,0,0,0
1783595759.3413,17196,0,0,0,0,0
1783595759.8417,2808,0,0,0,0,0
