timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1783590412.1799,121.69,9.12,7.5,80.95,112.57,16.0,2.2,0.0,0.0
1783590413.1801,121.69,9.44,7.8,80.63,112.25,16.0,2.2,0.0,0.0
1783590414.1804,121.69,9.16,7.5,80.9,112.53,16.0,2.2,0.0,0.0
1783590415.1811,121.69,9.47,7.8,80.61,112.22,16.0,2.2,0.0,0.0
1783590416.1815,121.69,9.45,7.8,80.62,112.24,16.0,2.2,0.0,0.0
1783590417.1821,121.69,9.16,7.5,80.9,112.53,16.0,2.2,0.0,0.0
1783590418.1824,121.69,9.45,7.8,80.63,112.24,16.0,2.2,0.0,0.0
1783590419.1827,121.69,9.45,7.8,80.61,112.24,16.0,2.2,0.0,0.0
1783590420.1831,121.69,9.21,7.6,80.86,112.48,16.0,2.2,0.0,0.0
1783590421.1835,121.69,9.45,7.8,80.62,112.24,16.0,2.2,0.0,0.0
1783590422.1839,121.69,9.45,7.8,80.62,112.24,16.0,2.2,0.0,0.0
1783590423.1844,121.69,9.17,7.5,80.9,112.52,16.0,2.2,0.0,0.0
1783590424.1851,121.69,9.46,7.8,80.62,112.23,16.0,2.2,0.0,0.0
1783590425.1859,121.69,9.45,7.8,80.61,112.24,16.0,2.2,0.0,0.0
1783590426.1862,121.69,9.46,7.8,80.61,112.23,16.0,2.2,0.0,0.0
1783590427.1868,121.69,9.41,7.7,80.66,112.28,16.0,2.2,0.0,0.0
1783590428.1871,121.69,9.45,7.8,80.62,112.24,16.0,2.2,0.0,0.0
1783590429.1874,121.69,9.45,7.8,80.62,112.24,16.0,2.2,0.0,0.0
1783590430.1877,121.69,9.18,7.5,80.89,112.51,16.0,2.2,0.0,0.0
1783590431.188,121.69,9.46,7.8,80.61,112.23,16.0,2.2,0.0,0.0
1783590432.1884,121.69,9.44,7.8,80.63,112.25,16.0,2.2,0.0,0.0
1783590433.1887,121.69,9.17,7.5,80.9,112.52,16.0,2.2,0.0,0.0
1783590434.1889,121.69,9.44,7.8,80.64,112.25,16.0,2.2,0.0,0.0
1783590435.1892,121.69,9.43,7.7,80.64,112.26,16.0,2.2,0.0,0.0
1783590436.1895,121.69,9.24,7.6,80.82,112.45,16.0,2.2,0.0,0.0
1783590437.1897,121.69,9.43,7.7,80.64,112.26,16.0,2.2,0.0,0.0
1783590438.1901,121.69,9.43,7.7,80.64,112.26,16.0,2.2,0.0,0.0
1783590439.1904,121.69,9.23,7.6,80.83,112.46,16.0,2.2,0.0,0.0
1783590440.1907,121.69,9.44,7.8,80.63,112.25,16.0,2.2,0.0,0.0
1783590441.1909,121.69,9.43,7.7,80.64,112.26,16.0,2.2,0.0,0.0
1783590442.1911,121.69,9.45,7.8,80.62,112.24,16.0,2.2,0.0,0.0
1783590443.1914,121.69,9.39,7.7,80.68,112.3,16.0,2.2,0.0,0.0
1783590444.1918,121.69,9.43,7.7,80.64,112.26,16.0,2.2,0.0,0.0
1783590445.1921,121.69,9.3,7.6,80.77,112.39,16.0,2.2,0.0,0.0
1783590446.1924,121.69,9.48,7.8,80.59,112.21,16.0,2.2,0.0,0.0
1783590447.1926,121.69,9.47,7.8,80.59,112.22,16.0,2.2,0.0,0.0
1783590448.1928,121.69,9.31,7.7,80.76,112.38,16.0,2.2,0.0,0.0
1783590449.193,121.69,9.47,7.8,80.6,112.22,16.0,2.2,0.0,0.0
1783590450.1932,121.69,9.46,7.8,80.61,112.23,16.0,2.2,0.0,0.0
1783590451.1935,121.69,9.24,7.6,80.82,112.45,16.0,2.2,0.0,0.0
1783590452.1938,121.69,9.44,7.8,80.63,112.25,16.0,2.2,0.0,0.0
1783590453.194,121.69,9.46,7.8,80.61,112.23,16.0,2.2,0.0,0.0
1783590454.1944,121.69,9.44,7.8,80.63,112.25,16.0,2.2,0.0,0.0
1783590455.1949,121.69,9.38,7.7,80.69,112.31,16.0,2.2,0.0,0.0
1783590456.1958,121.69,9.44,7.8,80.63,112.25,16.0,2.2,0.0,0.0
1783590457.196,121.69,9.43,7.7,80.63,112.26,16.0,2.2,0.0,0.0
1783590458.1964,121.69,9.37,7.7,80.7,112.32,16.0,2.2,0.0,0.0
1783590459.1967,121.69,9.43,7.7,80.64,112.26,16.0,2.2,0.0,0.0
1783590460.1972,121.69,9.43,7.7,80.64,112.26,16.0,2.2,0.0,0.0
1783590461.1975,121.69,9.14,7.5,80.92,112.55,16.0,2.2,0.0,0.0
1783590462.1979,121.69,9.44,7.8,80.65,112.25,16.0,2.2,0.0,0.0
1783590463.1982,121.69,9.44,7.8,80.63,112.25,16.0,2.2,0.0,0.0
1783590464.1985,121.69,9.17,7.5,80.9,112.52,16.0,2.2,0.0,0.0
1783590465.1989,121.69,9.44,7.8,80.64,112.25,16.0,2.2,0.0,0.0
1783590466.1992,121.69,9.41,7.7,80.65,112.28,16.0,2.2,0.0,0.0
1783590467.1996,121.69,9.43,7.7,80.64,112.26,16.0,2.2,0.0,0.0
1783590468.2001,121.69,9.38,7.7,80.69,112.31,16.0,2.2,0.0,0.0
1783590469.2003,121.69,9.44,7.8,80.63,112.25,16.0,2.2,0.0,0.0
1783590470.2006,121.69,9.45,7.8,80.61,112.24,16.0,2.2,0.0,0.0
1783590471.2009,121.69,9.38,7.7,80.69,112.31,16.0,2.2,0.0,0.0
1783590472.2012,121.69,9.44,7.8,80.63,112.25,16.0,2.2,0.0,0.0
1783590473.2017,121.69,9.45,7.8,80.62,112.24,16.0,2.2,0.0,0.0
1783590474.202,121.69,9.17,7.5,80.89,112.52,16.0,2.2,0.0,0.0
1783590475.2023,121.69,9.46,7.8,80.61,112.23,16.0,2.2,0.0,0.0
1783590476.2026,121.69,9.45,7.8,80.61,112.24,16.0,2.2,0.0,0.0
1783590477.2029,121.69,9.18,7.5,80.89,112.51,16.0,2.2,0.0,0.0
1783590478.2035,121.69,9.46,7.8,80.62,112.23,16.0,2.2,0.0,0.0
1783590479.204,121.69,9.46,7.8,80.61,112.23,16.0,2.2,0.0,0.0
1783590480.2043,121.69,9.17,7.5,80.9,112.52,16.0,2.2,0.0,0.0
1783590481.2045,121.69,9.47,7.8,80.61,112.22,16.0,2.2,0.0,0.0
