timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1783608913.6295,121.69,9.34,7.7,80.69,112.35,16.0,2.2,0.0,0.0
1783608914.6299,121.69,9.96,8.2,80.06,111.73,16.0,2.2,0.0,0.0
1783608915.6303,121.69,9.96,8.2,80.06,111.73,16.0,2.2,0.0,0.0
1783608916.6307,121.69,9.98,8.2,80.05,111.71,16.0,2.2,0.0,0.0
1783608917.6311,121.69,10.0,8.2,80.03,111.69,16.0,2.2,0.0,0.0
1783608918.6315,121.69,10.07,8.3,79.96,111.62,16.0,2.2,0.0,0.0
1783608919.6319,121.69,10.03,8.2,79.99,111.66,16.0,2.2,0.0,0.0
1783608920.6324,121.69,10.09,8.3,80.05,111.6,16.0,2.2,0.0,0.0
1783608921.6329,121.69,10.11,8.3,79.91,111.58,16.0,2.2,0.0,0.0
1783608922.6333,121.69,10.17,8.4,79.86,111.52,16.0,2.2,0.0,0.0
1783608923.6337,121.69,10.21,8.4,79.81,111.48,16.0,2.2,0.0,0.0
1783608924.6339,121.69,9.67,7.9,80.44,112.02,16.0,2.2,0.0,0.0
1783608925.6344,121.69,10.22,8.4,79.8,111.47,16.0,2.2,0.0,0.0
1783608926.6348,121.69,10.25,8.4,79.78,111.44,16.0,2.2,0.0,0.0
1783608927.6352,121.69,10.26,8.4,79.77,111.43,16.0,2.2,0.0,0.0
1783608928.6356,121.69,10.25,8.4,79.77,111.44,16.0,2.2,0.0,0.0
1783608929.636,121.69,10.25,8.4,79.78,111.44,16.0,2.2,0.0,0.0
1783608930.6365,121.69,10.25,8.4,79.77,111.44,16.0,2.2,0.0,0.0
1783608931.6368,121.69,10.18,8.4,79.96,111.51,16.0,2.2,0.0,0.0
1783608932.6372,121.69,10.21,8.4,79.82,111.48,16.0,2.2,0.0,0.0
1783608933.6376,121.69,10.26,8.4,79.76,111.43,16.0,2.2,0.0,0.0
1783608934.6379,121.69,10.01,8.2,80.01,111.68,16.0,2.2,0.0,0.0
1783608935.6384,121.69,10.35,8.5,79.8,111.34,16.0,2.2,0.0,0.0
1783608936.6393,121.69,10.43,8.6,79.59,111.26,16.0,2.2,0.0,0.0
1783608937.6398,121.69,10.36,8.5,79.66,111.33,16.0,2.2,0.0,0.0
1783608938.6402,121.69,10.37,8.5,79.66,111.32,16.0,2.2,0.0,0.0
1783608939.6406,121.69,10.16,8.3,79.98,111.53,16.0,2.2,0.0,0.0
1783608940.6412,121.69,10.13,8.3,79.89,111.56,16.0,2.2,0.0,0.0
1783608941.6416,121.69,10.15,8.3,79.87,111.54,16.0,2.2,0.0,0.0
1783608942.6422,121.69,10.14,8.3,79.88,111.55,16.0,2.2,0.0,0.0
1783608943.6427,121.69,10.13,8.3,79.9,111.56,16.0,2.2,0.0,0.0
1783608944.6433,121.69,10.13,8.3,79.9,111.56,16.0,2.2,0.0,0.0
1783608945.6438,121.69,10.09,8.3,79.94,111.6,16.0,2.2,0.0,0.0
1783608946.6444,121.69,10.04,8.3,79.98,111.65,16.0,2.2,0.0,0.0
1783608947.645,121.69,10.01,8.2,80.14,111.68,16.0,2.2,0.0,0.0
1783608948.6455,121.69,10.0,8.2,80.02,111.69,16.0,2.2,0.0,0.0
1783608949.646,121.69,10.06,8.3,79.96,111.63,16.0,2.2,0.0,0.0
1783608950.6464,121.69,10.08,8.3,79.94,111.61,16.0,2.2,0.0,0.0
1783608951.6469,121.69,9.98,8.2,80.16,111.71,16.0,2.2,0.0,0.0
1783608952.6474,121.69,9.98,8.2,80.04,111.71,16.0,2.2,0.0,0.0
1783608953.6478,121.69,10.05,8.3,79.98,111.64,16.0,2.2,0.0,0.0
1783608954.6482,121.69,10.08,8.3,79.95,111.61,16.0,2.2,0.0,0.0
1783608955.6492,121.69,10.15,8.3,79.87,111.54,16.0,2.2,0.0,0.0
1783608956.6497,121.69,10.15,8.3,79.88,111.54,16.0,2.2,0.0,0.0
1783608957.652,121.69,10.04,8.3,80.1,111.65,16.0,2.2,0.0,0.0
1783608958.6525,121.69,10.04,8.3,80.11,111.65,16.0,2.2,0.0,0.0
1783608959.653,121.69,10.03,8.2,80.12,111.66,16.0,2.2,0.0,0.0
1783608960.6536,121.69,10.0,8.2,80.14,111.69,16.0,2.2,0.0,0.0
1783608961.6543,121.69,10.05,8.3,80.09,111.64,16.0,2.2,0.0,0.0
1783608962.6548,121.69,10.05,8.3,79.98,111.64,16.0,2.2,0.0,0.0
1783608963.6552,121.69,9.97,8.2,80.05,111.72,16.0,2.2,0.0,0.0
1783608964.6558,121.69,9.96,8.2,80.07,111.73,16.0,2.2,0.0,0.0
1783608965.6562,121.69,9.46,7.8,80.57,112.23,16.0,2.2,0.0,0.0
1783608966.6567,121.69,9.97,8.2,80.05,111.72,16.0,2.2,0.0,0.0
1783608967.6572,121.69,9.96,8.2,80.07,111.73,16.0,2.2,0.0,0.0
1783608968.6578,121.69,9.94,8.2,80.09,111.75,16.0,2.2,0.0,0.0
1783608969.6583,121.69,9.95,8.2,80.08,111.74,16.0,2.2,0.0,0.0
1783608970.6587,121.69,9.93,8.2,80.09,111.76,16.0,2.2,0.0,0.0
1783608971.6593,121.69,9.93,8.2,80.09,111.76,16.0,2.2,0.0,0.0
1783608972.6601,121.69,9.93,8.2,80.09,111.76,16.0,2.2,0.0,0.0
1783608973.6606,121.69,9.93,8.2,80.09,111.76,16.0,2.2,0.0,0.0
