timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1783621881.2289,9.3,4.1,5.1,0.0,3354.0,68.4,,2.03,2.0,2.0,5746,4,0
1783621882.23,8.3,3.2,5.1,0.1,3354.0,68.1,,2.03,2.0,2.0,5442,4,0
1783621883.2312,10.7,6.3,4.4,0.0,3354.0,68.5,,2.03,2.0,2.0,6105,3,0
1783621884.2323,10.8,6.5,4.4,0.0,3354.0,69.7,,2.03,2.0,2.0,5914,4,0
1783621885.2334,10.3,5.0,5.2,0.1,3354.0,69.7,,2.03,2.0,2.0,6435,3,0
1783621886.2345,10.9,6.3,4.6,0.0,3354.0,70.1,,2.03,2.0,2.0,6157,3,0
1783621887.2356,10.8,6.3,4.5,0.0,3354.0,71.9,,2.03,2.0,2.0,5927,3,0
1783621888.2368,10.1,4.7,5.3,0.0,3354.0,70.7,,2.03,2.0,2.0,6355,4,0
1783621889.2381,10.7,6.3,4.4,0.0,3354.0,70.8,,2.02,2.0,2.0,6000,3,0
1783621890.2392,11.2,6.5,4.6,0.0,3354.0,72.5,,2.02,2.0,2.0,6517,5,0
1783621891.2405,11.6,6.1,5.5,0.0,3354.0,72.4,,2.02,2.0,2.0,7027,3,0
1783621892.2422,11.1,6.6,4.5,0.0,3354.0,73.4,,2.02,2.0,2.0,6367,4,0
1783621893.2439,11.0,6.4,4.6,0.0,3354.0,75.5,,2.02,2.0,2.0,6125,3,0
1783621894.245,10.0,4.6,5.5,0.0,3354.0,72.9,,2.02,2.0,2.0,6420,3,0
1783621895.2462,10.7,6.2,4.4,0.0,3354.0,72.8,,2.02,2.0,2.0,6338,3,0
1783621896.2478,10.8,6.4,4.5,0.0,3354.0,73.9,,2.02,2.0,2.0,5945,3,0
1783621897.2489,10.3,5.1,5.2,0.0,3354.0,73.1,,2.02,2.0,2.0,6229,3,0
1783621898.2503,10.9,6.5,4.5,0.0,3354.0,73.1,,2.02,2.0,2.0,6085,3,0
1783621899.2515,10.9,6.2,4.7,0.0,3354.0,74.7,,2.02,2.0,2.0,6139,3,0
1783621900.253,10.2,4.8,5.4,0.0,3354.0,73.7,,2.02,2.0,2.0,6537,5,0
1783621901.2542,13.1,8.4,4.6,0.1,3354.0,74.2,,2.02,2.0,2.0,6916,3,0
1783621902.2553,11.0,6.4,4.7,0.0,3354.0,75.4,,2.02,2.0,2.0,6284,4,0
1783621903.2565,9.8,4.4,5.4,0.0,3354.0,74.5,,2.02,2.0,2.0,6666,3,0
1783621904.2577,10.8,6.3,4.5,0.0,3354.0,74.6,,2.1,2.02,2.01,5948,4,0
1783621905.2592,11.0,6.5,4.5,0.0,3354.0,75.8,,2.1,2.02,2.01,6305,3,0
1783621906.2604,10.1,4.8,5.3,0.0,3354.0,74.6,,2.1,2.02,2.01,6225,4,0
1783621907.2616,10.8,6.4,4.4,0.0,3354.0,74.6,,2.1,2.02,2.01,6015,4,0
1783621908.2628,10.8,6.4,4.4,0.0,3354.0,76.3,,2.1,2.02,2.01,6146,3,0
1783621909.264,10.0,4.7,5.4,0.0,3354.0,74.9,,2.09,2.02,2.01,6380,3,0
1783621910.2652,10.9,6.3,4.6,0.0,3354.0,74.9,,2.09,2.02,2.01,6478,3,0
1783621911.2664,11.1,6.4,4.6,0.1,3354.0,76.6,,2.09,2.02,2.01,6194,3,0
1783621912.2675,9.7,4.6,5.2,0.0,3354.0,75.6,,2.09,2.02,2.01,6104,3,0
1783621913.269,10.9,6.4,4.5,0.0,3354.0,75.8,,2.09,2.02,2.01,6294,4,0
1783621914.2703,10.9,6.3,4.7,0.0,3354.0,77.1,,2.08,2.02,2.0,5975,3,0
1783621915.2715,10.1,4.9,5.2,0.0,3354.0,76.1,,2.08,2.02,2.0,6511,3,0
1783621916.2728,10.8,6.4,4.4,0.0,3354.0,75.9,,2.08,2.02,2.0,6072,3,0
1783621917.274,10.9,6.3,4.6,0.0,3354.0,77.5,,2.08,2.02,2.0,5995,3,0
1783621918.2751,10.3,4.9,5.3,0.1,3354.0,76.4,,2.08,2.02,2.0,6345,3,0
1783621919.2763,11.0,6.6,4.4,0.0,3354.0,76.7,,2.08,2.02,2.0,6201,3,0
1783621920.2776,10.9,6.4,4.5,0.0,3354.0,77.9,,2.08,2.02,2.0,6414,3,0
1783621921.2791,10.0,4.7,5.3,0.0,3354.0,77.0,,2.08,2.02,2.0,6173,3,0
1783621922.2804,10.9,6.5,4.5,0.0,3354.0,76.9,,2.08,2.02,2.0,5991,3,0
1783621923.2815,11.0,6.4,4.6,0.0,3354.0,78.1,,2.08,2.02,2.0,6235,3,0
1783621924.2826,9.8,4.6,5.2,0.0,3354.0,77.0,,2.07,2.02,2.0,6242,4,0
1783621925.2834,11.0,6.5,4.5,0.0,3354.0,76.9,,2.07,2.02,2.0,6122,3,0
1783621926.2842,11.0,6.4,4.6,0.0,3354.0,78.3,,2.07,2.02,2.0,5863,4,0
1783621927.2851,9.9,4.8,5.2,0.0,3354.0,77.2,,2.07,2.02,2.0,6401,3,0
1783621928.2859,10.9,6.3,4.6,0.0,3354.0,77.4,,2.07,2.02,2.0,6056,3,0
1783621929.2866,11.2,6.6,4.5,0.0,3354.0,78.7,,2.06,2.02,2.0,6645,3,0
1783621930.2875,10.1,4.9,5.1,0.1,3354.0,77.8,,2.06,2.02,2.0,6461,3,0
1783621931.2882,10.9,6.3,4.6,0.0,3354.0,77.9,,2.06,2.02,2.0,5925,3,0
1783621932.289,10.8,6.4,4.4,0.0,3354.0,79.1,,2.06,2.02,2.0,5952,3,0
1783621933.2898,10.0,4.7,5.4,0.0,3354.0,78.0,,2.06,2.02,2.0,6401,3,0
1783621934.2908,10.8,6.4,4.5,0.0,3354.0,78.2,,2.06,2.02,2.0,5973,3,0
1783621935.2916,10.9,6.4,4.5,0.0,3354.0,79.0,,2.06,2.02,2.0,6184,3,0
1783621936.2925,10.0,4.7,5.3,0.0,3354.0,78.4,,2.06,2.02,2.0,6064,3,0
1783621937.2934,10.9,6.4,4.6,0.0,3354.0,78.5,,2.06,2.02,2.0,5973,4,0
1783621938.2942,11.0,6.3,4.6,0.0,3354.0,79.5,,2.06,2.02,2.0,6216,4,0
1783621939.2951,9.7,4.5,5.2,0.0,3354.0,78.6,,2.13,2.03,2.01,6310,4,0
1783621940.2959,11.1,6.3,4.8,0.0,3354.0,78.7,,2.13,2.03,2.01,6528,3,0
1783621941.2967,11.1,6.5,4.5,0.0,3354.0,79.6,,2.13,2.03,2.01,6190,3,0
1783621942.2978,9.9,4.8,5.1,0.0,3354.0,79.0,,2.13,2.03,2.01,5976,3,0
1783621943.2987,10.9,6.4,4.5,0.0,3354.0,79.0,,2.13,2.03,2.01,6265,3,0
1783621944.2996,11.0,6.4,4.6,0.0,3354.0,79.9,,2.12,2.03,2.01,6082,3,0
1783621945.3005,9.8,4.4,5.4,0.0,3354.0,79.2,,2.12,2.03,2.01,6121,3,0
1783621946.3013,10.8,6.2,4.5,0.0,3354.0,79.1,,2.12,2.03,2.01,5973,4,0
1783621947.302,11.3,6.7,4.5,0.0,3354.0,80.0,,2.12,2.03,2.01,6485,3,0
1783621948.3028,12.0,6.6,5.4,0.0,3354.0,79.5,,2.12,2.03,2.01,8203,3,0
1783621949.3035,11.0,6.3,4.7,0.0,3354.0,79.2,,2.11,2.03,2.01,6342,3,0
1783621950.3042,11.0,6.4,4.6,0.0,3354.0,80.3,,2.11,2.03,2.01,6292,3,0
1783621951.3051,12.2,6.7,5.5,0.0,3354.0,80.0,,2.11,2.03,2.01,7268,3,0
1783621952.3059,11.2,6.6,4.6,0.0,3354.0,79.9,,2.11,2.03,2.01,6668,3,0
1783621953.3067,11.1,6.6,4.4,0.1,3354.0,80.5,,2.11,2.03,2.01,6233,4,0
1783621954.3078,10.2,4.8,5.4,0.0,3354.0,80.0,,2.26,2.06,2.02,6396,6,0
1783621955.3086,10.9,6.4,4.5,0.0,3354.0,80.1,,2.26,2.06,2.02,6218,3,0
1783621956.3094,10.8,6.3,4.6,0.0,3354.0,80.6,,2.26,2.06,2.02,5817,3,0
1783621957.3105,10.1,4.8,5.3,0.0,3354.0,80.4,,2.26,2.06,2.02,6345,3,0
1783621958.3113,11.0,6.3,4.7,0.0,3354.0,80.3,,2.26,2.06,2.02,6139,3,0
1783621959.3121,10.8,6.3,4.5,0.0,3354.0,81.0,,2.24,2.06,2.02,6154,4,0
1783621960.3129,9.9,4.7,5.2,0.0,3354.0,80.6,,2.24,2.06,2.02,6190,3,0
1783621961.3138,11.0,6.4,4.6,0.1,3354.0,80.3,,2.24,2.06,2.02,5910,3,0
