timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1783599536.3178,121.69,9.39,7.7,80.66,112.3,16.0,2.2,0.0,0.0
1783599537.3182,121.69,11.02,9.1,79.04,110.67,16.0,2.2,0.0,0.0
1783599538.3185,121.69,12.16,10.0,77.89,109.53,16.0,2.2,0.0,0.0
1783599539.3188,121.69,12.44,10.2,77.61,109.25,16.0,2.2,0.0,0.0
1783599540.3192,121.69,12.74,10.5,77.31,108.95,16.0,2.2,0.0,0.0
1783599541.3195,121.69,13.02,10.7,77.03,108.67,16.0,2.2,0.0,0.0
1783599542.3198,121.69,13.31,10.9,76.75,108.38,16.0,2.2,0.0,0.0
1783599543.3203,121.69,13.6,11.2,76.45,108.09,16.0,2.2,0.0,0.0
1783599544.3206,121.69,13.88,11.4,76.17,107.81,16.0,2.2,0.0,0.0
1783599545.321,121.69,14.16,11.6,75.89,107.53,16.0,2.2,0.0,0.0
1783599546.3213,121.69,14.48,11.9,75.57,107.21,16.0,2.2,0.0,0.0
1783599547.3216,121.69,14.77,12.1,75.28,106.92,16.0,2.2,0.0,0.0
1783599548.322,121.69,15.07,12.4,74.99,106.62,16.0,2.2,0.0,0.0
1783599549.3223,121.69,15.35,12.6,74.7,106.34,16.0,2.2,0.0,0.0
1783599550.3226,121.69,15.67,12.9,74.38,106.02,16.0,2.2,0.0,0.0
1783599551.323,121.69,15.94,13.1,74.11,105.75,16.0,2.2,0.0,0.0
1783599552.3233,121.69,16.25,13.4,73.81,105.44,16.0,2.2,0.0,0.0
1783599553.3236,121.69,16.53,13.6,73.52,105.16,16.0,2.2,0.0,0.0
1783599554.324,121.69,16.83,13.8,73.23,104.86,16.0,2.2,0.0,0.0
1783599555.3245,121.69,17.13,14.1,72.93,104.56,16.0,2.2,0.0,0.0
1783599556.3247,121.69,17.43,14.3,72.62,104.26,16.0,2.2,0.0,0.0
1783599557.3253,121.69,17.74,14.6,72.32,103.95,16.0,2.2,0.0,0.0
1783599558.3257,121.69,18.02,14.8,72.03,103.67,16.0,2.2,0.0,0.0
1783599559.326,121.69,18.33,15.1,71.72,103.36,16.0,2.2,0.0,0.0
1783599560.3264,121.69,18.63,15.3,71.43,103.06,16.0,2.2,0.0,0.0
1783599561.3267,121.69,18.93,15.6,71.13,102.76,16.0,2.2,0.0,0.0
1783599562.327,121.69,19.22,15.8,70.83,102.47,16.0,2.2,0.0,0.0
1783599563.3273,121.69,21.76,17.9,68.29,99.93,16.0,2.2,0.0,0.0
1783599564.3276,121.69,34.45,28.3,55.6,87.24,16.0,2.2,0.0,0.0
1783599565.328,121.69,42.16,34.6,47.9,79.53,16.0,2.2,0.0,0.0
1783599566.3284,121.69,42.15,34.6,47.9,79.54,16.0,2.2,0.0,0.0
1783599567.3288,121.69,42.15,34.6,47.91,79.54,16.0,2.2,0.0,0.0
1783599568.3291,121.69,42.15,34.6,47.9,79.54,16.0,2.2,0.0,0.0
1783599569.3294,121.69,23.95,19.7,66.11,97.74,16.0,2.2,0.0,0.0
1783599570.3297,121.69,17.16,14.1,72.89,104.53,16.0,2.2,0.0,0.0
1783599571.33,121.69,10.42,8.6,79.64,111.27,16.0,2.2,0.0,0.0
1783599572.3302,121.69,11.05,9.1,79.0,110.64,16.0,2.2,0.0,0.0
1783599573.3304,121.69,11.93,9.8,78.12,109.76,16.0,2.2,0.0,0.0
1783599574.3307,121.69,12.23,10.1,77.83,109.46,16.0,2.2,0.0,0.0
1783599575.3313,121.69,12.51,10.3,77.54,109.18,16.0,2.2,0.0,0.0
1783599576.3316,121.69,12.82,10.5,77.24,108.87,16.0,2.2,0.0,0.0
1783599577.3319,121.69,13.1,10.8,76.95,108.59,16.0,2.2,0.0,0.0
1783599578.3323,121.69,13.39,11.0,76.66,108.3,16.0,2.2,0.0,0.0
1783599579.333,121.69,13.69,11.2,76.37,108.0,16.0,2.2,0.0,0.0
1783599580.3334,121.69,13.98,11.5,76.07,107.71,16.0,2.2,0.0,0.0
1783599581.3337,121.69,14.27,11.7,75.78,107.42,16.0,2.2,0.0,0.0
1783599582.334,121.69,14.86,12.2,75.2,106.83,16.0,2.2,0.0,0.0
1783599583.3343,121.69,14.9,12.2,75.16,106.79,16.0,2.2,0.0,0.0
1783599584.3346,121.69,15.19,12.5,74.86,106.5,16.0,2.2,0.0,0.0
1783599585.3349,121.69,15.49,12.7,74.56,106.2,16.0,2.2,0.0,0.0
1783599586.3353,121.69,15.78,13.0,74.27,105.91,16.0,2.2,0.0,0.0
1783599587.3356,121.69,16.06,13.2,73.99,105.63,16.0,2.2,0.0,0.0
1783599588.3358,121.69,16.35,13.4,73.7,105.34,16.0,2.2,0.0,0.0
1783599589.3362,121.69,16.63,13.7,73.42,105.06,16.0,2.2,0.0,0.0
1783599590.3365,121.69,16.92,13.9,73.13,104.77,16.0,2.2,0.0,0.0
1783599591.3369,121.69,17.21,14.1,72.84,104.48,16.0,2.2,0.0,0.0
1783599592.3372,121.69,17.52,14.4,72.54,104.17,16.0,2.2,0.0,0.0
