timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1783620102.315,121.69,9.44,7.8,80.57,112.25,16.0,2.2,0.0,0.0
1783620103.3161,121.69,9.99,8.2,80.02,111.7,16.0,2.2,0.0,0.0
1783620104.3164,121.69,9.9,8.1,80.11,111.79,16.0,2.2,0.0,0.0
1783620105.3168,121.69,9.89,8.1,80.12,111.8,16.0,2.2,0.0,0.0
1783620106.317,121.69,9.75,8.0,80.26,111.94,16.0,2.2,0.0,0.0
1783620107.3179,121.69,10.36,8.5,79.64,111.33,16.0,2.2,0.0,0.0
1783620108.3186,121.69,10.12,8.3,79.88,111.57,16.0,2.2,0.0,0.0
1783620109.3189,121.69,10.05,8.3,79.95,111.64,16.0,2.2,0.0,0.0
1783620110.3193,121.69,10.02,8.2,79.99,111.67,16.0,2.2,0.0,0.0
1783620111.3196,121.69,9.96,8.2,80.05,111.73,16.0,2.2,0.0,0.0
1783620112.3207,121.69,9.89,8.1,80.11,111.8,16.0,2.2,0.0,0.0
1783620113.3213,121.69,10.36,8.5,79.64,111.33,16.0,2.2,0.0,0.0
1783620114.322,121.69,10.29,8.5,79.72,111.4,16.0,2.2,0.0,0.0
1783620115.3222,121.69,10.16,8.3,79.84,111.53,16.0,2.2,0.0,0.0
1783620116.3225,121.69,10.17,8.4,79.83,111.52,16.0,2.2,0.0,0.0
1783620117.3228,121.69,10.07,8.3,79.93,111.62,16.0,2.2,0.0,0.0
1783620118.323,121.69,10.15,8.3,79.86,111.54,16.0,2.2,0.0,0.0
1783620119.3234,121.69,10.5,8.6,79.5,111.19,16.0,2.2,0.0,0.0
1783620120.3241,121.69,10.67,8.8,79.33,111.02,16.0,2.2,0.0,0.0
1783620121.3245,121.69,10.44,8.6,79.57,111.25,16.0,2.2,0.0,0.0
1783620122.3248,121.69,10.08,8.3,79.93,111.61,16.0,2.2,0.0,0.0
1783620123.3251,121.69,9.87,8.1,80.13,111.82,16.0,2.2,0.0,0.0
1783620124.3255,121.69,9.54,7.8,80.47,112.15,16.0,2.2,0.0,0.0
1783620125.3259,121.69,9.78,8.0,80.23,111.91,16.0,2.2,0.0,0.0
1783620126.3261,121.69,10.31,8.5,79.7,111.38,16.0,2.2,0.0,0.0
1783620127.3263,121.69,10.18,8.4,79.83,111.51,16.0,2.2,0.0,0.0
1783620128.3265,121.69,10.06,8.3,79.95,111.63,16.0,2.2,0.0,0.0
1783620129.3273,121.69,9.85,8.1,80.16,111.84,16.0,2.2,0.0,0.0
1783620130.3275,121.69,9.55,7.8,80.46,112.14,16.0,2.2,0.0,0.0
1783620131.3278,121.69,9.9,8.1,80.1,111.79,16.0,2.2,0.0,0.0
1783620132.3281,121.69,10.17,8.4,79.83,111.52,16.0,2.2,0.0,0.0
1783620133.3284,121.69,10.09,8.3,79.92,111.6,16.0,2.2,0.0,0.0
1783620134.3287,121.69,9.99,8.2,80.02,111.7,16.0,2.2,0.0,0.0
1783620135.3291,121.69,10.25,8.4,79.76,111.44,16.0,2.2,0.0,0.0
1783620136.3295,121.69,10.02,8.2,79.99,111.67,16.0,2.2,0.0,0.0
1783620137.3301,121.69,9.79,8.0,80.22,111.9,16.0,2.2,0.0,0.0
1783620138.3305,121.69,10.42,8.6,79.58,111.27,16.0,2.2,0.0,0.0
1783620139.3312,121.69,10.62,8.7,79.39,111.07,16.0,2.2,0.0,0.0
1783620140.3315,121.69,10.52,8.6,79.49,111.17,16.0,2.2,0.0,0.0
1783620141.3317,121.69,10.29,8.5,79.71,111.4,16.0,2.2,0.0,0.0
1783620142.3323,121.69,10.19,8.4,79.81,111.5,16.0,2.2,0.0,0.0
1783620143.3326,121.69,10.12,8.3,79.89,111.57,16.0,2.2,0.0,0.0
1783620144.333,121.69,10.02,8.2,79.98,111.67,16.0,2.2,0.0,0.0
1783620145.3348,121.69,10.42,8.6,79.58,111.27,16.0,2.2,0.0,0.0
1783620146.3352,121.69,10.21,8.4,79.8,111.48,16.0,2.2,0.0,0.0
1783620147.3355,121.69,10.19,8.4,79.81,111.5,16.0,2.2,0.0,0.0
1783620148.3358,121.69,10.23,8.4,79.77,111.46,16.0,2.2,0.0,0.0
1783620149.3363,121.69,10.14,8.3,79.86,111.55,16.0,2.2,0.0,0.0
1783620150.3366,121.69,9.98,8.2,80.02,111.71,16.0,2.2,0.0,0.0
1783620151.3369,121.69,9.87,8.1,80.13,111.82,16.0,2.2,0.0,0.0
1783620152.3373,121.69,10.15,8.3,79.86,111.54,16.0,2.2,0.0,0.0
1783620153.3377,121.69,10.32,8.5,79.68,111.37,16.0,2.2,0.0,0.0
1783620154.338,121.69,10.17,8.4,79.83,111.52,16.0,2.2,0.0,0.0
1783620155.3383,121.69,10.03,8.2,79.98,111.66,16.0,2.2,0.0,0.0
1783620156.3386,121.69,9.87,8.1,80.14,111.82,16.0,2.2,0.0,0.0
1783620157.339,121.69,9.66,7.9,80.35,112.03,16.0,2.2,0.0,0.0
1783620158.3393,121.69,9.74,8.0,80.27,111.95,16.0,2.2,0.0,0.0
1783620159.3396,121.69,10.2,8.4,79.81,111.49,16.0,2.2,0.0,0.0
1783620160.3398,121.69,10.11,8.3,79.89,111.58,16.0,2.2,0.0,0.0
1783620161.3402,121.69,9.96,8.2,80.05,111.73,16.0,2.2,0.0,0.0
1783620162.3405,121.69,9.84,8.1,80.16,111.85,16.0,2.2,0.0,0.0
1783620163.3408,121.69,9.56,7.9,80.45,112.13,16.0,2.2,0.0,0.0
1783620164.3411,121.69,9.74,8.0,80.26,111.95,16.0,2.2,0.0,0.0
1783620165.3415,121.69,10.2,8.4,79.8,111.49,16.0,2.2,0.0,0.0
1783620166.3418,121.69,10.48,8.6,79.52,111.21,16.0,2.2,0.0,0.0
1783620167.3421,121.69,10.4,8.5,79.6,111.29,16.0,2.2,0.0,0.0
1783620168.3424,121.69,10.61,8.7,79.39,111.08,16.0,2.2,0.0,0.0
1783620169.3428,121.69,10.55,8.7,79.46,111.14,16.0,2.2,0.0,0.0
1783620170.3432,121.69,10.79,8.9,79.21,110.9,16.0,2.2,0.0,0.0
1783620171.3438,121.69,11.12,9.1,78.89,110.57,16.0,2.2,0.0,0.0
1783620172.3441,121.69,10.66,8.8,79.35,111.03,16.0,2.2,0.0,0.0
1783620173.3445,121.69,10.95,9.0,79.05,110.74,16.0,2.2,0.0,0.0
1783620174.3449,121.69,10.83,8.9,79.17,110.86,16.0,2.2,0.0,0.0
1783620175.3451,121.69,10.7,8.8,79.31,110.99,16.0,2.2,0.0,0.0
1783620176.3458,121.69,10.58,8.7,79.43,111.11,16.0,2.2,0.0,0.0
1783620177.3461,121.69,11.1,9.1,78.9,110.59,16.0,2.2,0.0,0.0
1783620178.3464,121.69,11.0,9.0,79.01,110.69,16.0,2.2,0.0,0.0
1783620179.3468,121.69,10.78,8.9,79.22,110.91,16.0,2.2,0.0,0.0
1783620180.3471,121.69,10.78,8.9,79.23,110.91,16.0,2.2,0.0,0.0
1783620181.3475,121.69,10.56,8.7,79.44,111.13,16.0,2.2,0.0,0.0
1783620182.3478,121.69,10.52,8.6,79.49,111.17,16.0,2.2,0.0,0.0
1783620183.3484,121.69,10.98,9.0,79.02,110.71,16.0,2.2,0.0,0.0
1783620184.3488,121.69,10.87,8.9,79.14,110.82,16.0,2.2,0.0,0.0
1783620185.3491,121.69,10.73,8.8,79.27,110.96,16.0,2.2,0.0,0.0
1783620186.3499,121.69,10.93,9.0,79.08,110.76,16.0,2.2,0.0,0.0
1783620187.3506,121.69,10.76,8.8,79.24,110.93,16.0,2.2,0.0,0.0
1783620188.3512,121.69,10.64,8.7,79.36,111.05,16.0,2.2,0.0,0.0
1783620189.3516,121.69,10.37,8.5,79.64,111.32,16.0,2.2,0.0,0.0
1783620190.3519,121.69,10.91,9.0,79.1,110.78,16.0,2.2,0.0,0.0
1783620191.3522,121.69,11.07,9.1,78.94,110.62,16.0,2.2,0.0,0.0
1783620192.3526,121.69,10.76,8.8,79.25,110.93,16.0,2.2,0.0,0.0
1783620193.3531,121.69,10.61,8.7,79.4,111.08,16.0,2.2,0.0,0.0
1783620194.3537,121.69,10.69,8.8,79.32,111.0,16.0,2.2,0.0,0.0
1783620195.3541,121.69,11.01,9.0,79.0,110.68,16.0,2.2,0.0,0.0
1783620196.3544,121.69,10.76,8.8,79.25,110.93,16.0,2.2,0.0,0.0
1783620197.3547,121.69,10.84,8.9,79.16,110.85,16.0,2.2,0.0,0.0
1783620198.3552,121.69,10.92,9.0,79.09,110.77,16.0,2.2,0.0,0.0
1783620199.3556,121.69,10.51,8.6,79.49,111.18,16.0,2.2,0.0,0.0
1783620200.356,121.69,10.33,8.5,79.68,111.36,16.0,2.2,0.0,0.0
1783620201.3563,121.69,10.22,8.4,79.79,111.47,16.0,2.2,0.0,0.0
1783620202.357,121.69,10.06,8.3,79.95,111.63,16.0,2.2,0.0,0.0
1783620203.3574,121.69,10.23,8.4,79.77,111.46,16.0,2.2,0.0,0.0
1783620204.3578,121.69,10.37,8.5,79.63,111.32,16.0,2.2,0.0,0.0
1783620205.3581,121.69,10.32,8.5,79.69,111.37,16.0,2.2,0.0,0.0
1783620206.3585,121.69,10.23,8.4,79.77,111.46,16.0,2.2,0.0,0.0
1783620207.3589,121.69,10.03,8.2,79.98,111.66,16.0,2.2,0.0,0.0
1783620208.3593,121.69,10.0,8.2,80.01,111.69,16.0,2.2,0.0,0.0
1783620209.3597,121.69,9.94,8.2,80.06,111.75,16.0,2.2,0.0,0.0
1783620210.3603,121.69,10.42,8.6,79.58,111.27,16.0,2.2,0.0,0.0
1783620211.3606,121.69,10.34,8.5,79.67,111.35,16.0,2.2,0.0,0.0
1783620212.361,121.69,10.23,8.4,79.77,111.46,16.0,2.2,0.0,0.0
1783620213.3614,121.69,10.42,8.6,79.59,111.27,16.0,2.2,0.0,0.0
1783620214.3618,121.69,10.34,8.5,79.67,111.35,16.0,2.2,0.0,0.0
1783620215.3624,121.69,10.12,8.3,79.88,111.57,16.0,2.2,0.0,0.0
1783620216.3628,121.69,10.13,8.3,79.88,111.56,16.0,2.2,0.0,0.0
1783620217.3631,121.69,10.53,8.7,79.48,111.16,16.0,2.2,0.0,0.0
1783620218.3638,121.69,10.38,8.5,79.62,111.31,16.0,2.2,0.0,0.0
1783620219.3641,121.69,10.41,8.6,79.6,111.28,16.0,2.2,0.0,0.0
1783620220.3645,121.69,10.12,8.3,79.88,111.57,16.0,2.2,0.0,0.0
1783620221.3649,121.69,9.94,8.2,80.06,111.75,16.0,2.2,0.0,0.0
1783620222.3656,121.69,9.98,8.2,80.03,111.71,16.0,2.2,0.0,0.0
