timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1783631078.9632,2891,0,0,0,0,0
1783631079.4635,19435,0,0,0,0,0
1783631079.9637,563777,0,0,0,0,0
1783631080.464,134771,0,0,0,0,0
1783631080.965,1046,0,0,0,0,0
1783631081.4655,2392,0,0,0,0,0
1783631081.9661,2401,0,0,0,0,0
1783631082.4667,4240,0,0,0,0,0
1783631082.9674,2439,0,0,0,0,0
1783631083.468,2389,0,0,0,0,0
1783631083.9687,2365,0,0,0,0,0
1783631084.4691,1443,0,0,0,0,0
1783631084.9697,1350,0,0,0,0,0
1783631085.4709,2428,0,0,0,0,0
1783631085.9718,2362,0,0,0,0,0
1783631086.4727,2444,0,0,0,0,0
1783631086.973,47482,0,0,0,0,0
1783631087.4733,518675,0,0,0,0,0
1783631087.9736,135731,0,0,0,0,0
1783631088.4742,2351,0,0,0,0,0
1783631088.975,2089,0,0,0,0,0
1783631089.4754,270,0,0,0,0,0
1783631089.9758,2374,0,0,0,0,0
1783631090.4764,2355,0,0,0,0,0
1783631090.977,2371,0,0,0,0,0
1783631091.4773,2356,0,0,0,0,0
1783631091.9777,2374,0,0,0,0,0
1783631092.4784,2387,0,0,0,0,0
1783631092.9791,2257,0,0,0,0,0
1783631093.4795,158,0,0,0,0,0
1783631093.9799,2356,0,0,0,0,0
1783631094.4802,2414,0,0,0,0,0
1783631094.9805,360959,0,0,0,0,0
1783631095.4811,338430,0,0,0,0,0
1783631095.9815,2448,0,0,0,0,0
1783631096.4819,2392,0,0,0,0,0
1783631096.9826,2365,0,0,0,0,0
1783631097.4833,2278,0,0,0,0,0
1783631097.9837,82,0,0,0,0,0
1783631098.4844,2407,0,0,0,0,0
1783631098.9847,2351,0,0,0,0,0
1783631099.4852,4311,0,0,0,0,0
1783631099.9859,2371,0,0,0,0,0
1783631100.4862,2370,0,0,0,0,0
1783631100.9866,2358,0,0,0,0,0
1783631101.4872,2358,0,0,0,0,0
1783631101.9879,3307,0,0,0,0,0
1783631102.4882,174,0,0,0,0,0
1783631102.9886,537510,0,0,0,0,0
1783631103.4895,161681,0,0,0,0,0
1783631103.9901,2351,0,0,0,0,0
1783631104.4905,2404,0,0,0,0,0
1783631104.9909,2348,0,0,0,0,0
1783631105.4913,2356,0,0,0,0,0
1783631105.9917,2436,0,0,0,0,0
1783631106.4927,1370,0,0,0,0,0
1783631106.9931,1029,0,0,0,0,0
1783631107.4935,2486,0,0,0,0,0
1783631107.9939,2352,0,0,0,0,0
1783631108.4944,2382,0,0,0,0,0
1783631108.9947,2407,0,0,0,0,0
1783631109.4953,2365,0,0,0,0,0
1783631109.9956,2446,0,0,0,0,0
1783631110.496,214846,0,0,0,0,0
1783631110.9962,407125,0,0,0,0,0
1783631111.4966,78738,0,0,0,0,0
1783631111.9977,1192,0,0,0,0,0
1783631112.4989,2410,0,0,0,0,0
1783631112.9993,2350,0,0,0,0,0
1783631113.4997,2368,0,0,0,0,0
1783631114.0001,2350,0,0,0,0,0
1783631114.5007,2381,0,0,0,0,0
1783631115.0011,2360,0,0,0,0,0
1783631115.5015,2362,0,0,0,0,0
1783631116.0019,1325,0,0,0,0,0
1783631116.5027,1078,0,0,0,0,0
1783631117.0034,2349,0,0,0,0,0
1783631117.5038,2356,0,0,0,0,0
1783631118.0042,2450,0,0,0,0,0
1783631118.5046,518949,0,0,0,0,0
1783631119.0053,180261,0,0,0,0,0
1783631119.5058,2364,0,0,0,0,0
1783631120.0062,2236,0,0,0,0,0
1783631120.5071,198,0,0,0,0,0
1783631121.0075,2352,0,0,0,0,0
1783631121.5079,2404,0,0,0,0,0
1783631122.0083,2384,0,0,0,0,0
1783631122.5088,2369,0,0,0,0,0
1783631123.0095,2351,0,0,0,0,0
1783631123.5099,2364,0,0,0,0,0
1783631124.0104,2344,0,0,0,0,0
1783631124.511,2378,0,0,0,0,0
1783631125.0115,1219,0,0,0,0,0
1783631125.5118,1199,0,0,0,0,0
1783631126.0121,222407,0,0,0,0,0
1783631126.5125,438037,0,0,0,0,0
1783631127.0129,41345,0,0,0,0,0
1783631127.5136,2359,0,0,0,0,0
1783631128.0143,4234,0,0,0,0,0
1783631128.5149,2361,0,0,0,0,0
1783631129.0153,2352,0,0,0,0,0
1783631129.5157,1331,0,0,0,0,0
1783631130.0165,1038,0,0,0,0,0
1783631130.5169,2356,0,0,0,0,0
1783631131.0176,2347,0,0,0,0,0
1783631131.5181,2387,0,0,0,0,0
1783631132.0185,2380,0,0,0,0,0
1783631132.5189,2366,0,0,0,0,0
1783631133.0193,2370,0,0,0,0,0
1783631133.5196,2504,0,0,0,0,0
1783631134.02,432574,0,0,0,0,0
1783631134.5203,265325,0,0,0,0,0
1783631135.0206,2396,0,0,0,0,0
1783631135.5213,2385,0,0,0,0,0
1783631136.0216,2358,0,0,0,0,0
1783631136.522,2388,0,0,0,0,0
1783631137.0223,2361,0,0,0,0,0
1783631137.5228,2362,0,0,0,0,0
1783631138.0234,2335,0,0,0,0,0
1783631138.5241,60,0,0,0,0,0
1783631139.0244,2352,0,0,0,0,0
1783631139.5249,2356,0,0,0,0,0
1783631140.0255,2363,0,0,0,0,0
1783631140.5262,2359,0,0,0,0,0
1783631141.0266,2350,0,0,0,0,0
1783631141.5272,2451,0,0,0,0,0
1783631142.0276,525115,0,0,0,0,0
1783631142.5279,176122,0,0,0,0,0
1783631143.0281,2353,0,0,0,0,0
1783631143.5288,104,0,0,0,0,0
1783631144.0296,2255,0,0,0,0,0
1783631144.53,2396,0,0,0,0,0
1783631145.0304,2368,0,0,0,0,0
1783631145.5311,2391,0,0,0,0,0
1783631146.032,2418,0,0,0,0,0
1783631146.5324,2398,0,0,0,0,0
1783631147.0328,2348,0,0,0,0,0
1783631147.5332,2446,0,0,0,0,0
1783631148.0336,6,0,0,0,0,0
1783631148.5345,2360,0,0,0,0,0
1783631149.0353,2362,0,0,0,0,0
1783631149.5356,74283,0,0,0,0,0
1783631150.036,491753,0,0,0,0,0
1783631150.5364,135685,0,0,0,0,0
1783631151.037,2374,0,0,0,0,0
1783631151.5376,2357,0,0,0,0,0
1783631152.038,2376,0,0,0,0,0
