timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1783601222.5705,7.6,2.4,5.2,0.0,3354.0,54.8,,1.91,1.99,2.0,13232,4,0
1783601223.5717,8.8,3.6,5.2,0.1,3354.0,54.9,,1.91,1.99,2.0,9530,4,0
1783601224.5727,11.3,6.6,4.7,0.0,3354.0,54.9,,1.92,1.99,2.0,10069,3,0
1783601225.5743,11.7,6.6,5.1,0.0,3354.0,55.1,,1.92,1.99,2.0,9958,3,0
1783601226.5757,12.9,6.9,5.9,0.0,3354.0,55.5,,1.92,1.99,2.0,10292,3,0
1783601227.5767,13.0,7.7,5.3,0.0,3354.0,55.9,,1.92,1.99,2.0,12465,3,0
1783601228.5777,11.5,6.5,4.9,0.1,3354.0,55.9,,1.92,1.99,2.0,10253,3,0
1783601229.5788,10.9,6.4,4.5,0.0,3354.0,55.9,,1.92,1.99,2.0,8778,3,0
1783601230.5799,11.0,6.3,4.6,0.0,3354.0,55.8,,1.92,1.99,2.0,6364,3,0
1783601231.5811,10.9,6.4,4.5,0.0,3354.0,55.8,,1.92,1.99,2.0,6304,3,0
1783601232.5821,10.9,6.4,4.5,0.0,3354.0,55.8,,1.92,1.99,2.0,6362,5,0
1783601233.5831,11.2,6.5,4.7,0.0,3354.0,55.8,,1.92,1.99,2.0,6666,3,0
1783601234.5841,10.8,6.3,4.5,0.1,3354.0,55.7,,1.93,1.99,2.0,6417,4,0
1783601235.5852,11.0,6.4,4.5,0.0,3354.0,55.8,,1.93,1.99,2.0,6193,3,0
1783601236.5862,10.8,6.2,4.6,0.0,3354.0,55.9,,1.93,1.99,2.0,6334,3,0
1783601237.5872,10.8,6.2,4.6,0.0,3354.0,55.8,,1.93,1.99,2.0,6147,3,0
1783601238.5882,10.9,6.3,4.6,0.0,3354.0,55.9,,1.93,1.99,2.0,6463,3,0
1783601239.5896,10.9,6.2,4.7,0.0,3354.0,55.9,,1.93,1.99,2.0,6296,3,0
1783601240.591,10.7,6.3,4.4,0.0,3354.0,55.9,,1.93,1.99,2.0,6165,4,0
1783601241.5921,10.7,6.3,4.4,0.0,3354.0,55.9,,1.93,1.99,2.0,6159,3,0
1783601242.5931,10.8,6.2,4.6,0.0,3354.0,56.0,,1.93,1.99,2.0,6268,3,0
1783601243.5942,10.8,6.2,4.6,0.0,3354.0,55.9,,1.93,1.99,2.0,6303,3,0
1783601244.5955,10.8,6.2,4.6,0.0,3354.0,55.9,,1.94,1.99,2.0,6423,3,0
1783601245.5966,10.9,6.4,4.5,0.0,3354.0,55.8,,1.94,1.99,2.0,6099,3,0
1783601246.5977,10.8,6.3,4.5,0.0,3354.0,55.9,,1.94,1.99,2.0,6247,3,0
1783601247.5989,10.6,6.3,4.3,0.0,3354.0,55.9,,1.94,1.99,2.0,5987,5,0
1783601248.5999,10.9,6.4,4.5,0.0,3354.0,55.9,,1.94,1.99,2.0,6432,3,0
1783601249.6014,11.2,6.6,4.4,0.2,3354.0,56.0,,2.03,2.01,2.01,6374,3,0
1783601250.6024,12.9,8.3,4.6,0.0,3354.0,56.0,,2.03,2.01,2.01,7349,4,0
1783601251.6037,11.0,6.3,4.6,0.1,3354.0,55.9,,2.03,2.01,2.01,6191,3,0
1783601252.6048,10.8,6.3,4.5,0.0,3354.0,55.9,,2.03,2.01,2.01,6211,4,0
1783601253.6058,9.9,5.0,4.8,0.1,3354.0,55.2,,2.03,2.01,2.01,6434,3,0
1783601254.6069,10.9,6.4,4.5,0.0,3354.0,55.3,,2.18,2.04,2.02,6457,3,0
1783601255.608,10.8,6.3,4.5,0.0,3354.0,55.7,,2.18,2.04,2.02,6175,3,0
1783601256.609,11.0,6.3,4.6,0.1,3354.0,56.1,,2.18,2.04,2.02,6338,3,0
1783601257.6101,11.8,7.1,4.7,0.0,3354.0,56.1,,2.18,2.04,2.02,6933,4,0
1783601258.6111,12.9,7.7,5.2,0.0,3354.0,56.1,,2.18,2.04,2.02,6983,3,0
1783601259.6122,10.8,6.2,4.6,0.0,3354.0,56.1,,2.17,2.04,2.02,5819,3,0
1783601260.6133,10.8,6.3,4.6,0.0,3354.0,56.1,,2.17,2.04,2.02,5693,3,0
1783601261.6145,10.8,6.3,4.6,0.0,3354.0,56.0,,2.17,2.04,2.02,5587,3,0
1783601262.6157,10.8,6.4,4.4,0.0,3354.0,56.0,,2.17,2.04,2.02,5778,3,0
1783601263.6168,10.9,6.4,4.5,0.1,3354.0,56.0,,2.17,2.04,2.02,5919,4,0
1783601264.6182,10.7,6.3,4.4,0.0,3354.0,56.0,,2.15,2.04,2.02,5898,4,0
1783601265.6196,11.0,6.5,4.5,0.0,3354.0,56.0,,2.15,2.04,2.02,5754,3,0
1783601266.6206,10.7,6.2,4.5,0.0,3354.0,56.0,,2.15,2.04,2.02,5760,3,0
