timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1783601832.0408,121.69,9.19,7.6,80.84,112.5,16.0,2.2,0.0,0.0
1783601833.0411,121.69,9.5,7.8,80.54,112.19,16.0,2.2,0.0,0.0
1783601834.0414,121.69,9.5,7.8,80.54,112.19,16.0,2.2,0.0,0.0
1783601835.0417,121.69,9.5,7.8,80.54,112.19,16.0,2.2,0.0,0.0
1783601836.042,121.69,9.53,7.8,80.51,112.16,16.0,2.2,0.0,0.0
1783601837.0423,121.69,9.52,7.8,80.51,112.17,16.0,2.2,0.0,0.0
1783601838.0426,121.69,9.55,7.8,80.49,112.14,16.0,2.2,0.0,0.0
1783601839.0428,121.69,9.53,7.8,80.5,112.16,16.0,2.2,0.0,0.0
1783601840.0431,121.69,9.53,7.8,80.5,112.16,16.0,2.2,0.0,0.0
1783601841.0434,121.69,9.54,7.8,80.5,112.15,16.0,2.2,0.0,0.0
1783601842.044,121.69,9.54,7.8,80.5,112.15,16.0,2.2,0.0,0.0
1783601843.0443,121.69,9.54,7.8,80.49,112.15,16.0,2.2,0.0,0.0
1783601844.0447,121.69,9.53,7.8,80.5,112.16,16.0,2.2,0.0,0.0
1783601845.045,121.69,9.55,7.8,80.49,112.14,16.0,2.2,0.0,0.0
1783601846.0453,121.69,9.54,7.8,80.49,112.15,16.0,2.2,0.0,0.0
1783601847.0456,121.69,9.54,7.8,80.49,112.15,16.0,2.2,0.0,0.0
1783601848.046,121.69,9.56,7.9,80.48,112.13,16.0,2.2,0.0,0.0
1783601849.0462,121.69,9.55,7.8,80.48,112.14,16.0,2.2,0.0,0.0
1783601850.0466,121.69,9.56,7.9,80.48,112.13,16.0,2.2,0.0,0.0
1783601851.047,121.69,9.56,7.9,80.48,112.13,16.0,2.2,0.0,0.0
1783601852.0472,121.69,9.55,7.8,80.48,112.14,16.0,2.2,0.0,0.0
1783601853.0475,121.69,9.57,7.9,80.47,112.12,16.0,2.2,0.0,0.0
1783601854.0479,121.69,9.57,7.9,80.47,112.12,16.0,2.2,0.0,0.0
1783601855.0483,121.69,9.58,7.9,80.46,112.11,16.0,2.2,0.0,0.0
1783601856.0486,121.69,9.58,7.9,80.46,112.11,16.0,2.2,0.0,0.0
1783601857.049,121.69,9.59,7.9,80.45,112.1,16.0,2.2,0.0,0.0
1783601858.0494,121.69,9.57,7.9,80.46,112.12,16.0,2.2,0.0,0.0
1783601859.0497,121.69,9.59,7.9,80.45,112.1,16.0,2.2,0.0,0.0
1783601860.05,121.69,9.6,7.9,80.44,112.09,16.0,2.2,0.0,0.0
1783601861.0504,121.69,9.61,7.9,80.42,112.08,16.0,2.2,0.0,0.0
1783601862.0506,121.69,9.61,7.9,80.43,112.08,16.0,2.2,0.0,0.0
1783601863.0509,121.69,9.51,7.8,80.53,112.18,16.0,2.2,0.0,0.0
1783601864.0512,121.69,9.49,7.8,80.54,112.2,16.0,2.2,0.0,0.0
1783601865.0514,121.69,9.5,7.8,80.54,112.19,16.0,2.2,0.0,0.0
1783601866.0517,121.69,9.51,7.8,80.53,112.18,16.0,2.2,0.0,0.0
1783601867.052,121.69,9.51,7.8,80.53,112.18,16.0,2.2,0.0,0.0
1783601868.0523,121.69,9.52,7.8,80.52,112.17,16.0,2.2,0.0,0.0
1783601869.0526,121.69,9.52,7.8,80.52,112.17,16.0,2.2,0.0,0.0
1783601870.0529,121.69,9.52,7.8,80.51,112.17,16.0,2.2,0.0,0.0
1783601871.0532,121.69,9.52,7.8,80.52,112.17,16.0,2.2,0.0,0.0
1783601872.0535,121.69,9.53,7.8,80.51,112.16,16.0,2.2,0.0,0.0
1783601873.0541,121.69,9.53,7.8,80.5,112.16,16.0,2.2,0.0,0.0
1783601874.0544,121.69,9.54,7.8,80.5,112.15,16.0,2.2,0.0,0.0
1783601875.0548,121.69,9.54,7.8,80.49,112.15,16.0,2.2,0.0,0.0
1783601876.0554,121.69,9.55,7.8,80.49,112.14,16.0,2.2,0.0,0.0
1783601877.0565,121.69,9.56,7.9,80.48,112.13,16.0,2.2,0.0,0.0
1783601878.0571,121.69,9.56,7.9,80.48,112.13,16.0,2.2,0.0,0.0
1783601879.0574,121.69,9.57,7.9,80.47,112.12,16.0,2.2,0.0,0.0
1783601880.0578,121.69,9.56,7.9,80.47,112.13,16.0,2.2,0.0,0.0
1783601881.058,121.69,9.56,7.9,80.47,112.13,16.0,2.2,0.0,0.0
