timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1783602424.2251,2910,0,0,0,0,0
1783602424.7261,19349,0,0,0,0,0
1783602425.2265,42696,0,0,0,0,0
1783602425.727,2376,0,0,0,0,0
1783602426.2273,2362,0,0,0,0,0
1783602426.7276,2177,0,0,0,0,0
1783602427.228,204,0,0,0,0,0
1783602427.7284,2348,0,0,0,0,0
1783602428.2287,2365,0,0,0,0,0
1783602428.729,2356,0,0,0,0,0
1783602429.2295,2428,0,0,0,0,0
1783602429.73,2371,0,0,0,0,0
1783602430.2304,2422,0,0,0,0,0
1783602430.7307,2356,0,0,0,0,0
1783602431.231,2375,0,0,0,0,0
1783602431.7314,2384,0,0,0,0,0
1783602432.2318,2377,0,0,0,0,0
1783602432.7324,16,0,0,0,0,0
1783602433.2331,2393,0,0,0,0,0
1783602433.7338,2379,0,0,0,0,0
1783602434.2344,2383,0,0,0,0,0
1783602434.7348,42783,0,0,0,0,0
1783602435.2355,2361,0,0,0,0,0
1783602435.7359,2358,0,0,0,0,0
1783602436.2363,2396,0,0,0,0,0
1783602436.7368,2454,0,0,0,0,0
1783602437.2374,2369,0,0,0,0,0
1783602437.7379,2352,0,0,0,0,0
1783602438.2383,3225,0,0,0,0,0
1783602438.7389,1053,0,0,0,0,0
1783602439.2396,2373,0,0,0,0,0
1783602439.74,2390,0,0,0,0,0
1783602440.2406,2361,0,0,0,0,0
1783602440.7411,2368,0,0,0,0,0
1783602441.2414,2432,0,0,0,0,0
1783602441.7421,2350,0,0,0,0,0
1783602442.2425,2427,0,0,0,0,0
1783602442.7428,2376,0,0,0,0,0
1783602443.2431,2616,0,0,0,0,0
1783602443.7435,2428,0,0,0,0,0
1783602444.2439,41786,0,0,0,0,0
1783602444.7443,1041,0,0,0,0,0
1783602445.2447,2368,0,0,0,0,0
1783602445.7451,2350,0,0,0,0,0
1783602446.2455,2406,0,0,0,0,0
1783602446.7459,2362,0,0,0,0,0
1783602447.2463,2398,0,0,0,0,0
1783602447.7467,2358,0,0,0,0,0
1783602448.2471,2354,0,0,0,0,0
1783602448.7476,2347,0,0,0,0,0
1783602449.2481,2425,0,0,0,0,0
1783602449.7485,2111,0,0,0,0,0
1783602450.2488,276,0,0,0,0,0
1783602450.7493,2350,0,0,0,0,0
1783602451.2499,2407,0,0,0,0,0
1783602451.7506,2347,0,0,0,0,0
1783602452.251,2416,0,0,0,0,0
1783602452.7513,2352,0,0,0,0,0
1783602453.2517,2356,0,0,0,0,0
1783602453.7521,2450,0,0,0,0,0
1783602454.2525,42698,0,0,0,0,0
1783602454.753,2356,0,0,0,0,0
1783602455.2534,2358,0,0,0,0,0
1783602455.7538,72,0,0,0,0,0
1783602456.2542,4263,0,0,0,0,0
1783602456.7545,2351,0,0,0,0,0
1783602457.2548,2383,0,0,0,0,0
1783602457.7551,2348,0,0,0,0,0
1783602458.2554,2361,0,0,0,0,0
1783602458.7559,2380,0,0,0,0,0
1783602459.2562,2406,0,0,0,0,0
1783602459.7567,2386,0,0,0,0,0
1783602460.2571,2366,0,0,0,0,0
1783602460.7574,2448,0,0,0,0,0
1783602461.2577,1329,0,0,0,0,0
1783602461.7581,1031,0,0,0,0,0
1783602462.2584,2475,0,0,0,0,0
1783602462.7587,2364,0,0,0,0,0
1783602463.259,2357,0,0,0,0,0
1783602463.7594,42772,0,0,0,0,0
1783602464.2598,2426,0,0,0,0,0
1783602464.7602,2358,0,0,0,0,0
1783602465.2605,2454,0,0,0,0,0
1783602465.7609,2570,0,0,0,0,0
1783602466.2613,2490,0,0,0,0,0
1783602466.7618,1345,0,0,0,0,0
1783602467.2621,1037,0,0,0,0,0
1783602467.7628,2377,0,0,0,0,0
1783602468.2632,2408,0,0,0,0,0
1783602468.7636,2384,0,0,0,0,0
1783602469.264,2360,0,0,0,0,0
1783602469.7643,2366,0,0,0,0,0
1783602470.2647,2362,0,0,0,0,0
1783602470.7651,2360,0,0,0,0,0
1783602471.2654,2352,0,0,0,0,0
1783602471.7658,2418,0,0,0,0,0
1783602472.2661,2374,0,0,0,0,0
1783602472.7666,3335,0,0,0,0,0
1783602473.267,1033,0,0,0,0,0
1783602473.7674,42784,0,0,0,0,0
1783602474.2679,2372,0,0,0,0,0
1783602474.7682,2368,0,0,0,0,0
1783602475.2686,2358,0,0,0,0,0
1783602475.7691,2356,0,0,0,0,0
1783602476.2698,2355,0,0,0,0,0
1783602476.7704,2359,0,0,0,0,0
1783602477.2708,2422,0,0,0,0,0
1783602477.7711,2354,0,0,0,0,0
1783602478.2716,1335,0,0,0,0,0
1783602478.772,1029,0,0,0,0,0
1783602479.2724,2372,0,0,0,0,0
1783602479.7728,2376,0,0,0,0,0
1783602480.2732,2352,0,0,0,0,0
1783602480.7739,2379,0,0,0,0,0
1783602481.2744,2380,0,0,0,0,0
1783602481.7748,2352,0,0,0,0,0
1783602482.2754,2375,0,0,0,0,0
1783602482.7758,2364,0,0,0,0,0
1783602483.2762,2458,0,0,0,0,0
1783602483.7765,42690,0,0,0,0,0
1783602484.2768,1347,0,0,0,0,0
1783602484.7775,1210,0,0,0,0,0
1783602485.2779,2370,0,0,0,0,0
1783602485.7783,2354,0,0,0,0,0
1783602486.2787,2354,0,0,0,0,0
1783602486.7796,2364,0,0,0,0,0
1783602487.2802,2363,0,0,0,0,0
1783602487.7809,2384,0,0,0,0,0
1783602488.2814,2346,0,0,0,0,0
1783602488.7821,2356,0,0,0,0,0
1783602489.2829,2440,0,0,0,0,0
1783602489.7832,2408,0,0,0,0,0
1783602490.2836,1319,0,0,0,0,0
1783602490.7842,1039,0,0,0,0,0
1783602491.2849,2353,0,0,0,0,0
1783602491.7854,2356,0,0,0,0,0
1783602492.2859,2364,0,0,0,0,0
1783602492.7863,2358,0,0,0,0,0
1783602493.2867,42808,0,0,0,0,0
1783602493.7871,2358,0,0,0,0,0
1783602494.2874,2414,0,0,0,0,0
1783602494.788,2399,0,0,0,0,0
1783602495.2883,2371,0,0,0,0,0
1783602495.7886,2434,0,0,0,0,0
1783602496.2891,230,0,0,0,0,0
1783602496.7898,2478,0,0,0,0,0
1783602497.2904,2409,0,0,0,0,0
1783602497.7908,2400,0,0,0,0,0
1783602498.2915,4260,0,0,0,0,0
1783602498.7919,2358,0,0,0,0,0
1783602499.2924,2380,0,0,0,0,0
1783602499.7927,2378,0,0,0,0,0
1783602500.293,2351,0,0,0,0,0
1783602500.7935,2418,0,0,0,0,0
1783602501.2939,2362,0,0,0,0,0
1783602501.7943,1343,0,0,0,0,0
1783602502.2948,1041,0,0,0,0,0
