timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1783614063.7237,6.0,1.4,4.6,0.0,3354.0,58.4,,1.62,1.9,1.97,5115,4,0
1783614064.7248,10.6,5.8,4.8,0.0,3354.0,59.7,,1.62,1.9,1.97,6974,3,0
1783614065.7256,10.8,5.9,4.8,0.0,3354.0,60.5,,1.62,1.9,1.97,6264,4,0
1783614066.7263,10.7,6.0,4.7,0.0,3354.0,62.6,,1.62,1.9,1.97,5886,3,0
1783614067.7271,10.9,6.1,4.8,0.0,3354.0,63.3,,1.65,1.9,1.97,6093,3,0
1783614068.7278,11.0,6.2,4.7,0.1,3354.0,63.5,,1.65,1.9,1.97,5846,4,0
1783614069.7285,11.1,6.1,4.9,0.1,3354.0,63.8,,1.65,1.9,1.97,6342,3,0
1783614070.7292,11.3,6.4,4.9,0.0,3354.0,63.7,,1.65,1.9,1.97,6221,3,0
1783614071.73,10.6,5.9,4.7,0.0,3354.0,63.7,,1.65,1.9,1.97,6366,4,0
1783614072.7307,10.8,5.9,4.9,0.0,3354.0,63.8,,1.68,1.9,1.97,6217,3,0
1783614073.7315,10.9,6.0,4.9,0.0,3354.0,63.7,,1.68,1.9,1.97,6142,3,0
1783614074.7323,10.9,6.1,4.7,0.1,3354.0,63.6,,1.68,1.9,1.97,6337,3,0
1783614075.7329,10.9,6.0,4.9,0.0,3354.0,63.6,,1.68,1.9,1.97,6236,4,0
1783614076.7337,10.9,6.1,4.8,0.0,3354.0,63.6,,1.68,1.9,1.97,6271,3,0
1783614077.7345,10.7,5.5,5.1,0.0,3354.0,65.2,,1.71,1.9,1.97,6211,3,0
1783614078.7354,11.0,6.4,4.6,0.0,3354.0,68.8,,1.71,1.9,1.97,6451,3,0
1783614079.7362,11.0,3.7,7.3,0.0,3354.0,68.2,,1.71,1.9,1.97,6438,3,0
1783614080.737,10.1,4.7,5.4,0.0,3354.0,63.6,,1.71,1.9,1.97,6131,3,0
1783614081.7378,11.1,6.3,4.8,0.0,3354.0,61.8,,1.71,1.9,1.97,6219,3,0
1783614082.7386,10.9,6.0,4.9,0.0,3354.0,62.0,,1.73,1.9,1.97,6132,5,0
1783614083.7393,10.7,6.0,4.7,0.0,3354.0,62.5,,1.73,1.9,1.97,6095,4,0
1783614084.7401,10.8,5.9,4.9,0.0,3354.0,62.6,,1.73,1.9,1.97,6137,3,0
1783614085.7409,10.9,6.0,4.8,0.0,3354.0,62.3,,1.73,1.9,1.97,5787,3,0
1783614086.7417,10.9,6.2,4.7,0.0,3354.0,62.3,,1.73,1.9,1.97,5961,4,0
1783614087.7425,10.9,6.0,4.8,0.0,3354.0,62.0,,1.75,1.91,1.97,6049,3,0
1783614088.7433,10.9,6.2,4.7,0.0,3354.0,62.0,,1.75,1.91,1.97,5972,3,0
1783614089.7443,10.7,6.1,4.5,0.0,3354.0,62.2,,1.75,1.91,1.97,5890,4,0
1783614090.7451,11.0,5.9,5.0,0.0,3354.0,62.0,,1.75,1.91,1.97,6036,3,0
1783614091.7458,11.2,6.3,4.9,0.1,3354.0,62.2,,1.75,1.91,1.97,6082,3,0
1783614092.7466,10.9,5.5,5.4,0.0,3354.0,61.9,,1.85,1.92,1.98,6182,3,0
1783614093.7474,11.0,6.4,4.5,0.0,3354.0,63.4,,1.85,1.92,1.98,6181,3,0
1783614094.7486,12.9,8.4,4.5,0.0,3354.0,71.3,,1.85,1.92,1.98,7498,4,0
1783614095.7494,10.0,2.5,7.4,0.0,3354.0,61.6,,1.85,1.92,1.98,6437,3,0
1783614096.7503,10.8,5.8,5.0,0.0,3354.0,60.8,,1.85,1.92,1.98,5817,3,0
1783614097.751,10.9,5.9,5.0,0.0,3354.0,60.8,,1.86,1.93,1.98,5807,4,0
1783614098.7517,11.0,6.1,4.8,0.0,3354.0,60.7,,1.86,1.93,1.98,5846,3,0
1783614099.7525,11.0,5.7,5.2,0.1,3354.0,60.4,,1.86,1.93,1.98,6009,3,0
1783614100.7533,10.7,5.8,4.8,0.0,3354.0,60.2,,1.86,1.93,1.98,5585,3,0
1783614101.7541,10.9,6.0,4.9,0.0,3354.0,60.2,,1.86,1.93,1.98,6177,3,0
1783614102.7548,11.1,6.1,4.9,0.0,3354.0,60.1,,1.87,1.93,1.98,6199,3,0
1783614103.7556,10.9,5.9,5.0,0.0,3354.0,60.3,,1.87,1.93,1.98,5742,3,0
1783614104.7564,11.0,6.0,5.0,0.0,3354.0,60.1,,1.87,1.93,1.98,6123,3,0
1783614105.7572,10.7,6.0,4.7,0.0,3354.0,59.9,,1.87,1.93,1.98,5767,5,0
1783614106.7579,10.8,6.0,4.8,0.0,3354.0,59.9,,1.87,1.93,1.98,6076,3,0
1783614107.7587,10.8,6.0,4.7,0.0,3354.0,60.1,,1.89,1.93,1.98,5813,3,0
1783614108.7595,10.9,5.8,5.1,0.0,3354.0,60.1,,1.89,1.93,1.98,6181,4,0
1783614109.7603,10.9,5.8,5.1,0.0,3354.0,60.8,,1.89,1.93,1.98,6381,4,0
1783614110.7609,11.0,6.4,4.6,0.0,3354.0,70.4,,1.89,1.93,1.98,5909,3,0
1783614111.7616,10.6,3.1,7.4,0.2,3354.0,63.9,,1.89,1.93,1.98,6164,4,0
1783614112.7623,9.9,4.9,4.9,0.0,3354.0,60.9,,1.89,1.93,1.98,5766,3,0
1783614113.7631,11.0,6.0,5.0,0.0,3354.0,60.5,,1.89,1.93,1.98,5966,3,0
1783614114.7639,11.1,6.1,5.0,0.0,3354.0,60.7,,1.89,1.93,1.98,6291,3,0
1783614115.7647,12.9,7.7,5.2,0.0,3354.0,61.2,,1.89,1.93,1.98,7023,3,0
1783614116.7653,10.7,5.8,4.9,0.0,3354.0,61.1,,1.89,1.93,1.98,6136,4,0
1783614117.7661,11.0,5.9,5.0,0.1,3354.0,61.0,,1.9,1.93,1.98,6128,3,0
1783614118.7669,10.9,6.0,4.9,0.0,3354.0,60.9,,1.9,1.93,1.98,5975,4,0
1783614119.7676,10.8,5.9,4.9,0.0,3354.0,60.8,,1.9,1.93,1.98,5858,3,0
1783614120.7683,11.1,6.3,4.8,0.0,3354.0,60.8,,1.9,1.93,1.98,6118,3,0
1783614121.769,11.0,6.1,4.9,0.0,3354.0,60.8,,1.9,1.93,1.98,6277,3,0
1783614122.7697,10.7,6.0,4.6,0.1,3354.0,60.9,,1.91,1.93,1.98,6060,3,0
1783614123.7705,11.1,6.1,4.9,0.0,3354.0,60.8,,1.91,1.93,1.98,6208,3,0
1783614124.7713,10.9,5.9,5.0,0.0,3354.0,60.9,,1.91,1.93,1.98,6417,3,0
1783614125.772,11.0,5.7,5.2,0.0,3354.0,61.6,,1.91,1.93,1.98,6206,3,0
1783614126.7727,10.9,6.4,4.4,0.1,3354.0,70.9,,1.91,1.93,1.98,6192,3,0
1783614127.7735,10.8,3.3,7.4,0.0,3354.0,64.3,,1.92,1.93,1.98,6129,4,0
1783614128.7743,10.0,5.1,4.9,0.0,3354.0,61.3,,1.92,1.93,1.98,6108,4,0
1783614129.775,10.9,5.9,4.9,0.0,3354.0,61.5,,1.92,1.93,1.98,6165,3,0
1783614130.7757,11.0,6.0,4.9,0.0,3354.0,61.4,,1.92,1.93,1.98,6230,3,0
1783614131.7763,11.0,6.0,4.9,0.1,3354.0,61.4,,1.92,1.93,1.98,6121,3,0
1783614132.7771,10.8,5.8,5.0,0.0,3354.0,61.2,,1.93,1.94,1.98,5943,4,0
1783614133.7779,10.7,5.8,4.9,0.0,3354.0,61.0,,1.93,1.94,1.98,5925,4,0
1783614134.7786,10.7,5.9,4.8,0.0,3354.0,61.1,,1.93,1.94,1.98,6063,3,0
1783614135.7793,10.8,5.9,4.9,0.0,3354.0,61.0,,1.93,1.94,1.98,6015,3,0
1783614136.78,10.9,5.8,5.1,0.0,3354.0,61.1,,1.93,1.94,1.98,5703,3,0
1783614137.7807,11.0,6.0,4.9,0.1,3354.0,60.9,,1.93,1.94,1.98,5845,3,0
1783614138.7814,10.9,5.9,5.0,0.0,3354.0,60.9,,1.93,1.94,1.98,5986,3,0
1783614139.782,10.9,6.0,4.9,0.0,3354.0,60.8,,1.93,1.94,1.98,6002,4,0
1783614140.7828,10.7,5.9,4.8,0.0,3354.0,60.7,,1.93,1.94,1.98,6269,3,0
1783614141.7837,11.2,6.0,5.2,0.0,3354.0,61.1,,1.93,1.94,1.98,6294,3,0
1783614142.7845,11.0,6.4,4.6,0.1,3354.0,70.9,,1.94,1.94,1.98,6368,3,0
1783614143.7855,10.5,3.4,7.1,0.0,3354.0,65.2,,1.94,1.94,1.98,6477,2,0
1783614144.7863,12.8,7.6,5.1,0.0,3354.0,62.4,,1.94,1.94,1.98,7232,3,0
1783614145.7871,10.7,5.9,4.8,0.0,3354.0,61.5,,1.94,1.94,1.98,6446,4,0
1783614146.7879,10.8,6.1,4.7,0.0,3354.0,61.2,,1.94,1.94,1.98,6267,4,0
1783614147.7887,11.0,6.0,5.0,0.0,3354.0,61.1,,1.94,1.94,1.98,6494,3,0
1783614148.7897,10.8,6.2,4.6,0.0,3354.0,61.4,,1.94,1.94,1.98,6108,3,0
1783614149.7904,10.9,6.0,4.9,0.0,3354.0,61.3,,1.94,1.94,1.98,6259,3,0
1783614150.7912,10.9,6.0,4.9,0.0,3354.0,60.9,,1.94,1.94,1.98,6240,3,0
1783614151.792,10.7,5.9,4.8,0.0,3354.0,60.5,,1.94,1.94,1.98,5989,3,0
1783614152.7928,11.0,6.1,4.9,0.0,3354.0,60.4,,1.95,1.94,1.98,6110,3,0
1783614153.7935,11.1,6.2,4.9,0.0,3354.0,60.4,,1.95,1.94,1.98,6183,3,0
1783614154.7941,10.8,6.1,4.7,0.0,3354.0,60.3,,1.95,1.94,1.98,6290,3,0
1783614155.7948,10.9,6.0,4.9,0.0,3354.0,60.3,,1.95,1.94,1.98,6027,3,0
1783614156.7955,10.8,5.6,5.2,0.0,3354.0,60.1,,1.95,1.94,1.98,6062,4,0
1783614157.7962,10.6,6.0,4.6,0.0,3354.0,63.1,,1.95,1.94,1.98,5903,3,0
1783614158.7969,10.9,6.3,4.6,0.0,3354.0,71.6,,1.95,1.94,1.98,6058,3,0
1783614159.7976,10.4,3.1,7.3,0.0,3354.0,64.2,,1.95,1.94,1.98,6340,4,0
1783614160.7983,11.0,5.9,5.0,0.1,3354.0,61.2,,1.95,1.94,1.98,6249,3,0
1783614161.7989,11.0,5.9,5.1,0.0,3354.0,61.5,,1.95,1.94,1.98,5917,3,0
1783614162.7996,10.7,6.0,4.7,0.0,3354.0,61.5,,1.96,1.94,1.98,6020,3,0
1783614163.8003,11.0,6.0,4.9,0.0,3354.0,62.0,,1.96,1.94,1.98,6288,3,0
1783614164.801,10.9,6.0,4.8,0.0,3354.0,62.1,,1.96,1.94,1.98,6119,3,0
1783614165.8018,10.9,6.0,4.9,0.0,3354.0,61.9,,1.96,1.94,1.98,5946,3,0
1783614166.8025,10.8,6.0,4.8,0.0,3354.0,61.6,,1.96,1.94,1.98,6073,3,0
1783614167.8032,10.9,5.9,4.9,0.0,3354.0,61.6,,1.96,1.94,1.98,5938,4,0
1783614168.8039,10.7,6.0,4.8,0.0,3354.0,61.4,,1.96,1.94,1.98,6053,3,0
1783614169.8046,11.4,6.6,4.8,0.0,3354.0,61.3,,1.96,1.94,1.98,6584,4,0
1783614170.8054,12.4,7.4,5.0,0.0,3354.0,61.4,,1.96,1.94,1.98,7154,3,0
1783614171.8061,10.8,6.1,4.7,0.0,3354.0,61.2,,1.96,1.94,1.98,6126,3,0
1783614172.807,10.9,5.5,5.4,0.0,3354.0,60.6,,1.96,1.95,1.98,6096,3,0
1783614173.8077,10.9,6.3,4.6,0.0,3354.0,64.2,,1.96,1.95,1.98,6086,3,0
1783614174.8084,10.7,6.3,4.3,0.0,3354.0,72.2,,1.96,1.95,1.98,5887,3,0
1783614175.8091,9.8,2.7,7.1,0.0,3354.0,63.0,,1.96,1.95,1.98,6078,3,0
1783614176.8099,10.8,5.9,4.9,0.0,3354.0,62.2,,1.96,1.95,1.98,5880,3,0
1783614177.8107,10.9,5.8,5.1,0.0,3354.0,61.6,,2.05,1.96,1.99,6105,3,0
1783614178.8113,10.7,5.7,5.0,0.0,3354.0,61.6,,2.05,1.96,1.99,5708,3,0
1783614179.812,10.8,6.0,4.8,0.0,3354.0,61.5,,2.05,1.96,1.99,6137,3,0
1783614180.8126,10.8,5.8,4.9,0.0,3354.0,61.4,,2.05,1.96,1.99,5933,3,0
1783614181.8134,10.6,5.7,4.8,0.0,3354.0,61.2,,2.05,1.96,1.99,5687,3,0
1783614182.8141,10.9,5.9,4.9,0.0,3354.0,61.1,,2.12,1.98,2.0,5958,3,0
1783614183.8149,11.0,6.1,4.9,0.0,3354.0,61.0,,2.12,1.98,2.0,5807,4,0
