timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1783630182.6625,121.69,9.28,7.6,80.93,112.41,16.0,2.2,0.0,0.0
1783630183.6627,121.69,9.68,8.0,80.53,112.01,16.0,2.2,0.0,0.0
1783630184.663,121.69,9.71,8.0,80.5,111.98,16.0,2.2,0.0,0.0
1783630185.6633,121.69,9.78,8.0,80.43,111.91,16.0,2.2,0.0,0.0
1783630186.6636,121.69,9.75,8.0,80.47,111.94,16.0,2.2,0.0,0.0
1783630187.664,121.69,9.85,8.1,80.36,111.84,16.0,2.2,0.0,0.0
1783630188.6644,121.69,9.86,8.1,80.35,111.83,16.0,2.2,0.0,0.0
1783630189.6648,121.69,9.82,8.1,80.39,111.87,16.0,2.2,0.0,0.0
1783630190.6653,121.69,9.79,8.0,80.42,111.9,16.0,2.2,0.0,0.0
1783630191.6657,121.69,9.81,8.1,80.4,111.88,16.0,2.2,0.0,0.0
1783630192.6661,121.69,9.7,8.0,80.51,111.99,16.0,2.2,0.0,0.0
1783630193.6664,121.69,9.79,8.0,80.43,111.9,16.0,2.2,0.0,0.0
1783630194.6668,121.69,9.86,8.1,80.35,111.83,16.0,2.2,0.0,0.0
1783630195.6672,121.69,9.72,8.0,80.49,111.97,16.0,2.2,0.0,0.0
1783630196.6675,121.69,9.83,8.1,80.38,111.86,16.0,2.2,0.0,0.0
1783630197.6679,121.69,9.76,8.0,80.45,111.93,16.0,2.2,0.0,0.0
1783630198.6682,121.69,9.62,7.9,80.59,112.07,16.0,2.2,0.0,0.0
1783630199.6689,121.69,9.93,8.2,80.28,111.76,16.0,2.2,0.0,0.0
1783630200.6692,121.69,9.93,8.2,80.28,111.76,16.0,2.2,0.0,0.0
1783630201.6695,121.69,9.73,8.0,80.48,111.96,16.0,2.2,0.0,0.0
1783630202.6699,121.69,10.02,8.2,80.19,111.67,16.0,2.2,0.0,0.0
1783630203.6703,121.69,9.97,8.2,80.24,111.72,16.0,2.2,0.0,0.0
1783630204.6707,121.69,10.01,8.2,80.21,111.68,16.0,2.2,0.0,0.0
1783630205.6711,121.69,10.0,8.2,80.21,111.69,16.0,2.2,0.0,0.0
1783630206.6715,121.69,10.07,8.3,80.14,111.62,16.0,2.2,0.0,0.0
1783630207.6717,121.69,9.71,8.0,80.5,111.98,16.0,2.2,0.0,0.0
1783630208.672,121.69,10.0,8.2,80.21,111.69,16.0,2.2,0.0,0.0
1783630209.6724,121.69,10.02,8.2,80.19,111.67,16.0,2.2,0.0,0.0
1783630210.6727,121.69,9.93,8.2,80.28,111.76,16.0,2.2,0.0,0.0
1783630211.673,121.69,9.98,8.2,80.23,111.71,16.0,2.2,0.0,0.0
1783630212.6733,121.69,10.06,8.3,80.15,111.63,16.0,2.2,0.0,0.0
