timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1783566306.426,121.69,9.47,7.8,80.63,112.22,16.0,2.2,0.0,0.0
1783566307.4265,121.69,9.57,7.9,80.54,112.12,16.0,2.2,0.0,0.0
1783566308.4267,121.69,9.62,7.9,80.49,112.07,16.0,2.2,0.0,0.0
1783566309.427,121.69,9.66,7.9,80.45,112.03,16.0,2.2,0.0,0.0
1783566310.4273,121.69,9.69,8.0,80.41,112.0,16.0,2.2,0.0,0.0
1783566311.4276,121.69,9.75,8.0,80.35,111.94,16.0,2.2,0.0,0.0
1783566312.4279,121.69,10.44,8.6,79.67,111.25,16.0,2.2,0.0,0.0
1783566313.4283,121.69,9.83,8.1,80.28,111.86,16.0,2.2,0.0,0.0
1783566314.4286,121.69,9.87,8.1,80.24,111.82,16.0,2.2,0.0,0.0
1783566315.4292,121.69,9.92,8.2,80.18,111.77,16.0,2.2,0.0,0.0
1783566316.4295,121.69,9.94,8.2,80.17,111.75,16.0,2.2,0.0,0.0
1783566317.4301,121.69,9.97,8.2,80.13,111.72,16.0,2.2,0.0,0.0
1783566318.4304,121.69,10.61,8.7,79.49,111.08,16.0,2.2,0.0,0.0
1783566319.4308,121.69,9.94,8.2,80.17,111.75,16.0,2.2,0.0,0.0
1783566320.4311,121.69,10.0,8.2,80.1,111.69,16.0,2.2,0.0,0.0
1783566321.4314,121.69,10.04,8.3,80.07,111.65,16.0,2.2,0.0,0.0
1783566322.4317,121.69,10.07,8.3,80.04,111.62,16.0,2.2,0.0,0.0
1783566323.4323,121.69,10.11,8.3,80.0,111.58,16.0,2.2,0.0,0.0
1783566324.4326,121.69,10.77,8.9,79.33,110.92,16.0,2.2,0.0,0.0
1783566325.433,121.69,9.87,8.1,80.24,111.82,16.0,2.2,0.0,0.0
1783566326.4332,121.69,9.93,8.2,80.18,111.76,16.0,2.2,0.0,0.0
1783566327.4335,121.69,9.95,8.2,80.15,111.74,16.0,2.2,0.0,0.0
1783566328.4338,121.69,10.0,8.2,80.11,111.69,16.0,2.2,0.0,0.0
1783566329.4341,121.69,10.02,8.2,80.08,111.67,16.0,2.2,0.0,0.0
1783566330.4344,121.69,10.71,8.8,79.39,110.98,16.0,2.2,0.0,0.0
1783566331.4347,121.69,10.07,8.3,80.04,111.62,16.0,2.2,0.0,0.0
1783566332.435,121.69,10.15,8.3,79.96,111.54,16.0,2.2,0.0,0.0
1783566333.4352,121.69,10.18,8.4,79.92,111.51,16.0,2.2,0.0,0.0
1783566334.4355,121.69,10.22,8.4,79.88,111.47,16.0,2.2,0.0,0.0
1783566335.4358,121.69,10.27,8.4,79.84,111.42,16.0,2.2,0.0,0.0
1783566336.4361,121.69,10.91,9.0,79.2,110.78,16.0,2.2,0.0,0.0
1783566337.4364,121.69,10.34,8.5,79.76,111.35,16.0,2.2,0.0,0.0
