timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1783542646.6386,3066,0,0,0,0,0
1783542647.139,19432,0,0,0,0,0
1783542647.6393,48317,0,0,0,0,0
1783542648.1396,2417,0,0,0,0,0
1783542648.6399,2366,0,0,0,0,0
1783542649.1403,2384,0,0,0,0,0
1783542649.6406,2264,0,0,0,0,0
1783542650.141,124,0,0,0,0,0
1783542650.6417,2355,0,0,0,0,0
1783542651.142,2600,0,0,0,0,0
1783542651.6422,4821,0,0,0,0,0
1783542652.1426,3050,0,0,0,0,0
1783542652.6429,47847,0,0,0,0,0
1783542653.1434,2368,0,0,0,0,0
1783542653.6437,2356,0,0,0,0,0
1783542654.1443,2387,0,0,0,0,0
1783542654.6447,2366,0,0,0,0,0
1783542655.1451,2352,0,0,0,0,0
1783542655.6454,2354,0,0,0,0,0
1783542656.1457,1323,0,0,0,0,0
1783542656.6463,3332,0,0,0,0,0
1783542657.1467,2476,0,0,0,0,0
1783542657.647,35274,0,0,0,0,0
1783542658.1473,15425,0,0,0,0,0
1783542658.6477,2418,0,0,0,0,0
1783542659.1481,2380,0,0,0,0,0
1783542659.6484,2350,0,0,0,0,0
1783542660.1488,2370,0,0,0,0,0
1783542660.6492,4279,0,0,0,0,0
1783542661.1496,2368,0,0,0,0,0
1783542661.6499,4627,0,0,0,0,0
1783542662.1503,1771,0,0,0,0,0
1783542662.6506,7123,0,0,0,0,0
1783542663.151,41925,0,0,0,0,0
1783542663.6513,2363,0,0,0,0,0
1783542664.1516,2390,0,0,0,0,0
1783542664.652,2366,0,0,0,0,0
1783542665.1524,2362,0,0,0,0,0
1783542665.6528,2370,0,0,0,0,0
1783542666.1531,2375,0,0,0,0,0
1783542666.6535,2354,0,0,0,0,0
1783542667.1538,4647,0,0,0,0,0
1783542667.6541,7579,0,0,0,0,0
1783542668.1545,41670,0,0,0,0,0
1783542668.6548,1521,0,0,0,0,0
1783542669.1551,2375,0,0,0,0,0
1783542669.6554,2371,0,0,0,0,0
1783542670.1558,2382,0,0,0,0,0
1783542670.6561,2446,0,0,0,0,0
1783542671.1564,2369,0,0,0,0,0
1783542671.6568,2350,0,0,0,0,0
1783542672.1571,4647,0,0,0,0,0
1783542672.6575,7163,0,0,0,0,0
1783542673.1579,43607,0,0,0,0,0
1783542673.6583,2380,0,0,0,0,0
1783542674.1586,2114,0,0,0,0,0
1783542674.6589,278,0,0,0,0,0
1783542675.1593,2364,0,0,0,0,0
1783542675.6596,2351,0,0,0,0,0
1783542676.1599,2389,0,0,0,0,0
1783542676.6602,2362,0,0,0,0,0
1783542677.1606,4675,0,0,0,0,0
1783542677.661,7447,0,0,0,0,0
1783542678.1613,43337,0,0,0,0,0
1783542678.6616,2367,0,0,0,0,0
1783542679.162,2448,0,0,0,0,0
1783542679.6624,2354,0,0,0,0,0
1783542680.1626,1227,0,0,0,0,0
1783542680.663,1169,0,0,0,0,0
1783542681.1634,4261,0,0,0,0,0
1783542681.6637,2354,0,0,0,0,0
1783542682.1641,4643,0,0,0,0,0
1783542682.6644,8066,0,0,0,0,0
1783542683.1648,42870,0,0,0,0,0
1783542683.6651,2353,0,0,0,0,0
1783542684.1655,2470,0,0,0,0,0
1783542684.6659,2566,0,0,0,0,0
1783542685.1665,2147,0,0,0,0,0
1783542685.6667,250,0,0,0,0,0
1783542686.167,2365,0,0,0,0,0
1783542686.6676,2379,0,0,0,0,0
1783542687.1679,4645,0,0,0,0,0
1783542687.6683,5912,0,0,0,0,0
1783542688.1687,44858,0,0,0,0,0
1783542688.669,2378,0,0,0,0,0
1783542689.1694,2382,0,0,0,0,0
1783542689.6696,2365,0,0,0,0,0
1783542690.17,2374,0,0,0,0,0
1783542690.6704,1533,0,0,0,0,0
1783542691.1708,875,0,0,0,0,0
1783542691.6711,2352,0,0,0,0,0
1783542692.1715,4645,0,0,0,0,0
1783542692.6719,7167,0,0,0,0,0
1783542693.1721,43631,0,0,0,0,0
1783542693.673,2346,0,0,0,0,0
1783542694.1737,2375,0,0,0,0,0
1783542694.6745,2372,0,0,0,0,0
1783542695.1752,2393,0,0,0,0,0
1783542695.6755,2354,0,0,0,0,0
1783542696.1758,2427,0,0,0,0,0
1783542696.6761,1333,0,0,0,0,0
1783542697.1765,3325,0,0,0,0,0
1783542697.6768,7640,0,0,0,0,0
1783542698.1773,43117,0,0,0,0,0
1783542698.6777,4243,0,0,0,0,0
1783542699.1781,2398,0,0,0,0,0
1783542699.6783,2351,0,0,0,0,0
1783542700.1787,2372,0,0,0,0,0
1783542700.6791,2346,0,0,0,0,0
1783542701.1794,2367,0,0,0,0,0
1783542701.6797,2393,0,0,0,0,0
1783542702.18,4357,0,0,0,0,0
1783542702.6804,5640,0,0,0,0,0
1783542703.1808,43092,0,0,0,0,0
1783542703.6813,2350,0,0,0,0,0
1783542704.1817,2438,0,0,0,0,0
1783542704.6821,2618,0,0,0,0,0
1783542705.1825,2430,0,0,0,0,0
1783542705.6827,2375,0,0,0,0,0
1783542706.183,2359,0,0,0,0,0
1783542706.6833,2443,0,0,0,0,0
1783542707.1837,4649,0,0,0,0,0
1783542707.6839,7850,0,0,0,0,0
1783542708.1843,40622,0,0,0,0,0
1783542708.6847,2352,0,0,0,0,0
1783542709.1851,2444,0,0,0,0,0
1783542709.6854,2347,0,0,0,0,0
1783542710.1857,2362,0,0,0,0,0
1783542710.6862,2352,0,0,0,0,0
1783542711.1865,2411,0,0,0,0,0
1783542711.6871,2361,0,0,0,0,0
1783542712.1874,4688,0,0,0,0,0
1783542712.6878,8486,0,0,0,0,0
1783542713.1881,41258,0,0,0,0,0
1783542713.6884,1037,0,0,0,0,0
1783542714.1887,2415,0,0,0,0,0
1783542714.6889,2387,0,0,0,0,0
1783542715.1893,2396,0,0,0,0,0
1783542715.6897,2376,0,0,0,0,0
1783542716.19,2363,0,0,0,0,0
1783542716.6904,2348,0,0,0,0,0
1783542717.1907,4683,0,0,0,0,0
1783542717.6911,9199,0,0,0,0,0
1783542718.1914,41596,0,0,0,0,0
1783542718.6918,2322,0,0,0,0,0
1783542719.1921,138,0,0,0,0,0
1783542719.6925,2346,0,0,0,0,0
1783542720.1928,2370,0,0,0,0,0
1783542720.6931,4240,0,0,0,0,0
1783542721.1934,2411,0,0,0,0,0
1783542721.6938,2366,0,0,0,0,0
1783542722.1945,4737,0,0,0,0,0
1783542722.6949,35229,0,0,0,0,0
1783542723.1951,15465,0,0,0,0,0
