timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1783560501.0566,121.69,9.12,7.5,80.99,112.57,16.0,2.2,0.0,0.0
1783560502.0569,121.69,10.17,8.4,79.94,111.52,16.0,2.2,0.0,0.0
1783560503.0573,121.69,10.17,8.4,79.94,111.52,16.0,2.2,0.0,0.0
1783560504.0577,121.69,10.17,8.4,79.94,111.52,16.0,2.2,0.0,0.0
1783560505.058,121.69,10.17,8.4,79.94,111.52,16.0,2.2,0.0,0.0
1783560506.0583,121.69,10.16,8.3,79.95,111.53,16.0,2.2,0.0,0.0
1783560507.0586,121.69,10.17,8.4,79.95,111.52,16.0,2.2,0.0,0.0
1783560508.0589,121.69,10.16,8.3,79.96,111.53,16.0,2.2,0.0,0.0
1783560509.0592,121.69,10.16,8.3,79.95,111.53,16.0,2.2,0.0,0.0
1783560510.0595,121.69,10.17,8.4,79.94,111.52,16.0,2.2,0.0,0.0
1783560511.0597,121.69,10.18,8.4,79.94,111.51,16.0,2.2,0.0,0.0
1783560512.06,121.69,10.18,8.4,79.93,111.51,16.0,2.2,0.0,0.0
1783560513.0603,121.69,10.18,8.4,79.93,111.51,16.0,2.2,0.0,0.0
1783560514.0606,121.69,10.17,8.4,79.94,111.52,16.0,2.2,0.0,0.0
1783560515.0609,121.69,10.16,8.3,79.96,111.53,16.0,2.2,0.0,0.0
1783560516.0612,121.69,10.15,8.3,79.96,111.54,16.0,2.2,0.0,0.0
1783560517.0615,121.69,10.16,8.3,79.95,111.53,16.0,2.2,0.0,0.0
1783560518.0618,121.69,10.16,8.3,79.96,111.53,16.0,2.2,0.0,0.0
1783560519.0621,121.69,10.17,8.4,79.94,111.52,16.0,2.2,0.0,0.0
1783560520.0624,121.69,10.16,8.3,79.95,111.53,16.0,2.2,0.0,0.0
1783560521.0627,121.69,10.16,8.3,79.95,111.53,16.0,2.2,0.0,0.0
1783560522.063,121.69,10.16,8.3,79.95,111.53,16.0,2.2,0.0,0.0
1783560523.0633,121.69,10.16,8.3,79.95,111.53,16.0,2.2,0.0,0.0
1783560524.0635,121.69,10.17,8.4,79.94,111.52,16.0,2.2,0.0,0.0
1783560525.0638,121.69,10.16,8.3,79.95,111.53,16.0,2.2,0.0,0.0
1783560526.0641,121.69,10.17,8.4,79.94,111.52,16.0,2.2,0.0,0.0
1783560527.0644,121.69,10.17,8.4,79.95,111.52,16.0,2.2,0.0,0.0
1783560528.0647,121.69,10.16,8.3,79.95,111.53,16.0,2.2,0.0,0.0
1783560529.0653,121.69,10.16,8.3,79.95,111.53,16.0,2.2,0.0,0.0
1783560530.0655,121.69,10.16,8.3,79.96,111.53,16.0,2.2,0.0,0.0
1783560531.0658,121.69,10.16,8.3,79.95,111.53,16.0,2.2,0.0,0.0
1783560532.066,121.69,10.17,8.4,79.95,111.52,16.0,2.2,0.0,0.0
1783560533.0663,121.69,10.16,8.3,79.95,111.53,16.0,2.2,0.0,0.0
1783560534.0666,121.69,10.17,8.4,79.95,111.52,16.0,2.2,0.0,0.0
1783560535.0669,121.69,10.16,8.3,79.95,111.53,16.0,2.2,0.0,0.0
1783560536.0672,121.69,10.18,8.4,79.94,111.51,16.0,2.2,0.0,0.0
1783560537.0676,121.69,10.17,8.4,79.95,111.52,16.0,2.2,0.0,0.0
1783560538.0678,121.69,9.36,7.7,80.75,112.33,16.0,2.2,0.0,0.0
1783560539.0681,121.69,10.16,8.3,79.95,111.53,16.0,2.2,0.0,0.0
1783560540.0683,121.69,10.15,8.3,79.96,111.54,16.0,2.2,0.0,0.0
1783560541.0686,121.69,10.15,8.3,79.96,111.54,16.0,2.2,0.0,0.0
1783560542.0689,121.69,10.16,8.3,79.96,111.53,16.0,2.2,0.0,0.0
1783560543.0691,121.69,10.15,8.3,79.96,111.54,16.0,2.2,0.0,0.0
1783560544.0694,121.69,10.15,8.3,79.96,111.54,16.0,2.2,0.0,0.0
1783560545.0696,121.69,10.16,8.3,79.95,111.53,16.0,2.2,0.0,0.0
1783560546.0706,121.69,10.16,8.3,79.95,111.53,16.0,2.2,0.0,0.0
1783560547.0709,121.69,10.16,8.3,79.96,111.53,16.0,2.2,0.0,0.0
1783560548.0711,121.69,10.16,8.3,79.95,111.53,16.0,2.2,0.0,0.0
1783560549.0713,121.69,10.16,8.3,79.95,111.53,16.0,2.2,0.0,0.0
1783560550.0715,121.69,10.16,8.3,79.95,111.53,16.0,2.2,0.0,0.0
1783560551.0719,121.69,10.16,8.3,79.95,111.53,16.0,2.2,0.0,0.0
1783560552.0722,121.69,10.15,8.3,79.96,111.54,16.0,2.2,0.0,0.0
1783560553.0724,121.69,10.16,8.3,79.95,111.53,16.0,2.2,0.0,0.0
1783560554.0727,121.69,10.16,8.3,79.96,111.53,16.0,2.2,0.0,0.0
1783560555.073,121.69,10.16,8.3,79.95,111.53,16.0,2.2,0.0,0.0
1783560556.0732,121.69,10.17,8.4,79.95,111.52,16.0,2.2,0.0,0.0
1783560557.0735,121.69,10.16,8.3,79.96,111.53,16.0,2.2,0.0,0.0
1783560558.0738,121.69,10.16,8.3,79.95,111.53,16.0,2.2,0.0,0.0
1783560559.074,121.69,10.17,8.4,79.94,111.52,16.0,2.2,0.0,0.0
1783560560.0743,121.69,10.16,8.3,79.95,111.53,16.0,2.2,0.0,0.0
1783560561.0747,121.69,10.16,8.3,79.96,111.53,16.0,2.2,0.0,0.0
1783560562.0749,121.69,10.16,8.3,79.95,111.53,16.0,2.2,0.0,0.0
1783560563.0752,121.69,10.16,8.3,79.95,111.53,16.0,2.2,0.0,0.0
1783560564.0754,121.69,10.16,8.3,79.95,111.53,16.0,2.2,0.0,0.0
1783560565.0757,121.69,10.16,8.3,79.96,111.53,16.0,2.2,0.0,0.0
1783560566.0759,121.69,10.16,8.3,79.95,111.53,16.0,2.2,0.0,0.0
1783560567.0762,121.69,10.17,8.4,79.94,111.52,16.0,2.2,0.0,0.0
1783560568.0765,121.69,10.16,8.3,79.95,111.53,16.0,2.2,0.0,0.0
1783560569.0768,121.69,10.17,8.4,79.95,111.52,16.0,2.2,0.0,0.0
1783560570.0771,121.69,10.17,8.4,79.95,111.52,16.0,2.2,0.0,0.0
1783560571.0773,121.69,10.17,8.4,79.95,111.52,16.0,2.2,0.0,0.0
1783560572.0777,121.69,10.17,8.4,79.95,111.52,16.0,2.2,0.0,0.0
1783560573.0779,121.69,10.16,8.3,79.95,111.53,16.0,2.2,0.0,0.0
1783560574.0782,121.69,10.16,8.3,79.95,111.53,16.0,2.2,0.0,0.0
1783560575.0788,121.69,9.36,7.7,80.75,112.33,16.0,2.2,0.0,0.0
1783560576.0791,121.69,10.16,8.3,79.95,111.53,16.0,2.2,0.0,0.0
1783560577.0797,121.69,10.16,8.3,79.95,111.53,16.0,2.2,0.0,0.0
1783560578.0803,121.69,10.16,8.3,79.96,111.53,16.0,2.2,0.0,0.0
