timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1783579643.3051,121.69,9.11,7.5,80.97,112.58,16.0,2.2,0.0,0.0
1783579644.3054,121.69,9.2,7.6,80.88,112.49,16.0,2.2,0.0,0.0
1783579645.3056,121.69,9.4,7.7,80.68,112.29,16.0,2.2,0.0,0.0
1783579646.306,121.69,9.41,7.7,80.68,112.28,16.0,2.2,0.0,0.0
1783579647.3063,121.69,9.41,7.7,80.68,112.28,16.0,2.2,0.0,0.0
1783579648.3067,121.69,9.41,7.7,80.67,112.28,16.0,2.2,0.0,0.0
1783579649.307,121.69,9.41,7.7,80.67,112.28,16.0,2.2,0.0,0.0
1783579650.3074,121.69,9.41,7.7,80.67,112.28,16.0,2.2,0.0,0.0
1783579651.3077,121.69,9.41,7.7,80.68,112.28,16.0,2.2,0.0,0.0
1783579652.308,121.69,9.41,7.7,80.68,112.28,16.0,2.2,0.0,0.0
1783579653.3084,121.69,9.78,8.0,80.3,111.91,16.0,2.2,0.0,0.0
1783579654.3086,121.69,9.78,8.0,80.3,111.91,16.0,2.2,0.0,0.0
1783579655.3089,121.69,9.78,8.0,80.31,111.91,16.0,2.2,0.0,0.0
1783579656.3091,121.69,9.78,8.0,80.3,111.91,16.0,2.2,0.0,0.0
1783579657.3094,121.69,9.74,8.0,80.34,111.95,16.0,2.2,0.0,0.0
1783579658.3097,121.69,9.73,8.0,80.35,111.96,16.0,2.2,0.0,0.0
1783579659.31,121.69,9.72,8.0,80.36,111.97,16.0,2.2,0.0,0.0
1783579660.3102,121.69,9.27,7.6,80.82,112.42,16.0,2.2,0.0,0.0
1783579661.3105,121.69,9.44,7.8,80.64,112.25,16.0,2.2,0.0,0.0
1783579662.3108,121.69,9.45,7.8,80.63,112.24,16.0,2.2,0.0,0.0
1783579663.3112,121.69,9.45,7.8,80.63,112.24,16.0,2.2,0.0,0.0
1783579664.3115,121.69,9.45,7.8,80.64,112.24,16.0,2.2,0.0,0.0
1783579665.3119,121.69,9.44,7.8,80.64,112.25,16.0,2.2,0.0,0.0
1783579666.3122,121.69,9.45,7.8,80.64,112.24,16.0,2.2,0.0,0.0
1783579667.3127,121.69,9.45,7.8,80.63,112.24,16.0,2.2,0.0,0.0
1783579668.3129,121.69,9.45,7.8,80.63,112.24,16.0,2.2,0.0,0.0
1783579669.3138,121.69,9.77,8.0,80.31,111.92,16.0,2.2,0.0,0.0
1783579670.3144,121.69,9.76,8.0,80.32,111.93,16.0,2.2,0.0,0.0
1783579671.3147,121.69,9.77,8.0,80.32,111.92,16.0,2.2,0.0,0.0
1783579672.3151,121.69,9.76,8.0,80.33,111.93,16.0,2.2,0.0,0.0
1783579673.3154,121.69,9.73,8.0,80.35,111.96,16.0,2.2,0.0,0.0
1783579674.3158,121.69,9.73,8.0,80.36,111.96,16.0,2.2,0.0,0.0
1783579675.3163,121.69,9.72,8.0,80.36,111.97,16.0,2.2,0.0,0.0
1783579676.3166,121.69,9.28,7.6,80.81,112.41,16.0,2.2,0.0,0.0
1783579677.317,121.69,9.34,7.7,80.75,112.35,16.0,2.2,0.0,0.0
