timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1783549954.4583,2867,0,0,0,0,0
1783549954.9586,19426,0,0,0,0,0
1783549955.459,135006,0,0,0,0,0
1783549955.9594,42515,0,0,0,0,0
1783549956.4599,2353,0,0,0,0,0
1783549956.9603,2370,0,0,0,0,0
1783549957.4606,2371,0,0,0,0,0
1783549957.9609,2384,0,0,0,0,0
1783549958.4614,2378,0,0,0,0,0
1783549958.9617,1551,0,0,0,0,0
1783549959.4621,1165,0,0,0,0,0
1783549959.9623,2469,0,0,0,0,0
1783549960.4626,4408,0,0,0,0,0
1783549960.9628,2361,0,0,0,0,0
1783549961.463,2367,0,0,0,0,0
1783549961.9634,2394,0,0,0,0,0
1783549962.4636,2357,0,0,0,0,0
1783549962.9639,2384,0,0,0,0,0
1783549963.4641,2359,0,0,0,0,0
1783549963.9644,2359,0,0,0,0,0
1783549964.4646,2323,0,0,0,0,0
1783549964.9648,118,0,0,0,0,0
1783549965.465,2383,0,0,0,0,0
1783549965.9653,2357,0,0,0,0,0
1783549966.4655,2381,0,0,0,0,0
1783549966.9658,2350,0,0,0,0,0
1783549967.466,2365,0,0,0,0,0
1783549967.9663,2359,0,0,0,0,0
1783549968.4664,2355,0,0,0,0,0
1783549968.9667,2409,0,0,0,0,0
1783549969.4669,2347,0,0,0,0,0
1783549969.9671,2375,0,0,0,0,0
1783549970.4673,2151,0,0,0,0,0
1783549970.9679,284,0,0,0,0,0
1783549971.4681,2365,0,0,0,0,0
1783549971.9685,2362,0,0,0,0,0
1783549972.4688,2436,0,0,0,0,0
1783549972.9691,2391,0,0,0,0,0
1783549973.4693,2361,0,0,0,0,0
1783549973.9696,2354,0,0,0,0,0
1783549974.47,2392,0,0,0,0,0
1783549974.9702,2389,0,0,0,0,0
1783549975.4704,2365,0,0,0,0,0
1783549975.9707,2243,0,0,0,0,0
1783549976.4709,128,0,0,0,0,0
1783549976.9712,2357,0,0,0,0,0
1783549977.4715,2366,0,0,0,0,0
1783549977.9718,2365,0,0,0,0,0
1783549978.472,2385,0,0,0,0,0
1783549978.9723,2356,0,0,0,0,0
1783549979.4727,2359,0,0,0,0,0
1783549979.9731,2370,0,0,0,0,0
1783549980.4734,2360,0,0,0,0,0
1783549980.9737,2361,0,0,0,0,0
1783549981.474,2360,0,0,0,0,0
1783549981.9742,1371,0,0,0,0,0
1783549982.4745,2926,0,0,0,0,0
1783549982.9749,2384,0,0,0,0,0
1783549983.4751,2357,0,0,0,0,0
1783549983.9754,2415,0,0,0,0,0
1783549984.4757,2368,0,0,0,0,0
1783549984.9761,2402,0,0,0,0,0
1783549985.4764,2378,0,0,0,0,0
1783549985.9767,2453,0,0,0,0,0
1783549986.4771,2352,0,0,0,0,0
1783549986.9773,2355,0,0,0,0,0
1783549987.4777,2220,0,0,0,0,0
1783549987.9779,490,0,0,0,0,0
1783549988.4782,2391,0,0,0,0,0
1783549988.9785,2361,0,0,0,0,0
1783549989.4787,2355,0,0,0,0,0
1783549989.979,2369,0,0,0,0,0
1783549990.4794,2456,0,0,0,0,0
1783549990.9797,2356,0,0,0,0,0
1783549991.4801,2416,0,0,0,0,0
1783549991.9804,2356,0,0,0,0,0
1783549992.4808,2352,0,0,0,0,0
1783549992.981,2375,0,0,0,0,0
1783549993.4813,1329,0,0,0,0,0
1783549993.9816,1045,0,0,0,0,0
1783549994.482,2382,0,0,0,0,0
1783549994.9824,2384,0,0,0,0,0
1783549995.4827,2346,0,0,0,0,0
1783549995.9831,2370,0,0,0,0,0
1783549996.4834,2378,0,0,0,0,0
1783549996.9838,2398,0,0,0,0,0
