timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1783544286.763,12337,0,0,0,0,0
1783544287.2635,19073,0,0,0,0,0
1783544287.7639,44596,0,0,0,0,0
1783544288.2642,2414,0,0,0,0,0
1783544288.7649,2355,0,0,0,0,0
1783544289.2654,2447,0,0,0,0,0
1783544289.7657,2357,0,0,0,0,0
1783544290.266,1411,0,0,0,0,0
1783544290.7664,1109,0,0,0,0,0
1783544291.2669,2366,0,0,0,0,0
1783544291.7674,2388,0,0,0,0,0
1783544292.2678,2384,0,0,0,0,0
1783544292.7682,2362,0,0,0,0,0
1783544293.2687,2372,0,0,0,0,0
1783544293.769,2350,0,0,0,0,0
1783544294.2693,2396,0,0,0,0,0
1783544294.77,2375,0,0,0,0,0
1783544295.2705,2386,0,0,0,0,0
1783544295.7708,2352,0,0,0,0,0
1783544296.2711,2189,0,0,0,0,0
1783544296.7715,42562,0,0,0,0,0
1783544297.2719,2434,0,0,0,0,0
1783544297.7723,2352,0,0,0,0,0
1783544298.2728,2368,0,0,0,0,0
1783544298.7733,2348,0,0,0,0,0
1783544299.274,2399,0,0,0,0,0
1783544299.7747,2353,0,0,0,0,0
1783544300.2751,2360,0,0,0,0,0
1783544300.7756,2384,0,0,0,0,0
1783544301.2759,4265,0,0,0,0,0
1783544301.7763,1315,0,0,0,0,0
1783544302.277,1066,0,0,0,0,0
1783544302.7775,2420,0,0,0,0,0
1783544303.278,2380,0,0,0,0,0
1783544303.7784,2348,0,0,0,0,0
1783544304.2791,2373,0,0,0,0,0
1783544304.7795,2372,0,0,0,0,0
1783544305.28,4396,0,0,0,0,0
1783544305.7804,42659,0,0,0,0,0
1783544306.2809,2362,0,0,0,0,0
1783544306.7816,2369,0,0,0,0,0
1783544307.282,2378,0,0,0,0,0
1783544307.7825,1331,0,0,0,0,0
1783544308.2829,1081,0,0,0,0,0
1783544308.7834,2444,0,0,0,0,0
1783544309.2841,2381,0,0,0,0,0
1783544309.7846,2378,0,0,0,0,0
1783544310.2853,2370,0,0,0,0,0
1783544310.7858,2352,0,0,0,0,0
1783544311.2864,2367,0,0,0,0,0
1783544311.7869,2352,0,0,0,0,0
1783544312.2873,2568,0,0,0,0,0
1783544312.7878,2320,0,0,0,0,0
1783544313.2882,392,0,0,0,0,0
1783544313.7886,2534,0,0,0,0,0
1783544314.2889,5208,0,0,0,0,0
1783544314.7894,41887,0,0,0,0,0
1783544315.2897,2364,0,0,0,0,0
1783544315.7901,2376,0,0,0,0,0
1783544316.2906,2378,0,0,0,0,0
1783544316.791,2354,0,0,0,0,0
1783544317.2917,2397,0,0,0,0,0
1783544317.7921,2354,0,0,0,0,0
1783544318.2932,2366,0,0,0,0,0
1783544318.7937,2357,0,0,0,0,0
1783544319.294,2021,0,0,0,0,0
1783544319.7945,2282,0,0,0,0,0
1783544320.2949,2358,0,0,0,0,0
1783544320.7954,2444,0,0,0,0,0
1783544321.2958,2416,0,0,0,0,0
1783544321.7963,2354,0,0,0,0,0
1783544322.2967,2388,0,0,0,0,0
1783544322.7971,2374,0,0,0,0,0
1783544323.2975,6236,0,0,0,0,0
1783544323.7979,40835,0,0,0,0,0
1783544324.2983,2386,0,0,0,0,0
1783544324.7987,2370,0,0,0,0,0
1783544325.2991,725,0,0,0,0,0
1783544325.7998,1634,0,0,0,0,0
1783544326.3003,2366,0,0,0,0,0
1783544326.8007,2380,0,0,0,0,0
1783544327.3014,2389,0,0,0,0,0
1783544327.8021,2349,0,0,0,0,0
1783544328.3024,2365,0,0,0,0,0
1783544328.8028,2369,0,0,0,0,0
1783544329.3034,2385,0,0,0,0,0
1783544329.8039,2350,0,0,0,0,0
1783544330.3043,2384,0,0,0,0,0
1783544330.8048,1331,0,0,0,0,0
1783544331.3053,1043,0,0,0,0,0
1783544331.806,2357,0,0,0,0,0
1783544332.3067,6575,0,0,0,0,0
1783544332.8072,40534,0,0,0,0,0
1783544333.3079,2369,0,0,0,0,0
1783544333.8084,2374,0,0,0,0,0
1783544334.3088,2386,0,0,0,0,0
1783544334.8094,2371,0,0,0,0,0
1783544335.3101,2359,0,0,0,0,0
1783544335.8105,2370,0,0,0,0,0
1783544336.3112,2369,0,0,0,0,0
1783544336.8119,2215,0,0,0,0,0
1783544337.3124,170,0,0,0,0,0
1783544337.8128,2414,0,0,0,0,0
1783544338.3133,2401,0,0,0,0,0
1783544338.8137,2444,0,0,0,0,0
1783544339.314,2382,0,0,0,0,0
1783544339.8144,2352,0,0,0,0,0
1783544340.3147,2370,0,0,0,0,0
1783544340.815,4315,0,0,0,0,0
1783544341.3155,28630,0,0,0,0,0
1783544341.8162,18458,0,0,0,0,0
1783544342.3169,2385,0,0,0,0,0
1783544342.8172,2352,0,0,0,0,0
1783544343.3176,2153,0,0,0,0,0
1783544343.8179,270,0,0,0,0,0
1783544344.3183,2380,0,0,0,0,0
1783544344.8186,2362,0,0,0,0,0
1783544345.319,2400,0,0,0,0,0
1783544345.8193,2364,0,0,0,0,0
1783544346.3196,2358,0,0,0,0,0
1783544346.8203,2397,0,0,0,0,0
1783544347.3211,2369,0,0,0,0,0
1783544347.8215,2352,0,0,0,0,0
1783544348.3222,2379,0,0,0,0,0
1783544348.8226,1333,0,0,0,0,0
1783544349.3231,1059,0,0,0,0,0
1783544349.8235,2360,0,0,0,0,0
1783544350.3239,44733,0,0,0,0,0
1783544350.8243,2358,0,0,0,0,0
1783544351.3248,2364,0,0,0,0,0
1783544351.8252,2356,0,0,0,0,0
1783544352.3257,2424,0,0,0,0,0
1783544352.8261,2350,0,0,0,0,0
1783544353.3266,2366,0,0,0,0,0
1783544353.8269,2250,0,0,0,0,0
1783544354.3273,150,0,0,0,0,0
1783544354.8277,2364,0,0,0,0,0
1783544355.328,2372,0,0,0,0,0
1783544355.8285,2378,0,0,0,0,0
1783544356.3288,2368,0,0,0,0,0
1783544356.8292,2442,0,0,0,0,0
1783544357.3295,2376,0,0,0,0,0
1783544357.83,2358,0,0,0,0,0
1783544358.3303,2398,0,0,0,0,0
1783544358.831,2358,0,0,0,0,0
1783544359.3315,44723,0,0,0,0,0
1783544359.8318,2386,0,0,0,0,0
1783544360.3323,1327,0,0,0,0,0
1783544360.8326,1041,0,0,0,0,0
1783544361.333,4305,0,0,0,0,0
1783544361.8333,2350,0,0,0,0,0
1783544362.3336,2390,0,0,0,0,0
1783544362.834,2358,0,0,0,0,0
1783544363.3347,2371,0,0,0,0,0
1783544363.8351,2476,0,0,0,0,0
1783544364.3356,2558,0,0,0,0,0
1783544364.836,2736,0,0,0,0,0
1783544365.3364,2472,0,0,0,0,0
1783544365.8367,1319,0,0,0,0,0
1783544366.3372,1063,0,0,0,0,0
1783544366.8376,2366,0,0,0,0,0
1783544367.338,2448,0,0,0,0,0
1783544367.8385,2452,0,0,0,0,0
1783544368.3388,44618,0,0,0,0,0
1783544368.8393,2412,0,0,0,0,0
1783544369.34,2377,0,0,0,0,0
1783544369.8403,2356,0,0,0,0,0
1783544370.3407,2366,0,0,0,0,0
1783544370.8412,2360,0,0,0,0,0
1783544371.3415,2394,0,0,0,0,0
1783544371.8419,2356,0,0,0,0,0
1783544372.3424,256,0,0,0,0,0
1783544372.8427,2133,0,0,0,0,0
1783544373.343,2378,0,0,0,0,0
1783544373.8433,2352,0,0,0,0,0
1783544374.344,2433,0,0,0,0,0
1783544374.8443,2370,0,0,0,0,0
1783544375.345,2377,0,0,0,0,0
1783544375.8455,2354,0,0,0,0,0
1783544376.3458,2368,0,0,0,0,0
1783544376.8463,2448,0,0,0,0,0
1783544377.3466,44634,0,0,0,0,0
1783544377.847,735,0,0,0,0,0
1783544378.3475,1691,0,0,0,0,0
1783544378.8479,2358,0,0,0,0,0
1783544379.3486,4280,0,0,0,0,0
1783544379.849,2354,0,0,0,0,0
1783544380.3495,2394,0,0,0,0,0
1783544380.8502,2444,0,0,0,0,0
1783544381.3509,2365,0,0,0,0,0
1783544381.8512,2382,0,0,0,0,0
1783544382.3516,2378,0,0,0,0,0
1783544382.8523,2361,0,0,0,0,0
1783544383.3526,2372,0,0,0,0,0
1783544383.853,2330,0,0,0,0,0
1783544384.3534,70,0,0,0,0,0
1783544384.854,2367,0,0,0,0,0
1783544385.3545,2418,0,0,0,0,0
1783544385.8548,2452,0,0,0,0,0
1783544386.3555,44589,0,0,0,0,0
1783544386.8562,2463,0,0,0,0,0
1783544387.3569,2381,0,0,0,0,0
1783544387.8574,2404,0,0,0,0,0
1783544388.3581,2381,0,0,0,0,0
1783544388.8585,2356,0,0,0,0,0
1783544389.3592,2367,0,0,0,0,0
