timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1783545049.1267,121.69,9.14,7.5,80.98,112.55,16.0,2.2,0.0,0.0
1783545050.127,121.69,9.46,7.8,80.66,112.23,16.0,2.2,0.0,0.0
1783545051.1276,121.69,9.45,7.8,80.67,112.24,16.0,2.2,0.0,0.0
1783545052.128,121.69,9.46,7.8,80.67,112.23,16.0,2.2,0.0,0.0
1783545053.1284,121.69,9.47,7.8,80.66,112.22,16.0,2.2,0.0,0.0
1783545054.1288,121.69,9.47,7.8,80.65,112.22,16.0,2.2,0.0,0.0
1783545055.1291,121.69,9.47,7.8,80.65,112.22,16.0,2.2,0.0,0.0
1783545056.1295,121.69,9.47,7.8,80.66,112.22,16.0,2.2,0.0,0.0
1783545057.1299,121.69,9.48,7.8,80.64,112.21,16.0,2.2,0.0,0.0
1783545058.1302,121.69,9.47,7.8,80.65,112.22,16.0,2.2,0.0,0.0
1783545059.1307,121.69,9.47,7.8,80.66,112.22,16.0,2.2,0.0,0.0
1783545060.1311,121.69,9.46,7.8,80.66,112.23,16.0,2.2,0.0,0.0
1783545061.1316,121.69,9.46,7.8,80.66,112.23,16.0,2.2,0.0,0.0
1783545062.1319,121.69,9.48,7.8,80.65,112.21,16.0,2.2,0.0,0.0
1783545063.1324,121.69,9.48,7.8,80.64,112.21,16.0,2.2,0.0,0.0
1783545064.133,121.69,9.48,7.8,80.64,112.21,16.0,2.2,0.0,0.0
1783545065.1334,121.69,9.47,7.8,80.66,112.22,16.0,2.2,0.0,0.0
1783545066.1338,121.69,9.47,7.8,80.65,112.22,16.0,2.2,0.0,0.0
1783545067.1345,121.69,9.48,7.8,80.65,112.21,16.0,2.2,0.0,0.0
1783545068.1352,121.69,9.48,7.8,80.64,112.21,16.0,2.2,0.0,0.0
1783545069.1359,121.69,9.47,7.8,80.66,112.22,16.0,2.2,0.0,0.0
1783545070.1363,121.69,9.46,7.8,80.66,112.23,16.0,2.2,0.0,0.0
1783545071.1367,121.69,9.46,7.8,80.66,112.23,16.0,2.2,0.0,0.0
1783545072.1375,121.69,9.46,7.8,80.66,112.23,16.0,2.2,0.0,0.0
1783545073.1381,121.69,9.46,7.8,80.66,112.23,16.0,2.2,0.0,0.0
1783545074.1391,121.69,9.46,7.8,80.67,112.23,16.0,2.2,0.0,0.0
1783545075.1395,121.69,9.47,7.8,80.66,112.22,16.0,2.2,0.0,0.0
1783545076.1401,121.69,9.47,7.8,80.65,112.22,16.0,2.2,0.0,0.0
1783545077.1405,121.69,9.47,7.8,80.65,112.22,16.0,2.2,0.0,0.0
1783545078.1408,121.69,9.46,7.8,80.66,112.23,16.0,2.2,0.0,0.0
1783545079.1411,121.69,9.47,7.8,80.66,112.22,16.0,2.2,0.0,0.0
1783545080.1417,121.69,9.46,7.8,80.67,112.23,16.0,2.2,0.0,0.0
1783545081.1423,121.69,9.47,7.8,80.65,112.22,16.0,2.2,0.0,0.0
1783545082.1426,121.69,9.46,7.8,80.67,112.23,16.0,2.2,0.0,0.0
1783545083.1429,121.69,9.47,7.8,80.66,112.22,16.0,2.2,0.0,0.0
1783545084.1433,121.69,9.46,7.8,80.66,112.23,16.0,2.2,0.0,0.0
1783545085.1436,121.69,9.46,7.8,80.67,112.23,16.0,2.2,0.0,0.0
1783545086.1439,121.69,9.46,7.8,80.67,112.23,16.0,2.2,0.0,0.0
1783545087.1443,121.69,9.47,7.8,80.66,112.22,16.0,2.2,0.0,0.0
1783545088.1446,121.69,9.46,7.8,80.66,112.23,16.0,2.2,0.0,0.0
1783545089.1448,121.69,9.46,7.8,80.67,112.23,16.0,2.2,0.0,0.0
1783545090.1452,121.69,9.46,7.8,80.66,112.23,16.0,2.2,0.0,0.0
1783545091.1456,121.69,9.47,7.8,80.66,112.22,16.0,2.2,0.0,0.0
1783545092.1466,121.69,9.46,7.8,80.67,112.23,16.0,2.2,0.0,0.0
1783545093.147,121.69,9.45,7.8,80.67,112.24,16.0,2.2,0.0,0.0
1783545094.1473,121.69,9.46,7.8,80.67,112.23,16.0,2.2,0.0,0.0
1783545095.1477,121.69,9.44,7.8,80.68,112.25,16.0,2.2,0.0,0.0
1783545096.148,121.69,9.44,7.8,80.69,112.25,16.0,2.2,0.0,0.0
1783545097.1487,121.69,9.44,7.8,80.68,112.25,16.0,2.2,0.0,0.0
1783545098.1491,121.69,9.44,7.8,80.68,112.25,16.0,2.2,0.0,0.0
1783545099.1494,121.69,9.45,7.8,80.67,112.24,16.0,2.2,0.0,0.0
1783545100.1504,121.69,9.45,7.8,80.67,112.24,16.0,2.2,0.0,0.0
1783545101.1507,121.69,9.47,7.8,80.65,112.22,16.0,2.2,0.0,0.0
1783545102.1509,121.69,9.53,7.8,80.59,112.16,16.0,2.2,0.0,0.0
1783545103.1512,121.69,9.55,7.8,80.58,112.14,16.0,2.2,0.0,0.0
1783545104.1518,121.69,9.53,7.8,80.72,112.16,16.0,2.2,0.0,0.0
1783545105.1521,121.69,9.51,7.8,80.73,112.18,16.0,2.2,0.0,0.0
1783545106.1524,121.69,9.51,7.8,80.73,112.18,16.0,2.2,0.0,0.0
1783545107.1526,121.69,9.54,7.8,80.7,112.15,16.0,2.2,0.0,0.0
1783545108.1529,121.69,9.52,7.8,80.6,112.17,16.0,2.2,0.0,0.0
1783545109.1534,121.69,9.5,7.8,80.62,112.19,16.0,2.2,0.0,0.0
1783545110.1541,121.69,9.51,7.8,80.61,112.18,16.0,2.2,0.0,0.0
1783545111.1544,121.69,9.5,7.8,80.62,112.19,16.0,2.2,0.0,0.0
1783545112.155,121.69,9.5,7.8,80.62,112.19,16.0,2.2,0.0,0.0
1783545113.1552,121.69,9.51,7.8,80.62,112.18,16.0,2.2,0.0,0.0
1783545114.1555,121.69,9.51,7.8,80.62,112.18,16.0,2.2,0.0,0.0
1783545115.1558,121.69,9.51,7.8,80.62,112.18,16.0,2.2,0.0,0.0
1783545116.1561,121.69,9.51,7.8,80.62,112.18,16.0,2.2,0.0,0.0
1783545117.1564,121.69,9.5,7.8,80.63,112.19,16.0,2.2,0.0,0.0
1783545118.1567,121.69,9.5,7.8,80.62,112.19,16.0,2.2,0.0,0.0
1783545119.157,121.69,9.5,7.8,80.62,112.19,16.0,2.2,0.0,0.0
