timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1783545354.0683,5.9,1.4,4.5,0.0,3354.0,56.7,,1.73,1.91,1.98,4862,4,0
1783545355.0694,8.3,2.8,5.6,0.0,3354.0,57.2,,1.73,1.91,1.98,6169,3,0
1783545356.0709,10.8,2.8,8.0,0.0,3354.0,58.2,,1.73,1.91,1.98,5926,4,0
1783545357.072,10.9,2.9,8.0,0.0,3354.0,59.8,,1.73,1.91,1.98,5967,4,0
1783545358.0731,11.0,2.9,8.0,0.1,3354.0,60.5,,1.73,1.91,1.98,5907,4,0
1783545359.0744,10.9,2.8,8.0,0.0,3354.0,60.7,,1.75,1.91,1.98,5973,3,0
1783545360.0756,10.7,3.0,7.7,0.0,3354.0,60.7,,1.75,1.91,1.98,5925,3,0
1783545361.0769,11.2,3.0,8.2,0.0,3354.0,60.8,,1.75,1.91,1.98,6231,3,0
1783545362.0779,10.9,3.1,7.8,0.0,3354.0,60.8,,1.75,1.91,1.98,5959,3,0
1783545363.0792,10.9,3.9,7.0,0.0,3354.0,61.0,,1.75,1.91,1.98,6078,5,0
1783545364.0803,10.1,4.1,5.9,0.1,3354.0,58.3,,1.77,1.91,1.98,6311,3,0
1783545365.0818,10.9,2.7,8.1,0.0,3354.0,58.7,,1.77,1.91,1.98,6295,3,0
1783545366.0829,10.6,2.8,7.9,0.0,3354.0,58.8,,1.77,1.91,1.98,5759,3,0
1783545367.0841,12.7,4.7,8.0,0.0,3354.0,58.9,,1.77,1.91,1.98,6676,3,0
1783545368.0851,11.2,3.2,8.0,0.0,3354.0,58.8,,1.77,1.91,1.98,6430,3,0
1783545369.0862,10.8,2.7,8.0,0.0,3354.0,59.0,,1.79,1.91,1.98,6204,3,0
1783545370.0873,10.9,2.9,7.9,0.1,3354.0,58.9,,1.79,1.91,1.98,5889,3,0
1783545371.0884,10.8,2.7,8.1,0.0,3354.0,58.8,,1.79,1.91,1.98,5823,3,0
1783545372.0898,10.5,3.7,6.8,0.0,3354.0,58.9,,1.79,1.91,1.98,5601,3,0
1783545373.0911,10.0,4.0,6.0,0.1,3354.0,58.3,,1.79,1.91,1.98,6002,3,0
1783545374.0925,10.8,2.9,7.9,0.0,3354.0,57.9,,1.89,1.93,1.99,5653,3,0
1783545375.0939,10.9,3.1,7.9,0.0,3354.0,57.7,,1.89,1.93,1.99,5978,3,0
1783545376.095,10.8,3.0,7.8,0.0,3354.0,58.0,,1.89,1.93,1.99,5806,3,0
1783545377.0961,10.7,2.8,7.9,0.0,3354.0,58.3,,1.89,1.93,1.99,5657,5,0
1783545378.0972,10.6,2.8,7.9,0.0,3354.0,58.5,,1.89,1.93,1.99,5408,3,0
1783545379.0984,10.9,2.8,8.0,0.1,3354.0,58.6,,1.9,1.93,1.99,5671,3,0
1783545380.0994,10.8,3.0,7.8,0.0,3354.0,58.7,,1.9,1.93,1.99,5742,3,0
1783545381.1005,10.8,3.9,7.0,0.0,3354.0,58.6,,1.9,1.93,1.99,5694,3,0
1783545382.1015,10.0,3.8,6.2,0.1,3354.0,57.8,,1.9,1.93,1.99,6422,3,0
1783545383.1025,10.5,2.7,7.8,0.0,3354.0,57.8,,1.9,1.93,1.99,5801,3,0
1783545384.1036,11.7,3.9,7.8,0.0,3354.0,58.4,,1.91,1.94,1.99,6363,4,0
1783545385.1046,12.2,4.2,8.0,0.0,3354.0,58.7,,1.91,1.94,1.99,6962,3,0
1783545386.1062,10.7,2.8,8.0,0.0,3354.0,58.8,,1.91,1.94,1.99,6045,3,0
1783545387.1073,10.8,2.9,8.0,0.0,3354.0,58.9,,1.91,1.94,1.99,5845,3,0
1783545388.1087,10.9,2.8,8.0,0.1,3354.0,58.8,,1.91,1.94,1.99,5774,3,0
1783545389.1099,10.7,2.7,8.0,0.0,3354.0,58.8,,1.91,1.94,1.99,5622,4,0
1783545390.1111,10.8,3.7,7.1,0.0,3354.0,59.2,,1.91,1.94,1.99,5757,3,0
1783545391.1127,10.1,3.9,6.2,0.1,3354.0,58.0,,1.91,1.94,1.99,6103,3,0
1783545392.1141,10.8,2.9,7.9,0.0,3354.0,58.1,,1.91,1.94,1.99,5802,3,0
1783545393.1156,10.9,2.9,8.0,0.0,3354.0,59.6,,1.91,1.94,1.99,5797,3,0
1783545394.1167,11.1,3.1,8.0,0.0,3354.0,60.4,,1.92,1.94,1.99,6314,3,0
1783545395.1178,10.8,2.8,8.0,0.0,3354.0,60.7,,1.92,1.94,1.99,6199,4,0
1783545396.119,10.7,2.8,7.9,0.0,3354.0,60.7,,1.92,1.94,1.99,5723,5,0
1783545397.1201,10.9,2.7,8.1,0.1,3354.0,60.8,,1.92,1.94,1.99,5886,3,0
1783545398.1212,10.9,2.8,8.1,0.0,3354.0,60.8,,1.92,1.94,1.99,5862,3,0
1783545399.1223,10.9,4.0,6.9,0.0,3354.0,61.0,,1.93,1.94,1.99,5946,3,0
1783545400.1234,10.3,3.9,6.3,0.1,3354.0,58.5,,1.93,1.94,1.99,6310,3,0
1783545401.1245,10.8,2.8,8.0,0.0,3354.0,58.7,,1.93,1.94,1.99,5728,4,0
1783545402.1255,10.6,2.7,7.8,0.0,3354.0,58.8,,1.93,1.94,1.99,5936,4,0
1783545403.1266,10.8,2.8,8.0,0.0,3354.0,59.0,,1.93,1.94,1.99,5821,4,0
1783545404.1277,10.9,3.1,7.8,0.0,3354.0,59.2,,1.93,1.94,1.99,5675,4,0
1783545405.1288,10.8,2.8,8.0,0.0,3354.0,59.3,,1.93,1.94,1.99,6115,3,1
1783545406.13,10.9,3.0,7.9,0.1,3354.0,59.1,,1.93,1.94,1.99,6029,3,0
1783545407.1312,10.8,2.8,8.0,0.0,3354.0,59.2,,1.93,1.94,1.99,5911,4,0
1783545408.1323,10.6,4.0,6.6,0.0,3354.0,59.2,,1.93,1.94,1.99,5741,3,0
1783545409.1337,10.1,3.7,6.3,0.1,3354.0,58.7,,1.94,1.94,1.99,6025,3,0
1783545410.1348,10.9,2.8,8.1,0.0,3354.0,58.5,,1.94,1.94,1.99,5977,3,0
1783545411.1359,11.1,2.9,8.2,0.0,3354.0,59.7,,1.94,1.94,1.99,5972,3,0
1783545412.1373,11.0,2.7,8.2,0.1,3354.0,60.4,,1.94,1.94,1.99,6223,4,0
1783545413.1386,10.7,3.0,7.7,0.0,3354.0,60.6,,1.94,1.94,1.99,5771,4,0
1783545414.1398,10.8,2.9,7.8,0.0,3354.0,60.8,,1.94,1.94,1.99,5940,3,0
1783545415.1409,10.9,2.9,8.0,0.0,3354.0,60.8,,1.94,1.94,1.99,6187,3,0
1783545416.1429,10.9,3.0,7.9,0.0,3354.0,60.8,,1.94,1.94,1.99,5805,3,0
1783545417.1447,11.0,4.4,6.6,0.1,3354.0,61.3,,1.94,1.94,1.99,5878,3,0
1783545418.1457,10.3,3.8,6.4,0.1,3354.0,58.3,,1.94,1.94,1.99,6111,3,0
1783545419.1469,10.6,2.9,7.7,0.0,3354.0,58.1,,1.95,1.94,1.99,5649,6,0
1783545420.1481,10.8,2.8,8.0,0.0,3354.0,58.0,,1.95,1.94,1.99,5998,3,0
1783545421.1493,11.6,3.8,7.9,0.0,3354.0,58.1,,1.95,1.94,1.99,6964,4,0
1783545422.1504,12.8,4.8,8.0,0.0,3354.0,58.1,,1.95,1.94,1.99,7076,4,0
1783545423.1515,10.9,2.9,8.0,0.0,3354.0,58.0,,1.95,1.94,1.99,6435,3,0
1783545424.1526,11.0,2.8,8.1,0.1,3354.0,58.1,,1.95,1.95,1.99,5817,3,0
