timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1783563272.9184,5.9,1.4,4.5,0.0,3354.0,60.2,,1.71,1.97,1.99,4962,4,0
1783563273.9202,8.1,3.2,4.9,0.0,3354.0,60.0,,1.71,1.97,1.99,5711,4,0
1783563274.921,10.9,5.8,5.0,0.0,3354.0,59.9,,1.71,1.97,1.99,6344,3,0
1783563275.9218,10.9,2.9,8.0,0.0,3354.0,60.0,,1.71,1.97,1.99,5856,3,0
1783563276.9226,10.8,2.8,8.0,0.0,3354.0,59.9,,1.74,1.97,1.99,5998,4,0
1783563277.9234,10.9,2.9,8.0,0.1,3354.0,60.1,,1.74,1.97,1.99,6084,3,0
1783563278.9244,11.1,3.1,7.9,0.0,3354.0,60.3,,1.74,1.97,1.99,5984,3,0
1783563279.9256,10.6,2.8,7.8,0.0,3354.0,60.7,,1.74,1.97,1.99,5819,3,0
1783563280.9264,11.2,3.0,8.2,0.0,3354.0,60.6,,1.74,1.97,1.99,5918,3,0
1783563281.9275,11.8,3.7,8.1,0.0,3354.0,60.8,,1.76,1.97,1.99,6525,7,0
1783563282.9285,12.3,4.3,8.0,0.0,3354.0,60.9,,1.76,1.97,1.99,6648,3,0
1783563283.9296,11.0,2.9,8.0,0.1,3354.0,61.0,,1.76,1.97,1.99,5935,3,0
1783563284.9308,10.6,2.8,7.8,0.0,3354.0,61.0,,1.76,1.97,1.99,5926,4,0
1783563285.9318,10.8,2.7,8.1,0.0,3354.0,60.9,,1.76,1.97,1.99,5970,4,0
1783563286.9324,10.7,2.8,8.0,0.0,3354.0,61.0,,1.78,1.97,1.99,6076,3,0
1783563287.9333,10.8,2.9,7.9,0.0,3354.0,61.0,,1.78,1.97,1.99,5993,3,0
1783563288.934,10.8,3.1,7.8,0.0,3354.0,61.0,,1.78,1.97,1.99,5677,3,0
1783563289.9346,10.7,2.9,7.8,0.0,3354.0,61.3,,1.78,1.97,1.99,5799,3,0
1783563290.9354,11.0,3.0,7.9,0.1,3354.0,61.2,,1.78,1.97,1.99,6004,4,0
1783563291.9362,10.5,2.7,7.8,0.0,3354.0,61.4,,1.8,1.97,1.99,5656,3,0
1783563292.937,10.9,2.9,8.0,0.0,3354.0,61.5,,1.8,1.97,1.99,6034,3,0
1783563293.9378,10.8,3.1,7.7,0.0,3354.0,61.5,,1.8,1.97,1.99,5847,3,0
1783563294.9386,10.9,2.9,8.0,0.0,3354.0,61.6,,1.8,1.97,1.99,5896,3,0
1783563295.9393,10.9,2.9,8.0,0.0,3354.0,61.6,,1.8,1.97,1.99,5790,3,0
1783563296.9404,10.6,2.8,7.9,0.0,3354.0,61.4,,1.81,1.97,1.99,5742,3,0
1783563297.9411,10.9,2.8,8.2,0.0,3354.0,61.4,,1.81,1.97,1.99,5952,3,0
1783563298.9419,11.0,3.1,7.9,0.0,3354.0,61.4,,1.81,1.97,1.99,6126,3,0
1783563299.9426,10.8,2.7,8.1,0.0,3354.0,61.5,,1.81,1.97,1.99,5906,3,0
1783563300.9434,10.9,3.1,7.9,0.0,3354.0,61.7,,1.81,1.97,1.99,6000,3,0
1783563301.944,10.9,2.8,8.0,0.1,3354.0,61.7,,1.83,1.97,1.99,5758,4,0
1783563302.9448,10.7,2.8,7.9,0.0,3354.0,61.7,,1.83,1.97,1.99,5801,3,0
1783563303.9455,10.9,3.0,7.9,0.0,3354.0,61.8,,1.83,1.97,1.99,5921,3,0
1783563304.9463,10.9,2.8,8.1,0.0,3354.0,61.9,,1.83,1.97,1.99,5919,3,0
1783563305.9469,10.8,3.1,7.8,0.0,3354.0,61.8,,1.83,1.97,1.99,5551,4,0
1783563306.9476,10.9,2.8,8.1,0.0,3354.0,61.9,,1.84,1.97,1.99,5898,3,0
1783563307.9483,10.8,2.9,7.9,0.1,3354.0,61.9,,1.84,1.97,1.99,6168,4,0
1783563308.949,11.0,2.9,8.0,0.1,3354.0,62.0,,1.84,1.97,1.99,6294,3,0
1783563309.9497,10.8,3.1,7.8,0.0,3354.0,62.0,,1.84,1.97,1.99,5912,3,0
1783563310.9503,10.7,2.7,8.0,0.0,3354.0,61.9,,1.84,1.97,1.99,5950,3,0
1783563311.951,10.8,2.7,8.1,0.0,3354.0,61.9,,2.01,2.01,2.0,5614,3,0
1783563312.9518,10.8,6.3,4.5,0.0,3354.0,61.9,,2.01,2.01,2.0,5748,3,0
1783563313.9526,10.7,6.3,4.4,0.0,3354.0,61.9,,2.01,2.01,2.0,5770,3,0
1783563314.9534,11.0,6.4,4.6,0.0,3354.0,61.9,,2.01,2.01,2.0,6127,3,0
1783563315.9541,10.9,6.2,4.6,0.0,3354.0,62.2,,2.01,2.01,2.0,5814,3,0
1783563316.9549,10.3,4.7,5.6,0.0,3354.0,62.3,,2.09,2.02,2.01,6045,3,0
1783563317.9557,10.8,5.6,5.2,0.0,3354.0,62.1,,2.09,2.02,2.01,6065,3,0
1783563318.9563,10.7,2.7,8.1,0.0,3354.0,62.1,,2.09,2.02,2.01,5810,4,0
1783563319.957,10.6,2.6,8.0,0.0,3354.0,62.6,,2.09,2.02,2.01,5667,3,0
1783563320.9578,10.8,2.8,8.0,0.0,3354.0,62.5,,2.09,2.02,2.01,5793,3,0
1783563321.9586,10.8,2.8,8.1,0.0,3354.0,62.5,,2.17,2.04,2.01,5862,3,0
1783563322.9594,10.7,2.7,8.0,0.0,3354.0,62.8,,2.17,2.04,2.01,5730,3,0
1783563323.9602,10.7,2.6,8.0,0.0,3354.0,62.7,,2.17,2.04,2.01,5628,3,0
1783563324.9609,10.8,2.7,8.0,0.0,3354.0,62.7,,2.17,2.04,2.01,6034,3,0
1783563325.9616,10.6,2.8,7.8,0.0,3354.0,62.8,,2.17,2.04,2.01,5691,3,0
1783563326.9623,12.4,4.2,8.1,0.0,3354.0,62.7,,2.15,2.04,2.01,7143,4,0
1783563327.963,11.8,3.6,8.2,0.0,3354.0,62.8,,2.15,2.04,2.01,6792,3,0
1783563328.9638,10.9,2.7,8.2,0.0,3354.0,62.8,,2.15,2.04,2.01,5998,4,0
1783563329.9646,10.8,2.9,7.9,0.0,3354.0,62.7,,2.15,2.04,2.01,5925,3,0
1783563330.9653,10.8,2.7,8.1,0.0,3354.0,62.8,,2.15,2.04,2.01,5709,3,0
1783563331.966,10.6,2.8,7.8,0.0,3354.0,62.8,,2.14,2.04,2.01,5830,3,0
