timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1783554147.4391,121.69,9.13,7.5,80.98,112.56,16.0,2.2,0.0,0.0
1783554148.4393,121.69,10.9,9.0,79.2,110.79,16.0,2.2,0.0,0.0
1783554149.4397,121.69,11.92,9.8,78.19,109.77,16.0,2.2,0.0,0.0
1783554150.4404,121.69,12.24,10.1,77.87,109.45,16.0,2.2,0.0,0.0
1783554151.4409,121.69,12.55,10.3,77.56,109.14,16.0,2.2,0.0,0.0
1783554152.4411,121.69,12.86,10.6,77.25,108.83,16.0,2.2,0.0,0.0
1783554153.4416,121.69,13.17,10.8,76.94,108.52,16.0,2.2,0.0,0.0
1783554154.4421,121.69,13.48,11.1,76.63,108.21,16.0,2.2,0.0,0.0
1783554155.4426,121.69,13.79,11.3,76.32,107.9,16.0,2.2,0.0,0.0
1783554156.4428,121.69,14.1,11.6,76.01,107.59,16.0,2.2,0.0,0.0
1783554157.4431,121.69,14.42,11.8,75.69,107.27,16.0,2.2,0.0,0.0
1783554158.4433,121.69,14.74,12.1,75.36,106.95,16.0,2.2,0.0,0.0
1783554159.4435,121.69,15.03,12.4,75.07,106.66,16.0,2.2,0.0,0.0
1783554160.4437,121.69,15.35,12.6,74.75,106.34,16.0,2.2,0.0,0.0
1783554161.4439,121.69,15.66,12.9,74.45,106.03,16.0,2.2,0.0,0.0
1783554162.4443,121.69,15.98,13.1,74.12,105.71,16.0,2.2,0.0,0.0
1783554163.445,121.69,16.3,13.4,73.81,105.39,16.0,2.2,0.0,0.0
1783554164.4452,121.69,16.62,13.7,73.49,105.07,16.0,2.2,0.0,0.0
1783554165.4455,121.69,16.92,13.9,73.19,104.77,16.0,2.2,0.0,0.0
1783554166.4457,121.69,17.23,14.2,72.88,104.46,16.0,2.2,0.0,0.0
1783554167.4462,121.69,17.55,14.4,72.56,104.14,16.0,2.2,0.0,0.0
1783554168.4467,121.69,17.86,14.7,72.25,103.83,16.0,2.2,0.0,0.0
1783554169.447,121.69,18.18,14.9,71.93,103.51,16.0,2.2,0.0,0.0
1783554170.4472,121.69,18.49,15.2,71.62,103.2,16.0,2.2,0.0,0.0
1783554171.4475,121.69,18.8,15.4,71.31,102.89,16.0,2.2,0.0,0.0
1783554172.4483,121.69,19.1,15.7,71.0,102.59,16.0,2.2,0.0,0.0
1783554173.4485,121.69,21.27,17.5,68.84,100.42,16.0,2.2,0.0,0.0
1783554174.4493,121.69,35.22,28.9,54.89,86.47,16.0,2.2,0.0,0.0
1783554175.4495,121.69,42.11,34.6,48.0,79.58,16.0,2.2,0.0,0.0
1783554176.45,121.69,42.14,34.6,47.97,79.55,16.0,2.2,0.0,0.0
1783554177.4502,121.69,42.15,34.6,47.96,79.54,16.0,2.2,0.0,0.0
1783554178.451,121.69,42.17,34.7,47.94,79.52,16.0,2.2,0.0,0.0
1783554179.4514,121.69,42.2,34.7,47.91,79.49,16.0,2.2,0.0,0.0
1783554180.4517,121.69,42.2,34.7,47.91,79.49,16.0,2.2,0.0,0.0
1783554181.4519,121.69,42.21,34.7,47.9,79.48,16.0,2.2,0.0,0.0
1783554182.4524,121.69,42.2,34.7,47.91,79.49,16.0,2.2,0.0,0.0
1783554183.4531,121.69,42.24,34.7,47.87,79.45,16.0,2.2,0.0,0.0
1783554184.4535,121.69,42.25,34.7,47.86,79.44,16.0,2.2,0.0,0.0
1783554185.454,121.69,42.27,34.7,47.84,79.42,16.0,2.2,0.0,0.0
1783554186.4542,121.69,42.26,34.7,47.85,79.43,16.0,2.2,0.0,0.0
1783554187.4548,121.69,42.25,34.7,47.86,79.44,16.0,2.2,0.0,0.0
1783554188.4556,121.69,42.25,34.7,47.86,79.44,16.0,2.2,0.0,0.0
1783554189.4562,121.69,42.23,34.7,47.88,79.46,16.0,2.2,0.0,0.0
1783554190.457,121.69,42.22,34.7,47.88,79.47,16.0,2.2,0.0,0.0
1783554191.4576,121.69,42.22,34.7,47.88,79.47,16.0,2.2,0.0,0.0
1783554192.4583,121.69,42.22,34.7,47.89,79.47,16.0,2.2,0.0,0.0
1783554193.4588,121.69,42.22,34.7,47.89,79.47,16.0,2.2,0.0,0.0
1783554194.4593,121.69,42.21,34.7,47.9,79.48,16.0,2.2,0.0,0.0
1783554195.4601,121.69,42.21,34.7,47.9,79.48,16.0,2.2,0.0,0.0
1783554196.4604,121.69,42.19,34.7,47.92,79.5,16.0,2.2,0.0,0.0
