timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1783573451.8717,10.5,4.8,5.7,0.0,3354.0,58.8,,2.09,2.07,2.03,5651,4,0
1783573452.873,8.2,3.4,4.8,0.0,3354.0,58.7,,2.09,2.07,2.03,5656,3,0
1783573453.8742,10.8,6.1,4.8,0.0,3354.0,58.8,,2.08,2.07,2.03,5671,3,0
1783573454.8759,11.1,6.3,4.8,0.0,3354.0,58.9,,2.08,2.07,2.03,6206,3,0
1783573455.877,10.9,6.2,4.7,0.0,3354.0,58.9,,2.08,2.07,2.03,5845,3,0
1783573456.8783,10.9,6.1,4.7,0.1,3354.0,58.8,,2.08,2.07,2.03,5780,3,0
1783573457.8794,10.2,4.8,5.4,0.0,3354.0,58.9,,2.08,2.07,2.03,5897,3,0
1783573458.8806,10.6,6.1,4.5,0.0,3354.0,58.9,,2.08,2.07,2.03,5585,3,0
1783573459.8818,10.8,5.9,4.9,0.0,3354.0,58.9,,2.08,2.07,2.03,5857,3,0
1783573460.883,10.8,6.1,4.7,0.0,3354.0,58.9,,2.08,2.07,2.03,5654,3,0
1783573461.8841,11.0,6.3,4.7,0.0,3354.0,58.9,,2.08,2.07,2.03,5974,3,0
1783573462.8854,10.7,6.0,4.7,0.0,3354.0,58.8,,2.08,2.07,2.03,5590,3,0
1783573463.8867,10.1,4.9,5.3,0.0,3354.0,58.7,,2.15,2.09,2.03,6097,3,0
1783573464.8879,10.6,6.1,4.5,0.0,3354.0,58.9,,2.15,2.09,2.03,6227,3,0
1783573465.8889,10.9,6.2,4.8,0.0,3354.0,58.9,,2.15,2.09,2.03,5843,3,0
1783573466.8901,10.9,6.1,4.9,0.0,3354.0,59.0,,2.15,2.09,2.03,5877,3,0
1783573467.8912,10.9,6.0,5.0,0.0,3354.0,59.0,,2.15,2.09,2.03,5890,3,0
1783573468.8926,9.9,4.5,5.4,0.0,3354.0,59.0,,2.14,2.08,2.03,6067,3,0
1783573469.8939,10.8,6.1,4.7,0.0,3354.0,59.0,,2.14,2.08,2.03,5878,4,0
1783573470.895,11.0,6.3,4.7,0.0,3354.0,58.8,,2.14,2.08,2.03,6164,3,0
1783573471.8961,12.6,7.9,4.6,0.0,3354.0,58.9,,2.14,2.08,2.03,6978,3,0
1783573472.8973,11.1,6.3,4.8,0.0,3354.0,58.8,,2.14,2.08,2.03,6251,3,0
1783573473.8987,10.4,5.2,5.2,0.0,3354.0,59.0,,2.13,2.08,2.03,5993,2,0
1783573474.8998,10.7,5.7,5.0,0.0,3354.0,58.7,,2.13,2.08,2.03,6313,4,0
1783573475.901,10.7,6.0,4.7,0.0,3354.0,58.9,,2.13,2.08,2.03,6042,4,0
1783573476.9022,10.8,6.2,4.6,0.0,3354.0,58.9,,2.13,2.08,2.03,5935,3,0
1783573477.9034,10.8,6.2,4.6,0.0,3354.0,58.9,,2.13,2.08,2.03,5831,3,0
1783573478.9045,10.9,6.2,4.7,0.0,3354.0,58.6,,2.12,2.08,2.03,5780,3,0
1783573479.906,10.2,4.8,5.4,0.1,3354.0,59.0,,2.12,2.08,2.03,6331,3,0
1783573480.9073,10.8,6.1,4.7,0.0,3354.0,58.9,,2.12,2.08,2.03,6193,3,0
1783573481.9085,10.6,6.0,4.6,0.0,3354.0,58.8,,2.12,2.08,2.03,5665,4,0
1783573482.9096,10.7,6.1,4.6,0.0,3354.0,58.8,,2.12,2.08,2.03,5688,3,0
1783573483.9107,10.8,6.2,4.6,0.0,3354.0,58.8,,2.11,2.08,2.03,5780,3,0
1783573484.9122,10.2,4.9,5.3,0.0,3354.0,58.7,,2.11,2.08,2.03,6241,4,0
1783573485.9136,10.8,6.1,4.7,0.0,3354.0,58.7,,2.11,2.08,2.03,5695,3,0
1783573486.9146,10.9,6.1,4.8,0.0,3354.0,58.9,,2.11,2.08,2.03,5909,3,0
1783573487.9157,10.6,6.0,4.6,0.0,3354.0,58.8,,2.11,2.08,2.03,5560,4,0
1783573488.9171,10.7,6.0,4.7,0.0,3354.0,58.9,,2.1,2.08,2.03,5624,3,0
1783573489.9183,10.8,6.0,4.8,0.0,3354.0,58.9,,2.1,2.08,2.03,6134,3,0
1783573490.9195,10.0,4.5,5.5,0.1,3354.0,58.9,,2.1,2.08,2.03,6279,3,0
1783573491.9209,10.7,6.1,4.7,0.0,3354.0,58.8,,2.1,2.08,2.03,5623,3,0
1783573492.9221,10.8,6.0,4.8,0.0,3354.0,58.9,,2.1,2.08,2.03,5809,3,0
1783573493.9236,10.7,6.1,4.6,0.0,3354.0,58.9,,2.09,2.08,2.03,5541,3,0
1783573494.9254,10.6,6.0,4.6,0.0,3354.0,59.1,,2.09,2.08,2.03,5772,3,0
1783573495.9269,9.9,4.3,5.6,0.0,3354.0,58.7,,2.09,2.08,2.03,6093,3,0
1783573496.9281,10.9,6.2,4.8,0.0,3354.0,58.8,,2.09,2.08,2.03,5773,3,0
1783573497.9292,10.8,6.2,4.6,0.0,3354.0,58.8,,2.09,2.08,2.03,5615,3,0
1783573498.9303,11.0,6.2,4.8,0.0,3354.0,58.9,,2.08,2.08,2.03,5931,3,0
1783573499.9315,10.9,6.1,4.8,0.0,3354.0,58.9,,2.08,2.08,2.03,5959,3,0
1783573500.9328,10.6,5.8,4.8,0.0,3354.0,58.9,,2.08,2.08,2.03,5992,3,0
1783573501.934,12.7,7.5,5.2,0.0,3354.0,59.9,,2.08,2.08,2.03,7302,3,0
1783573502.9352,10.8,6.2,4.6,0.0,3354.0,60.2,,2.08,2.08,2.03,6401,3,0
1783573503.9363,11.0,6.1,4.9,0.0,3354.0,60.3,,2.08,2.07,2.03,6221,3,0
1783573504.9373,10.8,6.1,4.6,0.0,3354.0,60.4,,2.08,2.07,2.03,5852,3,0
1783573505.9385,10.9,6.0,4.9,0.0,3354.0,60.3,,2.08,2.07,2.03,5757,3,0
1783573506.94,9.8,4.6,5.2,0.0,3354.0,59.4,,2.08,2.07,2.03,6124,4,0
1783573507.9414,10.9,6.0,4.8,0.1,3354.0,58.8,,2.08,2.07,2.03,5804,3,0
1783573508.9426,11.0,6.2,4.8,0.0,3354.0,58.5,,2.07,2.07,2.03,5847,3,0
1783573509.9438,10.9,6.2,4.7,0.0,3354.0,58.4,,2.07,2.07,2.03,5806,3,0
1783573510.9449,10.9,6.2,4.8,0.0,3354.0,58.4,,2.07,2.07,2.03,6112,3,0
1783573511.9461,10.2,4.7,5.5,0.0,3354.0,58.4,,2.07,2.07,2.03,6110,3,0
1783573512.9472,10.6,6.1,4.5,0.0,3354.0,58.8,,2.07,2.07,2.03,5745,3,0
1783573513.9481,10.9,6.1,4.8,0.0,3354.0,58.7,,2.06,2.07,2.03,5804,3,0
1783573514.9489,10.7,6.2,4.5,0.0,3354.0,58.6,,2.06,2.07,2.03,5787,3,0
1783573515.9497,10.9,6.0,4.8,0.0,3354.0,58.7,,2.06,2.07,2.03,5784,3,0
1783573516.9504,10.9,6.0,4.9,0.0,3354.0,58.6,,2.06,2.07,2.03,5768,3,0
1783573517.9517,9.8,4.4,5.4,0.0,3354.0,58.6,,2.06,2.07,2.03,6142,4,0
1783573518.9529,10.7,6.0,4.7,0.0,3354.0,58.6,,2.06,2.07,2.03,5715,3,0
1783573519.9541,10.7,6.1,4.7,0.0,3354.0,58.6,,2.06,2.07,2.03,5825,3,0
1783573520.9553,11.1,6.2,4.8,0.0,3354.0,58.6,,2.06,2.07,2.03,6202,3,0
1783573521.9567,10.7,6.1,4.7,0.0,3354.0,58.6,,2.06,2.07,2.03,5614,3,0
1783573522.958,10.3,4.9,5.4,0.0,3354.0,58.7,,2.06,2.07,2.03,5919,4,0
1783573523.9591,11.0,6.3,4.7,0.1,3354.0,58.6,,2.05,2.07,2.03,5972,3,0
1783573524.9602,10.8,6.1,4.7,0.0,3354.0,58.6,,2.05,2.07,2.03,5764,3,0
1783573525.9613,12.6,7.8,4.8,0.0,3354.0,58.8,,2.05,2.07,2.03,6627,3,0
1783573526.9628,11.2,6.5,4.7,0.0,3354.0,58.9,,2.05,2.07,2.03,6797,3,0
1783573527.9639,10.6,5.5,5.1,0.0,3354.0,58.9,,2.05,2.07,2.03,6090,3,0
1783573528.965,10.4,5.3,5.1,0.0,3354.0,58.9,,2.05,2.07,2.02,6127,3,0
1783573529.9662,11.1,6.3,4.8,0.0,3354.0,59.0,,2.05,2.07,2.02,6138,3,0
1783573530.9679,10.7,6.2,4.5,0.0,3354.0,58.9,,2.05,2.07,2.02,6023,4,0
1783573531.9691,10.8,6.1,4.8,0.0,3354.0,58.9,,2.05,2.07,2.02,5807,4,0
1783573532.9701,10.9,6.2,4.7,0.1,3354.0,58.9,,2.05,2.07,2.02,5900,3,0
1783573533.9713,10.2,4.8,5.5,0.0,3354.0,58.8,,2.05,2.06,2.02,6217,3,0
1783573534.9724,10.9,6.1,4.9,0.0,3354.0,58.8,,2.05,2.06,2.02,5963,3,0
1783573535.9735,10.8,6.2,4.6,0.0,3354.0,58.8,,2.05,2.06,2.02,5628,3,0
1783573536.975,10.6,6.0,4.6,0.0,3354.0,58.9,,2.05,2.06,2.02,5547,3,0
1783573537.9761,10.9,6.1,4.8,0.0,3354.0,58.8,,2.05,2.06,2.02,5558,3,0
1783573538.9774,9.8,4.3,5.5,0.0,3354.0,58.9,,2.04,2.06,2.02,6104,3,0
1783573539.9785,10.8,6.0,4.7,0.1,3354.0,58.9,,2.04,2.06,2.02,5866,3,0
1783573540.9796,10.9,6.1,4.8,0.0,3354.0,59.1,,2.04,2.06,2.02,6009,3,0
1783573541.9809,10.8,6.2,4.7,0.0,3354.0,59.0,,2.04,2.06,2.02,5635,3,0
1783573542.9821,10.7,6.2,4.5,0.0,3354.0,58.8,,2.04,2.06,2.02,6030,3,0
1783573543.9833,10.8,6.2,4.6,0.0,3354.0,58.8,,2.04,2.06,2.02,5888,3,0
1783573544.9847,9.9,4.5,5.5,0.0,3354.0,58.8,,2.04,2.06,2.02,6243,3,0
1783573545.9859,10.7,6.1,4.6,0.0,3354.0,58.9,,2.04,2.06,2.02,5776,3,0
1783573546.9871,10.8,6.1,4.7,0.0,3354.0,59.0,,2.04,2.06,2.02,5965,3,0
1783573547.9884,10.9,6.2,4.7,0.0,3354.0,58.9,,2.04,2.06,2.02,5824,3,0
1783573548.9896,10.6,6.2,4.4,0.0,3354.0,59.0,,2.03,2.06,2.02,5707,4,0
1783573549.9908,10.3,4.7,5.6,0.0,3354.0,58.8,,2.03,2.06,2.02,6361,3,0
1783573550.992,11.0,6.3,4.8,0.0,3354.0,58.8,,2.03,2.06,2.02,5812,3,0
1783573551.9932,11.2,6.4,4.8,0.0,3354.0,59.0,,2.03,2.06,2.02,5776,3,0
1783573552.9943,10.9,6.1,4.8,0.0,3354.0,59.2,,2.03,2.06,2.02,6007,3,0
1783573553.9955,10.7,5.9,4.8,0.0,3354.0,59.0,,2.03,2.06,2.02,5727,3,0
1783573554.997,11.0,6.0,5.0,0.0,3354.0,59.2,,2.03,2.06,2.02,6292,3,0
1783573555.9984,12.0,6.4,5.4,0.2,3354.0,59.8,,2.03,2.06,2.02,7328,3,0
1783573556.9999,10.9,6.1,4.8,0.0,3354.0,60.2,,2.03,2.06,2.02,6300,3,0
