timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1783557730.7463,121.69,9.11,7.5,81.0,112.58,16.0,2.2,0.0,0.0
1783557731.7467,121.69,9.43,7.7,80.68,112.26,16.0,2.2,0.0,0.0
1783557732.747,121.69,9.45,7.8,80.67,112.24,16.0,2.2,0.0,0.0
1783557733.7474,121.69,9.44,7.8,80.68,112.25,16.0,2.2,0.0,0.0
1783557734.7478,121.69,9.43,7.7,80.69,112.26,16.0,2.2,0.0,0.0
1783557735.7484,121.69,9.43,7.7,80.68,112.26,16.0,2.2,0.0,0.0
1783557736.749,121.69,9.43,7.7,80.68,112.26,16.0,2.2,0.0,0.0
1783557737.7496,121.69,9.44,7.8,80.68,112.25,16.0,2.2,0.0,0.0
1783557738.7499,121.69,9.43,7.7,80.69,112.26,16.0,2.2,0.0,0.0
1783557739.7505,121.69,9.43,7.7,80.69,112.26,16.0,2.2,0.0,0.0
1783557740.7509,121.69,9.43,7.7,80.69,112.26,16.0,2.2,0.0,0.0
1783557741.7514,121.69,9.42,7.7,80.7,112.27,16.0,2.2,0.0,0.0
1783557742.7519,121.69,9.42,7.7,80.69,112.27,16.0,2.2,0.0,0.0
1783557743.7524,121.69,9.43,7.7,80.69,112.26,16.0,2.2,0.0,0.0
1783557744.7528,121.69,9.43,7.7,80.69,112.26,16.0,2.2,0.0,0.0
1783557745.7533,121.69,9.43,7.7,80.69,112.26,16.0,2.2,0.0,0.0
1783557746.7538,121.69,9.43,7.7,80.68,112.26,16.0,2.2,0.0,0.0
1783557747.7542,121.69,9.44,7.8,80.67,112.25,16.0,2.2,0.0,0.0
1783557748.7545,121.69,9.42,7.7,80.7,112.27,16.0,2.2,0.0,0.0
1783557749.755,121.69,9.42,7.7,80.69,112.27,16.0,2.2,0.0,0.0
1783557750.7555,121.69,9.42,7.7,80.69,112.27,16.0,2.2,0.0,0.0
1783557751.756,121.69,9.43,7.7,80.69,112.26,16.0,2.2,0.0,0.0
1783557752.7565,121.69,9.44,7.8,80.67,112.25,16.0,2.2,0.0,0.0
1783557753.757,121.69,9.44,7.8,80.68,112.25,16.0,2.2,0.0,0.0
1783557754.7576,121.69,9.44,7.8,80.67,112.25,16.0,2.2,0.0,0.0
1783557755.7582,121.69,9.44,7.8,80.68,112.25,16.0,2.2,0.0,0.0
1783557756.7586,121.69,9.44,7.8,80.68,112.25,16.0,2.2,0.0,0.0
1783557757.7589,121.69,9.44,7.8,80.68,112.25,16.0,2.2,0.0,0.0
1783557758.7593,121.69,9.44,7.8,80.67,112.25,16.0,2.2,0.0,0.0
1783557759.7596,121.69,9.44,7.8,80.67,112.25,16.0,2.2,0.0,0.0
