timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1783564636.1183,6.0,1.4,4.5,0.0,3354.0,58.5,,1.87,2.08,2.04,5010,4,0
1783564637.1194,8.4,1.5,7.0,0.0,3354.0,58.3,,1.88,2.07,2.04,5708,3,0
1783564638.1204,10.9,1.6,9.4,0.0,3354.0,58.3,,1.88,2.07,2.04,5724,4,0
1783564639.1215,10.6,2.4,8.2,0.0,3354.0,58.5,,1.88,2.07,2.04,6017,3,0
1783564640.1229,10.9,3.0,7.9,0.0,3354.0,58.7,,1.88,2.07,2.04,6205,4,0
1783564641.124,11.3,2.8,8.4,0.1,3354.0,58.6,,1.88,2.07,2.04,6030,3,0
1783564642.1251,10.9,6.0,4.9,0.0,3354.0,58.8,,1.89,2.07,2.04,5916,5,0
1783564643.1262,11.0,3.1,7.9,0.0,3354.0,58.8,,1.89,2.07,2.04,5984,4,0
1783564644.1272,10.6,2.4,8.2,0.0,3354.0,58.9,,1.89,2.07,2.04,5742,4,0
1783564645.1284,10.9,1.7,9.2,0.0,3354.0,59.0,,1.89,2.07,2.04,6092,4,0
1783564646.1295,10.9,2.7,8.2,0.0,3354.0,59.0,,1.89,2.07,2.04,5770,3,0
1783564647.1309,10.9,6.3,4.6,0.0,3354.0,59.3,,1.9,2.07,2.04,5857,3,0
1783564648.1321,10.9,6.3,4.5,0.0,3354.0,59.5,,1.9,2.07,2.04,5852,3,0
1783564649.1333,10.7,6.4,4.3,0.0,3354.0,59.6,,1.9,2.07,2.04,5871,4,0
1783564650.1344,11.0,4.7,6.4,0.0,3354.0,59.4,,1.9,2.07,2.04,6119,4,0
1783564651.1355,10.9,1.4,9.5,0.0,3354.0,59.3,,1.9,2.07,2.04,5881,3,0
1783564652.1367,10.9,1.3,9.6,0.0,3354.0,59.2,,1.91,2.07,2.04,5771,3,0
1783564653.1381,10.1,1.3,8.8,0.0,3354.0,59.1,,1.91,2.07,2.04,6093,4,0
1783564654.1393,10.9,1.7,9.2,0.0,3354.0,59.1,,1.91,2.07,2.04,5834,3,0
1783564655.1405,10.6,1.9,8.7,0.0,3354.0,59.0,,1.91,2.07,2.04,5865,4,0
1783564656.1418,10.9,2.9,8.0,0.0,3354.0,59.2,,1.91,2.07,2.04,5855,3,0
1783564657.1428,10.9,2.5,8.4,0.0,3354.0,59.4,,2.0,2.08,2.05,5942,5,0
1783564658.144,11.1,6.1,5.0,0.0,3354.0,59.3,,2.0,2.08,2.05,6119,3,0
1783564659.1448,10.9,3.5,7.4,0.0,3354.0,59.5,,2.0,2.08,2.05,6218,3,0
1783564660.1455,11.0,2.7,8.1,0.1,3354.0,59.4,,2.0,2.08,2.05,5903,3,0
1783564661.1463,10.7,2.0,8.7,0.0,3354.0,59.2,,2.0,2.08,2.05,5853,4,0
1783564662.1471,10.8,2.1,8.7,0.0,3354.0,59.3,,2.0,2.08,2.05,5974,4,0
1783564663.1481,10.8,6.2,4.6,0.0,3354.0,59.4,,2.0,2.08,2.05,5904,3,0
1783564664.1488,10.9,6.3,4.6,0.0,3354.0,59.7,,2.0,2.08,2.05,5868,3,0
1783564665.1495,11.1,6.5,4.6,0.0,3354.0,59.4,,2.0,2.08,2.05,6262,3,0
1783564666.1501,10.8,4.7,6.1,0.0,3354.0,59.7,,2.0,2.08,2.05,5884,5,0
1783564667.1508,10.7,1.2,9.6,0.0,3354.0,59.7,,2.0,2.08,2.04,5934,4,0
1783564668.1515,10.8,1.3,9.5,0.0,3354.0,59.7,,2.0,2.08,2.04,5694,3,0
1783564669.1525,10.0,1.3,8.7,0.0,3354.0,59.7,,2.0,2.08,2.04,6234,3,0
1783564670.1536,10.8,1.6,9.3,0.0,3354.0,59.7,,2.0,2.08,2.04,6080,3,0
1783564671.1545,11.0,1.5,9.4,0.0,3354.0,59.7,,2.0,2.08,2.04,5886,3,0
1783564672.1554,10.7,2.3,8.4,0.0,3354.0,59.8,,2.0,2.08,2.04,5776,4,0
