timestamp_unix,vmstat_pgfault_rate,vmstat_pgmajfault_rate,vmstat_pswpin_rate,vmstat_pswpout_rate,vmstat_pgscan_rate,vmstat_pgsteal_rate
1783547199.6435,2916,0,0,0,0,0
1783547200.144,20176,0,0,0,0,0
1783547200.6444,48683,0,0,0,0,0
1783547201.1448,2372,0,0,0,0,0
1783547201.6452,2350,0,0,0,0,0
1783547202.1456,2210,0,0,0,0,0
1783547202.6459,178,0,0,0,0,0
1783547203.1463,2364,0,0,0,0,0
1783547203.6466,2384,0,0,0,0,0
1783547204.147,2368,0,0,0,0,0
1783547204.6472,2361,0,0,0,0,0
1783547205.1475,2387,0,0,0,0,0
1783547205.6478,2361,0,0,0,0,0
1783547206.1483,2361,0,0,0,0,0
1783547206.6487,2448,0,0,0,0,0
1783547207.1491,2406,0,0,0,0,0
1783547207.6495,2394,0,0,0,0,0
1783547208.1499,1343,0,0,0,0,0
1783547208.6503,1041,0,0,0,0,0
1783547209.1508,2388,0,0,0,0,0
1783547209.6511,2374,0,0,0,0,0
1783547210.1515,2362,0,0,0,0,0
1783547210.6518,2388,0,0,0,0,0
1783547211.1522,2364,0,0,0,0,0
1783547211.6524,2421,0,0,0,0,0
1783547212.1527,2363,0,0,0,0,0
1783547212.6531,2396,0,0,0,0,0
1783547213.1534,2360,0,0,0,0,0
1783547213.6538,1325,0,0,0,0,0
1783547214.1542,1055,0,0,0,0,0
1783547214.6545,2382,0,0,0,0,0
1783547215.1549,2380,0,0,0,0,0
1783547215.6552,2364,0,0,0,0,0
1783547216.1556,2360,0,0,0,0,0
1783547216.656,2374,0,0,0,0,0
1783547217.1562,2377,0,0,0,0,0
1783547217.6565,2375,0,0,0,0,0
1783547218.1568,2365,0,0,0,0,0
1783547218.657,2445,0,0,0,0,0
1783547219.1573,2085,0,0,0,0,0
1783547219.6577,338,0,0,0,0,0
1783547220.1581,2478,0,0,0,0,0
1783547220.6585,2358,0,0,0,0,0
1783547221.1588,2374,0,0,0,0,0
1783547221.6592,4255,0,0,0,0,0
1783547222.1594,2401,0,0,0,0,0
1783547222.6598,2372,0,0,0,0,0
1783547223.1602,2366,0,0,0,0,0
1783547223.6605,2378,0,0,0,0,0
1783547224.1609,2376,0,0,0,0,0
1783547224.6612,2378,0,0,0,0,0
1783547225.1616,1353,0,0,0,0,0
1783547225.6619,1069,0,0,0,0,0
1783547226.1623,2368,0,0,0,0,0
1783547226.6626,2358,0,0,0,0,0
1783547227.163,2360,0,0,0,0,0
1783547227.6632,2375,0,0,0,0,0
1783547228.1636,2370,0,0,0,0,0
1783547228.6639,2360,0,0,0,0,0
1783547229.1643,2370,0,0,0,0,0
1783547229.6646,2398,0,0,0,0,0
1783547230.165,2356,0,0,0,0,0
1783547230.6653,108,0,0,0,0,0
1783547231.1657,2378,0,0,0,0,0
1783547231.666,2358,0,0,0,0,0
1783547232.1664,2366,0,0,0,0,0
1783547232.6666,2395,0,0,0,0,0
1783547233.167,2408,0,0,0,0,0
1783547233.6673,2358,0,0,0,0,0
1783547234.1679,2367,0,0,0,0,0
1783547234.6682,2398,0,0,0,0,0
1783547235.1686,2378,0,0,0,0,0
1783547235.6689,2366,0,0,0,0,0
1783547236.1693,1365,0,0,0,0,0
1783547236.6696,1061,0,0,0,0,0
1783547237.17,2364,0,0,0,0,0
1783547237.6703,2374,0,0,0,0,0
1783547238.1707,2358,0,0,0,0,0
1783547238.671,2390,0,0,0,0,0
1783547239.1714,2380,0,0,0,0,0
1783547239.6717,2468,0,0,0,0,0
1783547240.1721,2608,0,0,0,0,0
1783547240.6724,2470,0,0,0,0,0
1783547241.1728,2378,0,0,0,0,0
1783547241.6732,2356,0,0,0,0,0
1783547242.1735,1937,0,0,0,0,0
1783547242.6739,2462,0,0,0,0,0
1783547243.1742,2368,0,0,0,0,0
1783547243.6745,2356,0,0,0,0,0
1783547244.1749,2360,0,0,0,0,0
1783547244.6753,52698,0,0,0,0,0
1783547245.1757,2360,0,0,0,0,0
1783547245.676,2384,0,0,0,0,0
1783547246.1763,2411,0,0,0,0,0
1783547246.6766,2358,0,0,0,0,0
1783547247.177,2374,0,0,0,0,0
1783547247.6773,1383,0,0,0,0,0
1783547248.1777,1047,0,0,0,0,0
1783547248.678,2540,0,0,0,0,0
1783547249.1784,2556,0,0,0,0,0
1783547249.6787,2394,0,0,0,0,0
1783547250.1791,2358,0,0,0,0,0
1783547250.6795,2360,0,0,0,0,0
1783547251.1798,2414,0,0,0,0,0
1783547251.6801,2367,0,0,0,0,0
1783547252.1804,2368,0,0,0,0,0
1783547252.6808,2378,0,0,0,0,0
1783547253.1811,2075,0,0,0,0,0
1783547253.6815,306,0,0,0,0,0
1783547254.1819,2368,0,0,0,0,0
1783547254.6822,2390,0,0,0,0,0
1783547255.1826,2404,0,0,0,0,0
1783547255.6829,2358,0,0,0,0,0
1783547256.1833,2362,0,0,0,0,0
1783547256.6837,2358,0,0,0,0,0
1783547257.184,2370,0,0,0,0,0
1783547257.6843,2375,0,0,0,0,0
1783547258.1845,2395,0,0,0,0,0
1783547258.6848,2375,0,0,0,0,0
1783547259.1852,1347,0,0,0,0,0
1783547259.6855,1045,0,0,0,0,0
1783547260.1859,4267,0,0,0,0,0
1783547260.6862,2413,0,0,0,0,0
1783547261.1865,2360,0,0,0,0,0
1783547261.6868,2363,0,0,0,0,0
1783547262.1871,2409,0,0,0,0,0
1783547262.6873,2377,0,0,0,0,0
1783547263.1878,2370,0,0,0,0,0
1783547263.6881,2434,0,0,0,0,0
