timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1783567381.789,121.69,9.25,7.6,80.85,112.44,16.0,2.2,0.0,0.0
1783567382.7894,121.69,9.31,7.7,80.79,112.38,16.0,2.2,0.0,0.0
1783567383.7897,121.69,9.61,7.9,80.49,112.08,16.0,2.2,0.0,0.0
1783567384.7898,121.69,9.9,8.1,80.2,111.79,16.0,2.2,0.0,0.0
1783567385.7899,121.69,10.2,8.4,79.91,111.49,16.0,2.2,0.0,0.0
1783567386.79,121.69,10.49,8.6,79.61,111.2,16.0,2.2,0.0,0.0
1783567387.7902,121.69,10.78,8.9,79.32,110.91,16.0,2.2,0.0,0.0
1783567388.7903,121.69,11.07,9.1,79.03,110.62,16.0,2.2,0.0,0.0
1783567389.7904,121.69,11.36,9.3,78.74,110.33,16.0,2.2,0.0,0.0
1783567390.7908,121.69,11.65,9.6,78.45,110.04,16.0,2.2,0.0,0.0
1783567391.7911,121.69,11.95,9.8,78.15,109.74,16.0,2.2,0.0,0.0
1783567392.7917,121.69,12.23,10.1,77.87,109.46,16.0,2.2,0.0,0.0
1783567393.7922,121.69,12.54,10.3,77.56,109.15,16.0,2.2,0.0,0.0
1783567394.7925,121.69,12.82,10.5,77.28,108.87,16.0,2.2,0.0,0.0
1783567395.7926,121.69,16.95,13.9,73.15,104.74,16.0,2.2,0.0,0.0
1783567396.7932,121.69,16.97,13.9,73.13,104.72,16.0,2.2,0.0,0.0
1783567397.7934,121.69,17.0,14.0,73.1,104.69,16.0,2.2,0.0,0.0
1783567398.7936,121.69,17.03,14.0,73.08,104.66,16.0,2.2,0.0,0.0
1783567399.7939,121.69,17.02,14.0,73.09,104.67,16.0,2.2,0.0,0.0
1783567400.7942,121.69,17.05,14.0,73.06,104.64,16.0,2.2,0.0,0.0
1783567401.7945,121.69,17.05,14.0,73.05,104.64,16.0,2.2,0.0,0.0
