timestamp_unix,sys_mem_total_gb,sys_mem_used_gb,sys_mem_used_pct,sys_mem_free_gb,sys_mem_avail_gb,sys_swap_total_gb,sys_swap_used_gb,sys_mem_pressure_some,sys_mem_pressure_full
1783569527.3728,121.69,9.16,7.5,80.94,112.53,16.0,2.2,0.0,0.0
1783569528.373,121.69,10.98,9.0,79.12,110.71,16.0,2.2,0.0,0.0
1783569529.3733,121.69,10.96,9.0,79.14,110.73,16.0,2.2,0.0,0.0
1783569530.3736,121.69,10.97,9.0,79.13,110.72,16.0,2.2,0.0,0.0
1783569531.3739,121.69,10.96,9.0,79.14,110.73,16.0,2.2,0.0,0.0
1783569532.3742,121.69,10.97,9.0,79.13,110.72,16.0,2.2,0.0,0.0
1783569533.3745,121.69,10.98,9.0,79.12,110.71,16.0,2.2,0.0,0.0
1783569534.3748,121.69,10.97,9.0,79.13,110.72,16.0,2.2,0.0,0.0
1783569535.375,121.69,10.97,9.0,79.13,110.72,16.0,2.2,0.0,0.0
1783569536.3754,121.69,10.96,9.0,79.14,110.73,16.0,2.2,0.0,0.0
1783569537.3757,121.69,10.96,9.0,79.14,110.73,16.0,2.2,0.0,0.0
1783569538.376,121.69,10.95,9.0,79.15,110.74,16.0,2.2,0.0,0.0
1783569539.3763,121.69,10.97,9.0,79.13,110.72,16.0,2.2,0.0,0.0
1783569540.3766,121.69,10.95,9.0,79.15,110.74,16.0,2.2,0.0,0.0
1783569541.377,121.69,10.95,9.0,79.15,110.74,16.0,2.2,0.0,0.0
1783569542.3773,121.69,10.95,9.0,79.15,110.74,16.0,2.2,0.0,0.0
1783569543.3776,121.69,10.96,9.0,79.14,110.73,16.0,2.2,0.0,0.0
1783569544.378,121.69,10.95,9.0,79.15,110.74,16.0,2.2,0.0,0.0
1783569545.3783,121.69,10.96,9.0,79.14,110.73,16.0,2.2,0.0,0.0
1783569546.3786,121.69,10.96,9.0,79.14,110.73,16.0,2.2,0.0,0.0
1783569547.379,121.69,10.95,9.0,79.15,110.74,16.0,2.2,0.0,0.0
1783569548.3793,121.69,10.95,9.0,79.15,110.74,16.0,2.2,0.0,0.0
1783569549.3796,121.69,10.95,9.0,79.15,110.74,16.0,2.2,0.0,0.0
1783569550.3799,121.69,10.94,9.0,79.16,110.75,16.0,2.2,0.0,0.0
1783569551.3802,121.69,10.95,9.0,79.15,110.74,16.0,2.2,0.0,0.0
1783569552.3805,121.69,10.94,9.0,79.16,110.75,16.0,2.2,0.0,0.0
1783569553.3809,121.69,10.95,9.0,79.15,110.74,16.0,2.2,0.0,0.0
1783569554.3812,121.69,10.94,9.0,79.16,110.75,16.0,2.2,0.0,0.0
1783569555.3818,121.69,10.94,9.0,79.16,110.75,16.0,2.2,0.0,0.0
1783569556.382,121.69,10.93,9.0,79.17,110.76,16.0,2.2,0.0,0.0
1783569557.3822,121.69,10.94,9.0,79.16,110.75,16.0,2.2,0.0,0.0
1783569558.3824,121.69,10.93,9.0,79.17,110.76,16.0,2.2,0.0,0.0
1783569559.3828,121.69,10.94,9.0,79.16,110.75,16.0,2.2,0.0,0.0
1783569560.383,121.69,10.94,9.0,79.16,110.75,16.0,2.2,0.0,0.0
1783569561.3832,121.69,10.93,9.0,79.17,110.76,16.0,2.2,0.0,0.0
1783569562.3834,121.69,10.94,9.0,79.16,110.75,16.0,2.2,0.0,0.0
1783569563.3837,121.69,10.94,9.0,79.16,110.75,16.0,2.2,0.0,0.0
1783569564.3839,121.69,10.94,9.0,79.16,110.75,16.0,2.2,0.0,0.0
1783569565.3842,121.69,10.94,9.0,79.16,110.75,16.0,2.2,0.0,0.0
1783569566.3844,121.69,11.45,9.4,78.65,110.24,16.0,2.2,0.0,0.0
1783569567.3848,121.69,10.95,9.0,79.15,110.74,16.0,2.2,0.0,0.0
1783569568.3851,121.69,10.95,9.0,79.15,110.74,16.0,2.2,0.0,0.0
1783569569.3854,121.69,10.95,9.0,79.15,110.74,16.0,2.2,0.0,0.0
1783569570.3861,121.69,10.95,9.0,79.15,110.74,16.0,2.2,0.0,0.0
1783569571.3864,121.69,10.94,9.0,79.16,110.75,16.0,2.2,0.0,0.0
1783569572.3867,121.69,10.96,9.0,79.14,110.73,16.0,2.2,0.0,0.0
