timestamp_unix,cpu_active_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_freq_mhz,cpu_temp_c,cpu_power_w,loadavg_1min,loadavg_5min,loadavg_15min,cpu_ctxt_switch_rate,cpu_procs_running,cpu_procs_blocked
1783547329.3055,9.7,4.9,4.8,0.0,3354.0,57.5,,2.09,2.04,2.02,5062,4,0
1783547330.3064,8.3,3.7,4.6,0.0,3354.0,57.6,,2.09,2.04,2.02,5547,3,0
1783547331.3073,10.9,5.9,4.9,0.0,3354.0,57.9,,2.09,2.04,2.02,5806,3,0
1783547332.308,10.5,6.2,4.3,0.0,3354.0,58.5,,2.09,2.04,2.02,5758,3,0
1783547333.3089,10.9,6.3,4.6,0.0,3354.0,58.8,,2.09,2.04,2.02,5756,4,0
1783547334.3098,11.0,6.2,4.7,0.1,3354.0,58.9,,2.09,2.04,2.02,5773,3,0
1783547335.3106,11.0,6.3,4.7,0.0,3354.0,58.9,,2.09,2.04,2.02,6042,3,0
1783547336.3114,10.9,6.3,4.6,0.0,3354.0,59.0,,2.09,2.04,2.02,5746,3,0
1783547337.3122,10.1,5.4,4.7,0.0,3354.0,58.2,,2.09,2.04,2.02,5784,4,0
1783547338.3131,10.8,5.9,4.9,0.0,3354.0,58.6,,2.09,2.04,2.02,5679,3,0
1783547339.3139,10.8,6.2,4.6,0.0,3354.0,58.8,,2.08,2.04,2.02,5999,4,0
1783547340.3148,11.0,6.2,4.7,0.0,3354.0,58.8,,2.08,2.04,2.02,5816,4,0
1783547341.3156,11.1,6.4,4.7,0.0,3354.0,59.0,,2.08,2.04,2.02,5710,3,0
1783547342.3164,10.8,6.2,4.6,0.0,3354.0,59.3,,2.08,2.04,2.02,5753,4,0
1783547343.3172,10.8,5.9,4.9,0.1,3354.0,59.0,,2.08,2.04,2.02,6442,5,0
1783547344.318,12.5,7.7,4.8,0.0,3354.0,58.5,,2.07,2.04,2.02,6739,3,0
1783547345.3189,11.0,6.1,4.9,0.0,3354.0,58.1,,2.07,2.04,2.02,6472,4,0
1783547346.3198,11.0,6.4,4.6,0.0,3354.0,58.1,,2.07,2.04,2.02,6050,4,0
1783547347.3208,10.9,6.3,4.6,0.0,3354.0,58.3,,2.07,2.04,2.02,5964,4,0
1783547348.3216,10.6,6.3,4.4,0.0,3354.0,58.9,,2.07,2.04,2.02,5567,3,0
1783547349.3224,13.8,8.8,4.9,0.1,3354.0,59.5,,2.07,2.04,2.02,7246,3,0
1783547350.3233,9.9,4.9,4.9,0.1,3354.0,57.9,,2.07,2.04,2.02,7009,3,0
1783547351.3244,10.8,6.0,4.7,0.0,3354.0,57.9,,2.07,2.04,2.02,5898,5,0
1783547352.3252,11.0,6.4,4.6,0.0,3354.0,57.9,,2.07,2.04,2.02,5812,7,0
1783547353.326,10.8,6.1,4.6,0.0,3354.0,59.5,,2.07,2.04,2.02,5557,6,0
1783547354.3273,10.8,6.1,4.7,0.0,3354.0,61.2,,2.06,2.04,2.02,5565,4,0
1783547355.3281,10.9,6.3,4.6,0.0,3354.0,62.1,,2.06,2.04,2.02,5995,4,0
1783547356.3288,10.0,4.9,5.0,0.1,3354.0,58.5,,2.06,2.04,2.02,6236,3,0
1783547357.3295,10.8,5.9,5.0,0.0,3354.0,58.2,,2.06,2.04,2.02,5824,3,0
1783547358.3303,10.8,6.1,4.6,0.0,3354.0,58.1,,2.06,2.04,2.02,5683,3,0
1783547359.3313,10.7,6.2,4.5,0.0,3354.0,58.1,,2.06,2.04,2.02,6061,4,0
1783547360.3321,10.8,6.2,4.5,0.0,3354.0,58.8,,2.06,2.04,2.02,5634,3,0
1783547361.3331,11.1,6.5,4.6,0.0,3354.0,59.4,,2.06,2.04,2.02,5712,3,0
1783547362.3338,11.0,6.3,4.6,0.1,3354.0,59.5,,2.06,2.04,2.02,5797,3,0
1783547363.3347,10.1,5.0,5.1,0.0,3354.0,58.2,,2.06,2.04,2.02,5895,3,0
1783547364.3354,10.8,5.7,5.1,0.0,3354.0,58.4,,2.05,2.03,2.02,6092,3,0
1783547365.3362,10.7,6.4,4.3,0.0,3354.0,58.0,,2.05,2.03,2.02,5994,3,0
1783547366.337,10.9,6.2,4.7,0.0,3354.0,58.5,,2.05,2.03,2.02,5953,3,0
1783547367.3378,11.0,6.4,4.6,0.0,3354.0,59.2,,2.05,2.03,2.02,5837,3,0
1783547368.3387,11.1,6.3,4.7,0.1,3354.0,59.4,,2.05,2.03,2.02,5843,3,0
1783547369.3397,10.9,6.3,4.6,0.0,3354.0,59.5,,2.05,2.03,2.02,5878,3,0
1783547370.3404,9.6,4.8,4.9,0.0,3354.0,57.8,,2.05,2.03,2.02,5668,3,0
1783547371.3412,10.9,5.8,5.0,0.0,3354.0,57.7,,2.05,2.03,2.02,5727,5,0
1783547372.3421,11.1,6.3,4.8,0.0,3354.0,58.1,,2.05,2.03,2.02,5910,4,0
1783547373.3431,11.2,6.5,4.7,0.0,3354.0,60.4,,2.05,2.03,2.02,5766,3,0
1783547374.3445,11.0,6.3,4.7,0.0,3354.0,62.1,,2.2,2.07,2.03,6173,3,0
1783547375.3454,11.1,6.3,4.7,0.1,3354.0,62.5,,2.2,2.07,2.03,5943,4,0
1783547376.3462,10.2,5.3,4.9,0.0,3354.0,58.1,,2.2,2.07,2.03,6007,4,0
1783547377.347,10.9,5.8,5.1,0.0,3354.0,58.1,,2.2,2.07,2.03,5946,3,0
1783547378.348,10.9,6.3,4.6,0.0,3354.0,58.0,,2.2,2.07,2.03,5757,3,0
1783547379.3489,11.0,6.4,4.7,0.0,3354.0,58.1,,2.27,2.08,2.04,5912,3,0
1783547380.3496,10.9,6.3,4.6,0.0,3354.0,59.1,,2.27,2.08,2.04,5772,3,0
1783547381.3504,10.7,6.3,4.3,0.0,3354.0,59.8,,2.27,2.08,2.04,5705,3,0
1783547382.3511,10.7,5.9,4.7,0.1,3354.0,59.1,,2.27,2.08,2.04,5914,2,0
1783547383.3519,10.5,5.7,4.8,0.0,3354.0,58.0,,2.27,2.08,2.04,5778,4,0
1783547384.3531,10.9,5.8,5.1,0.0,3354.0,58.1,,2.33,2.1,2.04,5842,3,0
1783547385.3538,11.1,6.6,4.5,0.0,3354.0,59.1,,2.33,2.1,2.04,6066,3,0
1783547386.3546,10.7,6.3,4.4,0.0,3354.0,60.9,,2.33,2.1,2.04,5638,4,0
1783547387.3553,10.8,6.3,4.5,0.0,3354.0,62.2,,2.33,2.1,2.04,5629,3,0
1783547388.356,11.0,6.0,4.9,0.1,3354.0,62.4,,2.33,2.1,2.04,5900,2,0
1783547389.3567,10.4,5.6,4.7,0.0,3354.0,58.6,,2.3,2.1,2.04,6017,3,0
1783547390.3575,11.0,5.9,5.1,0.0,3354.0,59.1,,2.3,2.1,2.04,5817,3,0
1783547391.3584,10.7,6.3,4.4,0.0,3354.0,59.2,,2.3,2.1,2.04,5697,5,0
1783547392.3594,10.9,6.2,4.6,0.0,3354.0,59.7,,2.3,2.1,2.04,5597,3,0
1783547393.3604,10.9,6.3,4.5,0.0,3354.0,59.7,,2.3,2.1,2.04,5793,3,0
1783547394.3612,11.1,6.4,4.6,0.1,3354.0,59.8,,2.28,2.09,2.04,5844,4,0
1783547395.3621,10.1,5.2,4.9,0.0,3354.0,59.3,,2.28,2.09,2.04,6262,3,0
1783547396.3633,10.9,5.8,5.0,0.0,3354.0,58.4,,2.28,2.09,2.04,5739,5,0
1783547397.3645,12.8,8.0,4.8,0.0,3354.0,57.9,,2.28,2.09,2.04,6593,3,0
1783547398.3657,11.2,6.4,4.7,0.0,3354.0,58.5,,2.28,2.09,2.04,6057,3,0
1783547399.3677,10.9,6.2,4.8,0.0,3354.0,59.2,,2.25,2.09,2.04,5974,3,0
1783547400.3696,11.0,6.3,4.6,0.0,3354.0,60.1,,2.25,2.09,2.04,5819,3,0
1783547401.3707,10.4,5.2,5.1,0.1,3354.0,57.8,,2.25,2.09,2.04,6316,4,0
1783547402.3719,12.8,7.7,5.1,0.0,3354.0,58.1,,2.25,2.09,2.04,6902,4,0
1783547403.373,10.7,6.0,4.7,0.0,3354.0,57.9,,2.25,2.09,2.04,5508,3,0
1783547404.3742,11.0,6.1,4.9,0.0,3354.0,59.8,,2.23,2.09,2.04,5820,3,0
1783547405.3755,11.1,6.3,4.8,0.0,3354.0,61.1,,2.23,2.09,2.04,5766,4,0
1783547406.3772,10.9,6.2,4.7,0.0,3354.0,62.5,,2.23,2.09,2.04,5579,3,0
1783547407.3784,10.0,4.9,5.0,0.1,3354.0,59.4,,2.23,2.09,2.04,5848,3,0
1783547408.3799,10.6,6.0,4.6,0.0,3354.0,58.5,,2.23,2.09,2.04,5546,3,0
1783547409.3811,10.7,5.8,4.9,0.0,3354.0,58.4,,2.21,2.09,2.04,5782,3,0
1783547410.3827,11.1,6.5,4.6,0.0,3354.0,60.0,,2.21,2.09,2.04,5648,3,0
1783547411.3842,10.9,6.3,4.6,0.0,3354.0,61.0,,2.21,2.09,2.04,5935,3,0
1783547412.3856,10.8,6.2,4.6,0.0,3354.0,62.4,,2.21,2.09,2.04,5620,3,0
1783547413.3868,10.5,5.5,5.0,0.1,3354.0,61.1,,2.21,2.09,2.04,5713,3,0
1783547414.388,10.7,6.1,4.7,0.0,3354.0,58.2,,2.2,2.09,2.04,5807,3,0
1783547415.3888,10.7,5.8,4.9,0.0,3354.0,58.0,,2.2,2.09,2.04,5891,3,0
1783547416.3895,10.8,6.2,4.6,0.0,3354.0,58.7,,2.2,2.09,2.04,5556,3,0
1783547417.3905,11.0,6.1,4.9,0.0,3354.0,59.9,,2.2,2.09,2.04,5475,3,0
1783547418.3914,11.0,6.1,4.9,0.0,3354.0,61.3,,2.2,2.09,2.04,5647,3,0
